mission,direction,heure_re_sceaux,delta_sceaux,heure_re_antony,delta_antony,heure_re_bourg_la_reine,delta_bourg_la_reine,heure_re_chatelet,delta_chatelet,heure_re_aulnay,delta_aulnay,heure_re_cdg1,delta_cdg1,heure_re_vert_galant,delta_vert_galant
ELOI01,Nord,2026-04-17 08:08:38+02:00,12.0,,,2026-04-17 08:10:36+02:00,1.0,2026-04-17 08:31:39+02:00,1.0,2026-04-17 08:54:10+02:00,1.0,2026-04-17 09:08:00+02:00,4.0,,
GUIZ03,Nord,,,2026-04-17 08:08:14+02:00,4.0,2026-04-17 08:13:57+02:00,3.0,2026-04-17 08:34:39+02:00,3.0,,,,,,
EMMY05,Nord,,,2026-04-17 08:13:01+02:00,5.0,2026-04-17 08:17:38+02:00,4.0,2026-04-17 08:38:20+02:00,4.0,2026-04-17 09:00:51+02:00,7.0,2026-04-17 09:14:41+02:00,7.0,,
IVIS07,Nord,,,2026-04-17 08:15:45+02:00,3.0,2026-04-17 08:20:27+02:00,3.0,2026-04-17 08:41:29+02:00,3.0,2026-04-17 09:04:10+02:00,3.0,,,2026-04-17 09:10:20+02:00,11.0
ELOI09,Nord,2026-04-17 08:20:38+02:00,12.0,,,2026-04-17 08:22:36+02:00,2.0,2026-04-17 08:43:39+02:00,2.0,2026-04-17 09:06:10+02:00,2.0,2026-04-17 09:20:00+02:00,5.0,,
GUIZ11,Nord,,,2026-04-17 08:20:14+02:00,4.0,2026-04-17 08:25:57+02:00,3.0,2026-04-17 08:46:39+02:00,3.0,,,,,,
EMMY13,Nord,,,2026-04-17 08:24:20+02:00,4.0,2026-04-17 08:28:57+02:00,3.0,2026-04-17 08:49:39+02:00,3.0,2026-04-17 09:12:10+02:00,6.0,2026-04-17 09:26:00+02:00,6.0,,
IVIS15,Nord,,,2026-04-17 08:27:41+02:00,3.0,2026-04-17 08:32:23+02:00,3.0,2026-04-17 08:53:25+02:00,4.0,2026-04-17 09:16:06+02:00,4.0,,,2026-04-17 09:22:16+02:00,12.0
ELOI17,Nord,2026-04-17 08:32:38+02:00,12.0,,,2026-04-17 08:34:36+02:00,2.0,2026-04-17 08:55:39+02:00,2.0,2026-04-17 09:18:10+02:00,2.0,2026-04-17 09:32:00+02:00,6.0,,
GUIZ19,Nord,,,2026-04-17 08:32:14+02:00,5.0,2026-04-17 08:37:57+02:00,3.0,2026-04-17 08:58:39+02:00,3.0,,,,,,
