mission,type_mission,destination,robinson,fontenay_aux_roses,sceaux,saint_remy_les_chevreuse,courcelle_sur_yvette,gif_sur_yvette,la_hacquiniere,bures_sur_yvette,orsay_ville,le_guichet,lozere,palaiseau_villebon,palaiseau,massy_palaiseau,massy_verrieres,les_baconnets,fontaine_michalon,antony,la_croix_de_berny,parc_de_sceaux,bourg_la_reine,bagneux,arcueil_cachan,laplace,gentilly,cite_universitaire,denfert_rochereau,port_royal,luxembourg,saint_michel_notre_dame,chatelet_les_halles,gare_du_nord,la_plaine_stade_de_france,la_courneuve_aubervilliers,le_bourget,drancy,le_blanc_mesnil,aulnay_sous_bois,sevran_beaudottes,villepinte,parc_des_expositions,aeroport_cdg_1_rer,aeroport_charles_de_gaulle_2,sevran_livry,vert_galant,villeparisis_mitry_le_neuf,mitry_claye,gare_depart,nb_arrets_desservis,date_observation
IVAN91,IVAN,Mitry - Claye,,,,,,,,,,,,,,,,,,2026-04-15 07:51:58+02:00,2026-04-15 07:53:49+02:00,,2026-04-15 07:56:40+02:00,2026-04-15 07:59:29+02:00,2026-04-15 08:01:09+02:00,2026-04-15 08:03:22+02:00,2026-04-15 08:05:09+02:00,2026-04-15 08:06:45+02:00,2026-04-15 08:09:25+02:00,2026-04-15 08:11:42+02:00,2026-04-15 08:13:16+02:00,2026-04-15 08:15:22+02:00,2026-04-15 08:17:42+02:00,2026-04-15 08:22:03+02:00,2026-04-15 08:27:13+02:00,2026-04-15 08:29:43+02:00,2026-04-15 08:32:53+02:00,2026-04-15 08:35:33+02:00,2026-04-15 08:37:43+02:00,2026-04-15 08:40:23+02:00,,,,,,2026-04-15 08:43:43+02:00,2026-04-15 08:46:33+02:00,2026-04-15 08:49:43+02:00,,Antony,23,2026-04-15 07:50:04.324287+02:00
KFON26,KFON,Massy-Palaiseau,,,,,,,,,,,,,,,2026-04-15 09:42:43+02:00,2026-04-15 09:40:59+02:00,2026-04-15 09:39:35+02:00,2026-04-15 09:37:15+02:00,2026-04-15 09:35:35+02:00,2026-04-15 09:33:56+02:00,2026-04-15 09:31:44+02:00,2026-04-15 09:29:21+02:00,2026-04-15 09:27:43+02:00,2026-04-15 09:25:45+02:00,2026-04-15 09:23:59+02:00,2026-04-15 09:22:02+02:00,2026-04-15 09:19:14+02:00,2026-04-15 09:17:26+02:00,2026-04-15 09:15:51+02:00,2026-04-15 09:13:29+02:00,2026-04-15 09:11:07+02:00,2026-04-15 09:08:00+02:00,2026-04-15 09:02:20+02:00,2026-04-15 08:59:30+02:00,2026-04-15 08:56:00+02:00,2026-04-15 08:53:10+02:00,2026-04-15 08:51:00+02:00,2026-04-15 08:48:50+02:00,,,,,,2026-04-15 08:45:10+02:00,2026-04-15 08:42:00+02:00,2026-04-15 08:38:50+02:00,2026-04-15 08:35:00+02:00,Mitry - Claye,28,2026-04-15 07:50:04.324287+02:00
ELFE61,ELFE,Aéroport Charles de Gaulle 2 (Terminal 2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-15 07:51:25+02:00,2026-04-15 07:53:35+02:00,2026-04-15 07:56:05+02:00,2026-04-15 07:59:25+02:00,2026-04-15 08:01:55+02:00,2026-04-15 08:04:15+02:00,2026-04-15 08:09:55+02:00,,,,,,Drancy,7,2026-04-15 07:50:04.324287+02:00
LORE74,LORE,Orsay-Ville,,,,,,,,,,2026-04-15 08:40:13+02:00,2026-04-15 08:37:52+02:00,2026-04-15 08:34:59+02:00,2026-04-15 08:32:54+02:00,2026-04-15 08:29:42+02:00,,2026-04-15 08:26:23+02:00,2026-04-15 08:24:39+02:00,2026-04-15 08:22:19+02:00,2026-04-15 08:20:24+02:00,,2026-04-15 08:17:29+02:00,2026-04-15 08:14:51+02:00,2026-04-15 08:13:03+02:00,2026-04-15 08:10:55+02:00,2026-04-15 08:08:59+02:00,2026-04-15 08:07:02+02:00,2026-04-15 08:04:14+02:00,2026-04-15 08:02:26+02:00,2026-04-15 08:00:51+02:00,2026-04-15 07:58:29+02:00,2026-04-15 07:56:07+02:00,2026-04-15 07:53:35+02:00,,,,,,,,,,,,,,,,Gare du Nord,21,2026-04-15 07:50:04.324287+02:00
KOCQ36,KOCQ,Massy-Palaiseau,,,,,,,,,,,,,,,2026-04-15 09:57:43+02:00,2026-04-15 09:55:59+02:00,2026-04-15 09:54:35+02:00,2026-04-15 09:52:15+02:00,2026-04-15 09:50:35+02:00,2026-04-15 09:48:56+02:00,2026-04-15 09:46:44+02:00,2026-04-15 09:44:21+02:00,2026-04-15 09:42:43+02:00,2026-04-15 09:40:45+02:00,2026-04-15 09:38:59+02:00,2026-04-15 09:37:02+02:00,2026-04-15 09:34:14+02:00,2026-04-15 09:32:26+02:00,2026-04-15 09:30:51+02:00,2026-04-15 09:28:29+02:00,2026-04-15 09:26:07+02:00,2026-04-15 09:23:00+02:00,2026-04-15 09:17:20+02:00,2026-04-15 09:14:30+02:00,2026-04-15 09:11:00+02:00,2026-04-15 09:08:10+02:00,2026-04-15 09:06:00+02:00,2026-04-15 09:03:50+02:00,2026-04-15 09:00:10+02:00,2026-04-15 08:57:20+02:00,2026-04-15 08:55:20+02:00,2026-04-15 08:50:00+02:00,2026-04-15 08:42:50+02:00,,,,,Aéroport Charles de Gaulle 2 (Terminal 2),29,2026-04-15 07:50:04.324287+02:00
LORE90,LORE,Orsay-Ville,,,,,,,,,,2026-04-15 09:04:13+02:00,2026-04-15 09:01:52+02:00,2026-04-15 08:58:59+02:00,2026-04-15 08:56:54+02:00,2026-04-15 08:53:42+02:00,,2026-04-15 08:50:23+02:00,2026-04-15 08:48:39+02:00,2026-04-15 08:46:19+02:00,2026-04-15 08:44:24+02:00,,2026-04-15 08:41:29+02:00,2026-04-15 08:38:51+02:00,2026-04-15 08:37:03+02:00,2026-04-15 08:34:55+02:00,2026-04-15 08:32:59+02:00,2026-04-15 08:31:02+02:00,2026-04-15 08:28:14+02:00,2026-04-15 08:26:26+02:00,2026-04-15 08:24:51+02:00,2026-04-15 08:22:29+02:00,2026-04-15 08:20:37+02:00,2026-04-15 08:17:30+02:00,2026-04-15 08:11:50+02:00,2026-04-15 08:09:00+02:00,2026-04-15 08:05:30+02:00,2026-04-15 08:02:40+02:00,2026-04-15 08:00:30+02:00,2026-04-15 07:58:20+02:00,2026-04-15 07:54:40+02:00,2026-04-15 07:51:50+02:00,,,,,,,,Villepinte,29,2026-04-15 07:50:04.324287+02:00
ELOI25,ELOI,Aéroport Charles de Gaulle 2 (Terminal 2),2026-04-15 08:40:33+02:00,2026-04-15 08:42:54+02:00,2026-04-15 08:44:38+02:00,,,,,,,,,,,,,,,,,,2026-04-15 08:46:36+02:00,2026-04-15 08:49:31+02:00,2026-04-15 08:51:11+02:00,2026-04-15 08:53:19+02:00,2026-04-15 08:55:06+02:00,2026-04-15 08:56:42+02:00,2026-04-15 08:59:22+02:00,2026-04-15 09:01:39+02:00,2026-04-15 09:03:13+02:00,2026-04-15 09:05:19+02:00,2026-04-15 09:07:39+02:00,2026-04-15 09:12:00+02:00,2026-04-15 09:17:10+02:00,2026-04-15 09:19:40+02:00,2026-04-15 09:22:50+02:00,2026-04-15 09:25:30+02:00,2026-04-15 09:27:40+02:00,2026-04-15 09:30:10+02:00,2026-04-15 09:33:30+02:00,2026-04-15 09:36:00+02:00,2026-04-15 09:38:20+02:00,2026-04-15 09:44:00+02:00,,,,,,Robinson,25,2026-04-15 07:50:04.324287+02:00
STRI04,STRI,Robinson,,2026-04-15 09:03:21+02:00,2026-04-15 09:01:36+02:00,,,,,,,,,,,,,,,,,,2026-04-15 08:59:24+02:00,2026-04-15 08:56:51+02:00,2026-04-15 08:55:03+02:00,2026-04-15 08:52:55+02:00,2026-04-15 08:50:59+02:00,2026-04-15 08:49:02+02:00,2026-04-15 08:46:14+02:00,2026-04-15 08:44:26+02:00,2026-04-15 08:42:51+02:00,2026-04-15 08:40:29+02:00,2026-04-15 08:38:07+02:00,2026-04-15 08:35:00+02:00,2026-04-15 08:29:20+02:00,2026-04-15 08:26:30+02:00,2026-04-15 08:23:00+02:00,2026-04-15 08:20:10+02:00,2026-04-15 08:18:00+02:00,2026-04-15 08:15:50+02:00,2026-04-15 08:12:10+02:00,2026-04-15 08:09:20+02:00,2026-04-15 08:07:20+02:00,2026-04-15 08:02:00+02:00,2026-04-15 07:54:50+02:00,,,,,Aéroport Charles de Gaulle 2 (Terminal 2),25,2026-04-15 07:50:04.324287+02:00
ELFE85,ELFE,Aéroport Charles de Gaulle 2 (Terminal 2),,,,,,,,,,,,,,,,,,,,,,2026-04-15 07:49:00+02:00,2026-04-15 07:50:40+02:00,2026-04-15 07:52:48+02:00,2026-04-15 07:54:35+02:00,2026-04-15 07:56:11+02:00,2026-04-15 07:58:51+02:00,2026-04-15 08:01:08+02:00,2026-04-15 08:02:42+02:00,2026-04-15 08:04:48+02:00,2026-04-15 08:07:08+02:00,2026-04-15 08:12:00+02:00,2026-04-15 08:17:10+02:00,2026-04-15 08:19:40+02:00,2026-04-15 08:22:50+02:00,2026-04-15 08:25:30+02:00,2026-04-15 08:27:40+02:00,2026-04-15 08:30:10+02:00,2026-04-15 08:33:30+02:00,2026-04-15 08:36:00+02:00,2026-04-15 08:38:20+02:00,2026-04-15 08:44:00+02:00,,,,,,Bagneux,21,2026-04-15 07:50:04.324287+02:00
ELOI17,ELOI,Aéroport Charles de Gaulle 2 (Terminal 2),2026-04-15 08:28:33+02:00,2026-04-15 08:30:54+02:00,2026-04-15 08:32:38+02:00,,,,,,,,,,,,,,,,,,2026-04-15 08:34:36+02:00,2026-04-15 08:37:31+02:00,2026-04-15 08:39:11+02:00,2026-04-15 08:41:19+02:00,2026-04-15 08:43:06+02:00,2026-04-15 08:44:42+02:00,2026-04-15 08:47:22+02:00,2026-04-15 08:49:39+02:00,2026-04-15 08:51:13+02:00,2026-04-15 08:53:19+02:00,2026-04-15 08:55:39+02:00,2026-04-15 09:00:00+02:00,2026-04-15 09:05:10+02:00,2026-04-15 09:07:40+02:00,2026-04-15 09:10:50+02:00,2026-04-15 09:13:30+02:00,2026-04-15 09:15:40+02:00,2026-04-15 09:18:10+02:00,2026-04-15 09:21:30+02:00,2026-04-15 09:24:00+02:00,2026-04-15 09:26:20+02:00,2026-04-15 09:32:00+02:00,,,,,,Robinson,25,2026-04-15 07:50:04.324287+02:00
