mission,direction,heure_re_sceaux,delta_sceaux,heure_re_antony,delta_antony,heure_re_bourg_la_reine,delta_bourg_la_reine,heure_re_chatelet,delta_chatelet,heure_re_aulnay,delta_aulnay,heure_re_cdg1,delta_cdg1,heure_re_vert_galant,delta_vert_galant
GUAD71,Nord,,,,,,,7.0,,,,,,,
EMIR81,Nord,,,,,,,8.0,16.0,8.0,7.0,8.0,8.0,,
IVAN83,Nord,,,,,,,8.0,3.0,8.0,3.0,,,8.0,13.0
ELFE85,Nord,,,,,,,8.0,3.0,8.0,3.0,8.0,5.0,,
GUAD87,Nord,,,,,,,8.0,3.0,,,,,,
EMIR89,Nord,,,,,,,8.0,3.0,8.0,6.0,8.0,6.0,,
IVAN91,Nord,,,,,,,8.0,3.0,8.0,4.0,,,8.0,13.0
ELFE93,Nord,,,,,7.0,,8.0,5.0,8.0,5.0,9.0,9.0,,
GUAD95,Nord,,,,,8.0,2.0,8.0,3.0,,,,,,
EMIR97,Nord,,,8.0,,8.0,5.0,8.0,4.0,8.0,6.0,9.0,7.0,,
IVAN99,Nord,,,8.0,3.0,8.0,4.0,8.0,3.0,8.0,3.0,,,9.0,14.0
ELOI01,Nord,8.0,,,,8.0,1.0,8.0,3.0,8.0,2.0,9.0,3.0,,
GUIZ03,Nord,,,8.0,4.0,8.0,3.0,8.0,2.0,,,,,,
EMMY05,Nord,,,8.0,3.0,8.0,2.0,8.0,4.0,9.0,6.0,9.0,6.0,,
IVIS07,Nord,,,8.0,4.0,8.0,4.0,8.0,2.0,9.0,3.0,,,9.0,11.0
ELOI09,Nord,8.0,12.0,,,8.0,3.0,8.0,3.0,9.0,2.0,9.0,5.0,,
GUIZ11,Nord,,,8.0,5.0,8.0,3.0,8.0,2.0,,,,,,
EMMY13,Nord,,,8.0,4.0,8.0,3.0,8.0,3.0,9.0,6.0,9.0,6.0,,
IVIS15,Nord,,,8.0,3.0,8.0,3.0,8.0,3.0,9.0,3.0,,,9.0,11.0
ELOI17,Nord,8.0,12.0,,,8.0,4.0,8.0,4.0,9.0,3.0,9.0,5.0,,
GUIZ19,Nord,,,8.0,5.0,8.0,3.0,8.0,2.0,,,,,,
EMMY21,Nord,,,8.0,4.0,8.0,3.0,9.0,3.0,9.0,4.0,9.0,4.0,,
IVIS23,Nord,,,8.0,4.0,8.0,4.0,9.0,4.0,9.0,4.0,,,9.0,12.0
ELOI25,Nord,8.0,13.0,,,8.0,2.0,9.0,3.0,9.0,2.0,9.0,7.0,,
GUIZ27,Nord,,,8.0,4.0,8.0,3.0,9.0,3.0,11.0,2.0,,,11.0,11.0
EMMY29,Nord,,,8.0,4.0,8.0,3.0,9.0,3.0,9.0,2.0,10.0,15.0,,
IVIS31,Nord,,,8.0,4.0,8.0,4.0,9.0,4.0,9.0,3.0,,,9.0,6.0
ELOI33,Nord,8.0,11.0,,,8.0,2.0,9.0,4.0,9.0,2.0,10.0,5.0,,
IRUS35,Nord,,,8.0,4.0,9.0,3.0,9.0,0.0,9.0,11.0,,,9.0,10.0
EMMY37,Nord,,,9.0,5.0,9.0,4.0,9.0,4.0,9.0,4.0,10.0,7.0,,
ELOI39,Nord,9.0,12.0,,,9.0,5.0,9.0,5.0,10.0,4.0,10.0,3.0,,
IDOR41,Nord,,,9.0,11.0,9.0,7.0,9.0,7.0,10.0,2.0,,,10.0,11.0
EPAF43,Nord,,,9.0,8.0,9.0,7.0,9.0,4.0,10.0,4.0,10.0,4.0,,
ILOT45,Nord,9.0,16.0,,,9.0,2.0,9.0,6.0,10.0,7.0,,,10.0,11.0
ERIC47,Nord,,,9.0,7.0,9.0,6.0,9.0,5.0,10.0,0.0,10.0,5.0,,
EPAF49,Nord,,,9.0,9.0,9.0,8.0,9.0,4.0,10.0,6.0,10.0,7.0,,
ILOT51,Nord,9.0,16.0,,,9.0,1.0,10.0,6.0,10.0,6.0,,,10.0,12.0
ERIC53,Nord,,,9.0,6.0,9.0,5.0,10.0,5.0,10.0,1.0,10.0,7.0,,
EPAF55,Nord,,,9.0,8.0,9.0,8.0,10.0,4.0,10.0,8.0,10.0,9.0,,
ILOT57,Nord,9.0,14.0,,,9.0,1.0,10.0,5.0,10.0,4.0,,,10.0,14.0
ERIC59,Nord,,,9.0,7.0,10.0,6.0,10.0,6.0,10.0,3.0,10.0,6.0,,
EPAF61,Nord,,,10.0,10.0,10.0,0.0,10.0,5.0,10.0,8.0,11.0,9.0,,
ILOT63,Nord,10.0,15.0,,,10.0,9.0,10.0,4.0,10.0,5.0,,,11.0,15.0
ERIC65,Nord,,,10.0,5.0,10.0,6.0,10.0,7.0,10.0,5.0,11.0,8.0,,
EPAF67,Nord,,,10.0,8.0,10.0,7.0,10.0,2.0,11.0,6.0,11.0,7.0,,
ILOT69,Nord,10.0,15.0,,,10.0,2.0,10.0,7.0,11.0,7.0,,,11.0,18.0
ERIC71,Nord,,,10.0,7.0,10.0,7.0,10.0,6.0,11.0,1.0,11.0,8.0,,
EPAF73,Nord,,,10.0,11.0,10.0,1.0,10.0,5.0,11.0,8.0,11.0,8.0,,
ILOT75,Nord,10.0,15.0,,,10.0,8.0,11.0,5.0,11.0,4.0,,,11.0,4.0
ERIC77,Nord,,,10.0,4.0,10.0,5.0,11.0,6.0,11.0,3.0,11.0,7.0,,
EPAF79,Nord,,,10.0,9.0,10.0,8.0,11.0,3.0,11.0,6.0,11.0,7.0,,
ILOT81,Nord,10.0,15.0,,,10.0,2.0,11.0,5.0,11.0,4.0,,,11.0,13.0
ERIC83,Nord,,,10.0,6.0,11.0,6.0,11.0,6.0,11.0,2.0,11.0,5.0,,
EPAF85,Nord,,,11.0,7.0,11.0,6.0,11.0,6.0,11.0,9.0,12.0,10.0,,
ILOT87,Nord,11.0,15.0,,,11.0,1.0,11.0,3.0,11.0,4.0,,,12.0,15.0
ERIC89,Nord,,,11.0,6.0,11.0,6.0,11.0,6.0,11.0,3.0,12.0,5.0,,
EPAF91,Nord,,,11.0,9.0,11.0,8.0,11.0,4.0,12.0,7.0,12.0,8.0,,
ILOT93,Nord,11.0,15.0,,,11.0,1.0,11.0,5.0,12.0,6.0,,,12.0,16.0
ERIC95,Nord,,,11.0,6.0,11.0,6.0,11.0,8.0,12.0,6.0,12.0,11.0,,
EPAF97,Nord,,,11.0,9.0,11.0,8.0,11.0,2.0,12.0,5.0,12.0,7.0,,
ILOT99,Nord,11.0,16.0,,,11.0,1.0,12.0,6.0,12.0,4.0,,,12.0,15.0
ERIO01,Nord,,,11.0,6.0,11.0,5.0,12.0,5.0,12.0,2.0,12.0,7.0,,
EPAU03,Nord,,,11.0,10.0,11.0,9.0,12.0,5.0,12.0,8.0,12.0,7.0,,
ILUS05,Nord,11.0,15.0,,,11.0,1.0,12.0,5.0,12.0,5.0,,,12.0,15.0
ERIO07,Nord,,,11.0,5.0,12.0,5.0,12.0,5.0,12.0,4.0,12.0,7.0,,
EPAU09,Nord,,,12.0,9.0,12.0,8.0,12.0,4.0,12.0,5.0,13.0,7.0,,
ILUS11,Nord,12.0,14.0,,,12.0,1.0,12.0,5.0,12.0,6.0,,,13.0,15.0
ERIO13,Nord,,,12.0,6.0,12.0,6.0,12.0,8.0,12.0,5.0,13.0,10.0,,
EPAU15,Nord,,,12.0,9.0,12.0,8.0,12.0,2.0,13.0,5.0,13.0,6.0,,
ILUS17,Nord,12.0,15.0,,,12.0,2.0,12.0,5.0,13.0,8.0,,,13.0,18.0
ERIO19,Nord,,,12.0,6.0,12.0,6.0,12.0,6.0,13.0,1.0,13.0,8.0,,
EPAU21,Nord,,,12.0,8.0,12.0,7.0,12.0,3.0,13.0,6.0,13.0,6.0,,
ILUS23,Nord,12.0,15.0,,,12.0,2.0,13.0,6.0,13.0,6.0,,,13.0,12.0
ERIO25,Nord,,,12.0,7.0,12.0,6.0,13.0,6.0,13.0,4.0,13.0,7.0,,
EPAU27,Nord,,,12.0,9.0,12.0,8.0,13.0,4.0,13.0,7.0,13.0,9.0,,
ILUS29,Nord,12.0,15.0,,,12.0,1.0,13.0,5.0,13.0,5.0,,,13.0,15.0
ERIO31,Nord,,,12.0,6.0,13.0,6.0,13.0,6.0,13.0,5.0,13.0,8.0,,
EPAU33,Nord,,,13.0,9.0,13.0,8.0,13.0,5.0,13.0,6.0,14.0,8.0,,
ILUS35,Nord,13.0,16.0,,,13.0,1.0,13.0,5.0,13.0,7.0,,,14.0,18.0
ERIO37,Nord,,,13.0,6.0,13.0,5.0,13.0,5.0,13.0,1.0,14.0,6.0,,
EPAU39,Nord,,,13.0,10.0,13.0,0.0,13.0,5.0,14.0,7.0,14.0,9.0,,
ILUS41,Nord,13.0,14.0,,,13.0,9.0,13.0,4.0,14.0,4.0,,,14.0,13.0
ERIO43,Nord,,,13.0,5.0,13.0,6.0,13.0,6.0,14.0,2.0,14.0,5.0,,
EPAU45,Nord,,,13.0,9.0,13.0,8.0,13.0,4.0,14.0,7.0,16.0,6.0,,
ILUS47,Nord,13.0,16.0,,,13.0,2.0,14.0,6.0,14.0,8.0,,,14.0,17.0
ERIO49,Nord,,,13.0,6.0,13.0,5.0,14.0,5.0,14.0,2.0,16.0,8.0,,
EPAU51,Nord,,,13.0,9.0,13.0,8.0,14.0,4.0,14.0,6.0,15.0,37.0,,
ILUS53,Nord,13.0,14.0,,,13.0,1.0,14.0,5.0,15.0,0.0,,,15.0,1.0
ERIO55,Nord,,,13.0,6.0,14.0,6.0,14.0,6.0,14.0,13.0,17.0,4.0,,
EPAU57,Nord,,,14.0,9.0,14.0,8.0,14.0,4.0,14.0,2.0,16.0,5.0,,
ILUS59,Nord,14.0,15.0,,,14.0,1.0,14.0,5.0,14.0,5.0,,,15.0,28.0
ERIO61,Nord,,,14.0,6.0,14.0,6.0,14.0,7.0,15.0,0.0,16.0,8.0,,
EPAU63,Nord,,,14.0,9.0,14.0,8.0,14.0,3.0,15.0,4.0,17.0,8.0,,
ILUS65,Nord,14.0,15.0,,,14.0,1.0,14.0,5.0,15.0,15.0,,,15.0,15.0
ERIO67,Nord,,,14.0,9.0,14.0,9.0,14.0,9.0,15.0,1.0,15.0,25.0,,
EPAU69,Nord,,,14.0,6.0,14.0,5.0,14.0,1.0,15.0,4.0,17.0,15.0,,
ILUS71,Nord,14.0,15.0,,,14.0,1.0,15.0,5.0,15.0,6.0,,,15.0,15.0
ERIO73,Nord,,,14.0,6.0,14.0,6.0,15.0,6.0,15.0,4.0,17.0,8.0,,
EPAU75,Nord,,,14.0,10.0,14.0,9.0,15.0,5.0,16.0,6.0,16.0,6.0,,
