mission,direction,heure_re_sceaux,delta_sceaux,heure_re_antony,delta_antony,heure_re_bourg_la_reine,delta_bourg_la_reine,heure_re_chatelet,delta_chatelet,heure_re_aulnay,delta_aulnay,heure_re_cdg1,delta_cdg1,heure_re_vert_galant,delta_vert_galant
ILUS77,Nord,14.0,15.0,,,14.0,0.0,15.0,6.0,16.0,3.0,,,16.0,6.0
ERIO79,Nord,,,14.0,5.0,15.0,6.0,15.0,5.0,17.0,0.0,18.0,5.0,,
EPAU81,Nord,,,15.0,10.0,15.0,9.0,15.0,3.0,16.0,11.0,17.0,0.0,,
ILUS83,Nord,15.0,15.0,,,15.0,0.0,15.0,5.0,16.0,0.0,,,17.0,11.0
ERIO85,Nord,,,15.0,5.0,15.0,6.0,15.0,5.0,15.0,29.0,16.0,42.0,,
EPAU87,Nord,,,15.0,11.0,15.0,0.0,15.0,7.0,16.0,5.0,16.0,8.0,,
ILUS89,Nord,15.0,15.0,,,15.0,9.0,15.0,4.0,16.0,0.0,,,16.0,56.0
ERIO91,Nord,,,15.0,4.0,15.0,5.0,15.0,4.0,16.0,0.0,16.0,4.0,,
EPAU93,Nord,,,15.0,9.0,15.0,8.0,15.0,4.0,16.0,6.0,18.0,13.0,,
ILUS95,Nord,15.0,15.0,,,15.0,1.0,16.0,5.0,16.0,1.0,,,16.0,7.0
ERIO97,Nord,,,15.0,6.0,15.0,6.0,16.0,6.0,16.0,3.0,18.0,6.0,,
EPAU99,Nord,,,15.0,9.0,15.0,8.0,16.0,4.0,16.0,6.0,18.0,4.0,,
ILAN01,Nord,15.0,15.0,,,15.0,1.0,16.0,5.0,16.0,7.0,,,16.0,7.0
ERSE03,Nord,,,15.0,6.0,16.0,6.0,16.0,6.0,16.0,4.0,18.0,0.0,,
EPIN05,Nord,,,16.0,10.0,16.0,9.0,16.0,4.0,17.0,5.0,17.0,2.0,,
ILAN07,Nord,16.0,15.0,,,16.0,1.0,16.0,5.0,16.0,5.0,,,17.0,16.0
EDME09,Nord,,,,,,,16.0,2.0,16.0,3.0,18.0,1.0,,
ECCI11,Nord,,,16.0,5.0,16.0,6.0,16.0,3.0,17.0,0.0,17.0,1.0,,
ICOR13,Nord,,,16.0,9.0,16.0,8.0,16.0,5.0,17.0,4.0,,,17.0,11.0
EGRE15,Nord,,,,,,,16.0,3.0,17.0,4.0,17.0,5.0,,
ILAN17,Nord,16.0,14.0,,,16.0,0.0,16.0,5.0,17.0,3.0,,,17.0,6.0
EGRE19,Nord,,,,,,,16.0,3.0,17.0,7.0,17.0,1.0,,
INKE21,Nord,,,16.0,6.0,16.0,6.0,16.0,2.0,17.0,0.0,,,17.0,7.0
EPIN23,Nord,,,16.0,10.0,16.0,0.0,16.0,4.0,17.0,3.0,17.0,3.0,,
IALE25,Nord,,,,,,,17.0,4.0,17.0,4.0,,,17.0,8.0
ELOI27,Nord,16.0,15.0,,,16.0,9.0,17.0,2.0,17.0,3.0,17.0,7.0,,
IALE29,Nord,,,,,,,17.0,4.0,17.0,0.0,,,17.0,0.0
ICOR33,Nord,,,16.0,8.0,16.0,7.0,17.0,1.0,17.0,3.0,,,17.0,5.0
ECCI31,Nord,,,16.0,5.0,16.0,6.0,17.0,1.0,17.0,4.0,17.0,7.0,,
EGRE35,Nord,,,,,,,17.0,3.0,17.0,1.0,17.0,4.0,,
ILAN37,Nord,16.0,15.0,,,16.0,2.0,17.0,3.0,17.0,3.0,,,17.0,1.0
ECCI39,Nord,,,16.0,4.0,16.0,3.0,17.0,1.0,17.0,2.0,17.0,0.0,,
EGRE43,Nord,,,,,,,17.0,6.0,17.0,3.0,18.0,1.0,,
ICOR41,Nord,,,17.0,9.0,17.0,8.0,17.0,0.0,17.0,4.0,,,18.0,11.0
IALE49,Nord,,,,,,,17.0,9.0,17.0,6.0,,,18.0,1.0
ILAN45,Nord,17.0,12.0,,,17.0,1.0,17.0,0.0,18.0,10.0,,,18.0,11.0
ECCI47,Nord,,,17.0,3.0,17.0,3.0,17.0,5.0,18.0,3.0,18.0,3.0,,
ELOI51,Nord,17.0,9.0,,,17.0,5.0,17.0,4.0,18.0,10.0,18.0,6.0,,
IDOR53,Nord,,,17.0,9.0,17.0,4.0,17.0,5.0,18.0,0.0,,,18.0,16.0
EMMA55,Nord,,,17.0,4.0,17.0,3.0,17.0,4.0,18.0,2.0,18.0,2.0,,
IJUR57,Nord,,,17.0,3.0,17.0,3.0,17.0,2.0,18.0,2.0,,,18.0,2.0
ELOI59,Nord,17.0,12.0,,,17.0,2.0,17.0,5.0,18.0,2.0,18.0,3.0,,
IRON61,Nord,,,17.0,5.0,17.0,3.0,18.0,3.0,18.0,1.0,,,18.0,1.0
EMMA63,Nord,,,17.0,4.0,17.0,3.0,18.0,2.0,18.0,0.0,20.0,2.0,,
IRON69,Nord,,,17.0,4.0,17.0,4.0,18.0,1.0,18.0,2.0,,,18.0,2.0
IJUR65,Nord,,,17.0,4.0,17.0,4.0,18.0,3.0,18.0,5.0,,,18.0,5.0
ELOI67,Nord,17.0,12.0,,,17.0,1.0,18.0,2.0,18.0,1.0,18.0,11.0,,
EMMA71,Nord,,,17.0,5.0,17.0,3.0,18.0,4.0,20.0,4.0,20.0,0.0,,
IJUR73,Nord,,,17.0,3.0,17.0,3.0,18.0,2.0,20.0,3.0,,,20.0,3.0
ELOI75,Nord,17.0,12.0,,,17.0,2.0,18.0,4.0,18.0,1.0,20.0,4.0,,
IRON77,Nord,,,17.0,5.0,17.0,4.0,18.0,2.0,18.0,11.0,,,18.0,13.0
EMMA79,Nord,,,17.0,4.0,17.0,3.0,18.0,3.0,20.0,4.0,20.0,7.0,,
IJUR81,Nord,,,17.0,4.0,18.0,4.0,18.0,3.0,20.0,2.0,,,20.0,2.0
ELOI83,Nord,18.0,12.0,,,18.0,1.0,18.0,2.0,18.0,8.0,19.0,19.0,,
IRON85,Nord,,,18.0,5.0,18.0,5.0,18.0,4.0,18.0,3.0,,,19.0,12.0
EMMA87,Nord,,,18.0,2.0,18.0,2.0,18.0,1.0,19.0,1.0,19.0,1.0,,
IJUR89,Nord,,,18.0,4.0,18.0,3.0,18.0,5.0,19.0,8.0,,,19.0,16.0
ELOI91,Nord,18.0,12.0,,,18.0,2.0,18.0,3.0,19.0,7.0,19.0,11.0,,
IRON93,Nord,,,18.0,5.0,18.0,4.0,18.0,3.0,19.0,0.0,,,19.0,4.0
EMMA95,Nord,,,18.0,4.0,18.0,3.0,18.0,3.0,19.0,4.0,19.0,13.0,,
ELOI99,Nord,18.0,12.0,,,18.0,5.0,18.0,3.0,19.0,4.0,19.0,4.0,,
IRMA01,Nord,,,18.0,1.0,18.0,3.0,18.0,1.0,19.0,1.0,,,19.0,1.0
IJUR97,Nord,,,18.0,5.0,18.0,1.0,18.0,3.0,19.0,3.0,,,19.0,8.0
EMUE03,Nord,,,18.0,4.0,18.0,3.0,18.0,4.0,19.0,2.0,19.0,5.0,,
IJEL05,Nord,,,18.0,3.0,18.0,3.0,19.0,6.0,19.0,3.0,,,19.0,5.0
ELEC07,Nord,18.0,13.0,,,18.0,3.0,19.0,4.0,19.0,3.0,19.0,6.0,,
IRMA09,Nord,,,18.0,5.0,18.0,2.0,19.0,5.0,19.0,4.0,,,19.0,7.0
IRMA17,Nord,,,18.0,1.0,18.0,2.0,19.0,2.0,19.0,0.0,,,19.0,0.0
ELEC15,Nord,18.0,11.0,,,18.0,9.0,19.0,0.0,19.0,0.0,19.0,1.0,,
EMUE11,Nord,,,18.0,11.0,18.0,2.0,19.0,2.0,19.0,3.0,20.0,4.0,,
EMUE19,Nord,,,18.0,3.0,18.0,1.0,19.0,1.0,19.0,3.0,19.0,7.0,,
IJEL13,Nord,,,18.0,1.0,18.0,2.0,19.0,2.0,19.0,3.0,,,19.0,9.0
IJEL21,Nord,,,18.0,4.0,19.0,4.0,19.0,3.0,19.0,3.0,,,19.0,3.0
ELEC23,Nord,19.0,14.0,,,19.0,4.0,19.0,3.0,19.0,2.0,20.0,7.0,,
IRMA25,Nord,,,19.0,4.0,19.0,1.0,19.0,2.0,19.0,2.0,,,20.0,7.0
EMUE27,Nord,,,19.0,4.0,19.0,3.0,19.0,3.0,19.0,3.0,20.0,5.0,,
IJEL29,Nord,,,19.0,4.0,19.0,4.0,19.0,3.0,20.0,2.0,,,20.0,5.0
ELEC31,Nord,19.0,11.0,,,19.0,2.0,19.0,3.0,20.0,3.0,20.0,5.0,,
IRMA33,Nord,,,19.0,4.0,19.0,3.0,19.0,2.0,20.0,4.0,,,20.0,8.0
EMUE35,Nord,,,19.0,5.0,19.0,4.0,19.0,4.0,20.0,3.0,20.0,7.0,,
IJEL37,Nord,,,19.0,4.0,19.0,4.0,19.0,5.0,20.0,2.0,,,20.0,0.0
ELEC39,Nord,19.0,11.0,,,19.0,1.0,19.0,3.0,20.0,8.0,20.0,8.0,,
IRMA41,Nord,,,19.0,4.0,19.0,4.0,19.0,3.0,20.0,0.0,,,20.0,11.0
EMUE43,Nord,,,19.0,4.0,19.0,3.0,19.0,3.0,20.0,2.0,20.0,2.0,,
IJEL45,Nord,,,19.0,3.0,19.0,3.0,19.0,2.0,20.0,1.0,,,20.0,6.0
ELEC47,Nord,19.0,13.0,,,19.0,3.0,20.0,2.0,20.0,0.0,20.0,4.0,,
IRMA49,Nord,,,19.0,4.0,19.0,3.0,20.0,3.0,20.0,1.0,,,20.0,1.0
EMUE51,Nord,,,19.0,4.0,19.0,3.0,20.0,3.0,20.0,1.0,20.0,2.0,,
IJEL53,Nord,,,19.0,5.0,19.0,5.0,20.0,5.0,20.0,3.0,,,20.0,4.0
IRMA57,Nord,,,19.0,3.0,19.0,4.0,20.0,4.0,20.0,1.0,,,20.0,4.0
ELEC55,Nord,19.0,11.0,,,19.0,0.0,20.0,4.0,20.0,3.0,20.0,5.0,,
EMUE59,Nord,,,19.0,5.0,20.0,4.0,20.0,1.0,20.0,2.0,22.0,2.0,,
IJEL61,Nord,,,19.0,2.0,20.0,5.0,20.0,3.0,20.0,2.0,,,20.0,7.0
INKE65,Nord,,,20.0,7.0,20.0,6.0,20.0,6.0,20.0,8.0,,,21.0,8.0
ELEC63,Nord,20.0,20.0,,,20.0,2.0,20.0,3.0,21.0,1.0,21.0,1.0,,
EFOR67,Nord,,,20.0,6.0,20.0,4.0,20.0,3.0,21.0,5.0,21.0,17.0,,
ELEC69,Nord,20.0,9.0,,,20.0,4.0,20.0,5.0,21.0,2.0,21.0,3.0,,
IDOR71,Nord,,,20.0,10.0,20.0,6.0,20.0,5.0,21.0,5.0,,,21.0,14.0
OZIP73,Nord,20.0,11.0,,,20.0,6.0,20.0,5.0,21.0,2.0,,,,
ENNE75,Nord,,,20.0,14.0,20.0,8.0,20.0,4.0,21.0,7.0,21.0,13.0,,
ILOU77,Nord,20.0,10.0,,,20.0,2.0,21.0,6.0,21.0,6.0,,,21.0,15.0
OROC79,Nord,,,20.0,7.0,20.0,5.0,21.0,5.0,21.0,3.0,,,,
EPOI81,Nord,,,20.0,11.0,20.0,1.0,21.0,6.0,21.0,8.0,21.0,17.0,,
ILOU83,Nord,20.0,14.0,,,20.0,9.0,21.0,3.0,21.0,4.0,,,21.0,16.0
OROC85,Nord,,,20.0,4.0,21.0,5.0,21.0,7.0,21.0,3.0,,,,
EPOI87,Nord,,,21.0,11.0,21.0,1.0,21.0,5.0,21.0,9.0,23.0,24.0,,
ILOU89,Nord,21.0,15.0,,,21.0,9.0,21.0,5.0,21.0,5.0,,,22.0,16.0
OROC91,Nord,,,21.0,9.0,21.0,12.0,21.0,11.0,22.0,10.0,,,,
ILOU95,Nord,21.0,15.0,,,21.0,2.0,21.0,4.0,22.0,8.0,,,22.0,18.0
EPOI93,Nord,,,21.0,2.0,21.0,0.0,21.0,7.0,22.0,3.0,22.0,3.0,,
EROC97,Nord,,,21.0,15.0,21.0,12.0,21.0,4.0,22.0,1.0,22.0,1.0,,
EPOI99,Nord,,,21.0,6.0,21.0,2.0,22.0,2.0,22.0,5.0,22.0,5.0,,
ILTA01,Nord,21.0,16.0,,,21.0,4.0,22.0,5.0,22.0,5.0,,,22.0,14.0
ERTE03,Nord,,,21.0,7.0,21.0,8.0,22.0,7.0,22.0,4.0,22.0,6.0,,
EPLA05,Nord,,,21.0,4.0,21.0,3.0,22.0,2.0,22.0,5.0,22.0,7.0,,
ILTA07,Nord,21.0,14.0,,,21.0,1.0,22.0,4.0,22.0,5.0,,,22.0,14.0
ERTE09,Nord,,,21.0,6.0,22.0,6.0,22.0,4.0,22.0,0.0,22.0,6.0,,
EPLA11,Nord,,,22.0,11.0,22.0,1.0,22.0,6.0,22.0,6.0,23.0,7.0,,
ILTA13,Nord,22.0,15.0,,,22.0,9.0,22.0,3.0,22.0,4.0,,,23.0,12.0
ERTE15,Nord,,,22.0,4.0,22.0,5.0,22.0,6.0,23.0,8.0,23.0,10.0,,
ETOU17,Nord,,,22.0,9.0,22.0,9.0,22.0,5.0,23.0,5.0,23.0,7.0,,
ILTA19,Nord,22.0,15.0,,,22.0,0.0,22.0,6.0,23.0,4.0,,,23.0,17.0
JANO24,Nord,,,,,,,23.0,15.0,22.0,2.0,22.0,37.0,,
MTOU33,Nord,,,23.0,13.0,23.0,13.0,,,,,,,,
MENE37,Nord,,,23.0,17.0,23.0,14.0,,,,,,,,
MTOU41,Nord,,,23.0,14.0,23.0,13.0,,,,,,,,
MENE45,Nord,,,0.0,22.0,0.0,19.0,,,,,,,,
ELFE77,Nord,,,,,,,,,8.0,3.0,8.0,6.0,,
IVAN75,Nord,,,,,,,,,8.0,3.0,,,8.0,9.0
IVAN67,Nord,,,,,,,,,8.0,3.0,,,8.0,
GUAD79,Nord,,,,,,,,,,,,,,
EMIR57,Nord,,,,,,,,,,,8.0,,,
IVAN59,Nord,,,,,,,,,,,,,,
EMIR65,Nord,,,,,,,,,8.0,,8.0,8.0,,
IGZZ01,Nord,,,,,,,,,9.0,3.0,,,9.0,5.0
EMIR73,Nord,,,,,,,,,8.0,3.0,8.0,3.0,,
ELFE61,Nord,,,,,,,,,,,8.0,6.0,,
MITA23,Nord,22.0,16.0,,,22.0,0.0,,,,,,,,
MITA47,Nord,0.0,30.0,,,0.0,11.0,,,,,,,,
MITA43,Nord,23.0,16.0,,,23.0,3.0,,,,,,,,
MITA39,Nord,23.0,15.0,,,23.0,1.0,,,,,,,,
MITA35,Nord,23.0,15.0,,,23.0,2.0,,,,,,,,
MITA31,Nord,23.0,15.0,,,23.0,15.0,,,,,,,,
ELFE69,Nord,,,,,,,,,8.0,3.0,8.0,6.0,,
MITA27,Nord,22.0,14.0,,,22.0,2.0,,,,,,,,
JLZZ02,Nord,,,10.0,2.0,11.0,2.0,,,,,,,,
MENE21,Nord,,,22.0,16.0,22.0,15.0,,,,,,,,
MTOU25,Nord,,,22.0,13.0,22.0,13.0,,,,,,,,
MENE29,Nord,,,23.0,17.0,23.0,0.0,,,,,,,,
KLEE76,Sud,,,8.0,3.0,8.0,2.0,7.0,,,,,,,
STIN78,Sud,8.0,12.0,,,8.0,4.0,8.0,3.0,,,,,,
PAUL80,Sud,,,8.0,5.0,8.0,3.0,8.0,2.0,,,,,,
LORE82,Sud,,,8.0,4.0,8.0,4.0,8.0,5.0,,,,,,
KLEE84,Sud,,,8.0,4.0,8.0,3.0,8.0,2.0,,,,,,
STIN86,Sud,8.0,12.0,,,8.0,2.0,8.0,3.0,,,,,,
PAUL88,Sud,,,8.0,5.0,8.0,4.0,8.0,4.0,,,,,,
LORE90,Sud,,,8.0,2.0,8.0,2.0,8.0,3.0,,,,,,
KLEE92,Sud,,,8.0,6.0,8.0,5.0,8.0,5.0,8.0,,,,,
STIN94,Sud,8.0,14.0,,,8.0,3.0,8.0,5.0,8.0,4.0,,,,
PAUL96,Sud,,,8.0,6.0,8.0,4.0,8.0,1.0,8.0,2.0,,,8.0,
LORE98,Sud,,,9.0,4.0,8.0,4.0,8.0,4.0,8.0,4.0,,,,
KLAC02,Sud,,,9.0,3.0,8.0,2.0,8.0,2.0,8.0,3.0,,,8.0,6.0
STRI04,Sud,9.0,13.0,,,9.0,3.0,8.0,3.0,8.0,3.0,8.0,,,
PAGE06,Sud,,,9.0,5.0,9.0,3.0,8.0,3.0,8.0,3.0,,,8.0,6.0
LORD08,Sud,,,9.0,3.0,9.0,3.0,8.0,2.0,8.0,3.0,8.0,6.0,,
STRI12,Sud,9.0,12.0,,,9.0,3.0,8.0,4.0,8.0,4.0,8.0,6.0,,
KLAC10,Sud,,,9.0,4.0,9.0,3.0,8.0,0.0,8.0,3.0,,,8.0,6.0
PAGE14,Sud,,,9.0,4.0,9.0,2.0,8.0,5.0,8.0,4.0,,,8.0,7.0
LORD16,Sud,,,9.0,4.0,9.0,4.0,9.0,5.0,8.0,3.0,8.0,7.0,,
KLAC18,Sud,,,9.0,3.0,9.0,3.0,9.0,0.0,8.0,2.0,,,8.0,6.0
STRI20,Sud,9.0,11.0,,,9.0,2.0,9.0,3.0,8.0,3.0,8.0,6.0,,
PPIT22,Sud,,,9.0,0.0,9.0,1.0,9.0,3.0,8.0,3.0,,,8.0,6.0
USER24,Sud,,,9.0,4.0,9.0,3.0,9.0,3.0,8.0,3.0,8.0,6.0,,
