mission,direction,heure_th_sceaux,delta_sceaux,heure_th_antony,delta_antony,heure_th_bourg_la_reine,delta_bourg_la_reine,heure_th_chatelet,delta_chatelet,heure_th_aulnay,delta_aulnay,heure_th_cdg1,delta_cdg1,heure_th_vert_galant,delta_vert_galant
ERIO25,Nord,,,2026-04-16 12:42:09+02:00,7.0,2026-04-16 12:47:47+02:00,6.0,2026-04-16 13:08:00+02:00,6.0,2026-04-16 13:27:10+02:00,3.0,2026-04-16 13:39:30+02:00,8.0,,
EPAU27,Nord,,,2026-04-16 12:50:19+02:00,8.0,2026-04-16 12:54:46+02:00,7.0,2026-04-16 13:11:00+02:00,3.0,2026-04-16 13:33:10+02:00,6.0,2026-04-16 13:46:50+02:00,7.0,,
ILUS29,Nord,2026-04-16 12:54:38+02:00,15.0,,,2026-04-16 12:56:41+02:00,2.0,2026-04-16 13:17:00+02:00,6.0,2026-04-16 13:39:20+02:00,6.0,,,2026-04-16 13:45:30+02:00,15.0
ERIO31,Nord,,,2026-04-16 12:57:09+02:00,7.0,2026-04-16 13:02:47+02:00,6.0,2026-04-16 13:23:00+02:00,6.0,2026-04-16 13:42:10+02:00,3.0,2026-04-16 13:54:30+02:00,8.0,,
EPAU33,Nord,,,2026-04-16 13:05:19+02:00,8.0,2026-04-16 13:09:46+02:00,7.0,2026-04-16 13:26:00+02:00,3.0,2026-04-16 13:48:10+02:00,6.0,2026-04-16 14:01:50+02:00,7.0,,
ILUS35,Nord,2026-04-16 13:09:38+02:00,15.0,,,2026-04-16 13:11:41+02:00,2.0,2026-04-16 13:32:00+02:00,6.0,2026-04-16 13:54:20+02:00,6.0,,,2026-04-16 14:00:30+02:00,15.0
ERIO37,Nord,,,2026-04-16 13:12:09+02:00,7.0,2026-04-16 13:17:47+02:00,6.0,2026-04-16 13:38:00+02:00,6.0,2026-04-16 13:57:10+02:00,3.0,2026-04-16 14:09:30+02:00,8.0,,
EPAU39,Nord,,,2026-04-16 13:20:19+02:00,8.0,2026-04-16 13:24:46+02:00,7.0,2026-04-16 13:41:00+02:00,3.0,2026-04-16 14:03:10+02:00,6.0,2026-04-16 14:16:50+02:00,7.0,,
EPAU45,Nord,,,2026-04-16 13:35:19+02:00,15.0,2026-04-16 13:39:46+02:00,15.0,2026-04-16 13:56:00+02:00,15.0,2026-04-16 14:18:10+02:00,6.0,2026-04-16 14:31:50+02:00,7.0,,
ILUS47,Nord,,,,,,,2026-04-16 14:02:00+02:00,6.0,2026-04-16 14:24:20+02:00,6.0,,,2026-04-16 14:30:30+02:00,15.0
ERIO49,Nord,,,,,,,2026-04-16 14:08:00+02:00,6.0,2026-04-16 14:27:10+02:00,3.0,2026-04-16 14:39:30+02:00,8.0,,
EPAU51,Nord,,,,,2026-04-16 13:54:46+02:00,15.0,2026-04-16 14:11:00+02:00,3.0,2026-04-16 14:33:10+02:00,6.0,2026-04-16 14:46:50+02:00,7.0,,
ILUS53,Nord,2026-04-16 13:54:38+02:00,45.0,,,2026-04-16 13:56:41+02:00,2.0,2026-04-16 14:17:00+02:00,6.0,2026-04-16 14:39:20+02:00,6.0,,,2026-04-16 14:45:30+02:00,15.0
ERIO55,Nord,,,2026-04-16 13:57:09+02:00,22.0,2026-04-16 14:02:47+02:00,6.0,2026-04-16 14:23:00+02:00,6.0,2026-04-16 14:42:10+02:00,3.0,2026-04-16 14:54:30+02:00,8.0,,
EPAU57,Nord,,,2026-04-16 14:05:19+02:00,8.0,2026-04-16 14:09:46+02:00,7.0,2026-04-16 14:26:00+02:00,3.0,2026-04-16 14:48:10+02:00,6.0,2026-04-16 15:01:50+02:00,7.0,,
ILUS59,Nord,2026-04-16 14:09:38+02:00,15.0,,,2026-04-16 14:11:41+02:00,2.0,2026-04-16 14:32:00+02:00,6.0,2026-04-16 14:54:20+02:00,6.0,,,2026-04-16 15:00:30+02:00,15.0
ERIO61,Nord,,,2026-04-16 14:12:09+02:00,7.0,2026-04-16 14:17:47+02:00,6.0,2026-04-16 14:38:00+02:00,6.0,2026-04-16 14:57:10+02:00,3.0,2026-04-16 15:09:30+02:00,8.0,,
EPAU63,Nord,,,2026-04-16 14:20:19+02:00,8.0,2026-04-16 14:24:46+02:00,7.0,2026-04-16 14:41:00+02:00,3.0,2026-04-16 15:03:10+02:00,6.0,2026-04-16 15:16:50+02:00,7.0,,
ILUS65,Nord,2026-04-16 14:24:38+02:00,15.0,,,2026-04-16 14:26:41+02:00,2.0,2026-04-16 14:47:00+02:00,6.0,2026-04-16 15:09:20+02:00,6.0,,,2026-04-16 15:15:30+02:00,15.0
ERIO67,Nord,,,2026-04-16 14:27:09+02:00,7.0,2026-04-16 14:32:47+02:00,6.0,2026-04-16 14:53:00+02:00,6.0,2026-04-16 15:12:10+02:00,3.0,2026-04-16 15:24:30+02:00,8.0,,
EPAU69,Nord,,,2026-04-16 14:35:19+02:00,8.0,2026-04-16 14:39:46+02:00,7.0,2026-04-16 14:56:00+02:00,3.0,2026-04-16 15:18:10+02:00,6.0,2026-04-16 15:31:50+02:00,7.0,,
ILUS71,Nord,2026-04-16 14:39:38+02:00,15.0,,,2026-04-16 14:41:41+02:00,2.0,2026-04-16 15:02:00+02:00,6.0,2026-04-16 15:24:20+02:00,6.0,,,2026-04-16 15:30:30+02:00,15.0
ERIO73,Nord,,,2026-04-16 14:42:09+02:00,7.0,2026-04-16 14:47:47+02:00,6.0,2026-04-16 15:08:00+02:00,6.0,2026-04-16 15:27:10+02:00,3.0,2026-04-16 15:39:30+02:00,8.0,,
EPAU75,Nord,,,2026-04-16 14:50:19+02:00,8.0,2026-04-16 14:54:46+02:00,7.0,2026-04-16 15:11:00+02:00,3.0,2026-04-16 15:33:10+02:00,6.0,2026-04-16 15:46:50+02:00,7.0,,
ILUS77,Nord,2026-04-16 14:54:38+02:00,15.0,,,2026-04-16 14:56:41+02:00,2.0,2026-04-16 15:17:00+02:00,6.0,2026-04-16 15:39:20+02:00,6.0,,,2026-04-16 15:45:30+02:00,15.0
ERIO79,Nord,,,2026-04-16 14:57:09+02:00,7.0,2026-04-16 15:02:47+02:00,6.0,2026-04-16 15:23:00+02:00,6.0,2026-04-16 15:42:10+02:00,3.0,2026-04-16 15:54:30+02:00,8.0,,
EPAU81,Nord,,,2026-04-16 15:05:19+02:00,8.0,2026-04-16 15:09:46+02:00,7.0,2026-04-16 15:26:00+02:00,3.0,2026-04-16 15:48:10+02:00,6.0,2026-04-16 16:01:50+02:00,7.0,,
ILUS83,Nord,2026-04-16 15:09:38+02:00,15.0,,,2026-04-16 15:11:41+02:00,2.0,2026-04-16 15:32:00+02:00,6.0,2026-04-16 15:54:20+02:00,6.0,,,2026-04-16 16:00:30+02:00,15.0
ERIO85,Nord,,,2026-04-16 15:12:09+02:00,7.0,2026-04-16 15:17:47+02:00,6.0,2026-04-16 15:38:00+02:00,6.0,2026-04-16 15:56:10+02:00,2.0,2026-04-16 16:07:30+02:00,6.0,,
EPAU87,Nord,,,2026-04-16 15:20:19+02:00,8.0,2026-04-16 15:24:46+02:00,7.0,2026-04-16 15:41:00+02:00,3.0,2026-04-16 16:03:10+02:00,7.0,2026-04-16 16:19:10+02:00,12.0,,
ILUS89,Nord,2026-04-16 15:24:38+02:00,15.0,,,2026-04-16 15:26:41+02:00,2.0,2026-04-16 15:47:00+02:00,6.0,2026-04-16 16:09:20+02:00,6.0,,,2026-04-16 16:15:30+02:00,15.0
ERIO91,Nord,,,2026-04-16 15:27:09+02:00,7.0,2026-04-16 15:32:47+02:00,6.0,2026-04-16 15:53:00+02:00,6.0,2026-04-16 16:12:30+02:00,3.0,2026-04-16 16:26:00+02:00,7.0,,
EPAU93,Nord,,,2026-04-16 15:35:19+02:00,8.0,2026-04-16 15:39:46+02:00,7.0,2026-04-16 15:56:00+02:00,3.0,2026-04-16 16:18:10+02:00,6.0,2026-04-16 16:32:00+02:00,6.0,,
ILUS95,Nord,2026-04-16 15:39:38+02:00,15.0,,,2026-04-16 15:41:41+02:00,2.0,2026-04-16 16:02:00+02:00,6.0,2026-04-16 16:24:20+02:00,6.0,,,2026-04-16 16:30:30+02:00,15.0
ERIO97,Nord,,,2026-04-16 15:42:09+02:00,7.0,2026-04-16 15:47:47+02:00,6.0,2026-04-16 16:08:00+02:00,6.0,2026-04-16 16:27:10+02:00,3.0,2026-04-16 16:38:00+02:00,6.0,,
EPAU99,Nord,,,2026-04-16 15:50:19+02:00,8.0,2026-04-16 15:54:46+02:00,7.0,2026-04-16 16:11:00+02:00,3.0,2026-04-16 16:33:10+02:00,6.0,2026-04-16 16:50:00+02:00,12.0,,
ILAN01,Nord,2026-04-16 15:54:38+02:00,15.0,,,2026-04-16 15:56:41+02:00,2.0,2026-04-16 16:17:00+02:00,6.0,2026-04-16 16:39:20+02:00,6.0,,,2026-04-16 16:45:30+02:00,15.0
ERSE03,Nord,,,2026-04-16 15:57:09+02:00,7.0,2026-04-16 16:02:47+02:00,6.0,2026-04-16 16:23:00+02:00,6.0,2026-04-16 16:42:10+02:00,3.0,2026-04-16 16:56:00+02:00,6.0,,
EPIN05,Nord,,,2026-04-16 16:05:19+02:00,8.0,2026-04-16 16:09:46+02:00,7.0,2026-04-16 16:26:00+02:00,3.0,2026-04-16 16:48:10+02:00,6.0,2026-04-16 17:02:00+02:00,6.0,,
ILAN07,Nord,2026-04-16 16:09:38+02:00,15.0,,,2026-04-16 16:11:41+02:00,2.0,2026-04-16 16:32:00+02:00,6.0,2026-04-16 16:54:20+02:00,6.0,,,2026-04-16 17:00:30+02:00,15.0
EDME09,Nord,,,,,,,2026-04-16 16:35:00+02:00,3.0,2026-04-16 16:56:50+02:00,3.0,2026-04-16 17:08:00+02:00,6.0,,
ECCI11,Nord,,,2026-04-16 16:11:39+02:00,6.0,2026-04-16 16:17:17+02:00,6.0,2026-04-16 16:38:00+02:00,3.0,2026-04-16 17:00:10+02:00,3.0,2026-04-16 17:14:00+02:00,6.0,,
ICOR13,Nord,,,2026-04-16 16:19:24+02:00,8.0,2026-04-16 16:24:16+02:00,7.0,2026-04-16 16:41:00+02:00,3.0,2026-04-16 17:03:20+02:00,3.0,,,2026-04-16 17:09:30+02:00,9.0
EGRE15,Nord,,,,,,,2026-04-16 16:44:00+02:00,3.0,2026-04-16 17:06:10+02:00,3.0,2026-04-16 17:20:00+02:00,6.0,,
ILAN17,Nord,2026-04-16 16:23:48+02:00,14.0,,,2026-04-16 16:26:06+02:00,2.0,2026-04-16 16:47:00+02:00,3.0,2026-04-16 17:09:20+02:00,3.0,,,2026-04-16 17:15:30+02:00,6.0
EGRE19,Nord,,,,,,,2026-04-16 16:50:00+02:00,3.0,2026-04-16 17:12:10+02:00,3.0,2026-04-16 17:26:00+02:00,6.0,,
INKE21,Nord,,,2026-04-16 16:26:39+02:00,7.0,2026-04-16 16:32:17+02:00,6.0,2026-04-16 16:53:00+02:00,3.0,2026-04-16 17:15:20+02:00,3.0,,,2026-04-16 17:21:30+02:00,6.0
EPIN23,Nord,,,2026-04-16 16:35:19+02:00,9.0,2026-04-16 16:39:46+02:00,7.0,2026-04-16 16:56:00+02:00,3.0,2026-04-16 17:18:10+02:00,3.0,2026-04-16 17:32:00+02:00,6.0,,
IALE25,Nord,,,,,,,2026-04-16 16:59:00+02:00,3.0,2026-04-16 17:21:20+02:00,3.0,,,2026-04-16 17:27:30+02:00,6.0
ELOI27,Nord,2026-04-16 16:38:48+02:00,15.0,,,2026-04-16 16:41:06+02:00,1.0,2026-04-16 17:02:00+02:00,3.0,2026-04-16 17:24:10+02:00,3.0,2026-04-16 17:38:00+02:00,6.0,,
IALE29,Nord,,,,,,,2026-04-16 17:05:00+02:00,3.0,2026-04-16 17:27:20+02:00,0.0,,,2026-04-16 17:33:30+02:00,6.0
IALE29,Nord,,,,,,,2026-04-16 17:05:00+02:00,0.0,2026-04-16 17:27:20+02:00,3.0,,,2026-04-16 17:33:30+02:00,0.0
ECCI31,Nord,,,2026-04-16 16:41:39+02:00,6.0,2026-04-16 16:47:17+02:00,6.0,2026-04-16 17:08:00+02:00,3.0,2026-04-16 17:30:10+02:00,3.0,2026-04-16 17:44:00+02:00,6.0,,
ICOR33,Nord,,,2026-04-16 16:49:24+02:00,8.0,2026-04-16 16:54:16+02:00,7.0,2026-04-16 17:11:00+02:00,3.0,2026-04-16 17:33:20+02:00,3.0,,,2026-04-16 17:39:30+02:00,6.0
EGRE35,Nord,,,,,,,2026-04-16 17:14:00+02:00,3.0,2026-04-16 17:36:10+02:00,0.0,2026-04-16 17:50:00+02:00,6.0,,
EGRE35,Nord,,,,,,,2026-04-16 17:14:00+02:00,0.0,2026-04-16 17:36:10+02:00,3.0,2026-04-16 17:50:00+02:00,0.0,,
ILAN37,Nord,2026-04-16 16:53:48+02:00,15.0,,,2026-04-16 16:56:06+02:00,2.0,2026-04-16 17:17:00+02:00,3.0,2026-04-16 17:39:20+02:00,3.0,,,2026-04-16 17:45:30+02:00,6.0
ECCI39,Nord,,,2026-04-16 16:53:39+02:00,4.0,2026-04-16 16:59:17+02:00,3.0,2026-04-16 17:20:00+02:00,3.0,2026-04-16 17:42:10+02:00,3.0,2026-04-16 17:56:00+02:00,6.0,,
ICOR41,Nord,,,2026-04-16 17:01:24+02:00,8.0,2026-04-16 17:06:16+02:00,7.0,2026-04-16 17:23:00+02:00,3.0,2026-04-16 17:45:20+02:00,3.0,,,2026-04-16 17:51:30+02:00,6.0
EGRE43,Nord,,,,,,,2026-04-16 17:26:00+02:00,3.0,2026-04-16 17:48:10+02:00,3.0,2026-04-16 18:02:00+02:00,6.0,,
ILAN45,Nord,2026-04-16 17:05:48+02:00,12.0,,,2026-04-16 17:08:06+02:00,2.0,2026-04-16 17:29:00+02:00,3.0,2026-04-16 17:51:20+02:00,0.0,,,2026-04-16 17:57:30+02:00,6.0
ILAN45,Nord,2026-04-16 17:05:48+02:00,0.0,,,2026-04-16 17:08:06+02:00,0.0,2026-04-16 17:29:00+02:00,0.0,2026-04-16 17:51:20+02:00,3.0,,,2026-04-16 17:57:30+02:00,0.0
ECCI47,Nord,,,2026-04-16 17:05:39+02:00,0.0,2026-04-16 17:11:17+02:00,0.0,2026-04-16 17:32:00+02:00,3.0,2026-04-16 17:54:10+02:00,0.0,2026-04-16 18:08:00+02:00,6.0,,
ECCI47,Nord,,,2026-04-16 17:05:39+02:00,4.0,2026-04-16 17:11:17+02:00,3.0,2026-04-16 17:32:00+02:00,0.0,2026-04-16 17:54:10+02:00,3.0,2026-04-16 18:08:00+02:00,0.0,,
IALE49,Nord,,,,,,,2026-04-16 17:35:00+02:00,3.0,2026-04-16 17:57:20+02:00,3.0,,,2026-04-16 18:03:30+02:00,6.0
ELOI51,Nord,2026-04-16 17:14:48+02:00,9.0,,,2026-04-16 17:17:06+02:00,6.0,2026-04-16 17:38:00+02:00,3.0,2026-04-16 18:00:10+02:00,3.0,2026-04-16 18:14:00+02:00,6.0,,
IDOR53,Nord,,,2026-04-16 17:14:24+02:00,9.0,2026-04-16 17:20:17+02:00,3.0,2026-04-16 17:41:00+02:00,3.0,2026-04-16 18:03:20+02:00,3.0,,,2026-04-16 18:09:30+02:00,6.0
EMMA55,Nord,,,2026-04-16 17:18:40+02:00,4.0,2026-04-16 17:23:17+02:00,3.0,2026-04-16 17:44:00+02:00,3.0,2026-04-16 18:06:10+02:00,0.0,2026-04-16 18:20:00+02:00,0.0,,
EMMA55,Nord,,,2026-04-16 17:18:40+02:00,0.0,2026-04-16 17:23:17+02:00,0.0,2026-04-16 17:44:00+02:00,0.0,2026-04-16 18:06:10+02:00,3.0,2026-04-16 18:20:00+02:00,6.0,,
IJUR57,Nord,,,2026-04-16 17:21:40+02:00,3.0,2026-04-16 17:26:17+02:00,3.0,2026-04-16 17:47:00+02:00,3.0,2026-04-16 18:09:20+02:00,3.0,,,2026-04-16 18:15:30+02:00,0.0
IJUR57,Nord,,,2026-04-16 17:21:40+02:00,0.0,2026-04-16 17:26:17+02:00,0.0,2026-04-16 17:47:00+02:00,0.0,2026-04-16 18:09:20+02:00,0.0,,,2026-04-16 18:15:30+02:00,6.0
ELOI59,Nord,2026-04-16 17:26:48+02:00,12.0,,,2026-04-16 17:29:06+02:00,3.0,2026-04-16 17:50:00+02:00,3.0,2026-04-16 18:12:10+02:00,3.0,2026-04-16 18:26:00+02:00,6.0,,
IRON61,Nord,,,2026-04-16 17:26:36+02:00,5.0,2026-04-16 17:32:17+02:00,3.0,2026-04-16 17:53:00+02:00,3.0,2026-04-16 18:15:20+02:00,3.0,,,2026-04-16 18:21:30+02:00,6.0
EMMA63,Nord,,,2026-04-16 17:30:40+02:00,4.0,2026-04-16 17:35:17+02:00,3.0,2026-04-16 17:56:00+02:00,3.0,2026-04-16 18:18:10+02:00,3.0,2026-04-16 18:32:00+02:00,6.0,,
IJUR65,Nord,,,2026-04-16 17:33:40+02:00,3.0,2026-04-16 17:38:17+02:00,3.0,2026-04-16 17:59:00+02:00,3.0,2026-04-16 18:21:20+02:00,3.0,,,2026-04-16 18:27:30+02:00,0.0
IJUR65,Nord,,,2026-04-16 17:33:40+02:00,0.0,2026-04-16 17:38:17+02:00,0.0,2026-04-16 17:59:00+02:00,0.0,2026-04-16 18:21:20+02:00,0.0,,,2026-04-16 18:27:30+02:00,6.0
ELOI67,Nord,2026-04-16 17:38:48+02:00,12.0,,,2026-04-16 17:41:06+02:00,3.0,2026-04-16 18:02:00+02:00,3.0,2026-04-16 18:24:10+02:00,3.0,2026-04-16 18:38:00+02:00,6.0,,
IRON69,Nord,,,2026-04-16 17:38:36+02:00,5.0,2026-04-16 17:44:17+02:00,3.0,2026-04-16 18:05:00+02:00,3.0,2026-04-16 18:27:20+02:00,3.0,,,2026-04-16 18:33:30+02:00,6.0
EMMA71,Nord,,,2026-04-16 17:42:40+02:00,4.0,2026-04-16 17:47:17+02:00,3.0,2026-04-16 18:08:00+02:00,3.0,2026-04-16 18:30:10+02:00,3.0,2026-04-16 18:44:00+02:00,6.0,,
IJUR73,Nord,,,2026-04-16 17:45:40+02:00,3.0,2026-04-16 17:50:17+02:00,3.0,2026-04-16 18:11:00+02:00,3.0,2026-04-16 18:33:20+02:00,3.0,,,2026-04-16 18:39:30+02:00,6.0
ELOI75,Nord,2026-04-16 17:50:48+02:00,12.0,,,2026-04-16 17:53:06+02:00,3.0,2026-04-16 18:14:00+02:00,3.0,2026-04-16 18:36:10+02:00,3.0,2026-04-16 18:50:00+02:00,6.0,,
IRON77,Nord,,,2026-04-16 17:50:36+02:00,5.0,2026-04-16 17:56:17+02:00,3.0,2026-04-16 18:17:00+02:00,3.0,2026-04-16 18:39:20+02:00,3.0,,,2026-04-16 18:45:30+02:00,6.0
EMMA79,Nord,,,2026-04-16 17:54:40+02:00,4.0,2026-04-16 17:59:17+02:00,3.0,2026-04-16 18:20:00+02:00,3.0,2026-04-16 18:42:10+02:00,3.0,2026-04-16 18:56:00+02:00,6.0,,
IJUR81,Nord,,,2026-04-16 17:57:40+02:00,3.0,2026-04-16 18:02:17+02:00,3.0,2026-04-16 18:23:00+02:00,3.0,2026-04-16 18:45:20+02:00,3.0,,,2026-04-16 18:51:30+02:00,6.0
ELOI83,Nord,2026-04-16 18:02:48+02:00,12.0,,,2026-04-16 18:05:06+02:00,3.0,2026-04-16 18:26:00+02:00,3.0,2026-04-16 18:48:10+02:00,3.0,2026-04-16 19:02:00+02:00,6.0,,
IRON85,Nord,,,2026-04-16 18:02:36+02:00,5.0,2026-04-16 18:08:17+02:00,3.0,2026-04-16 18:29:00+02:00,3.0,2026-04-16 18:51:20+02:00,3.0,,,2026-04-16 18:57:30+02:00,6.0
EMMA87,Nord,,,2026-04-16 18:06:40+02:00,4.0,2026-04-16 18:11:17+02:00,3.0,2026-04-16 18:32:00+02:00,3.0,2026-04-16 18:54:10+02:00,3.0,2026-04-16 19:08:00+02:00,6.0,,
IJUR89,Nord,,,2026-04-16 18:09:40+02:00,3.0,2026-04-16 18:14:17+02:00,3.0,2026-04-16 18:35:00+02:00,3.0,2026-04-16 18:57:20+02:00,3.0,,,2026-04-16 19:03:30+02:00,6.0
IJUR97,Nord,,,2026-04-16 18:21:40+02:00,12.0,2026-04-16 18:26:17+02:00,12.0,2026-04-16 18:47:00+02:00,12.0,2026-04-16 19:09:20+02:00,12.0,,,2026-04-16 19:15:30+02:00,12.0
IERE03,Nord,,,,,,,,,2026-04-16 05:27:20+02:00,11.0,,,2026-04-16 05:33:30+02:00,
EEVE01,Nord,,,,,,,,,2026-04-16 05:16:30+02:00,,2026-04-16 05:30:10+02:00,,,
ERIO43,Nord,,,,,,,,,2026-04-16 14:12:10+02:00,3.0,2026-04-16 14:24:30+02:00,8.0,,
ILUS41,Nord,,,,,,,,,2026-04-16 14:09:20+02:00,6.0,,,2026-04-16 14:15:30+02:00,15.0
KFAR02,Sud,,,2026-04-16 05:49:40+02:00,,2026-04-16 05:44:09+02:00,,2026-04-16 05:23:47+02:00,,2026-04-16 05:00:50+02:00,,,,,
STOC04,Sud,2026-04-16 05:51:51+02:00,,,,2026-04-16 05:49:59+02:00,6.0,2026-04-16 05:29:47+02:00,6.0,2026-04-16 05:06:50+02:00,6.0,,,,
PLIC06,Sud,,,2026-04-16 05:58:22+02:00,9.0,2026-04-16 05:54:12+02:00,4.0,2026-04-16 05:38:47+02:00,9.0,2026-04-16 05:15:50+02:00,9.0,,,2026-04-16 05:09:00+02:00,
KOCQ08,Sud,,,2026-04-16 06:10:10+02:00,12.0,2026-04-16 06:04:54+02:00,11.0,2026-04-16 05:44:47+02:00,6.0,2026-04-16 05:21:50+02:00,6.0,2026-04-16 05:08:10+02:00,,,
SOSI10,Sud,2026-04-16 06:12:51+02:00,21.0,,,2026-04-16 06:10:59+02:00,6.0,2026-04-16 05:50:47+02:00,6.0,2026-04-16 05:27:50+02:00,6.0,,,2026-04-16 05:21:00+02:00,12.0
PROC12,Sud,,,2026-04-16 06:16:22+02:00,6.0,2026-04-16 06:12:12+02:00,1.0,2026-04-16 05:56:47+02:00,6.0,2026-04-16 05:33:50+02:00,6.0,,,,
KOCQ14,Sud,,,2026-04-16 06:25:10+02:00,9.0,2026-04-16 06:19:54+02:00,8.0,2026-04-16 05:59:47+02:00,3.0,2026-04-16 05:36:50+02:00,3.0,2026-04-16 05:23:10+02:00,15.0,,
SOSI16,Sud,2026-04-16 06:27:51+02:00,15.0,,,2026-04-16 06:25:59+02:00,6.0,2026-04-16 06:05:47+02:00,6.0,2026-04-16 05:42:50+02:00,6.0,,,2026-04-16 05:36:00+02:00,15.0
PROC18,Sud,,,2026-04-16 06:31:22+02:00,6.0,2026-04-16 06:27:12+02:00,1.0,2026-04-16 06:11:47+02:00,6.0,2026-04-16 05:48:50+02:00,6.0,,,,
KOCQ20,Sud,,,2026-04-16 06:40:10+02:00,9.0,2026-04-16 06:34:54+02:00,8.0,2026-04-16 06:14:47+02:00,3.0,2026-04-16 05:51:50+02:00,3.0,2026-04-16 05:38:10+02:00,15.0,,
SOSI22,Sud,2026-04-16 06:42:51+02:00,15.0,,,2026-04-16 06:40:59+02:00,6.0,2026-04-16 06:20:47+02:00,6.0,2026-04-16 05:57:50+02:00,6.0,,,2026-04-16 05:51:00+02:00,15.0
PROC24,Sud,,,2026-04-16 06:46:22+02:00,6.0,2026-04-16 06:42:12+02:00,1.0,2026-04-16 06:26:47+02:00,6.0,2026-04-16 06:03:50+02:00,6.0,,,,
KOCQ26,Sud,,,2026-04-16 06:55:10+02:00,9.0,2026-04-16 06:49:54+02:00,8.0,2026-04-16 06:29:47+02:00,3.0,2026-04-16 06:06:50+02:00,3.0,2026-04-16 05:53:10+02:00,15.0,,
SOSI28,Sud,2026-04-16 06:57:51+02:00,15.0,,,2026-04-16 06:55:59+02:00,6.0,2026-04-16 06:35:47+02:00,6.0,2026-04-16 06:12:50+02:00,6.0,,,2026-04-16 06:06:00+02:00,15.0
PROC30,Sud,,,2026-04-16 07:01:22+02:00,6.0,2026-04-16 06:57:12+02:00,1.0,2026-04-16 06:41:47+02:00,6.0,2026-04-16 06:18:50+02:00,6.0,,,,
KOCQ32,Sud,,,2026-04-16 07:10:10+02:00,9.0,2026-04-16 07:04:54+02:00,8.0,2026-04-16 06:44:47+02:00,3.0,2026-04-16 06:21:50+02:00,3.0,2026-04-16 06:08:10+02:00,15.0,,
SOSI34,Sud,2026-04-16 07:12:51+02:00,15.0,,,2026-04-16 07:10:59+02:00,6.0,2026-04-16 06:50:47+02:00,6.0,2026-04-16 06:27:50+02:00,6.0,,,2026-04-16 06:21:00+02:00,15.0
PLIC36,Sud,,,2026-04-16 07:16:22+02:00,6.0,2026-04-16 07:12:12+02:00,1.0,2026-04-16 06:56:47+02:00,6.0,2026-04-16 06:33:50+02:00,6.0,,,2026-04-16 06:27:00+02:00,6.0
PUMA38,Sud,,,2026-04-16 07:26:25+02:00,10.0,2026-04-16 07:20:44+02:00,9.0,2026-04-16 06:59:47+02:00,3.0,2026-04-16 06:36:50+02:00,3.0,2026-04-16 06:23:10+02:00,15.0,,
SOSI40,Sud,2026-04-16 07:27:51+02:00,15.0,,,2026-04-16 07:25:59+02:00,5.0,2026-04-16 07:05:47+02:00,6.0,2026-04-16 06:42:50+02:00,6.0,,,2026-04-16 06:36:00+02:00,9.0
LORE42,Sud,,,2026-04-16 07:34:44+02:00,8.0,2026-04-16 07:29:54+02:00,4.0,2026-04-16 07:08:47+02:00,3.0,2026-04-16 06:45:50+02:00,3.0,2026-04-16 06:32:10+02:00,9.0,,
KLEE44,Sud,,,2026-04-16 07:38:35+02:00,4.0,2026-04-16 07:32:54+02:00,3.0,2026-04-16 07:11:47+02:00,3.0,2026-04-16 06:48:50+02:00,3.0,,,2026-04-16 06:42:00+02:00,6.0
STIN46,Sud,2026-04-16 07:37:46+02:00,10.0,,,2026-04-16 07:35:49+02:00,3.0,2026-04-16 07:14:47+02:00,3.0,2026-04-16 06:51:50+02:00,3.0,2026-04-16 06:38:00+02:00,6.0,,
PAUL48,Sud,,,2026-04-16 07:43:34+02:00,5.0,2026-04-16 07:38:44+02:00,3.0,2026-04-16 07:17:47+02:00,3.0,2026-04-16 06:54:50+02:00,3.0,,,2026-04-16 06:48:00+02:00,6.0
LORE50,Sud,,,2026-04-16 07:46:44+02:00,3.0,2026-04-16 07:41:54+02:00,3.0,2026-04-16 07:20:47+02:00,3.0,2026-04-16 06:57:50+02:00,3.0,2026-04-16 06:44:00+02:00,6.0,,
KLEE52,Sud,,,2026-04-16 07:50:35+02:00,4.0,2026-04-16 07:44:54+02:00,3.0,2026-04-16 07:23:47+02:00,3.0,2026-04-16 07:00:50+02:00,3.0,,,2026-04-16 06:54:00+02:00,6.0
STIN54,Sud,2026-04-16 07:49:46+02:00,12.0,,,2026-04-16 07:47:49+02:00,3.0,2026-04-16 07:26:47+02:00,3.0,2026-04-16 07:03:50+02:00,3.0,2026-04-16 06:50:00+02:00,6.0,,
PAUL56,Sud,,,2026-04-16 07:55:34+02:00,5.0,2026-04-16 07:50:44+02:00,3.0,2026-04-16 07:29:47+02:00,3.0,2026-04-16 07:06:50+02:00,3.0,,,2026-04-16 07:00:00+02:00,6.0
LORE58,Sud,,,2026-04-16 07:58:44+02:00,3.0,2026-04-16 07:53:54+02:00,3.0,2026-04-16 07:32:47+02:00,3.0,2026-04-16 07:09:50+02:00,3.0,2026-04-16 06:56:00+02:00,6.0,,
KLEE60,Sud,,,2026-04-16 08:02:35+02:00,4.0,2026-04-16 07:56:54+02:00,3.0,2026-04-16 07:35:47+02:00,3.0,2026-04-16 07:12:50+02:00,3.0,,,2026-04-16 07:06:00+02:00,6.0
