mission,direction,heure_th_sceaux,delta_sceaux,heure_th_antony,delta_antony,heure_th_bourg_la_reine,delta_bourg_la_reine,heure_th_chatelet,delta_chatelet,heure_th_aulnay,delta_aulnay,heure_th_cdg1,delta_cdg1,heure_th_vert_galant,delta_vert_galant
IVAN59,Nord,,,2026-04-16 07:03:15+02:00,3.0,2026-04-16 07:08:07+02:00,3.0,2026-04-16 07:29:00+02:00,3.0,2026-04-16 07:51:20+02:00,3.0,,,2026-04-16 07:57:30+02:00,12.0
ELFE61,Nord,2026-04-16 07:08:48+02:00,12.0,,,2026-04-16 07:11:06+02:00,3.0,2026-04-16 07:32:00+02:00,3.0,2026-04-16 07:54:10+02:00,3.0,2026-04-16 08:08:00+02:00,6.0,,
GUAD63,Nord,,,2026-04-16 07:08:39+02:00,5.0,2026-04-16 07:14:17+02:00,3.0,2026-04-16 07:35:00+02:00,3.0,,,,,,
EMIR65,Nord,,,2026-04-16 07:12:40+02:00,4.0,2026-04-16 07:17:17+02:00,3.0,2026-04-16 07:38:00+02:00,3.0,2026-04-16 08:00:10+02:00,6.0,2026-04-16 08:14:00+02:00,6.0,,
IVAN67,Nord,,,2026-04-16 07:15:15+02:00,3.0,2026-04-16 07:20:07+02:00,3.0,2026-04-16 07:41:00+02:00,3.0,2026-04-16 08:03:20+02:00,3.0,,,2026-04-16 08:09:30+02:00,12.0
ELFE69,Nord,2026-04-16 07:20:48+02:00,12.0,,,2026-04-16 07:23:06+02:00,3.0,2026-04-16 07:44:00+02:00,3.0,2026-04-16 08:06:10+02:00,3.0,2026-04-16 08:20:00+02:00,6.0,,
GUAD71,Nord,,,2026-04-16 07:20:39+02:00,5.0,2026-04-16 07:26:17+02:00,3.0,2026-04-16 07:47:00+02:00,3.0,,,,,,
EMIR73,Nord,,,2026-04-16 07:24:40+02:00,4.0,2026-04-16 07:29:17+02:00,3.0,2026-04-16 07:50:00+02:00,3.0,2026-04-16 08:12:10+02:00,6.0,2026-04-16 08:26:00+02:00,6.0,,
IVAN75,Nord,,,2026-04-16 07:27:15+02:00,3.0,2026-04-16 07:32:07+02:00,3.0,2026-04-16 07:53:00+02:00,3.0,2026-04-16 08:15:20+02:00,3.0,,,2026-04-16 08:21:30+02:00,12.0
ELFE77,Nord,2026-04-16 07:32:48+02:00,12.0,,,2026-04-16 07:35:06+02:00,3.0,2026-04-16 07:56:00+02:00,3.0,2026-04-16 08:18:10+02:00,3.0,2026-04-16 08:32:00+02:00,6.0,,
GUAD79,Nord,,,2026-04-16 07:32:39+02:00,5.0,2026-04-16 07:38:17+02:00,3.0,2026-04-16 07:59:00+02:00,3.0,,,,,,
EMIR81,Nord,,,2026-04-16 07:36:40+02:00,4.0,2026-04-16 07:41:17+02:00,3.0,2026-04-16 08:02:00+02:00,3.0,2026-04-16 08:24:10+02:00,6.0,2026-04-16 08:38:00+02:00,6.0,,
IVAN83,Nord,,,2026-04-16 07:39:15+02:00,3.0,2026-04-16 07:44:07+02:00,3.0,2026-04-16 08:05:00+02:00,3.0,2026-04-16 08:27:20+02:00,3.0,,,2026-04-16 08:33:30+02:00,12.0
ELFE85,Nord,2026-04-16 07:44:48+02:00,12.0,,,2026-04-16 07:47:06+02:00,3.0,2026-04-16 08:08:00+02:00,3.0,2026-04-16 08:30:10+02:00,3.0,2026-04-16 08:44:00+02:00,6.0,,
GUAD87,Nord,,,2026-04-16 07:44:39+02:00,5.0,2026-04-16 07:50:17+02:00,3.0,2026-04-16 08:11:00+02:00,3.0,,,,,,
EMIR89,Nord,,,2026-04-16 07:48:40+02:00,4.0,2026-04-16 07:53:17+02:00,3.0,2026-04-16 08:14:00+02:00,3.0,2026-04-16 08:36:10+02:00,6.0,2026-04-16 08:50:00+02:00,6.0,,
IVAN91,Nord,,,2026-04-16 07:51:15+02:00,3.0,2026-04-16 07:56:07+02:00,3.0,2026-04-16 08:17:00+02:00,3.0,2026-04-16 08:39:20+02:00,3.0,,,2026-04-16 08:45:30+02:00,12.0
ELFE93,Nord,2026-04-16 07:56:48+02:00,12.0,,,2026-04-16 07:59:06+02:00,3.0,2026-04-16 08:20:00+02:00,3.0,2026-04-16 08:42:10+02:00,3.0,2026-04-16 08:56:00+02:00,6.0,,
GUAD95,Nord,,,2026-04-16 07:56:39+02:00,5.0,2026-04-16 08:02:17+02:00,3.0,2026-04-16 08:23:00+02:00,3.0,,,,,,
EMIR97,Nord,,,2026-04-16 08:00:40+02:00,4.0,2026-04-16 08:05:17+02:00,3.0,2026-04-16 08:26:00+02:00,3.0,2026-04-16 08:48:10+02:00,6.0,2026-04-16 09:02:00+02:00,6.0,,
IVAN99,Nord,,,2026-04-16 08:03:15+02:00,3.0,2026-04-16 08:08:07+02:00,3.0,2026-04-16 08:29:00+02:00,3.0,2026-04-16 08:51:20+02:00,3.0,,,2026-04-16 08:57:30+02:00,12.0
ELOI01,Nord,2026-04-16 08:08:48+02:00,12.0,,,2026-04-16 08:11:06+02:00,3.0,2026-04-16 08:32:00+02:00,3.0,2026-04-16 08:54:10+02:00,3.0,2026-04-16 09:08:00+02:00,6.0,,
GUIZ03,Nord,,,2026-04-16 08:08:39+02:00,5.0,2026-04-16 08:14:17+02:00,3.0,2026-04-16 08:35:00+02:00,3.0,,,,,,
EMMY05,Nord,,,2026-04-16 08:12:40+02:00,4.0,2026-04-16 08:17:17+02:00,3.0,2026-04-16 08:38:00+02:00,3.0,2026-04-16 09:00:10+02:00,6.0,2026-04-16 09:14:00+02:00,6.0,,
IVIS07,Nord,,,2026-04-16 08:15:15+02:00,3.0,2026-04-16 08:20:07+02:00,3.0,2026-04-16 08:41:00+02:00,3.0,2026-04-16 09:03:20+02:00,3.0,,,2026-04-16 09:09:30+02:00,12.0
ELOI09,Nord,2026-04-16 08:20:48+02:00,12.0,,,2026-04-16 08:23:06+02:00,3.0,2026-04-16 08:44:00+02:00,3.0,2026-04-16 09:06:10+02:00,3.0,2026-04-16 09:20:00+02:00,6.0,,
GUIZ11,Nord,,,2026-04-16 08:20:39+02:00,5.0,2026-04-16 08:26:17+02:00,3.0,2026-04-16 08:47:00+02:00,3.0,,,,,,
EMMY13,Nord,,,2026-04-16 08:24:40+02:00,4.0,2026-04-16 08:29:17+02:00,3.0,2026-04-16 08:50:00+02:00,3.0,2026-04-16 09:12:10+02:00,6.0,2026-04-16 09:26:00+02:00,6.0,,
IVIS15,Nord,,,2026-04-16 08:27:15+02:00,3.0,2026-04-16 08:32:07+02:00,3.0,2026-04-16 08:53:00+02:00,3.0,2026-04-16 09:15:20+02:00,3.0,,,2026-04-16 09:21:30+02:00,12.0
ELOI17,Nord,2026-04-16 08:32:48+02:00,12.0,,,2026-04-16 08:35:06+02:00,3.0,2026-04-16 08:56:00+02:00,3.0,2026-04-16 09:18:10+02:00,3.0,2026-04-16 09:32:00+02:00,6.0,,
EMMY21,Nord,,,2026-04-16 08:36:40+02:00,9.0,2026-04-16 08:41:17+02:00,6.0,2026-04-16 09:02:00+02:00,6.0,2026-04-16 09:24:10+02:00,6.0,2026-04-16 09:38:00+02:00,6.0,,
IVIS23,Nord,,,2026-04-16 08:39:15+02:00,3.0,2026-04-16 08:44:07+02:00,3.0,2026-04-16 09:05:00+02:00,3.0,2026-04-16 09:27:20+02:00,3.0,,,2026-04-16 09:33:30+02:00,12.0
ELOI25,Nord,2026-04-16 08:44:48+02:00,12.0,,,2026-04-16 08:47:06+02:00,3.0,2026-04-16 09:08:00+02:00,3.0,2026-04-16 09:30:10+02:00,3.0,2026-04-16 09:44:00+02:00,6.0,,
GUIZ27,Nord,,,2026-04-16 08:44:39+02:00,5.0,2026-04-16 08:50:17+02:00,3.0,2026-04-16 09:11:00+02:00,3.0,,,,,,
