mission,direction,heure_re_sceaux,delta_sceaux,heure_re_antony,delta_antony,heure_re_bourg_la_reine,delta_bourg_la_reine,heure_re_chatelet,delta_chatelet,heure_re_aulnay,delta_aulnay,heure_re_cdg1,delta_cdg1,heure_re_vert_galant,delta_vert_galant
GUAD71,Nord,,,,,,,7.0,,,,,,,
EMIR73,Nord,,,,,,,7.0,5.0,8.0,5.0,8.0,5.0,,
IVAN75,Nord,,,,,,,7.0,3.0,8.0,2.0,,,8.0,10.0
ELFE77,Nord,,,,,,,7.0,3.0,8.0,2.0,8.0,5.0,,
GUAD79,Nord,,,,,,,7.0,3.0,,,,,,
EMIR81,Nord,,,,,,,8.0,3.0,8.0,7.0,8.0,7.0,,
IVAN83,Nord,,,,,,,8.0,4.0,8.0,3.0,,,8.0,13.0
ELFE85,Nord,,,,,,,8.0,2.0,8.0,2.0,8.0,5.0,,
GUAD87,Nord,,,,,7.0,,8.0,3.0,,,,,,
EMIR89,Nord,,,,,7.0,3.0,8.0,3.0,8.0,6.0,8.0,6.0,,
IVAN91,Nord,,,7.0,,7.0,4.0,8.0,4.0,8.0,4.0,,,8.0,12.0
ELFE93,Nord,7.0,,,,7.0,1.0,8.0,1.0,8.0,2.0,8.0,6.0,,
GUAD95,Nord,,,7.0,3.0,8.0,3.0,8.0,2.0,,,,,,
EMIR97,Nord,,,8.0,5.0,8.0,4.0,8.0,4.0,8.0,6.0,9.0,6.0,,
IVAN99,Nord,,,8.0,2.0,8.0,2.0,8.0,2.0,8.0,3.0,,,8.0,11.0
ELOI01,Nord,8.0,13.0,,,8.0,4.0,8.0,4.0,8.0,3.0,9.0,6.0,,
GUIZ03,Nord,,,8.0,6.0,8.0,3.0,8.0,3.0,,,,,,
EMMY05,Nord,,,8.0,4.0,8.0,3.0,8.0,3.0,9.0,6.0,9.0,6.0,,
IVIS07,Nord,,,8.0,3.0,8.0,3.0,8.0,3.0,9.0,3.0,,,9.0,12.0
ELOI09,Nord,8.0,12.0,,,8.0,3.0,8.0,3.0,9.0,3.0,9.0,6.0,,
GUIZ11,Nord,,,8.0,5.0,8.0,3.0,8.0,3.0,,,,,,
EMMY13,Nord,,,8.0,4.0,8.0,3.0,8.0,3.0,9.0,6.0,9.0,6.0,,
IVIS15,Nord,,,8.0,3.0,8.0,3.0,8.0,3.0,9.0,3.0,,,9.0,12.0
ELOI17,Nord,8.0,12.0,,,8.0,3.0,8.0,3.0,9.0,3.0,9.0,6.0,,
GUIZ19,Nord,,,8.0,5.0,8.0,3.0,8.0,3.0,,,,,,
EMMY21,Nord,,,8.0,4.0,8.0,3.0,9.0,3.0,9.0,6.0,9.0,6.0,,
IVIS23,Nord,,,8.0,3.0,8.0,3.0,9.0,3.0,9.0,3.0,,,9.0,12.0
ELOI25,Nord,8.0,12.0,,,8.0,3.0,9.0,3.0,9.0,3.0,9.0,6.0,,
GUIZ27,Nord,,,8.0,5.0,8.0,3.0,9.0,3.0,,,,,,
EMMY29,Nord,,,8.0,4.0,8.0,3.0,9.0,3.0,9.0,6.0,9.0,6.0,,
IVIS31,Nord,,,8.0,3.0,8.0,3.0,9.0,3.0,9.0,3.0,,,9.0,12.0
ELOI33,Nord,8.0,12.0,,,8.0,3.0,9.0,3.0,9.0,3.0,9.0,6.0,,
IRUS35,Nord,,,8.0,5.0,9.0,3.0,9.0,3.0,9.0,3.0,,,9.0,6.0
