mission,direction,heure_th_sceaux,delta_sceaux,heure_th_antony,delta_antony,heure_th_bourg_la_reine,delta_bourg_la_reine,heure_th_chatelet,delta_chatelet,heure_th_aulnay,delta_aulnay,heure_th_cdg1,delta_cdg1,heure_th_vert_galant,delta_vert_galant
GONG47,Nord,,,,,,,2026-04-17 07:11:00+02:00,,,,,,,
EAST49,Nord,,,,,,,2026-04-17 07:14:00+02:00,3.0,2026-04-17 07:36:10+02:00,6.0,2026-04-17 07:50:00+02:00,6.0,,
IVAN51,Nord,,,,,,,2026-04-17 07:17:00+02:00,3.0,2026-04-17 07:39:20+02:00,3.0,,,2026-04-17 07:45:30+02:00,18.0
ELFE53,Nord,,,,,,,2026-04-17 07:20:00+02:00,3.0,2026-04-17 07:42:10+02:00,3.0,2026-04-17 07:56:00+02:00,6.0,,
GSOL55,Nord,,,,,,,2026-04-17 07:23:00+02:00,3.0,,,,,,
EMIR57,Nord,,,,,,,2026-04-17 07:26:00+02:00,3.0,2026-04-17 07:48:10+02:00,6.0,2026-04-17 08:02:00+02:00,6.0,,
IVAN59,Nord,,,,,,,2026-04-17 07:29:00+02:00,3.0,2026-04-17 07:51:20+02:00,3.0,,,2026-04-17 07:57:30+02:00,12.0
ELFE61,Nord,,,,,2026-04-17 07:11:06+02:00,,2026-04-17 07:32:00+02:00,3.0,2026-04-17 07:54:10+02:00,3.0,2026-04-17 08:08:00+02:00,6.0,,
GUAD63,Nord,,,,,2026-04-17 07:14:17+02:00,3.0,2026-04-17 07:35:00+02:00,3.0,,,,,,
EMIR65,Nord,,,2026-04-17 07:12:40+02:00,,2026-04-17 07:17:17+02:00,3.0,2026-04-17 07:38:00+02:00,3.0,2026-04-17 08:00:10+02:00,6.0,2026-04-17 08:14:00+02:00,6.0,,
IVAN67,Nord,,,2026-04-17 07:15:15+02:00,3.0,2026-04-17 07:20:07+02:00,3.0,2026-04-17 07:41:00+02:00,3.0,2026-04-17 08:03:20+02:00,3.0,,,2026-04-17 08:09:30+02:00,12.0
ELFE69,Nord,2026-04-17 07:20:48+02:00,,,,2026-04-17 07:23:06+02:00,3.0,2026-04-17 07:44:00+02:00,3.0,2026-04-17 08:06:10+02:00,3.0,2026-04-17 08:20:00+02:00,6.0,,
GUAD71,Nord,,,2026-04-17 07:20:39+02:00,5.0,2026-04-17 07:26:17+02:00,3.0,2026-04-17 07:47:00+02:00,3.0,,,,,,
EMIR73,Nord,,,2026-04-17 07:24:40+02:00,4.0,2026-04-17 07:29:17+02:00,3.0,2026-04-17 07:50:00+02:00,3.0,2026-04-17 08:12:10+02:00,6.0,2026-04-17 08:26:00+02:00,6.0,,
IVAN75,Nord,,,2026-04-17 07:27:15+02:00,3.0,2026-04-17 07:32:07+02:00,3.0,2026-04-17 07:53:00+02:00,3.0,2026-04-17 08:15:20+02:00,3.0,,,2026-04-17 08:21:30+02:00,12.0
ELFE77,Nord,2026-04-17 07:32:48+02:00,12.0,,,2026-04-17 07:35:06+02:00,3.0,2026-04-17 07:56:00+02:00,3.0,2026-04-17 08:18:10+02:00,3.0,2026-04-17 08:32:00+02:00,6.0,,
GUAD79,Nord,,,2026-04-17 07:32:39+02:00,5.0,2026-04-17 07:38:17+02:00,3.0,2026-04-17 07:59:00+02:00,3.0,,,,,,
EMIR81,Nord,,,2026-04-17 07:36:40+02:00,4.0,2026-04-17 07:41:17+02:00,3.0,2026-04-17 08:02:00+02:00,3.0,2026-04-17 08:24:10+02:00,6.0,2026-04-17 08:38:00+02:00,6.0,,
