mission,type_mission,destination,robinson,fontenay_aux_roses,sceaux,saint_remy_les_chevreuse,courcelle_sur_yvette,gif_sur_yvette,la_hacquiniere,bures_sur_yvette,orsay_ville,le_guichet,lozere,palaiseau_villebon,palaiseau,massy_palaiseau,massy_verrieres,les_baconnets,fontaine_michalon,antony,la_croix_de_berny,parc_de_sceaux,bourg_la_reine,bagneux,arcueil_cachan,laplace,gentilly,cite_universitaire,denfert_rochereau,port_royal,luxembourg,saint_michel_notre_dame,chatelet_les_halles,gare_du_nord,la_plaine_stade_de_france,la_courneuve_aubervilliers,le_bourget,drancy,le_blanc_mesnil,aulnay_sous_bois,sevran_beaudottes,villepinte,parc_des_expositions,aeroport_cdg_1_rer,aeroport_charles_de_gaulle_2,sevran_livry,vert_galant,villeparisis_mitry_le_neuf,mitry_claye,gare_depart,nb_arrets_desservis,date_observation
ELFE69,ELFE,Aéroport Charles de Gaulle 2 (Terminal 2),2026-04-17 07:16:33+02:00,2026-04-17 07:19:04+02:00,2026-04-17 07:20:48+02:00,,,,,,,,,,,,,,,,,,2026-04-17 07:23:06+02:00,2026-04-17 07:25:41+02:00,2026-04-17 07:27:26+02:00,2026-04-17 07:29:29+02:00,2026-04-17 07:31:16+02:00,2026-04-17 07:33:12+02:00,2026-04-17 07:36:02+02:00,2026-04-17 07:37:49+02:00,2026-04-17 07:39:23+02:00,2026-04-17 07:41:59+02:00,2026-04-17 07:44:00+02:00,2026-04-17 07:48:00+02:00,2026-04-17 07:53:10+02:00,2026-04-17 07:55:40+02:00,2026-04-17 07:58:50+02:00,2026-04-17 08:01:30+02:00,2026-04-17 08:03:40+02:00,2026-04-17 08:06:10+02:00,2026-04-17 08:09:30+02:00,2026-04-17 08:12:00+02:00,2026-04-17 08:14:20+02:00,2026-04-17 08:20:00+02:00,,,,,,Robinson,25,2026-04-17 07:10:02.043606+02:00
KOCQ32,KOCQ,Massy-Palaiseau,,,,,,,,,,,,,,,2026-04-17 07:15:13+02:00,2026-04-17 07:13:29+02:00,2026-04-17 07:12:05+02:00,2026-04-17 07:10:10+02:00,2026-04-17 07:08:30+02:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,La Croix de Berny,5,2026-04-17 07:10:02.043606+02:00
ELFE61,ELFE,Aéroport Charles de Gaulle 2 (Terminal 2),,,,,,,,,,,,,,,,,,,,,2026-04-17 07:11:06+02:00,2026-04-17 07:13:41+02:00,2026-04-17 07:15:26+02:00,2026-04-17 07:17:29+02:00,2026-04-17 07:19:16+02:00,2026-04-17 07:21:12+02:00,2026-04-17 07:24:02+02:00,2026-04-17 07:25:49+02:00,2026-04-17 07:27:23+02:00,2026-04-17 07:29:59+02:00,2026-04-17 07:32:00+02:00,2026-04-17 07:36:00+02:00,2026-04-17 07:41:10+02:00,2026-04-17 07:43:40+02:00,2026-04-17 07:46:50+02:00,2026-04-17 07:49:30+02:00,2026-04-17 07:51:40+02:00,2026-04-17 07:54:10+02:00,2026-04-17 07:57:30+02:00,2026-04-17 08:00:00+02:00,2026-04-17 08:02:20+02:00,2026-04-17 08:08:00+02:00,,,,,,Bourg-la-Reine,22,2026-04-17 07:10:02.043606+02:00
IVAN91,IVAN,Mitry - Claye,,,,2026-04-17 07:23:52+02:00,2026-04-17 07:27:03+02:00,2026-04-17 07:30:10+02:00,2026-04-17 07:32:06+02:00,2026-04-17 07:33:58+02:00,2026-04-17 07:36:48+02:00,2026-04-17 07:39:07+02:00,,,2026-04-17 07:43:38+02:00,2026-04-17 07:46:20+02:00,,,,2026-04-17 07:51:15+02:00,2026-04-17 07:53:06+02:00,,2026-04-17 07:56:07+02:00,2026-04-17 07:58:36+02:00,2026-04-17 08:00:26+02:00,2026-04-17 08:02:29+02:00,2026-04-17 08:04:16+02:00,2026-04-17 08:06:12+02:00,2026-04-17 08:09:02+02:00,2026-04-17 08:10:49+02:00,2026-04-17 08:12:23+02:00,2026-04-17 08:14:59+02:00,2026-04-17 08:17:00+02:00,2026-04-17 08:21:00+02:00,2026-04-17 08:26:10+02:00,2026-04-17 08:28:40+02:00,2026-04-17 08:31:50+02:00,2026-04-17 08:34:30+02:00,2026-04-17 08:36:40+02:00,2026-04-17 08:39:20+02:00,,,,,,2026-04-17 08:42:40+02:00,2026-04-17 08:45:30+02:00,2026-04-17 08:48:40+02:00,,Saint-Rémy-lès-Chevreuse,32,2026-04-17 07:10:02.043606+02:00
LORE50,LORE,Orsay-Ville,,,,,,,,,,2026-04-17 08:04:38+02:00,2026-04-17 08:02:17+02:00,2026-04-17 07:59:24+02:00,2026-04-17 07:57:19+02:00,2026-04-17 07:54:52+02:00,,2026-04-17 07:50:43+02:00,2026-04-17 07:48:59+02:00,2026-04-17 07:46:44+02:00,2026-04-17 07:44:49+02:00,,2026-04-17 07:41:54+02:00,2026-04-17 07:39:11+02:00,2026-04-17 07:37:23+02:00,2026-04-17 07:35:15+02:00,2026-04-17 07:33:19+02:00,2026-04-17 07:31:32+02:00,2026-04-17 07:28:54+02:00,2026-04-17 07:26:36+02:00,2026-04-17 07:25:01+02:00,2026-04-17 07:23:09+02:00,2026-04-17 07:20:47+02:00,2026-04-17 07:17:00+02:00,2026-04-17 07:11:20+02:00,,,,,,,,,,,,,,,La Plaine Stade de France,22,2026-04-17 07:10:02.043606+02:00
ECCO45,ECCO,Aéroport Charles de Gaulle 2 (Terminal 2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-17 07:12:00+02:00,2026-04-17 07:17:10+02:00,2026-04-17 07:19:40+02:00,2026-04-17 07:22:50+02:00,2026-04-17 07:25:30+02:00,2026-04-17 07:27:40+02:00,2026-04-17 07:30:10+02:00,2026-04-17 07:33:30+02:00,2026-04-17 07:36:00+02:00,2026-04-17 07:38:20+02:00,2026-04-17 07:44:00+02:00,,,,,,Gare du Nord,11,2026-04-17 07:10:02.043606+02:00
EMIR97,EMIR,Aéroport Charles de Gaulle 2 (Terminal 2),,,,,,,,,2026-04-17 07:42:31+02:00,2026-04-17 07:44:45+02:00,2026-04-17 07:46:47+02:00,2026-04-17 07:49:21+02:00,2026-04-17 07:51:12+02:00,2026-04-17 07:53:44+02:00,,2026-04-17 07:56:54+02:00,2026-04-17 07:58:24+02:00,2026-04-17 08:00:40+02:00,2026-04-17 08:02:26+02:00,,2026-04-17 08:05:17+02:00,2026-04-17 08:07:46+02:00,2026-04-17 08:09:31+02:00,2026-04-17 08:11:34+02:00,2026-04-17 08:13:21+02:00,2026-04-17 08:15:12+02:00,2026-04-17 08:18:02+02:00,2026-04-17 08:19:49+02:00,2026-04-17 08:21:23+02:00,2026-04-17 08:23:59+02:00,2026-04-17 08:26:00+02:00,2026-04-17 08:30:00+02:00,2026-04-17 08:35:10+02:00,2026-04-17 08:37:40+02:00,2026-04-17 08:40:50+02:00,2026-04-17 08:43:30+02:00,2026-04-17 08:45:40+02:00,2026-04-17 08:48:10+02:00,2026-04-17 08:51:30+02:00,2026-04-17 08:54:00+02:00,2026-04-17 08:56:20+02:00,2026-04-17 09:02:00+02:00,,,,,,Orsay Ville,32,2026-04-17 07:10:02.043606+02:00
PAUL88,PAUL,Saint-Rémy-lès-Chevreuse,,,,,2026-04-17 09:07:18+02:00,2026-04-17 09:04:10+02:00,2026-04-17 09:02:12+02:00,2026-04-17 09:00:20+02:00,2026-04-17 08:58:23+02:00,2026-04-17 08:56:00+02:00,,,,2026-04-17 08:50:09+02:00,,,,2026-04-17 08:43:34+02:00,2026-04-17 08:41:39+02:00,,2026-04-17 08:38:44+02:00,2026-04-17 08:36:01+02:00,2026-04-17 08:34:13+02:00,2026-04-17 08:32:05+02:00,2026-04-17 08:30:09+02:00,2026-04-17 08:28:27+02:00,2026-04-17 08:25:54+02:00,2026-04-17 08:23:36+02:00,2026-04-17 08:22:01+02:00,2026-04-17 08:20:09+02:00,2026-04-17 08:17:47+02:00,2026-04-17 08:14:00+02:00,2026-04-17 08:08:20+02:00,2026-04-17 08:05:30+02:00,2026-04-17 08:02:00+02:00,2026-04-17 07:59:10+02:00,2026-04-17 07:57:00+02:00,2026-04-17 07:54:50+02:00,,,,,,2026-04-17 07:51:10+02:00,2026-04-17 07:48:00+02:00,2026-04-17 07:44:50+02:00,2026-04-17 07:41:00+02:00,Mitry - Claye,31,2026-04-17 07:10:02.043606+02:00
ECCO33,ECCO,Aéroport Charles de Gaulle 2 (Terminal 2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-17 07:12:30+02:00,2026-04-17 07:20:00+02:00,,,,,,Parc des Expositions,2,2026-04-17 07:10:02.043606+02:00
STRI12,STRI,Robinson,,2026-04-17 09:15:31+02:00,2026-04-17 09:13:46+02:00,,,,,,,,,,,,,,,,,,2026-04-17 09:11:49+02:00,2026-04-17 09:09:01+02:00,2026-04-17 09:07:23+02:00,2026-04-17 09:05:15+02:00,2026-04-17 09:03:19+02:00,2026-04-17 09:01:32+02:00,2026-04-17 08:58:54+02:00,2026-04-17 08:56:36+02:00,2026-04-17 08:55:01+02:00,2026-04-17 08:53:09+02:00,2026-04-17 08:50:47+02:00,2026-04-17 08:47:00+02:00,2026-04-17 08:41:20+02:00,2026-04-17 08:38:30+02:00,2026-04-17 08:35:00+02:00,2026-04-17 08:32:10+02:00,2026-04-17 08:30:00+02:00,2026-04-17 08:27:50+02:00,2026-04-17 08:24:10+02:00,2026-04-17 08:21:20+02:00,2026-04-17 08:19:20+02:00,2026-04-17 08:14:00+02:00,2026-04-17 08:06:50+02:00,,,,,Aéroport Charles de Gaulle 2 (Terminal 2),25,2026-04-17 07:10:02.043606+02:00
IVAN67,IVAN,Mitry - Claye,,,,,,,,,,,,,,2026-04-17 07:10:20+02:00,,,,2026-04-17 07:15:15+02:00,2026-04-17 07:17:06+02:00,,2026-04-17 07:20:07+02:00,2026-04-17 07:22:36+02:00,2026-04-17 07:24:26+02:00,2026-04-17 07:26:29+02:00,2026-04-17 07:28:16+02:00,2026-04-17 07:30:12+02:00,2026-04-17 07:33:02+02:00,2026-04-17 07:34:49+02:00,2026-04-17 07:36:23+02:00,2026-04-17 07:38:59+02:00,2026-04-17 07:41:00+02:00,2026-04-17 07:45:00+02:00,2026-04-17 07:50:10+02:00,2026-04-17 07:52:40+02:00,2026-04-17 07:55:50+02:00,2026-04-17 07:58:30+02:00,2026-04-17 08:00:40+02:00,2026-04-17 08:03:20+02:00,,,,,,2026-04-17 08:06:40+02:00,2026-04-17 08:09:30+02:00,2026-04-17 08:12:40+02:00,,Massy - Palaiseau,24,2026-04-17 07:10:02.043606+02:00
GSOL55,GSOL,Aulnay-sous-Bois,,,,,,,,,,,,,,,,,,,,,,,,2026-04-17 07:08:49+02:00,2026-04-17 07:10:36+02:00,2026-04-17 07:12:32+02:00,2026-04-17 07:15:22+02:00,2026-04-17 07:17:09+02:00,2026-04-17 07:18:43+02:00,2026-04-17 07:21:09+02:00,2026-04-17 07:23:00+02:00,2026-04-17 07:27:00+02:00,2026-04-17 07:32:10+02:00,2026-04-17 07:34:40+02:00,2026-04-17 07:37:50+02:00,2026-04-17 07:40:30+02:00,2026-04-17 07:42:40+02:00,,,,,,,,,,,Laplace,14,2026-04-17 07:10:02.043606+02:00
ELOI01,ELOI,Aéroport Charles de Gaulle 2 (Terminal 2),2026-04-17 08:04:33+02:00,2026-04-17 08:07:04+02:00,2026-04-17 08:08:48+02:00,,,,,,,,,,,,,,,,,,2026-04-17 08:11:06+02:00,2026-04-17 08:13:41+02:00,2026-04-17 08:15:26+02:00,2026-04-17 08:17:29+02:00,2026-04-17 08:19:16+02:00,2026-04-17 08:21:12+02:00,2026-04-17 08:24:02+02:00,2026-04-17 08:25:49+02:00,2026-04-17 08:27:23+02:00,2026-04-17 08:29:59+02:00,2026-04-17 08:32:00+02:00,2026-04-17 08:36:00+02:00,2026-04-17 08:41:10+02:00,2026-04-17 08:43:40+02:00,2026-04-17 08:46:50+02:00,2026-04-17 08:49:30+02:00,2026-04-17 08:51:40+02:00,2026-04-17 08:54:10+02:00,2026-04-17 08:57:30+02:00,2026-04-17 09:00:00+02:00,2026-04-17 09:02:20+02:00,2026-04-17 09:08:00+02:00,,,,,,Robinson,25,2026-04-17 07:10:02.043606+02:00
IVIS07,IVIS,Mitry - Claye,,,,2026-04-17 07:47:52+02:00,2026-04-17 07:51:03+02:00,2026-04-17 07:54:10+02:00,2026-04-17 07:56:06+02:00,2026-04-17 07:57:58+02:00,2026-04-17 08:00:48+02:00,2026-04-17 08:03:07+02:00,,,2026-04-17 08:07:38+02:00,2026-04-17 08:10:20+02:00,,,,2026-04-17 08:15:15+02:00,2026-04-17 08:17:06+02:00,,2026-04-17 08:20:07+02:00,2026-04-17 08:22:36+02:00,2026-04-17 08:24:26+02:00,2026-04-17 08:26:29+02:00,2026-04-17 08:28:16+02:00,2026-04-17 08:30:12+02:00,2026-04-17 08:33:02+02:00,2026-04-17 08:34:49+02:00,2026-04-17 08:36:23+02:00,2026-04-17 08:38:59+02:00,2026-04-17 08:41:00+02:00,2026-04-17 08:45:00+02:00,2026-04-17 08:50:10+02:00,2026-04-17 08:52:40+02:00,2026-04-17 08:55:50+02:00,2026-04-17 08:58:30+02:00,2026-04-17 09:00:40+02:00,2026-04-17 09:03:20+02:00,,,,,,2026-04-17 09:06:40+02:00,2026-04-17 09:09:30+02:00,2026-04-17 09:12:40+02:00,,Saint-Rémy-lès-Chevreuse,32,2026-04-17 07:10:02.043606+02:00
STIN86,STIN,Robinson,,2026-04-17 08:39:31+02:00,2026-04-17 08:37:46+02:00,,,,,,,,,,,,,,,,,,2026-04-17 08:35:49+02:00,2026-04-17 08:33:01+02:00,2026-04-17 08:31:23+02:00,2026-04-17 08:29:15+02:00,2026-04-17 08:27:19+02:00,2026-04-17 08:25:32+02:00,2026-04-17 08:22:54+02:00,2026-04-17 08:20:36+02:00,2026-04-17 08:19:01+02:00,2026-04-17 08:17:09+02:00,2026-04-17 08:14:47+02:00,2026-04-17 08:11:00+02:00,2026-04-17 08:05:20+02:00,2026-04-17 08:02:30+02:00,2026-04-17 07:59:00+02:00,2026-04-17 07:56:10+02:00,2026-04-17 07:54:00+02:00,2026-04-17 07:51:50+02:00,2026-04-17 07:48:10+02:00,2026-04-17 07:45:20+02:00,2026-04-17 07:43:20+02:00,2026-04-17 07:38:00+02:00,2026-04-17 07:30:50+02:00,,,,,Aéroport Charles de Gaulle 2 (Terminal 2),25,2026-04-17 07:10:02.043606+02:00
GUAD95,GUAD,Aulnay-sous-Bois,,,,,,,,,,,,,,2026-04-17 07:49:33+02:00,2026-04-17 07:51:48+02:00,2026-04-17 07:53:46+02:00,,2026-04-17 07:56:39+02:00,2026-04-17 07:58:25+02:00,2026-04-17 08:00:08+02:00,2026-04-17 08:02:17+02:00,2026-04-17 08:04:46+02:00,2026-04-17 08:06:31+02:00,2026-04-17 08:08:34+02:00,2026-04-17 08:10:21+02:00,2026-04-17 08:12:12+02:00,2026-04-17 08:15:02+02:00,2026-04-17 08:16:49+02:00,2026-04-17 08:18:23+02:00,2026-04-17 08:20:59+02:00,2026-04-17 08:23:00+02:00,2026-04-17 08:27:00+02:00,2026-04-17 08:32:10+02:00,2026-04-17 08:34:40+02:00,2026-04-17 08:37:50+02:00,2026-04-17 08:40:30+02:00,2026-04-17 08:42:40+02:00,,,,,,,,,,,Massy - Palaiseau,23,2026-04-17 07:10:02.043606+02:00
LORE82,LORE,Orsay-Ville,,,,,,,,,,2026-04-17 08:52:38+02:00,2026-04-17 08:50:17+02:00,2026-04-17 08:47:24+02:00,2026-04-17 08:45:19+02:00,2026-04-17 08:42:52+02:00,,2026-04-17 08:38:43+02:00,2026-04-17 08:36:59+02:00,2026-04-17 08:34:44+02:00,2026-04-17 08:32:49+02:00,,2026-04-17 08:29:54+02:00,2026-04-17 08:27:11+02:00,2026-04-17 08:25:23+02:00,2026-04-17 08:23:15+02:00,2026-04-17 08:21:19+02:00,2026-04-17 08:19:32+02:00,2026-04-17 08:16:54+02:00,2026-04-17 08:14:36+02:00,2026-04-17 08:13:01+02:00,2026-04-17 08:11:09+02:00,2026-04-17 08:08:47+02:00,2026-04-17 08:05:00+02:00,2026-04-17 07:59:20+02:00,2026-04-17 07:56:30+02:00,2026-04-17 07:53:00+02:00,2026-04-17 07:50:10+02:00,2026-04-17 07:48:00+02:00,2026-04-17 07:45:50+02:00,2026-04-17 07:42:10+02:00,2026-04-17 07:39:20+02:00,2026-04-17 07:37:20+02:00,2026-04-17 07:32:00+02:00,2026-04-17 07:24:50+02:00,,,,,Aéroport Charles de Gaulle 2 (Terminal 2),32,2026-04-17 07:10:02.043606+02:00
