mission,robinson,fontenay_aux_roses,sceaux,saint_remy_les_chevreuse,courcelle_sur_yvette,gif_sur_yvette,la_hacquiniere,bures_sur_yvette,orsay_ville,le_guichet,lozere,palaiseau_villebon,palaiseau,massy_palaiseau,massy_verrieres,les_baconnets,fontaine_michalon,antony,la_croix_de_berny,parc_de_sceaux,bourg_la_reine,bagneux,arcueil_cachan,laplace,gentilly,cite_universitaire,denfert_rochereau,port_royal,luxembourg,saint_michel_notre_dame,chatelet_les_halles,gare_du_nord,la_plaine_stade_de_france,la_courneuve_aubervilliers,le_bourget,drancy,le_blanc_mesnil,aulnay_sous_bois,sevran_beaudottes,villepinte,parc_des_expositions,aeroport_cdg_1_rer,aeroport_charles_de_gaulle_2,sevran_livry,vert_galant,villeparisis_mitry_le_neuf,mitry_claye,date_observation
PAGE06,,,,,2026-04-15 09:31:18+02:00,2026-04-15 09:28:10+02:00,2026-04-15 09:26:12+02:00,2026-04-15 09:24:20+02:00,2026-04-15 09:22:23+02:00,2026-04-15 09:20:00+02:00,,,,2026-04-15 09:14:09+02:00,,,,2026-04-15 09:07:34+02:00,2026-04-15 09:05:39+02:00,,2026-04-15 09:02:44+02:00,2026-04-15 09:00:01+02:00,2026-04-15 08:58:13+02:00,2026-04-15 08:56:05+02:00,2026-04-15 08:54:09+02:00,2026-04-15 08:52:27+02:00,2026-04-15 08:49:54+02:00,2026-04-15 08:47:36+02:00,2026-04-15 08:46:01+02:00,2026-04-15 08:44:09+02:00,2026-04-15 08:41:47+02:00,2026-04-15 08:38:00+02:00,2026-04-15 08:32:20+02:00,2026-04-15 08:29:30+02:00,2026-04-15 08:26:00+02:00,2026-04-15 08:23:10+02:00,2026-04-15 08:21:00+02:00,2026-04-15 08:18:50+02:00,,,,,,2026-04-15 08:15:10+02:00,2026-04-15 08:12:00+02:00,2026-04-15 08:08:50+02:00,2026-04-15 08:05:00+02:00,2026-04-15 07:50:04.202014+02:00
KLAC10,,,,,,,,,,,,,,,2026-04-15 09:19:12+02:00,2026-04-15 09:17:23+02:00,,2026-04-15 09:14:35+02:00,2026-04-15 09:12:40+02:00,2026-04-15 09:10:46+02:00,2026-04-15 09:08:54+02:00,2026-04-15 09:06:11+02:00,2026-04-15 09:04:23+02:00,2026-04-15 09:02:15+02:00,2026-04-15 09:00:19+02:00,2026-04-15 08:58:32+02:00,2026-04-15 08:55:54+02:00,2026-04-15 08:53:36+02:00,2026-04-15 08:52:01+02:00,2026-04-15 08:50:09+02:00,2026-04-15 08:47:47+02:00,2026-04-15 08:44:00+02:00,2026-04-15 08:38:20+02:00,2026-04-15 08:35:30+02:00,2026-04-15 08:32:00+02:00,2026-04-15 08:29:10+02:00,2026-04-15 08:27:00+02:00,2026-04-15 08:24:50+02:00,,,,,,2026-04-15 08:21:10+02:00,2026-04-15 08:18:00+02:00,2026-04-15 08:14:50+02:00,2026-04-15 08:11:00+02:00,2026-04-15 07:50:04.202014+02:00
PAUL80,,,,,2026-04-15 08:55:18+02:00,2026-04-15 08:52:10+02:00,2026-04-15 08:50:12+02:00,2026-04-15 08:48:20+02:00,2026-04-15 08:46:23+02:00,2026-04-15 08:44:00+02:00,,,,2026-04-15 08:38:09+02:00,,,,2026-04-15 08:31:34+02:00,2026-04-15 08:29:39+02:00,,2026-04-15 08:26:44+02:00,2026-04-15 08:24:01+02:00,2026-04-15 08:22:13+02:00,2026-04-15 08:20:05+02:00,2026-04-15 08:18:09+02:00,2026-04-15 08:16:27+02:00,2026-04-15 08:13:54+02:00,2026-04-15 08:11:36+02:00,2026-04-15 08:10:01+02:00,2026-04-15 08:08:09+02:00,2026-04-15 08:05:47+02:00,2026-04-15 08:02:00+02:00,2026-04-15 07:56:20+02:00,2026-04-15 07:53:30+02:00,2026-04-15 07:50:00+02:00,,,,,,,,,,,,,2026-04-15 07:50:04.202014+02:00
GUAD79,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-15 07:51:02+02:00,2026-04-15 07:52:49+02:00,2026-04-15 07:54:23+02:00,2026-04-15 07:56:59+02:00,2026-04-15 07:59:00+02:00,2026-04-15 08:03:00+02:00,2026-04-15 08:08:10+02:00,2026-04-15 08:10:40+02:00,2026-04-15 08:13:50+02:00,2026-04-15 08:16:30+02:00,2026-04-15 08:18:40+02:00,,,,,,,,,,,2026-04-15 07:50:04.202014+02:00
LORE82,,,,,,,,,,2026-04-15 08:52:38+02:00,2026-04-15 08:50:17+02:00,2026-04-15 08:47:24+02:00,2026-04-15 08:45:19+02:00,2026-04-15 08:42:52+02:00,,2026-04-15 08:38:43+02:00,2026-04-15 08:36:59+02:00,2026-04-15 08:34:44+02:00,2026-04-15 08:32:49+02:00,,2026-04-15 08:29:54+02:00,2026-04-15 08:27:11+02:00,2026-04-15 08:25:23+02:00,2026-04-15 08:23:15+02:00,2026-04-15 08:21:19+02:00,2026-04-15 08:19:32+02:00,2026-04-15 08:16:54+02:00,2026-04-15 08:14:36+02:00,2026-04-15 08:13:01+02:00,2026-04-15 08:11:09+02:00,2026-04-15 08:08:47+02:00,2026-04-15 08:05:00+02:00,2026-04-15 07:59:20+02:00,2026-04-15 07:56:30+02:00,2026-04-15 07:53:00+02:00,2026-04-15 07:50:10+02:00,,,,,,,,,,,,2026-04-15 07:50:04.202014+02:00
GUIZ27,,,,,,,,,,,,,,2026-04-15 08:37:33+02:00,2026-04-15 08:39:48+02:00,2026-04-15 08:41:46+02:00,,2026-04-15 08:44:39+02:00,2026-04-15 08:46:25+02:00,2026-04-15 08:48:08+02:00,2026-04-15 08:50:17+02:00,2026-04-15 08:52:46+02:00,2026-04-15 08:54:31+02:00,2026-04-15 08:56:34+02:00,2026-04-15 08:58:21+02:00,2026-04-15 09:00:12+02:00,2026-04-15 09:03:02+02:00,2026-04-15 09:04:49+02:00,2026-04-15 09:06:23+02:00,2026-04-15 09:08:59+02:00,2026-04-15 09:11:00+02:00,2026-04-15 09:15:00+02:00,2026-04-15 09:20:10+02:00,2026-04-15 09:22:40+02:00,2026-04-15 09:25:50+02:00,2026-04-15 09:28:30+02:00,2026-04-15 09:30:40+02:00,,,,,,,,,,,2026-04-15 07:50:04.202014+02:00
PAUL88,,,,,2026-04-15 09:07:18+02:00,2026-04-15 09:04:10+02:00,2026-04-15 09:02:12+02:00,2026-04-15 09:00:20+02:00,2026-04-15 08:58:23+02:00,2026-04-15 08:56:00+02:00,,,,2026-04-15 08:50:09+02:00,,,,2026-04-15 08:43:34+02:00,2026-04-15 08:41:39+02:00,,2026-04-15 08:38:44+02:00,2026-04-15 08:36:01+02:00,2026-04-15 08:34:13+02:00,2026-04-15 08:32:05+02:00,2026-04-15 08:30:09+02:00,2026-04-15 08:28:27+02:00,2026-04-15 08:25:54+02:00,2026-04-15 08:23:36+02:00,2026-04-15 08:22:01+02:00,2026-04-15 08:20:09+02:00,2026-04-15 08:17:47+02:00,2026-04-15 08:14:00+02:00,2026-04-15 08:08:20+02:00,2026-04-15 08:05:30+02:00,2026-04-15 08:02:00+02:00,2026-04-15 07:59:10+02:00,2026-04-15 07:57:00+02:00,2026-04-15 07:54:50+02:00,,,,,,2026-04-15 07:51:10+02:00,,,,2026-04-15 07:50:04.202014+02:00
ELFE77,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-15 07:49:49+02:00,2026-04-15 07:51:23+02:00,2026-04-15 07:53:59+02:00,2026-04-15 07:56:00+02:00,2026-04-15 08:00:00+02:00,2026-04-15 08:05:10+02:00,2026-04-15 08:07:40+02:00,2026-04-15 08:10:50+02:00,2026-04-15 08:13:30+02:00,2026-04-15 08:15:40+02:00,2026-04-15 08:18:10+02:00,2026-04-15 08:21:30+02:00,2026-04-15 08:24:00+02:00,2026-04-15 08:26:20+02:00,2026-04-15 08:32:00+02:00,,,,,,2026-04-15 07:50:04.202014+02:00
IVIS23,,,,2026-04-15 08:11:52+02:00,2026-04-15 08:15:03+02:00,2026-04-15 08:18:10+02:00,2026-04-15 08:20:06+02:00,2026-04-15 08:21:58+02:00,2026-04-15 08:24:48+02:00,2026-04-15 08:27:07+02:00,,,2026-04-15 08:31:38+02:00,2026-04-15 08:34:20+02:00,,,,2026-04-15 08:39:15+02:00,2026-04-15 08:41:06+02:00,,2026-04-15 08:44:07+02:00,2026-04-15 08:46:36+02:00,2026-04-15 08:48:26+02:00,2026-04-15 08:50:29+02:00,2026-04-15 08:52:16+02:00,2026-04-15 08:54:12+02:00,2026-04-15 08:57:02+02:00,2026-04-15 08:58:49+02:00,2026-04-15 09:00:23+02:00,2026-04-15 09:02:59+02:00,2026-04-15 09:05:00+02:00,2026-04-15 09:09:00+02:00,2026-04-15 09:14:10+02:00,2026-04-15 09:16:40+02:00,2026-04-15 09:19:50+02:00,2026-04-15 09:22:30+02:00,2026-04-15 09:24:40+02:00,2026-04-15 09:27:20+02:00,,,,,,2026-04-15 09:30:40+02:00,2026-04-15 09:33:30+02:00,2026-04-15 09:36:40+02:00,,2026-04-15 07:50:04.202014+02:00
KLEE76,,,,,,,,,,,,,,,2026-04-15 08:31:12+02:00,2026-04-15 08:29:23+02:00,,2026-04-15 08:26:35+02:00,2026-04-15 08:24:40+02:00,2026-04-15 08:22:46+02:00,2026-04-15 08:20:54+02:00,2026-04-15 08:18:11+02:00,2026-04-15 08:16:23+02:00,2026-04-15 08:14:15+02:00,2026-04-15 08:12:19+02:00,2026-04-15 08:10:32+02:00,2026-04-15 08:07:54+02:00,2026-04-15 08:05:36+02:00,2026-04-15 08:04:01+02:00,2026-04-15 08:02:09+02:00,2026-04-15 07:59:47+02:00,2026-04-15 07:56:00+02:00,2026-04-15 07:50:20+02:00,,,,,,,,,,,,,,,2026-04-15 07:50:04.202014+02:00
