id,mission,direction,date_observation,ecart_max
1,ECCI11,Nord,2026-04-13 16:40:09.471090,0
2,ECCI31,Nord,2026-04-13 16:40:09.471090,0
3,EGRE15,Nord,2026-04-13 16:40:09.471090,0
4,EGRE19,Nord,2026-04-13 16:40:09.471090,0
5,ELOI27,Nord,2026-04-13 16:40:09.471090,0
6,EPIN05,Nord,2026-04-13 16:40:09.471090,2
7,ICOR13,Nord,2026-04-13 16:40:09.471090,0
8,ICOR33,Nord,2026-04-13 16:40:09.471090,0
9,IJUR57,Nord,2026-04-13 16:40:09.471090,0
10,IJUR65,Nord,2026-04-13 16:40:09.471090,0
11,IJUR73,Nord,2026-04-13 16:40:09.471090,0
12,ILAN01,Nord,2026-04-13 16:40:09.471090,5
13,ILAN07,Nord,2026-04-13 16:40:09.471090,2
14,ILAN17,Nord,2026-04-13 16:40:09.471090,0
15,KERN16,Sud,2026-04-13 16:40:09.471090,0
16,LOUP14,Sud,2026-04-13 16:40:09.471090,0
17,LOUP22,Sud,2026-04-13 16:40:09.471090,0
18,LOUP30,Sud,2026-04-13 16:40:09.471090,0
19,LOUP38,Sud,2026-04-13 16:40:09.471090,0
20,PGAZ20,Sud,2026-04-13 16:40:09.471090,0
21,PGAZ28,Sud,2026-04-13 16:40:09.471090,1
22,PGAZ36,Sud,2026-04-13 16:40:09.471090,0
23,PINA02,Sud,2026-04-13 16:40:09.471090,0
24,SOME06,Sud,2026-04-13 16:40:09.471090,1
25,STAR18,Sud,2026-04-13 16:40:09.471090,1
26,STAR26,Sud,2026-04-13 16:40:09.471090,0
27,STAR34,Sud,2026-04-13 16:40:09.471090,1
28,STAR42,Sud,2026-04-13 16:40:09.471090,0
29,ECCI11,Nord,2026-04-13 16:45:07.383121,0
30,ECCI31,Nord,2026-04-13 16:45:07.383121,0
31,EDME09,Nord,2026-04-13 16:45:07.383121,0
32,EGRE15,Nord,2026-04-13 16:45:07.383121,0
33,EGRE19,Nord,2026-04-13 16:45:07.383121,0
34,ELOI27,Nord,2026-04-13 16:45:07.383121,1
35,EPAU99,Nord,2026-04-13 16:45:07.383121,0
36,EPIN05,Nord,2026-04-13 16:45:07.383121,2
37,EPIN23,Nord,2026-04-13 16:45:07.383121,1
38,ICOR13,Nord,2026-04-13 16:45:07.383121,2
39,ICOR33,Nord,2026-04-13 16:45:07.383121,0
40,ICOR41,Nord,2026-04-13 16:45:07.383121,0
41,IDOR53,Nord,2026-04-13 16:45:07.383121,1
42,IJUR57,Nord,2026-04-13 16:45:07.383121,0
43,IJUR65,Nord,2026-04-13 16:45:07.383121,0
44,IJUR73,Nord,2026-04-13 16:45:07.383121,0
45,IJUR89,Nord,2026-04-13 16:45:07.383121,0
46,ILAN01,Nord,2026-04-13 16:45:07.383121,5
47,ILAN07,Nord,2026-04-13 16:45:07.383121,1
48,ILAN17,Nord,2026-04-13 16:45:07.383121,0
49,INKE21,Nord,2026-04-13 16:45:07.383121,0
50,KERN16,Sud,2026-04-13 16:45:07.383121,4
51,LOUP14,Sud,2026-04-13 16:45:07.383121,0
52,LOUP22,Sud,2026-04-13 16:45:07.383121,0
53,LOUP30,Sud,2026-04-13 16:45:07.383121,1
54,LOUP38,Sud,2026-04-13 16:45:07.383121,1
55,LOUP46,Sud,2026-04-13 16:45:07.383121,0
56,PGAZ20,Sud,2026-04-13 16:45:07.383121,2
57,PGAZ28,Sud,2026-04-13 16:45:07.383121,1
58,PGAZ36,Sud,2026-04-13 16:45:07.383121,0
59,PINA02,Sud,2026-04-13 16:45:07.383121,0
60,PINA08,Sud,2026-04-13 16:45:07.383121,2
61,PQUL10,Sud,2026-04-13 16:45:07.383121,1
62,SOME12,Sud,2026-04-13 16:45:07.383121,0
