mission,type_mission,destination,robinson,fontenay_aux_roses,sceaux,saint_remy_les_chevreuse,courcelle_sur_yvette,gif_sur_yvette,la_hacquiniere,bures_sur_yvette,orsay_ville,le_guichet,lozere,palaiseau_villebon,palaiseau,massy_palaiseau,massy_verrieres,les_baconnets,fontaine_michalon,antony,la_croix_de_berny,parc_de_sceaux,bourg_la_reine,bagneux,arcueil_cachan,laplace,gentilly,cite_universitaire,denfert_rochereau,port_royal,luxembourg,saint_michel_notre_dame,chatelet_les_halles,gare_du_nord,la_plaine_stade_de_france,la_courneuve_aubervilliers,le_bourget,drancy,le_blanc_mesnil,aulnay_sous_bois,sevran_beaudottes,villepinte,parc_des_expositions,aeroport_cdg_1_rer,aeroport_charles_de_gaulle_2,sevran_livry,vert_galant,villeparisis_mitry_le_neuf,mitry_claye,gare_depart,nb_arrets_desservis,date_observation
IVIS31,IVIS,Mitry - Claye,,,,2026-04-17 08:23:52+02:00,2026-04-17 08:26:53+02:00,2026-04-17 08:30:00+02:00,2026-04-17 08:31:56+02:00,2026-04-17 08:33:48+02:00,2026-04-17 08:36:18+02:00,2026-04-17 08:38:52+02:00,,,2026-04-17 08:43:18+02:00,2026-04-17 08:45:40+02:00,,,,2026-04-17 08:50:55+02:00,2026-04-17 08:52:46+02:00,,2026-04-17 08:55:37+02:00,2026-04-17 08:58:26+02:00,2026-04-17 09:00:06+02:00,2026-04-17 09:02:19+02:00,2026-04-17 09:04:06+02:00,2026-04-17 09:05:42+02:00,2026-04-17 09:08:22+02:00,2026-04-17 09:10:39+02:00,2026-04-17 09:12:13+02:00,2026-04-17 09:14:19+02:00,2026-04-17 09:16:39+02:00,2026-04-17 09:21:00+02:00,2026-04-17 09:26:10+02:00,2026-04-17 09:28:40+02:00,2026-04-17 09:31:50+02:00,2026-04-17 09:34:30+02:00,2026-04-17 09:36:40+02:00,2026-04-17 09:39:20+02:00,,,,,,2026-04-17 09:42:40+02:00,2026-04-17 09:45:30+02:00,2026-04-17 09:48:40+02:00,,Saint-Rémy-lès-Chevreuse,32,2026-04-17 08:05:02.123281+02:00
KLEE84,KLEE,Paris Gare du Nord,,,,,,,,,,,,,,,2026-04-17 08:44:20+02:00,2026-04-17 08:42:16+02:00,,2026-04-17 08:39:23+02:00,2026-04-17 08:37:38+02:00,2026-04-17 08:35:54+02:00,2026-04-17 08:33:42+02:00,2026-04-17 08:31:04+02:00,2026-04-17 08:29:16+02:00,2026-04-17 08:27:08+02:00,2026-04-17 08:25:12+02:00,2026-04-17 08:23:15+02:00,2026-04-17 08:20:27+02:00,2026-04-17 08:18:39+02:00,2026-04-17 08:17:04+02:00,2026-04-17 08:14:42+02:00,2026-04-17 08:13:27+02:00,,2026-04-17 08:05:20+02:00,,,,,,,,,,,,,,,La Plaine Stade de France,17,2026-04-17 08:05:02.123281+02:00
GUIZ11,GUIZ,Aulnay-sous-Bois,,,,,,,,,,,,,,2026-04-17 08:13:33+02:00,2026-04-17 08:15:38+02:00,2026-04-17 08:17:36+02:00,,2026-04-17 08:20:14+02:00,2026-04-17 08:22:10+02:00,2026-04-17 08:24:03+02:00,2026-04-17 08:25:57+02:00,2026-04-17 08:28:36+02:00,2026-04-17 08:30:16+02:00,2026-04-17 08:32:24+02:00,2026-04-17 08:34:11+02:00,2026-04-17 08:35:47+02:00,2026-04-17 08:38:22+02:00,2026-04-17 08:40:39+02:00,2026-04-17 08:42:13+02:00,2026-04-17 08:44:19+02:00,2026-04-17 08:46:39+02:00,2026-04-17 08:51:00+02:00,2026-04-17 08:56:10+02:00,2026-04-17 08:58:40+02:00,2026-04-17 09:01:50+02:00,2026-04-17 09:04:30+02:00,2026-04-17 09:06:40+02:00,,,,,,,,,,,Massy - Palaiseau,23,2026-04-17 08:05:02.123281+02:00
EMMY13,EMMY,Aéroport Charles de Gaulle 2 (Terminal 2),,,,,,,,,2026-04-17 08:06:31+02:00,2026-04-17 08:08:35+02:00,2026-04-17 08:10:42+02:00,2026-04-17 08:13:11+02:00,2026-04-17 08:15:02+02:00,2026-04-17 08:17:14+02:00,,2026-04-17 08:20:44+02:00,2026-04-17 08:22:19+02:00,2026-04-17 08:24:20+02:00,2026-04-17 08:26:11+02:00,,2026-04-17 08:28:57+02:00,2026-04-17 08:31:36+02:00,2026-04-17 08:33:16+02:00,2026-04-17 08:35:24+02:00,2026-04-17 08:37:11+02:00,2026-04-17 08:38:47+02:00,2026-04-17 08:41:22+02:00,2026-04-17 08:43:39+02:00,2026-04-17 08:45:13+02:00,2026-04-17 08:47:19+02:00,2026-04-17 08:49:39+02:00,2026-04-17 08:54:00+02:00,2026-04-17 08:59:10+02:00,2026-04-17 09:01:40+02:00,2026-04-17 09:04:50+02:00,2026-04-17 09:07:30+02:00,2026-04-17 09:09:40+02:00,2026-04-17 09:12:10+02:00,2026-04-17 09:15:30+02:00,2026-04-17 09:18:00+02:00,2026-04-17 09:20:20+02:00,2026-04-17 09:26:00+02:00,,,,,,Orsay Ville,32,2026-04-17 08:05:02.123281+02:00
LORE90,LORE,Orsay-Ville,,,,,,,,,,2026-04-17 09:04:13+02:00,2026-04-17 09:01:52+02:00,2026-04-17 08:58:59+02:00,2026-04-17 08:56:54+02:00,2026-04-17 08:53:42+02:00,,2026-04-17 08:50:23+02:00,2026-04-17 08:48:39+02:00,2026-04-17 08:46:19+02:00,2026-04-17 08:44:24+02:00,,2026-04-17 08:41:29+02:00,2026-04-17 08:38:51+02:00,2026-04-17 08:37:03+02:00,2026-04-17 08:34:55+02:00,2026-04-17 08:32:59+02:00,2026-04-17 08:31:02+02:00,2026-04-17 08:28:14+02:00,2026-04-17 08:26:26+02:00,2026-04-17 08:24:51+02:00,2026-04-17 08:22:29+02:00,2026-04-17 08:20:07+02:00,2026-04-17 08:17:42+02:00,2026-04-17 08:12:02+02:00,2026-04-17 08:09:12+02:00,2026-04-17 08:05:42+02:00,,,,,,,,,,,,,Le Bourget,24,2026-04-17 08:05:02.123281+02:00
PAGE06,PAGE,Saint-Rémy-lès-Chevreuse,,,,,2026-04-17 09:31:08+02:00,2026-04-17 09:27:55+02:00,2026-04-17 09:26:02+02:00,2026-04-17 09:24:10+02:00,2026-04-17 09:21:53+02:00,2026-04-17 09:19:35+02:00,,,,2026-04-17 09:12:09+02:00,,,,2026-04-17 09:07:09+02:00,2026-04-17 09:05:14+02:00,,2026-04-17 09:02:19+02:00,2026-04-17 08:59:41+02:00,2026-04-17 08:57:53+02:00,2026-04-17 08:55:45+02:00,2026-04-17 08:53:54+02:00,2026-04-17 08:52:02+02:00,2026-04-17 08:49:14+02:00,2026-04-17 08:47:26+02:00,2026-04-17 08:45:51+02:00,2026-04-17 08:43:29+02:00,2026-04-17 08:41:07+02:00,2026-04-17 08:38:00+02:00,2026-04-17 08:32:20+02:00,2026-04-17 08:29:30+02:00,2026-04-17 08:26:00+02:00,2026-04-17 08:23:10+02:00,2026-04-17 08:21:00+02:00,2026-04-17 08:18:50+02:00,,,,,,2026-04-17 08:15:10+02:00,2026-04-17 08:12:00+02:00,2026-04-17 08:08:50+02:00,2026-04-17 08:05:00+02:00,Mitry - Claye,31,2026-04-17 08:05:02.123281+02:00
LORD16,LORD,Orsay-Ville,,,,,,,,,,2026-04-17 09:40:13+02:00,2026-04-17 09:37:52+02:00,2026-04-17 09:34:59+02:00,2026-04-17 09:32:54+02:00,2026-04-17 09:29:42+02:00,,2026-04-17 09:26:23+02:00,2026-04-17 09:24:39+02:00,2026-04-17 09:22:19+02:00,2026-04-17 09:20:24+02:00,,2026-04-17 09:17:29+02:00,2026-04-17 09:14:51+02:00,2026-04-17 09:13:03+02:00,2026-04-17 09:10:55+02:00,2026-04-17 09:08:59+02:00,2026-04-17 09:07:02+02:00,2026-04-17 09:04:14+02:00,2026-04-17 09:02:26+02:00,2026-04-17 09:00:51+02:00,2026-04-17 08:58:29+02:00,2026-04-17 08:56:07+02:00,2026-04-17 08:53:00+02:00,2026-04-17 08:47:20+02:00,2026-04-17 08:44:30+02:00,2026-04-17 08:41:00+02:00,2026-04-17 08:38:10+02:00,2026-04-17 08:36:00+02:00,2026-04-17 08:33:50+02:00,2026-04-17 08:30:10+02:00,2026-04-17 08:27:20+02:00,2026-04-17 08:25:20+02:00,2026-04-17 08:20:00+02:00,2026-04-17 08:12:50+02:00,,,,,Aéroport Charles de Gaulle 2 (Terminal 2),32,2026-04-17 08:05:02.123281+02:00
ELOI01,ELOI,Aéroport Charles de Gaulle 2 (Terminal 2),2026-04-17 08:04:33+02:00,2026-04-17 08:06:54+02:00,2026-04-17 08:08:38+02:00,,,,,,,,,,,,,,,,,,2026-04-17 08:10:36+02:00,2026-04-17 08:13:31+02:00,2026-04-17 08:15:11+02:00,2026-04-17 08:17:19+02:00,2026-04-17 08:19:06+02:00,2026-04-17 08:20:42+02:00,2026-04-17 08:23:22+02:00,2026-04-17 08:25:39+02:00,2026-04-17 08:27:13+02:00,2026-04-17 08:29:19+02:00,2026-04-17 08:31:39+02:00,2026-04-17 08:36:00+02:00,2026-04-17 08:41:10+02:00,2026-04-17 08:43:40+02:00,2026-04-17 08:46:50+02:00,2026-04-17 08:49:30+02:00,2026-04-17 08:51:40+02:00,2026-04-17 08:54:10+02:00,2026-04-17 08:57:30+02:00,2026-04-17 09:00:00+02:00,2026-04-17 09:02:20+02:00,2026-04-17 09:08:00+02:00,,,,,,Robinson,25,2026-04-17 08:05:02.123281+02:00
IVIS23,IVIS,Mitry - Claye,,,,2026-04-17 08:11:52+02:00,2026-04-17 08:14:53+02:00,2026-04-17 08:18:00+02:00,2026-04-17 08:19:56+02:00,2026-04-17 08:21:48+02:00,2026-04-17 08:24:18+02:00,2026-04-17 08:26:52+02:00,,,2026-04-17 08:31:18+02:00,2026-04-17 08:33:40+02:00,,,,2026-04-17 08:38:55+02:00,2026-04-17 08:40:46+02:00,,2026-04-17 08:43:37+02:00,2026-04-17 08:46:26+02:00,2026-04-17 08:48:06+02:00,2026-04-17 08:50:19+02:00,2026-04-17 08:52:06+02:00,2026-04-17 08:53:42+02:00,2026-04-17 08:56:22+02:00,2026-04-17 08:58:39+02:00,2026-04-17 09:00:13+02:00,2026-04-17 09:02:19+02:00,2026-04-17 09:04:39+02:00,2026-04-17 09:09:00+02:00,2026-04-17 09:14:10+02:00,2026-04-17 09:16:40+02:00,2026-04-17 09:19:50+02:00,2026-04-17 09:22:30+02:00,2026-04-17 09:24:40+02:00,2026-04-17 09:27:20+02:00,,,,,,2026-04-17 09:30:40+02:00,2026-04-17 09:33:30+02:00,2026-04-17 09:36:40+02:00,,Saint-Rémy-lès-Chevreuse,32,2026-04-17 08:05:02.123281+02:00
PPIT22,PPIT,Saint-Rémy-lès-Chevreuse,,,,,2026-04-17 09:57:53+02:00,2026-04-17 09:54:40+02:00,2026-04-17 09:52:47+02:00,2026-04-17 09:50:55+02:00,2026-04-17 09:48:38+02:00,2026-04-17 09:46:20+02:00,2026-04-17 09:44:04+02:00,2026-04-17 09:41:16+02:00,2026-04-17 09:39:11+02:00,2026-04-17 09:36:19+02:00,,,,2026-04-17 09:31:19+02:00,2026-04-17 09:29:24+02:00,,2026-04-17 09:26:29+02:00,2026-04-17 09:23:51+02:00,2026-04-17 09:22:03+02:00,2026-04-17 09:19:55+02:00,2026-04-17 09:17:59+02:00,2026-04-17 09:16:02+02:00,2026-04-17 09:13:14+02:00,2026-04-17 09:11:26+02:00,2026-04-17 09:09:51+02:00,2026-04-17 09:07:29+02:00,2026-04-17 09:05:07+02:00,2026-04-17 09:02:00+02:00,2026-04-17 08:56:20+02:00,2026-04-17 08:53:30+02:00,2026-04-17 08:50:00+02:00,2026-04-17 08:47:10+02:00,2026-04-17 08:45:00+02:00,2026-04-17 08:42:50+02:00,,,,,,2026-04-17 08:39:10+02:00,2026-04-17 08:36:00+02:00,2026-04-17 08:32:50+02:00,2026-04-17 08:29:00+02:00,Mitry - Claye,34,2026-04-17 08:05:02.123281+02:00
IVAN67,IVAN,Mitry - Claye,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-17 08:06:40+02:00,,,,,,2026-04-17 08:10:00+02:00,2026-04-17 08:12:50+02:00,2026-04-17 08:16:00+02:00,,Aulnay-sous-Bois,4,2026-04-17 08:05:02.123281+02:00
GUIZ27,GUIZ,Aulnay-sous-Bois,,,,,,,,,,,,,,2026-04-17 08:37:33+02:00,2026-04-17 08:39:38+02:00,2026-04-17 08:41:36+02:00,,2026-04-17 08:44:14+02:00,2026-04-17 08:46:10+02:00,2026-04-17 08:48:03+02:00,2026-04-17 08:49:57+02:00,2026-04-17 08:52:36+02:00,2026-04-17 08:54:16+02:00,2026-04-17 08:56:24+02:00,2026-04-17 08:58:11+02:00,2026-04-17 08:59:47+02:00,2026-04-17 09:02:22+02:00,2026-04-17 09:04:39+02:00,2026-04-17 09:06:13+02:00,2026-04-17 09:08:19+02:00,2026-04-17 09:10:39+02:00,2026-04-17 09:15:00+02:00,2026-04-17 09:20:10+02:00,2026-04-17 09:22:40+02:00,2026-04-17 09:25:50+02:00,2026-04-17 09:28:30+02:00,2026-04-17 09:30:40+02:00,,,,,,,,,,,Massy - Palaiseau,23,2026-04-17 08:05:02.123281+02:00
KLEE92,KLEE,Massy-Palaiseau,,,,,,,,,,,,,,,2026-04-17 08:55:07+02:00,2026-04-17 08:53:03+02:00,,2026-04-17 08:50:10+02:00,2026-04-17 08:48:25+02:00,2026-04-17 08:46:41+02:00,2026-04-17 08:44:29+02:00,2026-04-17 08:41:51+02:00,2026-04-17 08:40:03+02:00,2026-04-17 08:37:55+02:00,2026-04-17 08:35:59+02:00,2026-04-17 08:34:02+02:00,2026-04-17 08:31:14+02:00,2026-04-17 08:29:26+02:00,2026-04-17 08:27:51+02:00,2026-04-17 08:25:29+02:00,2026-04-17 08:23:07+02:00,2026-04-17 08:20:00+02:00,2026-04-17 08:14:20+02:00,2026-04-17 08:11:30+02:00,2026-04-17 08:08:00+02:00,2026-04-17 08:05:10+02:00,,,,,,,,,,,,Drancy,21,2026-04-17 08:05:02.123281+02:00
STRI04,STRI,Robinson,,2026-04-17 09:03:21+02:00,2026-04-17 09:01:36+02:00,,,,,,,,,,,,,,,,,,2026-04-17 08:59:24+02:00,2026-04-17 08:56:51+02:00,2026-04-17 08:55:03+02:00,2026-04-17 08:52:55+02:00,2026-04-17 08:50:59+02:00,2026-04-17 08:49:02+02:00,2026-04-17 08:46:14+02:00,2026-04-17 08:44:26+02:00,2026-04-17 08:42:51+02:00,2026-04-17 08:40:29+02:00,2026-04-17 08:38:07+02:00,2026-04-17 08:35:00+02:00,2026-04-17 08:29:20+02:00,2026-04-17 08:26:30+02:00,2026-04-17 08:23:00+02:00,2026-04-17 08:20:10+02:00,2026-04-17 08:18:00+02:00,2026-04-17 08:15:50+02:00,2026-04-17 08:12:10+02:00,2026-04-17 08:09:20+02:00,2026-04-17 08:07:20+02:00,,,,,,,Parc des Expositions,23,2026-04-17 08:05:02.123281+02:00
ELOI33,ELOI,Aéroport Charles de Gaulle 2 (Terminal 2),2026-04-17 08:52:33+02:00,2026-04-17 08:54:54+02:00,2026-04-17 08:56:38+02:00,,,,,,,,,,,,,,,,,,2026-04-17 08:58:36+02:00,2026-04-17 09:01:31+02:00,2026-04-17 09:03:11+02:00,2026-04-17 09:05:19+02:00,2026-04-17 09:07:06+02:00,2026-04-17 09:08:42+02:00,2026-04-17 09:11:22+02:00,2026-04-17 09:13:39+02:00,2026-04-17 09:15:13+02:00,2026-04-17 09:17:19+02:00,2026-04-17 09:19:39+02:00,2026-04-17 09:24:00+02:00,2026-04-17 09:29:10+02:00,2026-04-17 09:31:40+02:00,2026-04-17 09:34:50+02:00,2026-04-17 09:37:30+02:00,2026-04-17 09:39:40+02:00,2026-04-17 09:42:10+02:00,2026-04-17 09:45:30+02:00,2026-04-17 09:48:00+02:00,2026-04-17 09:50:20+02:00,2026-04-17 09:56:00+02:00,,,,,,Robinson,25,2026-04-17 08:05:02.123281+02:00
