mission,direction,heure_re_sceaux,delta_sceaux,heure_re_antony,delta_antony,heure_re_bourg_la_reine,delta_bourg_la_reine,heure_re_chatelet,delta_chatelet,heure_re_aulnay,delta_aulnay,heure_re_cdg1,delta_cdg1,heure_re_vert_galant,delta_vert_galant
GUIZ03,Nord,,,8.0,5.0,8.0,3.0,8.0,3.0,,,,,,
ELOI01,Nord,8.0,12.0,,,8.0,2.0,8.0,1.0,9.0,1.0,9.0,2.0,,
EMMY05,Nord,,,8.0,4.0,8.0,3.0,8.0,2.0,9.0,3.0,9.0,5.0,,
IVIS07,Nord,,,8.0,4.0,8.0,4.0,8.0,9.0,9.0,14.0,,,9.0,18.0
GUIZ11,Nord,,,8.0,4.0,8.0,3.0,8.0,0.0,,,,,,
ELOI09,Nord,8.0,12.0,,,8.0,2.0,8.0,4.0,9.0,2.0,9.0,16.0,,
EMMY13,Nord,,,8.0,5.0,8.0,4.0,8.0,6.0,9.0,4.0,9.0,4.0,,
IVIS15,Nord,,,8.0,2.0,8.0,4.0,8.0,3.0,9.0,1.0,,,9.0,16.0
EMMY21,Nord,,,8.0,4.0,8.0,2.0,9.0,2.0,9.0,2.0,9.0,2.0,,
ELOI17,Nord,8.0,12.0,,,8.0,1.0,9.0,3.0,9.0,5.0,9.0,7.0,,
GUIZ19,Nord,,,8.0,4.0,8.0,5.0,9.0,2.0,,,,,,
IVIS23,Nord,,,8.0,6.0,8.0,0.0,9.0,4.0,9.0,5.0,,,9.0,10.0
ELOI25,Nord,8.0,12.0,,,8.0,6.0,9.0,2.0,9.0,2.0,9.0,6.0,,
GUIZ27,Nord,,,8.0,4.0,8.0,5.0,9.0,1.0,,,,,,
EMMY29,Nord,,,8.0,4.0,8.0,3.0,9.0,5.0,9.0,7.0,9.0,7.0,,
IVIS31,Nord,,,8.0,5.0,8.0,1.0,9.0,7.0,9.0,5.0,,,10.0,14.0
ELOI33,Nord,8.0,12.0,,,8.0,3.0,9.0,4.0,9.0,5.0,10.0,5.0,,
IRUS35,Nord,,,8.0,3.0,9.0,4.0,9.0,2.0,10.0,10.0,,,10.0,10.0
EMMY37,Nord,,,9.0,3.0,9.0,2.0,9.0,3.0,10.0,0.0,10.0,18.0,,
ELOI39,Nord,9.0,12.0,,,9.0,5.0,9.0,2.0,10.0,2.0,10.0,3.0,,
IDOR41,Nord,,,9.0,10.0,9.0,7.0,9.0,4.0,10.0,4.0,,,10.0,6.0
EPAF43,Nord,,,9.0,9.0,9.0,8.0,9.0,3.0,10.0,2.0,10.0,5.0,,
ILOT45,Nord,9.0,17.0,,,9.0,1.0,9.0,5.0,10.0,3.0,,,10.0,5.0
ERIC47,Nord,,,9.0,6.0,9.0,5.0,9.0,4.0,10.0,1.0,10.0,1.0,,
EPAF49,Nord,,,9.0,9.0,9.0,8.0,9.0,4.0,10.0,2.0,10.0,3.0,,
ILOT51,Nord,9.0,14.0,,,9.0,1.0,10.0,7.0,10.0,9.0,,,10.0,12.0
ERIC53,Nord,,,9.0,9.0,9.0,9.0,10.0,8.0,10.0,5.0,10.0,11.0,,
EPAF55,Nord,,,9.0,7.0,9.0,6.0,10.0,3.0,10.0,7.0,10.0,8.0,,
ILOT57,Nord,9.0,15.0,,,9.0,0.0,10.0,6.0,10.0,1.0,,,10.0,15.0
ERIC59,Nord,,,9.0,5.0,10.0,6.0,10.0,2.0,10.0,2.0,10.0,2.0,,
EPAF61,Nord,,,10.0,9.0,10.0,8.0,10.0,4.0,10.0,7.0,11.0,9.0,,
ILOT63,Nord,10.0,15.0,,,10.0,1.0,10.0,6.0,10.0,5.0,,,11.0,12.0
ERIC65,Nord,,,10.0,6.0,10.0,6.0,10.0,5.0,10.0,2.0,11.0,5.0,,
EPAF67,Nord,,,10.0,9.0,10.0,0.0,10.0,6.0,11.0,9.0,11.0,10.0,,
ILOT69,Nord,10.0,15.0,,,10.0,9.0,10.0,5.0,11.0,5.0,,,11.0,16.0
ERIC71,Nord,,,10.0,6.0,10.0,6.0,10.0,4.0,11.0,1.0,11.0,6.0,,
EPAF73,Nord,,,10.0,8.0,10.0,8.0,10.0,5.0,11.0,8.0,11.0,8.0,,
ILOT75,Nord,10.0,15.0,,,10.0,1.0,11.0,5.0,11.0,6.0,,,11.0,15.0
ERIC77,Nord,,,10.0,7.0,10.0,6.0,11.0,5.0,11.0,1.0,11.0,6.0,,
EPAF79,Nord,,,10.0,9.0,10.0,8.0,11.0,4.0,11.0,7.0,11.0,8.0,,
ILOT81,Nord,10.0,15.0,,,10.0,1.0,11.0,6.0,11.0,6.0,,,11.0,14.0
ERIC83,Nord,,,10.0,6.0,11.0,6.0,11.0,7.0,11.0,4.0,11.0,9.0,,
EPAF85,Nord,,,11.0,9.0,11.0,8.0,11.0,3.0,11.0,6.0,12.0,7.0,,
ILOT87,Nord,11.0,15.0,,,11.0,1.0,11.0,7.0,11.0,6.0,,,12.0,16.0
ERIC89,Nord,,,11.0,6.0,11.0,6.0,11.0,4.0,11.0,1.0,12.0,6.0,,
EPAF91,Nord,,,11.0,8.0,11.0,7.0,11.0,3.0,12.0,6.0,12.0,7.0,,
ILOT93,Nord,11.0,15.0,,,11.0,2.0,11.0,6.0,12.0,7.0,,,12.0,14.0
ERIC95,Nord,,,11.0,7.0,11.0,6.0,11.0,6.0,12.0,4.0,12.0,9.0,,
EPAF97,Nord,,,11.0,5.0,11.0,4.0,11.0,4.0,12.0,6.0,12.0,7.0,,
ILOT99,Nord,11.0,15.0,,,11.0,1.0,12.0,5.0,12.0,6.0,,,12.0,15.0
ERIO01,Nord,,,11.0,6.0,11.0,6.0,12.0,6.0,12.0,3.0,12.0,7.0,,
EPAU03,Nord,,,11.0,8.0,11.0,7.0,12.0,4.0,12.0,8.0,12.0,9.0,,
ILUS05,Nord,11.0,15.0,,,11.0,2.0,12.0,5.0,12.0,4.0,,,12.0,15.0
ERIO07,Nord,,,11.0,7.0,12.0,6.0,12.0,6.0,12.0,4.0,12.0,7.0,,
ILUS11,Nord,12.0,15.0,,,12.0,9.0,12.0,9.0,12.0,12.0,,,13.0,16.0
ERIO13,Nord,,,12.0,15.0,12.0,6.0,12.0,6.0,12.0,2.0,13.0,15.0,,
EPAU15,Nord,,,12.0,8.0,12.0,7.0,12.0,3.0,13.0,6.0,13.0,5.0,,
ILUS17,Nord,12.0,15.0,,,12.0,2.0,12.0,6.0,13.0,6.0,,,13.0,14.0
ERIO19,Nord,,,12.0,7.0,12.0,6.0,12.0,6.0,13.0,3.0,13.0,8.0,,
EPAU21,Nord,,,12.0,9.0,12.0,8.0,12.0,4.0,13.0,7.0,13.0,8.0,,
ILUS23,Nord,12.0,15.0,,,12.0,1.0,13.0,5.0,13.0,6.0,,,13.0,15.0
ERIO25,Nord,,,12.0,6.0,12.0,6.0,13.0,6.0,13.0,3.0,13.0,7.0,,
EPAU27,Nord,,,12.0,9.0,12.0,8.0,13.0,4.0,13.0,7.0,13.0,8.0,,
ILUS29,Nord,12.0,15.0,,,12.0,1.0,13.0,5.0,13.0,6.0,,,13.0,15.0
ERIO31,Nord,,,12.0,6.0,13.0,6.0,13.0,6.0,13.0,3.0,13.0,7.0,,
EPAU33,Nord,,,13.0,10.0,13.0,9.0,13.0,5.0,13.0,8.0,14.0,9.0,,
ILUS35,Nord,13.0,15.0,,,13.0,0.0,13.0,4.0,13.0,4.0,,,14.0,15.0
ERIO37,Nord,,,13.0,5.0,13.0,6.0,13.0,6.0,13.0,3.0,14.0,6.0,,
EPAU39,Nord,,,13.0,9.0,13.0,8.0,13.0,3.0,14.0,6.0,14.0,8.0,,
ILUS41,Nord,13.0,15.0,,,13.0,2.0,13.0,6.0,14.0,6.0,,,14.0,15.0
ERIO43,Nord,,,13.0,6.0,13.0,6.0,13.0,6.0,14.0,3.0,14.0,8.0,,
EPAU45,Nord,,,13.0,9.0,13.0,8.0,13.0,4.0,14.0,7.0,14.0,7.0,,
ILUS47,Nord,13.0,15.0,,,13.0,1.0,14.0,5.0,14.0,8.0,,,14.0,18.0
ERIO49,Nord,,,13.0,6.0,13.0,6.0,14.0,6.0,14.0,1.0,14.0,8.0,,
EPAU51,Nord,,,13.0,8.0,13.0,7.0,14.0,3.0,14.0,7.0,14.0,8.0,,
ILUS53,Nord,13.0,15.0,,,13.0,2.0,14.0,6.0,14.0,4.0,,,14.0,13.0
ERIO55,Nord,,,13.0,7.0,14.0,6.0,14.0,6.0,14.0,3.0,14.0,6.0,,
EPAU57,Nord,,,14.0,8.0,14.0,7.0,14.0,3.0,14.0,6.0,15.0,7.0,,
ILUS59,Nord,14.0,15.0,,,14.0,2.0,14.0,6.0,14.0,6.0,,,15.0,15.0
ERIO61,Nord,,,14.0,7.0,14.0,6.0,14.0,6.0,14.0,3.0,15.0,8.0,,
EPAU63,Nord,,,14.0,8.0,14.0,7.0,14.0,3.0,15.0,6.0,15.0,7.0,,
ILUS65,Nord,14.0,15.0,,,14.0,2.0,14.0,6.0,15.0,6.0,,,15.0,15.0
ERIO67,Nord,,,14.0,7.0,14.0,6.0,14.0,6.0,15.0,3.0,15.0,8.0,,
EPAU69,Nord,,,14.0,9.0,14.0,8.0,14.0,4.0,15.0,6.0,15.0,7.0,,
ILUS71,Nord,14.0,15.0,,,14.0,1.0,15.0,5.0,15.0,6.0,,,15.0,15.0
ERIO73,Nord,,,14.0,6.0,14.0,6.0,15.0,7.0,15.0,4.0,15.0,8.0,,
EPAU75,Nord,,,14.0,9.0,14.0,8.0,15.0,3.0,15.0,6.0,15.0,8.0,,
ILUS77,Nord,14.0,15.0,,,14.0,1.0,15.0,7.0,15.0,10.0,,,15.0,21.0
ERIO79,Nord,,,14.0,8.0,15.0,8.0,15.0,6.0,15.0,2.0,15.0,11.0,,
EPAU81,Nord,,,15.0,8.0,15.0,0.0,15.0,3.0,15.0,5.0,16.0,6.0,,
ILUS83,Nord,15.0,15.0,,,15.0,7.0,15.0,6.0,15.0,6.0,,,16.0,12.0
ERIO85,Nord,,,15.0,5.0,15.0,6.0,15.0,5.0,15.0,0.0,16.0,4.0,,
EPAU87,Nord,,,15.0,9.0,15.0,8.0,15.0,3.0,16.0,6.0,16.0,11.0,,
ILUS89,Nord,15.0,15.0,,,15.0,1.0,15.0,6.0,16.0,7.0,,,16.0,13.0
ERIO91,Nord,,,15.0,6.0,15.0,6.0,15.0,5.0,16.0,3.0,16.0,7.0,,
EPAU93,Nord,,,15.0,10.0,15.0,9.0,15.0,5.0,16.0,7.0,16.0,7.0,,
ILUS95,Nord,15.0,15.0,,,15.0,0.0,16.0,4.0,16.0,4.0,,,16.0,14.0
ERIO97,Nord,,,15.0,5.0,15.0,6.0,16.0,6.0,16.0,3.0,16.0,4.0,,
EPAU99,Nord,,,15.0,10.0,15.0,0.0,16.0,5.0,16.0,11.0,16.0,17.0,,
ILAN01,Nord,15.0,15.0,,,15.0,9.0,16.0,12.0,16.0,14.0,,,16.0,27.0
ERSE03,Nord,,,15.0,5.0,16.0,6.0,16.0,4.0,16.0,1.0,17.0,11.0,,
EPIN05,Nord,,,16.0,10.0,16.0,9.0,16.0,1.0,16.0,5.0,17.0,6.0,,
ILAN07,Nord,16.0,16.0,,,16.0,1.0,16.0,5.0,16.0,2.0,,,17.0,8.0
EDME09,Nord,,,,,,,16.0,1.0,17.0,3.0,17.0,2.0,,
ECCI11,Nord,,,16.0,5.0,16.0,6.0,16.0,4.0,17.0,6.0,17.0,8.0,,
ICOR13,Nord,,,16.0,7.0,16.0,6.0,16.0,3.0,17.0,4.0,,,17.0,13.0
EGRE15,Nord,,,,,,,16.0,3.0,17.0,4.0,17.0,8.0,,
ILAN17,Nord,16.0,13.0,,,16.0,2.0,16.0,2.0,17.0,6.0,,,17.0,9.0
EGRE19,Nord,,,,,,,16.0,3.0,17.0,2.0,17.0,5.0,,
INKE21,Nord,,,16.0,7.0,16.0,6.0,16.0,3.0,17.0,3.0,,,17.0,8.0
EPIN23,Nord,,,16.0,9.0,16.0,8.0,16.0,3.0,17.0,3.0,17.0,9.0,,
IALE25,Nord,,,,,,,17.0,3.0,17.0,4.0,,,17.0,5.0
ELOI27,Nord,16.0,15.0,,,16.0,0.0,17.0,2.0,17.0,3.0,17.0,6.0,,
IALE29,Nord,,,,,,,17.0,3.0,17.0,3.0,,,17.0,4.0
ECCI31,Nord,,,16.0,6.0,16.0,6.0,17.0,3.0,17.0,3.0,17.0,5.0,,
ICOR33,Nord,,,16.0,9.0,16.0,8.0,17.0,3.0,17.0,2.0,,,17.0,5.0
EGRE35,Nord,,,,,,,17.0,2.0,17.0,2.0,17.0,4.0,,
ILAN37,Nord,16.0,15.0,,,16.0,1.0,17.0,4.0,17.0,1.0,,,17.0,2.0
ECCI39,Nord,,,16.0,5.0,17.0,5.0,17.0,3.0,17.0,3.0,18.0,4.0,,
ICOR41,Nord,,,17.0,8.0,17.0,7.0,17.0,3.0,17.0,3.0,,,17.0,6.0
EGRE43,Nord,,,,,,,17.0,1.0,17.0,3.0,18.0,6.0,,
ILAN45,Nord,17.0,12.0,,,17.0,0.0,17.0,4.0,17.0,3.0,,,18.0,6.0
ECCI47,Nord,,,17.0,3.0,17.0,3.0,17.0,4.0,17.0,2.0,18.0,5.0,,
IALE49,Nord,,,,,,,17.0,1.0,18.0,3.0,,,18.0,5.0
ELOI51,Nord,17.0,9.0,,,17.0,6.0,17.0,5.0,18.0,1.0,18.0,4.0,,
IDOR53,Nord,,,17.0,9.0,17.0,4.0,17.0,1.0,18.0,2.0,,,18.0,3.0
EMMA55,Nord,,,17.0,6.0,17.0,5.0,17.0,5.0,18.0,5.0,18.0,6.0,,
IJUR57,Nord,,,17.0,2.0,17.0,3.0,17.0,3.0,18.0,3.0,,,18.0,8.0
ELOI59,Nord,17.0,12.0,,,17.0,1.0,17.0,2.0,18.0,2.0,18.0,5.0,,
IRON61,Nord,,,17.0,3.0,17.0,3.0,17.0,1.0,18.0,2.0,,,18.0,4.0
EMMA63,Nord,,,17.0,4.0,17.0,4.0,17.0,4.0,18.0,4.0,18.0,6.0,,
IJUR65,Nord,,,17.0,4.0,17.0,3.0,17.0,3.0,18.0,3.0,,,18.0,7.0
ELOI67,Nord,17.0,12.0,,,17.0,2.0,18.0,2.0,18.0,2.0,18.0,5.0,,
IRON69,Nord,,,17.0,4.0,17.0,3.0,18.0,3.0,18.0,3.0,,,18.0,5.0
EMMA71,Nord,,,17.0,5.0,17.0,4.0,18.0,4.0,18.0,3.0,18.0,7.0,,
IJUR73,Nord,,,17.0,2.0,17.0,2.0,18.0,2.0,18.0,3.0,,,18.0,6.0
ELOI75,Nord,17.0,12.0,,,17.0,3.0,18.0,3.0,18.0,3.0,18.0,5.0,,
IRON77,Nord,,,17.0,5.0,17.0,3.0,18.0,3.0,18.0,3.0,,,18.0,6.0
EMMA79,Nord,,,17.0,4.0,17.0,3.0,18.0,3.0,18.0,3.0,18.0,6.0,,
IJUR81,Nord,,,17.0,4.0,18.0,4.0,18.0,4.0,18.0,4.0,,,18.0,7.0
ELOI83,Nord,18.0,12.0,,,18.0,1.0,18.0,2.0,18.0,2.0,19.0,6.0,,
IRON85,Nord,,,18.0,4.0,18.0,3.0,18.0,3.0,18.0,3.0,,,18.0,5.0
EMMA87,Nord,,,18.0,4.0,18.0,3.0,18.0,3.0,18.0,3.0,19.0,6.0,,
IJUR89,Nord,,,18.0,3.0,18.0,3.0,18.0,3.0,18.0,3.0,,,19.0,6.0
ELOI91,Nord,18.0,12.0,,,18.0,3.0,18.0,3.0,19.0,3.0,19.0,6.0,,
IRON93,Nord,,,18.0,5.0,18.0,3.0,18.0,3.0,19.0,3.0,,,19.0,6.0
EMMA95,Nord,,,18.0,4.0,18.0,3.0,18.0,3.0,19.0,3.0,19.0,6.0,,
IJUR97,Nord,,,18.0,3.0,18.0,3.0,18.0,3.0,19.0,3.0,,,19.0,6.0
ELOI99,Nord,18.0,12.0,,,18.0,3.0,18.0,3.0,19.0,3.0,19.0,6.0,,
IRMA01,Nord,,,18.0,5.0,18.0,3.0,18.0,3.0,19.0,3.0,,,19.0,6.0
EMUE03,Nord,,,18.0,4.0,18.0,3.0,18.0,3.0,19.0,3.0,19.0,6.0,,
IJEL05,Nord,,,18.0,3.0,18.0,3.0,18.0,3.0,19.0,3.0,,,19.0,6.0
ELEC07,Nord,18.0,12.0,,,18.0,3.0,19.0,3.0,19.0,3.0,19.0,6.0,,
IRMA09,Nord,,,18.0,5.0,18.0,3.0,19.0,3.0,19.0,3.0,,,19.0,6.0
EMUE11,Nord,,,18.0,4.0,18.0,3.0,19.0,3.0,19.0,3.0,19.0,6.0,,
IJEL13,Nord,,,18.0,3.0,18.0,3.0,19.0,3.0,19.0,3.0,,,19.0,6.0
EMUE19,Nord,,,18.0,9.0,18.0,9.0,19.0,9.0,19.0,9.0,19.0,12.0,,
IJEL21,Nord,,,18.0,3.0,19.0,3.0,19.0,3.0,19.0,3.0,,,19.0,12.0
INCA07,Nord,,,,,,,,,,,,,6.0,
ELAN13,Nord,,,,,,,,,6.0,6.0,6.0,8.0,,
ICAR11,Nord,,,,,,,,,6.0,3.0,,,6.0,12.0
JKZZ02,Nord,,,11.0,4.0,11.0,4.0,,,,,,,,
ECCO09,Nord,,,,,,,,,6.0,,6.0,15.0,,
ELAN05,Nord,,,,,,,,,,,6.0,,,
ICAR17,Nord,,,,,,,,,6.0,3.0,,,6.0,15.0
ECCO15,Nord,,,,,,,,,6.0,6.0,6.0,6.0,,
KOCQ14,Sud,,,6.0,9.0,6.0,7.0,6.0,,,,,,,
SOSI16,Sud,6.0,13.0,,,6.0,6.0,6.0,5.0,,,,,,
PROC18,Sud,,,6.0,8.0,6.0,3.0,6.0,6.0,,,,,,
KOCQ20,Sud,,,6.0,8.0,6.0,0.0,6.0,4.0,,,,,,
SOSI22,Sud,6.0,6.0,,,6.0,5.0,6.0,6.0,,,,,,
PROC24,Sud,,,6.0,5.0,6.0,1.0,6.0,5.0,6.0,,,,,
KOCQ26,Sud,,,6.0,9.0,6.0,8.0,6.0,3.0,6.0,3.0,,,,
SOSI28,Sud,6.0,15.0,,,6.0,7.0,6.0,7.0,6.0,6.0,,,6.0,
PROC30,Sud,,,7.0,6.0,6.0,1.0,6.0,6.0,6.0,5.0,,,,
KOCQ32,Sud,,,7.0,10.0,7.0,9.0,6.0,5.0,6.0,3.0,6.0,,,
SOSI34,Sud,7.0,15.0,,,7.0,5.0,6.0,6.0,6.0,6.0,,,6.0,14.0
PLIC36,Sud,,,7.0,9.0,7.0,5.0,7.0,9.0,6.0,10.0,,,6.0,11.0
PUMA38,Sud,,,7.0,9.0,7.0,8.0,7.0,2.0,6.0,1.0,6.0,15.0,,
SOSI40,Sud,7.0,16.0,,,7.0,3.0,7.0,4.0,6.0,4.0,,,6.0,5.0
KLEE44,Sud,,,7.0,3.0,7.0,2.0,7.0,4.0,6.0,2.0,,,6.0,6.0
LORE42,Sud,,,7.0,5.0,7.0,3.0,7.0,0.0,6.0,3.0,6.0,9.0,,
STIN46,Sud,7.0,9.0,,,7.0,4.0,7.0,3.0,6.0,3.0,6.0,6.0,,
PAUL48,Sud,,,7.0,6.0,7.0,3.0,7.0,3.0,6.0,3.0,,,6.0,5.0
LORE50,Sud,,,7.0,4.0,7.0,4.0,7.0,4.0,6.0,3.0,6.0,6.0,,
STIN54,Sud,7.0,12.0,,,7.0,6.0,7.0,6.0,7.0,6.0,6.0,7.0,,
KLEE52,Sud,,,7.0,7.0,7.0,1.0,7.0,0.0,7.0,1.0,,,6.0,10.0
PAUL56,Sud,,,7.0,2.0,7.0,3.0,7.0,4.0,7.0,5.0,,,7.0,4.0
LORE58,Sud,,,7.0,2.0,7.0,2.0,7.0,2.0,7.0,0.0,6.0,6.0,,
KLEE60,Sud,,,8.0,5.0,7.0,5.0,7.0,5.0,7.0,5.0,,,7.0,4.0
STIN62,Sud,8.0,15.0,,,8.0,4.0,7.0,4.0,7.0,0.0,7.0,6.0,,
PAUL64,Sud,,,8.0,5.0,8.0,2.0,7.0,4.0,7.0,4.0,,,7.0,6.0
LORE66,Sud,,,8.0,3.0,8.0,3.0,7.0,1.0,7.0,2.0,7.0,6.0,,
KLEE68,Sud,,,8.0,4.0,8.0,4.0,7.0,5.0,7.0,3.0,,,7.0,6.0
STIN70,Sud,8.0,11.0,,,8.0,2.0,7.0,2.0,7.0,3.0,7.0,6.0,,
PAUL72,Sud,,,8.0,5.0,8.0,4.0,7.0,3.0,7.0,3.0,,,7.0,6.0
LORE74,Sud,,,8.0,3.0,8.0,0.0,7.0,1.0,7.0,3.0,7.0,7.0,,
KLEE76,Sud,,,8.0,1.0,8.0,3.0,7.0,2.0,7.0,3.0,,,7.0,6.0
STIN78,Sud,8.0,10.0,,,8.0,3.0,8.0,3.0,7.0,4.0,7.0,6.0,,
PAUL80,Sud,,,8.0,7.0,8.0,5.0,8.0,5.0,7.0,4.0,,,7.0,7.0
LORE82,Sud,,,8.0,3.0,8.0,3.0,8.0,3.0,7.0,3.0,7.0,6.0,,
KLEE84,Sud,,,8.0,4.0,8.0,3.0,8.0,3.0,7.0,2.0,,,7.0,5.0
STIN86,Sud,8.0,13.0,,,8.0,3.0,8.0,4.0,7.0,3.0,7.0,6.0,,
PAUL88,Sud,,,8.0,6.0,8.0,4.0,8.0,3.0,7.0,3.0,,,7.0,6.0
LORE90,Sud,,,8.0,4.0,8.0,4.0,8.0,4.0,7.0,3.0,7.0,6.0,,
KLEE92,Sud,,,8.0,6.0,8.0,5.0,8.0,5.0,8.0,3.0,,,7.0,6.0
STIN94,Sud,8.0,16.0,,,8.0,3.0,8.0,1.0,8.0,3.0,7.0,7.0,,
LORE98,Sud,,,8.0,3.0,8.0,1.0,8.0,3.0,8.0,2.0,7.0,6.0,,
PAUL96,Sud,,,9.0,5.0,8.0,5.0,8.0,6.0,8.0,3.0,,,8.0,7.0
KLAC10,Sud,,,9.0,13.0,9.0,13.0,8.0,12.0,8.0,4.0,,,8.0,3.0
KLAC02,Sud,,,9.0,1.0,9.0,1.0,8.0,1.0,8.0,7.0,,,8.0,7.0
STRI04,Sud,9.0,22.0,,,9.0,3.0,8.0,1.0,8.0,0.0,8.0,6.0,,
PAGE06,Sud,,,9.0,5.0,9.0,3.0,8.0,4.0,8.0,0.0,,,8.0,7.0
KLAC18,Sud,,,9.0,4.0,9.0,3.0,9.0,5.0,8.0,3.0,,,8.0,5.0
LORD08,Sud,,,9.0,4.0,9.0,5.0,9.0,0.0,8.0,6.0,8.0,6.0,,
STRI12,Sud,9.0,0.0,,,9.0,0.0,9.0,1.0,8.0,4.0,8.0,6.0,,
LORD16,Sud,,,9.0,3.0,9.0,3.0,9.0,6.0,8.0,2.0,8.0,6.0,,
KFON26,Sud,,,9.0,3.0,9.0,2.0,9.0,3.0,8.0,3.0,,,8.0,5.0
PAGE14,Sud,,,9.0,0.0,9.0,1.0,9.0,0.0,8.0,2.0,,,8.0,7.0
STRI20,Sud,9.0,9.0,,,9.0,3.0,9.0,5.0,8.0,3.0,8.0,6.0,,
PPIT22,Sud,,,9.0,6.0,9.0,3.0,9.0,1.0,8.0,5.0,,,8.0,7.0
USER32,Sud,,,,,,,9.0,3.0,8.0,3.0,8.0,6.0,,
USER24,Sud,,,9.0,4.0,9.0,4.0,9.0,1.0,8.0,1.0,8.0,6.0,,
USER28,Sud,,,,,,,9.0,3.0,8.0,4.0,8.0,6.0,,
