mission,direction,heure_re_sceaux,delta_sceaux,heure_re_antony,delta_antony,heure_re_bourg_la_reine,delta_bourg_la_reine,heure_re_chatelet,delta_chatelet,heure_re_aulnay,delta_aulnay,heure_re_cdg1,delta_cdg1,heure_re_vert_galant,delta_vert_galant
ELAN19,Nord,,,,,,,6.0,,6.0,6.0,6.0,12.0,,
ECCO21,Nord,,,,,,,6.0,6.0,6.0,6.0,6.0,6.0,,
ICAR23,Nord,,,,,,,6.0,3.0,6.0,3.0,,,6.0,15.0
ELAN25,Nord,,,,,5.0,,6.0,6.0,6.0,6.0,6.0,6.0,,
ECCO27,Nord,,,,,6.0,6.0,6.0,6.0,6.0,5.0,7.0,5.0,,
ICAR29,Nord,,,6.0,,6.0,8.0,6.0,4.0,6.0,4.0,,,6.0,15.0
ELAN31,Nord,6.0,,,,6.0,2.0,6.0,6.0,6.0,6.0,7.0,12.0,,
ECCO33,Nord,,,6.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0,,
ICAR35,Nord,,,6.0,9.0,6.0,8.0,6.0,4.0,7.0,4.0,,,7.0,16.0
ELAN37,Nord,6.0,15.0,,,6.0,2.0,6.0,5.0,7.0,7.0,7.0,10.0,,
ECCO39,Nord,,,6.0,6.0,6.0,6.0,6.0,6.0,7.0,5.0,7.0,3.0,,
ISOL41,Nord,,,6.0,6.0,6.0,5.0,6.0,4.0,7.0,3.0,,,7.0,15.0
GEDO43,Nord,6.0,12.0,,,6.0,1.0,7.0,3.0,,,,,,
ECCO45,Nord,,,6.0,6.0,6.0,6.0,7.0,5.0,7.0,8.0,7.0,11.0,,
GONG47,Nord,,,6.0,5.0,6.0,4.0,7.0,4.0,,,,,,
EAST49,Nord,,,,,,,7.0,2.0,7.0,6.0,7.0,6.0,,
IVAN51,Nord,,,6.0,5.0,6.0,6.0,7.0,4.0,7.0,5.0,,,7.0,19.0
ELFE53,Nord,6.0,17.0,,,6.0,2.0,7.0,2.0,7.0,3.0,7.0,7.0,,
GSOL55,Nord,,,6.0,5.0,7.0,5.0,7.0,4.0,,,,,,
EMIR57,Nord,,,7.0,4.0,7.0,2.0,7.0,3.0,7.0,6.0,8.0,6.0,,
IVAN59,Nord,,,7.0,3.0,7.0,3.0,7.0,3.0,7.0,3.0,,,7.0,12.0
ELFE61,Nord,7.0,12.0,,,7.0,2.0,7.0,2.0,7.0,4.0,8.0,7.0,,
GUAD63,Nord,,,7.0,4.0,7.0,3.0,7.0,3.0,,,,,,
EMIR65,Nord,,,7.0,4.0,7.0,3.0,7.0,3.0,8.0,5.0,8.0,5.0,,
IVAN67,Nord,,,7.0,4.0,7.0,4.0,7.0,4.0,8.0,3.0,,,8.0,12.0
ELFE69,Nord,7.0,12.0,,,7.0,2.0,7.0,2.0,8.0,2.0,8.0,6.0,,
GUAD71,Nord,,,7.0,4.0,7.0,3.0,7.0,3.0,,,,,,
EMIR73,Nord,,,7.0,4.0,7.0,3.0,7.0,3.0,8.0,6.0,8.0,5.0,,
IVAN75,Nord,,,7.0,3.0,7.0,3.0,7.0,4.0,8.0,3.0,,,8.0,10.0
ELFE77,Nord,7.0,12.0,,,7.0,2.0,7.0,2.0,8.0,2.0,8.0,5.0,,
GUAD79,Nord,,,7.0,5.0,7.0,4.0,7.0,4.0,,,,,,
EMIR81,Nord,,,7.0,4.0,7.0,7.0,8.0,7.0,8.0,11.0,8.0,11.0,,
IVAN83,Nord,,,7.0,4.0,7.0,0.0,8.0,3.0,8.0,4.0,,,8.0,17.0
ELFE85,Nord,7.0,14.0,,,7.0,3.0,8.0,2.0,8.0,2.0,8.0,6.0,,
GUAD87,Nord,,,7.0,4.0,7.0,2.0,8.0,0.0,,,,,,
EMIR89,Nord,,,7.0,4.0,7.0,5.0,8.0,6.0,8.0,6.0,8.0,6.0,,
IVAN91,Nord,,,7.0,4.0,7.0,2.0,8.0,3.0,8.0,5.0,,,8.0,14.0
ELFE93,Nord,7.0,10.0,,,7.0,1.0,8.0,3.0,8.0,2.0,9.0,8.0,,
GUAD95,Nord,,,7.0,4.0,8.0,4.0,8.0,3.0,,,,,,
EMIR97,Nord,,,8.0,4.0,8.0,3.0,8.0,4.0,8.0,6.0,9.0,5.0,,
IVAN99,Nord,,,8.0,3.0,8.0,3.0,8.0,2.0,8.0,3.0,,,9.0,11.0
