date_observation,heure_th,direction,score_regularite_sceaux,score_regularite_antony,score_regularite_bourg_la_reine,score_regularite_chatelet,score_regularite_aulnay,score_regularite_cdg1,score_regularite_vert_galant
2026-04-14 17:10:06.415259,17.0,Sud,93,93,83,81,84,100,98
2026-04-14 17:15:05.738655,17.0,Nord,100,94,93,93,88,92,91
2026-04-14 17:15:05.738655,17.0,Sud,92,89,77,77,87,100,98
2026-04-14 17:20:05.524884,17.0,Nord,100,94,93,93,87,93,91
2026-04-14 17:20:05.524884,17.0,Sud,92,89,73,77,87,98,98
2026-04-14 17:25:05.865819,17.0,Nord,100,94,93,93,87,90,91
2026-04-14 17:25:05.865819,17.0,Sud,92,89,75,75,87,98,98
2026-04-14 17:30:06.875738,17.0,Nord,100,92,91,90,80,87,89
2026-04-14 17:30:06.875738,17.0,Sud,92,91,82,76,84,98,98
2026-04-14 17:35:06.137833,17.0,Nord,100,90,91,90,85,88,87
2026-04-14 17:35:06.137833,17.0,Sud,92,91,82,75,83,98,98
2026-04-14 17:40:05.282863,17.0,Nord,100,90,91,87,85,88,87
2026-04-14 17:40:05.282863,17.0,Sud,92,91,80,68,84,97,97
