mission,direction,heure_re_sceaux,delta_sceaux,heure_re_antony,delta_antony,heure_re_bourg_la_reine,delta_bourg_la_reine,heure_re_chatelet,delta_chatelet,heure_re_aulnay,delta_aulnay,heure_re_cdg1,delta_cdg1,heure_re_vert_galant,delta_vert_galant
ELAN05,Nord,2026-04-16 05:03:18+02:00,,,,2026-04-16 05:05:26+02:00,,2026-04-16 05:25:49+02:00,,2026-04-16 05:49:33+02:00,22.0,2026-04-16 06:03:23+02:00,33.0,,
INCA07,Nord,,,2026-04-16 05:05:49+02:00,,2026-04-16 05:11:37+02:00,6.0,2026-04-16 05:31:49+02:00,6.0,2026-04-16 05:54:25+02:00,5.0,,,2026-04-16 06:00:35+02:00,26.0
ECCO09,Nord,,,2026-04-16 05:15:22+02:00,10.0,2026-04-16 05:21:10+02:00,10.0,2026-04-16 05:41:22+02:00,10.0,2026-04-16 06:05:30+02:00,11.0,2026-04-16 06:19:37+02:00,16.0,,
ICAR11,Nord,,,2026-04-16 05:23:52+02:00,9.0,2026-04-16 05:28:24+02:00,7.0,2026-04-16 05:44:12+02:00,3.0,2026-04-16 06:07:29+02:00,2.0,,,2026-04-16 06:13:39+02:00,13.0
ELAN13,Nord,2026-04-16 05:27:33+02:00,24.0,,,2026-04-16 05:29:26+02:00,1.0,2026-04-16 05:49:49+02:00,6.0,2026-04-16 06:12:41+02:00,5.0,2026-04-16 06:26:31+02:00,7.0,,
ECCO15,Nord,,,2026-04-16 05:29:19+02:00,5.0,2026-04-16 05:35:07+02:00,6.0,2026-04-16 05:55:49+02:00,6.0,2026-04-16 06:19:51+02:00,7.0,2026-04-16 06:33:41+02:00,7.0,,
ICAR17,Nord,,,2026-04-16 05:38:51+02:00,10.0,2026-04-16 05:43:23+02:00,8.0,2026-04-16 05:59:46+02:00,4.0,2026-04-16 06:22:40+02:00,3.0,,,2026-04-16 06:28:50+02:00,15.0
ELAN19,Nord,2026-04-16 05:42:33+02:00,15.0,,,2026-04-16 05:44:26+02:00,1.0,2026-04-16 06:04:49+02:00,5.0,2026-04-16 06:27:56+02:00,5.0,2026-04-16 06:44:48+02:00,11.0,,
ECCO21,Nord,,,2026-04-16 05:44:30+02:00,6.0,2026-04-16 05:50:18+02:00,6.0,2026-04-16 06:11:00+02:00,6.0,2026-04-16 06:33:40+02:00,6.0,2026-04-16 06:50:30+02:00,6.0,,
ICAR23,Nord,,,2026-04-16 05:53:52+02:00,9.0,2026-04-16 05:58:14+02:00,8.0,2026-04-16 06:14:27+02:00,3.0,2026-04-16 06:37:01+02:00,3.0,,,2026-04-16 06:43:11+02:00,14.0
