date_observation,direction,ecart_moyen,ecart_median,ecart_max
2026-04-13 19:20:05.882253,Nord,7.923076923076923,10.0,18
2026-04-13 19:20:05.882253,Sud,4.8076923076923075,4.0,12
2026-04-13 19:25:07.866831,Nord,7.84,7.0,18
2026-04-13 19:25:07.866831,Sud,3.8,4.0,11
2026-04-13 19:30:06.119355,Nord,7.08,7.0,17
2026-04-13 19:30:06.119355,Sud,3.4615384615384617,4.0,10
2026-04-13 19:35:07.100075,Nord,7.041666666666667,6.0,18
2026-04-13 19:35:07.100075,Sud,3.6923076923076925,4.0,10
2026-04-13 19:40:06.586039,Nord,6.576923076923077,5.5,17
2026-04-13 19:40:06.586039,Sud,3.892857142857143,3.5,11
2026-04-13 19:45:06.478723,Nord,6.576923076923077,5.5,17
2026-04-13 19:45:06.478723,Sud,3.413793103448276,3.0,12
2026-04-13 19:50:09.886760,Nord,6.6923076923076925,7.0,16
2026-04-13 19:50:09.886760,Sud,3.3333333333333335,3.0,10
2026-04-13 19:55:06.993389,Nord,6.48,8.0,16
2026-04-13 19:55:06.993389,Sud,3.310344827586207,3.0,10
2026-04-13 20:00:07.002965,Nord,6.291666666666667,7.5,12
2026-04-13 20:00:07.002965,Sud,2.8214285714285716,2.0,10
2026-04-13 20:05:06.269504,Nord,6.5,7.5,12
2026-04-13 20:05:06.269504,Sud,2.4285714285714284,1.0,10
2026-04-13 20:10:06.569336,Nord,7.363636363636363,10.0,13
2026-04-13 20:10:06.569336,Sud,2.32,1.0,10
2026-04-13 20:15:07.628422,Nord,8.3,11.0,14
2026-04-13 20:15:07.628422,Sud,2.260869565217391,1.0,10
2026-04-13 20:20:07.457095,Nord,7.904761904761905,10.0,14
2026-04-13 20:20:07.457095,Sud,1.8636363636363635,1.0,10
2026-04-13 20:25:06.253407,Nord,7.75,9.5,14
2026-04-13 20:25:06.253407,Sud,1.5263157894736843,0.0,10
2026-04-13 20:30:06.182683,Nord,7.05,8.0,15
2026-04-13 20:30:06.182683,Sud,1.4444444444444444,0.0,10
2026-04-13 20:35:07.647806,Nord,6.944444444444445,9.0,14
2026-04-13 20:35:07.647806,Sud,1.1875,1.0,8
2026-04-13 20:40:06.487060,Nord,5.842105263157895,6.0,15
2026-04-13 20:40:06.487060,Sud,1.0625,0.5,8
2026-04-13 20:45:08.465083,Nord,5.842105263157895,6.0,14
