id,mission,direction,date_observation,ecart_max
1,ECCO09,Nord,2026-04-14 06:00:07.238887,1
2,ECCO15,Nord,2026-04-14 06:00:07.238887,1
3,ECCO21,Nord,2026-04-14 06:00:07.238887,0
4,ECCO27,Nord,2026-04-14 06:00:07.238887,0
5,ELAN05,Nord,2026-04-14 06:00:07.238887,1
6,ELAN13,Nord,2026-04-14 06:00:07.238887,0
7,ELAN19,Nord,2026-04-14 06:00:07.238887,0
8,ELAN25,Nord,2026-04-14 06:00:07.238887,0
9,ICAR11,Nord,2026-04-14 06:00:07.238887,0
10,ICAR17,Nord,2026-04-14 06:00:07.238887,0
11,ICAR23,Nord,2026-04-14 06:00:07.238887,0
12,ICAR29,Nord,2026-04-14 06:00:07.238887,0
13,KOCQ08,Sud,2026-04-14 06:00:07.238887,0
14,KOCQ14,Sud,2026-04-14 06:00:07.238887,1
15,KOCQ20,Sud,2026-04-14 06:00:07.238887,2
16,KOCQ26,Sud,2026-04-14 06:00:07.238887,0
17,PLIC06,Sud,2026-04-14 06:00:07.238887,0
18,PROC12,Sud,2026-04-14 06:00:07.238887,0
19,PROC18,Sud,2026-04-14 06:00:07.238887,2
20,SOSI10,Sud,2026-04-14 06:00:07.238887,2
21,SOSI16,Sud,2026-04-14 06:00:07.238887,0
22,SOSI22,Sud,2026-04-14 06:00:07.238887,0
23,SOSI28,Sud,2026-04-14 06:00:07.238887,0
24,ECCO09,Nord,2026-04-14 06:05:08.127285,0
25,ECCO15,Nord,2026-04-14 06:05:08.127285,1
26,ECCO21,Nord,2026-04-14 06:05:08.127285,0
27,ECCO27,Nord,2026-04-14 06:05:08.127285,0
28,ELAN13,Nord,2026-04-14 06:05:08.127285,0
29,ELAN19,Nord,2026-04-14 06:05:08.127285,0
30,ELAN25,Nord,2026-04-14 06:05:08.127285,0
31,ICAR11,Nord,2026-04-14 06:05:08.127285,0
32,ICAR17,Nord,2026-04-14 06:05:08.127285,0
33,ICAR23,Nord,2026-04-14 06:05:08.127285,0
34,ICAR29,Nord,2026-04-14 06:05:08.127285,0
35,ICAR35,Nord,2026-04-14 06:05:08.127285,0
36,KOCQ08,Sud,2026-04-14 06:05:08.127285,0
37,KOCQ14,Sud,2026-04-14 06:05:08.127285,-1
38,KOCQ20,Sud,2026-04-14 06:05:08.127285,2
39,KOCQ26,Sud,2026-04-14 06:05:08.127285,0
40,PLIC06,Sud,2026-04-14 06:05:08.127285,0
41,PROC12,Sud,2026-04-14 06:05:08.127285,0
42,PROC18,Sud,2026-04-14 06:05:08.127285,1
