mission,type_mission,destination,Robinson,Fontenay-aux-Roses,Sceaux,Saint-Rémy-lès-Chevreuse,Courcelle sur Yvette,Gif-sur-Yvette,La Hacquinière,Bures-sur-Yvette,Orsay Ville,Le Guichet,Lozère,Palaiseau - Villebon,Palaiseau,Massy - Palaiseau,Massy - Verrières,Les Baconnets,Fontaine Michalon,Antony,La Croix de Berny,Parc de Sceaux,Bourg-la-Reine,Bagneux,Arcueil - Cachan,Laplace,Gentilly,Cité Universitaire,Denfert-Rochereau,Port Royal,Luxembourg,Saint-Michel Notre-Dame,Châtelet les Halles,Gare du Nord,La Plaine Stade de France,La Courneuve - Aubervilliers,Le Bourget,Drancy,Le Blanc-Mesnil,Aulnay-sous-Bois,Sevran Beaudottes,Villepinte,Parc des Expositions,Aéroport CDG 1 (Terminal 3) - RER,Aéroport Charles de Gaulle 2 (Terminal 2),Sevran - Livry,Vert Galant,Villeparisis - Mitry-le-Neuf,Mitry - Claye,gare_depart,nb_arrets_desservis,date_observation
PAUL80,PAUL,Saint-Rémy-lès-Chevreuse,,,,,2026-03-26 08:55:18+01:00,2026-03-26 08:52:10+01:00,2026-03-26 08:50:12+01:00,2026-03-26 08:48:20+01:00,2026-03-26 08:46:23+01:00,2026-03-26 08:44:00+01:00,,,,2026-03-26 08:38:09+01:00,,,,2026-03-26 08:31:34+01:00,2026-03-26 08:29:39+01:00,,2026-03-26 08:26:44+01:00,2026-03-26 08:24:01+01:00,2026-03-26 08:22:13+01:00,2026-03-26 08:20:05+01:00,2026-03-26 08:18:09+01:00,2026-03-26 08:16:27+01:00,2026-03-26 08:13:54+01:00,2026-03-26 08:11:36+01:00,2026-03-26 08:10:01+01:00,2026-03-26 08:08:09+01:00,2026-03-26 08:05:47+01:00,2026-03-26 08:02:00+01:00,2026-03-26 07:56:20+01:00,2026-03-26 07:53:30+01:00,2026-03-26 07:50:00+01:00,2026-03-26 07:47:10+01:00,2026-03-26 07:45:00+01:00,2026-03-26 07:42:50+01:00,,,,,,,,,,Aulnay-sous-Bois,27,2026-03-26 07:43:25.450499+01:00
EAST49,EAST,Aéroport Charles de Gaulle 2 (Terminal 2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-03-26 07:44:20+01:00,2026-03-26 07:50:00+01:00,,,,,,Parc des Expositions,2,2026-03-26 07:43:25.450499+01:00
GUIZ27,GUIZ,Aulnay-sous-Bois,,,,,,,,,,,,,,2026-03-26 08:37:33+01:00,2026-03-26 08:39:48+01:00,2026-03-26 08:41:46+01:00,,2026-03-26 08:44:39+01:00,2026-03-26 08:46:25+01:00,2026-03-26 08:48:08+01:00,2026-03-26 08:50:17+01:00,2026-03-26 08:52:46+01:00,2026-03-26 08:54:31+01:00,2026-03-26 08:56:34+01:00,2026-03-26 08:58:21+01:00,2026-03-26 09:00:12+01:00,2026-03-26 09:03:02+01:00,2026-03-26 09:04:49+01:00,2026-03-26 09:06:23+01:00,2026-03-26 09:08:59+01:00,2026-03-26 09:11:00+01:00,2026-03-26 09:15:00+01:00,2026-03-26 09:20:10+01:00,2026-03-26 09:22:40+01:00,2026-03-26 09:25:50+01:00,2026-03-26 09:28:30+01:00,2026-03-26 09:30:40+01:00,,,,,,,,,,,Massy - Palaiseau,23,2026-03-26 07:43:25.450499+01:00
IVAN51,IVAN,Mitry - Claye,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-03-26 07:42:40+01:00,2026-03-26 07:45:30+01:00,2026-03-26 07:48:40+01:00,,Sevran - Livry,3,2026-03-26 07:43:25.450499+01:00
KLEE68,KLEE,Massy-Palaiseau,,,,,,,,,,,,,,,2026-03-26 08:19:12+01:00,2026-03-26 08:17:23+01:00,,2026-03-26 08:14:35+01:00,2026-03-26 08:12:40+01:00,2026-03-26 08:10:46+01:00,2026-03-26 08:08:54+01:00,2026-03-26 08:06:11+01:00,2026-03-26 08:04:23+01:00,2026-03-26 08:02:15+01:00,2026-03-26 08:00:19+01:00,2026-03-26 07:58:32+01:00,2026-03-26 07:55:54+01:00,2026-03-26 07:53:36+01:00,2026-03-26 07:52:01+01:00,2026-03-26 07:50:09+01:00,2026-03-26 07:47:47+01:00,2026-03-26 07:44:00+01:00,,,,,,,,,,,,,,,,Gare du Nord,17,2026-03-26 07:43:25.450499+01:00
USER32,USER,Laplace,,,,,,,,,,,,,,,,,,,,,,,,,2026-03-26 09:33:09+01:00,2026-03-26 09:31:27+01:00,2026-03-26 09:28:54+01:00,2026-03-26 09:26:36+01:00,2026-03-26 09:25:01+01:00,2026-03-26 09:23:09+01:00,2026-03-26 09:20:47+01:00,2026-03-26 09:17:00+01:00,2026-03-26 09:11:20+01:00,2026-03-26 09:08:30+01:00,2026-03-26 09:05:00+01:00,2026-03-26 09:02:10+01:00,2026-03-26 09:00:00+01:00,2026-03-26 08:57:50+01:00,2026-03-26 08:54:10+01:00,2026-03-26 08:51:20+01:00,2026-03-26 08:49:20+01:00,2026-03-26 08:44:00+01:00,2026-03-26 08:36:50+01:00,,,,,Aéroport Charles de Gaulle 2 (Terminal 2),19,2026-03-26 07:43:25.450499+01:00
IVIS15,IVIS,Mitry - Claye,,,,2026-03-26 07:59:52+01:00,2026-03-26 08:03:03+01:00,2026-03-26 08:06:10+01:00,2026-03-26 08:08:06+01:00,2026-03-26 08:09:58+01:00,2026-03-26 08:12:48+01:00,2026-03-26 08:15:07+01:00,,,2026-03-26 08:19:38+01:00,2026-03-26 08:22:20+01:00,,,,2026-03-26 08:27:15+01:00,2026-03-26 08:29:06+01:00,,2026-03-26 08:32:07+01:00,2026-03-26 08:34:36+01:00,2026-03-26 08:36:26+01:00,2026-03-26 08:38:29+01:00,2026-03-26 08:40:16+01:00,2026-03-26 08:42:12+01:00,2026-03-26 08:45:02+01:00,2026-03-26 08:46:49+01:00,2026-03-26 08:48:23+01:00,2026-03-26 08:50:59+01:00,2026-03-26 08:53:00+01:00,2026-03-26 08:57:00+01:00,2026-03-26 09:02:10+01:00,2026-03-26 09:04:40+01:00,2026-03-26 09:07:50+01:00,2026-03-26 09:10:30+01:00,2026-03-26 09:12:40+01:00,2026-03-26 09:15:20+01:00,,,,,,2026-03-26 09:18:40+01:00,2026-03-26 09:21:30+01:00,2026-03-26 09:24:40+01:00,,Saint-Rémy-lès-Chevreuse,32,2026-03-26 07:43:25.450499+01:00
ELFE93,ELFE,Aéroport Charles de Gaulle 2 (Terminal 2),2026-03-26 07:52:33+01:00,2026-03-26 07:55:04+01:00,2026-03-26 07:56:48+01:00,,,,,,,,,,,,,,,,,,2026-03-26 07:59:06+01:00,2026-03-26 08:01:41+01:00,2026-03-26 08:03:26+01:00,2026-03-26 08:05:29+01:00,2026-03-26 08:07:16+01:00,2026-03-26 08:09:12+01:00,2026-03-26 08:12:02+01:00,2026-03-26 08:13:49+01:00,2026-03-26 08:15:23+01:00,2026-03-26 08:17:59+01:00,2026-03-26 08:20:00+01:00,2026-03-26 08:24:00+01:00,2026-03-26 08:29:10+01:00,2026-03-26 08:31:40+01:00,2026-03-26 08:34:50+01:00,2026-03-26 08:37:30+01:00,2026-03-26 08:39:40+01:00,2026-03-26 08:42:10+01:00,2026-03-26 08:45:30+01:00,2026-03-26 08:48:00+01:00,2026-03-26 08:50:20+01:00,2026-03-26 08:56:00+01:00,,,,,,Robinson,25,2026-03-26 07:43:25.450499+01:00
IVIS23,IVIS,Mitry - Claye,,,,2026-03-26 08:11:52+01:00,2026-03-26 08:15:03+01:00,2026-03-26 08:18:10+01:00,2026-03-26 08:20:06+01:00,2026-03-26 08:21:58+01:00,2026-03-26 08:24:48+01:00,2026-03-26 08:27:07+01:00,,,2026-03-26 08:31:38+01:00,2026-03-26 08:34:20+01:00,,,,2026-03-26 08:39:15+01:00,2026-03-26 08:41:06+01:00,,2026-03-26 08:44:07+01:00,2026-03-26 08:46:36+01:00,2026-03-26 08:48:26+01:00,2026-03-26 08:50:29+01:00,2026-03-26 08:52:16+01:00,2026-03-26 08:54:12+01:00,2026-03-26 08:57:02+01:00,2026-03-26 08:58:49+01:00,2026-03-26 09:00:23+01:00,2026-03-26 09:02:59+01:00,2026-03-26 09:05:00+01:00,2026-03-26 09:09:00+01:00,2026-03-26 09:14:10+01:00,2026-03-26 09:16:40+01:00,2026-03-26 09:19:50+01:00,2026-03-26 09:22:30+01:00,2026-03-26 09:24:40+01:00,2026-03-26 09:27:20+01:00,,,,,,2026-03-26 09:30:40+01:00,2026-03-26 09:33:30+01:00,2026-03-26 09:36:40+01:00,,Saint-Rémy-lès-Chevreuse,32,2026-03-26 07:43:25.450499+01:00
LORE90,LORE,Orsay-Ville,,,,,,,,,,2026-03-26 09:04:38+01:00,2026-03-26 09:02:17+01:00,2026-03-26 08:59:24+01:00,2026-03-26 08:57:19+01:00,2026-03-26 08:54:52+01:00,,2026-03-26 08:50:43+01:00,2026-03-26 08:48:59+01:00,2026-03-26 08:46:44+01:00,2026-03-26 08:44:49+01:00,,2026-03-26 08:41:54+01:00,2026-03-26 08:39:11+01:00,2026-03-26 08:37:23+01:00,2026-03-26 08:35:15+01:00,2026-03-26 08:33:19+01:00,2026-03-26 08:31:32+01:00,2026-03-26 08:28:54+01:00,2026-03-26 08:26:36+01:00,2026-03-26 08:25:01+01:00,2026-03-26 08:23:09+01:00,2026-03-26 08:20:47+01:00,2026-03-26 08:17:00+01:00,2026-03-26 08:11:20+01:00,2026-03-26 08:08:30+01:00,2026-03-26 08:05:00+01:00,2026-03-26 08:02:10+01:00,2026-03-26 08:00:00+01:00,2026-03-26 07:57:50+01:00,2026-03-26 07:54:10+01:00,2026-03-26 07:51:20+01:00,2026-03-26 07:49:20+01:00,2026-03-26 07:44:00+01:00,,,,,,Aéroport CDG 1 (Terminal 3) - RER,31,2026-03-26 07:43:25.450499+01:00
PAUL96,PAUL,Saint-Rémy-lès-Chevreuse,,,,,2026-03-26 09:19:38+01:00,2026-03-26 09:16:20+01:00,2026-03-26 09:14:22+01:00,2026-03-26 09:12:25+01:00,2026-03-26 09:10:23+01:00,2026-03-26 09:08:00+01:00,,,,2026-03-26 09:02:09+01:00,,,,2026-03-26 08:55:34+01:00,2026-03-26 08:53:39+01:00,,2026-03-26 08:50:44+01:00,2026-03-26 08:48:01+01:00,2026-03-26 08:46:13+01:00,2026-03-26 08:44:05+01:00,2026-03-26 08:42:09+01:00,2026-03-26 08:40:27+01:00,2026-03-26 08:37:54+01:00,2026-03-26 08:35:36+01:00,2026-03-26 08:34:01+01:00,2026-03-26 08:32:09+01:00,2026-03-26 08:29:47+01:00,2026-03-26 08:26:00+01:00,2026-03-26 08:20:20+01:00,2026-03-26 08:17:30+01:00,2026-03-26 08:14:00+01:00,2026-03-26 08:11:10+01:00,2026-03-26 08:09:00+01:00,2026-03-26 08:06:50+01:00,,,,,,2026-03-26 08:03:10+01:00,2026-03-26 08:00:00+01:00,2026-03-26 07:56:50+01:00,2026-03-26 07:53:00+01:00,Mitry - Claye,31,2026-03-26 07:43:25.450499+01:00
STRI12,STRI,Robinson,,2026-03-26 09:15:31+01:00,2026-03-26 09:13:46+01:00,,,,,,,,,,,,,,,,,,2026-03-26 09:11:49+01:00,2026-03-26 09:09:01+01:00,2026-03-26 09:07:23+01:00,2026-03-26 09:05:15+01:00,2026-03-26 09:03:19+01:00,2026-03-26 09:01:32+01:00,2026-03-26 08:58:54+01:00,2026-03-26 08:56:36+01:00,2026-03-26 08:55:01+01:00,2026-03-26 08:53:09+01:00,2026-03-26 08:50:47+01:00,2026-03-26 08:47:00+01:00,2026-03-26 08:41:20+01:00,2026-03-26 08:38:30+01:00,2026-03-26 08:35:00+01:00,2026-03-26 08:32:10+01:00,2026-03-26 08:30:00+01:00,2026-03-26 08:27:50+01:00,2026-03-26 08:24:10+01:00,2026-03-26 08:21:20+01:00,2026-03-26 08:19:20+01:00,2026-03-26 08:14:00+01:00,2026-03-26 08:06:50+01:00,,,,,Aéroport Charles de Gaulle 2 (Terminal 2),25,2026-03-26 07:43:25.450499+01:00
ELOI01,ELOI,Aéroport Charles de Gaulle 2 (Terminal 2),2026-03-26 08:04:33+01:00,2026-03-26 08:07:04+01:00,2026-03-26 08:08:48+01:00,,,,,,,,,,,,,,,,,,2026-03-26 08:11:06+01:00,2026-03-26 08:13:41+01:00,2026-03-26 08:15:26+01:00,2026-03-26 08:17:29+01:00,2026-03-26 08:19:16+01:00,2026-03-26 08:21:12+01:00,2026-03-26 08:24:02+01:00,2026-03-26 08:25:49+01:00,2026-03-26 08:27:23+01:00,2026-03-26 08:29:59+01:00,2026-03-26 08:32:00+01:00,2026-03-26 08:36:00+01:00,2026-03-26 08:41:10+01:00,2026-03-26 08:43:40+01:00,2026-03-26 08:46:50+01:00,2026-03-26 08:49:30+01:00,2026-03-26 08:51:40+01:00,2026-03-26 08:54:10+01:00,2026-03-26 08:57:30+01:00,2026-03-26 09:00:00+01:00,2026-03-26 09:02:20+01:00,2026-03-26 09:08:00+01:00,,,,,,Robinson,25,2026-03-26 07:43:25.450499+01:00
