geo_point_2d;geo_shape;objectid_1;id_gares;nom_gares;nom_so_gar;nom_su_gar;id_ref_zdc;nom_zdc;id_ref_zda;nom_zda;idrefliga;idrefligc;res_com;indice_lig;mode;tertrain;terrer;termetro;tertram;terval;exploitant;idf;principal;x;y;picto;nom_iv
48.78023729710839, 2.281430595437462;"{""coordinates"": [2.281430595437462, 48.78023729710839], ""type"": ""Point""}";293;742;Robinson;;;427230;Robinson;43186;Robinson;A01857;C01743;RER B;B;RER;0;RER B;0;0;0;RATP;1;1;647199.3342;6853589.6746;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/f0ebdb0b87223739c9f1195e894671c1;Robinson
48.743016569903006, 2.295921406897603;"{""coordinates"": [2.295921406897603, 48.743016569903006], ""type"": ""Point""}";497;286;Fontaine-Michalon;;;69647;Fontaine Michalon;43124;Fontaine Michalon;A01857;C01743;RER B;B;RER;0;0;0;0;0;RATP;1;0;648227.1941;6849441.8358;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/f0ebdb0b87223739c9f1195e894671c1;Fontaine-Michalon
48.787566728367985, 2.292988009258979;"{""coordinates"": [2.292988009258979, 48.787566728367985], ""type"": ""Point""}";1321;287;Fontenay-aux-Roses;;;70133;Fontenay-aux-Roses;43125;Fontenay-aux-Roses;A01857;C01743;RER B;B;RER;0;0;0;0;0;RATP;1;0;648055.8498;6854396.9194;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/f0ebdb0b87223739c9f1195e894671c1;Fontenay-aux-Roses
48.91800820579238, 2.362470767055213;"{""coordinates"": [2.362470767055213, 48.91800820579238], ""type"": ""Point""}";1322;404;La Plaine-Stade de France;;;72211;La Plaine Stade de France - Saint-Denis - Aubervilliers;43145;La Plaine Stade de France;A01857;C01743;RER B;B;RER;0;0;0;0;0;SNCF;1;0;653277.7337;6868857.3799;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/f0ebdb0b87223739c9f1195e894671c1;La Plaine-Stade de France
48.93230541606913, 2.475674370833512;"{""coordinates"": [2.475674370833512, 48.93230541606913], ""type"": ""Point""}";10;77;Le Blanc-Mesnil;;;72648;Le Blanc-Mesnil;46163;Le Blanc-Mesnil;A01857;C01743;RER B;B;RER;0;0;0;0;0;SNCF;1;0;661584.448;6870386.1867;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/f0ebdb0b87223739c9f1195e894671c1;Le Blanc-Mesnil
48.70596898482229, 2.212262378017493;"{""coordinates"": [2.212262378017493, 48.70596898482229], ""type"": ""Point""}";205;483;Lozère;École Polytechnique;;63029;Lozère;474069;Lozère;A01857;C01743;RER B;B;RER;0;0;0;0;0;RATP;1;0;642034.6212;6845381.1235;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/f0ebdb0b87223739c9f1195e894671c1;Lozère
48.71694628758515, 2.245672514581906;"{""coordinates"": [2.245672514581906, 48.71694628758515], ""type"": ""Point""}";211;616;Palaiseau;;;63175;Palaiseau;47009;Palaiseau;A01857;C01743;RER B;B;RER;0;0;0;0;0;RATP;1;0;644504.6761;6846577.5278;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/f0ebdb0b87223739c9f1195e894671c1;Palaiseau
48.95314838758261, 2.6031353051184487;"{""coordinates"": [2.603135305118449, 48.95314838758261], ""type"": ""Point""}";353;904;Villeparisis-Mitry-le-Neuf;;;68916;Villeparisis - Mitry-le-Neuf;46725;Villeparisis - Mitry-le-Neuf;A01857;C01743;RER B;B;RER;0;0;0;0;0;SNCF;1;0;670934.6343;6872649.5013;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/f0ebdb0b87223739c9f1195e894671c1;Villeparisis-Mitry-le-Neuf
48.9468939111449, 2.524779047056861;"{""coordinates"": [2.524779047056861, 48.9468939111449], ""type"": ""Point""}";441;795;Sevran-Beaudottes;;;73491;Sevran Beaudottes;43193;Sevran Beaudottes;A01857;C01743;RER B;B;RER;0;0;0;0;0;SNCF;1;0;665191.898;6871985.6773;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/f0ebdb0b87223739c9f1195e894671c1;Sevran-Beaudottes
48.73968104253053, 2.287667495463073;"{""coordinates"": [2.287667495463073, 48.73968104253053], ""type"": ""Point""}";517;445;Les Baconnets;;;69622;Les Baconnets;43228;Les Baconnets;A01857;C01743;RER B;B;RER;0;0;0;0;0;RATP;1;0;647616.9325;6849076.4381;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/f0ebdb0b87223739c9f1195e894671c1;Les Baconnets
