mission,type_mission,destination,Robinson,Fontenay-aux-Roses,Sceaux,Saint-Rémy-lès-Chevreuse,Courcelle sur Yvette,Gif-sur-Yvette,La Hacquinière,Bures-sur-Yvette,Orsay Ville,Le Guichet,Lozère,Palaiseau - Villebon,Palaiseau,Massy - Palaiseau,Massy - Verrières,Les Baconnets,Fontaine Michalon,Antony,La Croix de Berny,Parc de Sceaux,Bourg-la-Reine,Bagneux,Arcueil - Cachan,Laplace,Gentilly,Cité Universitaire,Denfert-Rochereau,Port Royal,Luxembourg,Saint-Michel Notre-Dame,Châtelet les Halles,Gare du Nord,La Plaine Stade de France,La Courneuve - Aubervilliers,Le Bourget,Drancy,Le Blanc-Mesnil,Aulnay-sous-Bois,Sevran Beaudottes,Villepinte,Parc des Expositions,Aéroport CDG 1 (Terminal 3) - RER,Aéroport Charles de Gaulle 2 (Terminal 2),Sevran - Livry,Vert Galant,Villeparisis - Mitry-le-Neuf,Mitry - Claye,gare_depart,nb_arrets_desservis,date_observation
ILUS95,ILUS,Mitry - Claye,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-16 15:59:07+02:00,2026-04-16 16:01:17+02:00,2026-04-16 16:06:00+02:00,2026-04-16 16:11:10+02:00,2026-04-16 16:13:40+02:00,2026-04-16 16:16:50+02:00,2026-04-16 16:19:30+02:00,2026-04-16 16:21:40+02:00,2026-04-16 16:24:20+02:00,,,,,,2026-04-16 16:27:40+02:00,2026-04-16 16:30:30+02:00,2026-04-16 16:33:40+02:00,,Saint-Michel Notre-Dame,12,2026-04-16 16:00:03.234827+02:00
LOUP46,LOUP,Orsay-Ville,,,,,,,,,,2026-04-16 18:10:13+02:00,2026-04-16 18:07:52+02:00,2026-04-16 18:04:59+02:00,2026-04-16 18:02:54+02:00,2026-04-16 17:59:42+02:00,,2026-04-16 17:56:23+02:00,2026-04-16 17:54:39+02:00,2026-04-16 17:52:19+02:00,2026-04-16 17:50:24+02:00,,2026-04-16 17:47:29+02:00,2026-04-16 17:44:51+02:00,2026-04-16 17:43:03+02:00,2026-04-16 17:40:55+02:00,2026-04-16 17:38:59+02:00,2026-04-16 17:37:02+02:00,2026-04-16 17:34:14+02:00,2026-04-16 17:32:26+02:00,2026-04-16 17:30:51+02:00,2026-04-16 17:28:29+02:00,2026-04-16 17:26:07+02:00,2026-04-16 17:23:00+02:00,2026-04-16 17:17:20+02:00,2026-04-16 17:14:30+02:00,2026-04-16 17:11:00+02:00,2026-04-16 17:08:10+02:00,2026-04-16 17:06:00+02:00,2026-04-16 17:03:50+02:00,2026-04-16 17:00:10+02:00,2026-04-16 16:57:20+02:00,2026-04-16 16:55:20+02:00,2026-04-16 16:50:00+02:00,2026-04-16 16:42:50+02:00,,,,,Aéroport Charles de Gaulle 2 (Terminal 2),32,2026-04-16 16:00:03.234827+02:00
EPAU87,EPAU,Aéroport Charles de Gaulle 2 (Terminal 2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-16 16:00:40+02:00,2026-04-16 16:03:10+02:00,2026-04-16 16:06:20+02:00,2026-04-16 16:09:30+02:00,2026-04-16 16:12:20+02:00,2026-04-16 16:19:10+02:00,,,,,,Le Blanc-Mesnil,6,2026-04-16 16:00:03.234827+02:00
KERN32,KERN,Massy-Palaiseau,,,,,,,,,,,,,,,2026-04-16 17:37:07+02:00,2026-04-16 17:35:03+02:00,,2026-04-16 17:32:10+02:00,2026-04-16 17:30:25+02:00,2026-04-16 17:28:41+02:00,2026-04-16 17:26:29+02:00,2026-04-16 17:23:51+02:00,2026-04-16 17:22:03+02:00,2026-04-16 17:19:55+02:00,2026-04-16 17:17:59+02:00,2026-04-16 17:16:02+02:00,2026-04-16 17:13:14+02:00,2026-04-16 17:11:26+02:00,2026-04-16 17:09:51+02:00,2026-04-16 17:07:29+02:00,2026-04-16 17:05:07+02:00,2026-04-16 17:02:00+02:00,2026-04-16 16:56:20+02:00,,,,,,,,,,,,,,,La Plaine Stade de France,18,2026-04-16 16:00:03.234827+02:00
PQUL10,PQUL,Saint-Rémy-lès-Chevreuse,,,,,2026-04-16 17:21:41+02:00,2026-04-16 17:18:28+02:00,2026-04-16 17:16:35+02:00,2026-04-16 17:14:43+02:00,2026-04-16 17:12:26+02:00,2026-04-16 17:10:08+02:00,2026-04-16 17:07:47+02:00,2026-04-16 17:04:54+02:00,2026-04-16 17:02:49+02:00,2026-04-16 17:00:07+02:00,2026-04-16 16:58:01+02:00,2026-04-16 16:56:17+02:00,2026-04-16 16:54:53+02:00,2026-04-16 16:52:38+02:00,2026-04-16 16:50:58+02:00,2026-04-16 16:49:19+02:00,2026-04-16 16:47:22+02:00,2026-04-16 16:44:59+02:00,2026-04-16 16:43:21+02:00,2026-04-16 16:41:23+02:00,2026-04-16 16:39:37+02:00,2026-04-16 16:37:50+02:00,2026-04-16 16:35:02+02:00,2026-04-16 16:33:14+02:00,2026-04-16 16:31:39+02:00,2026-04-16 16:29:17+02:00,2026-04-16 16:26:55+02:00,2026-04-16 16:23:48+02:00,,,,,,2026-04-16 16:07:38+02:00,,,,,,,,,,Aulnay-sous-Bois,29,2026-04-16 16:00:03.234827+02:00
SOSO98,SOSO,Robinson,,2026-04-16 16:26:47+02:00,2026-04-16 16:25:07+02:00,,,,,,,,,,,,,,,,,,2026-04-16 16:23:05+02:00,2026-04-16 16:20:32+02:00,2026-04-16 16:18:54+02:00,2026-04-16 16:16:56+02:00,2026-04-16 16:15:10+02:00,2026-04-16 16:13:23+02:00,2026-04-16 16:10:35+02:00,2026-04-16 16:08:47+02:00,2026-04-16 16:07:12+02:00,2026-04-16 16:04:50+02:00,2026-04-16 16:02:06+02:00,,,,,,,,,,,,,,,,,Châtelet les Halles,13,2026-04-16 16:00:03.234827+02:00
STAR26,STAR,Robinson,,2026-04-16 17:21:21+02:00,2026-04-16 17:19:36+02:00,,,,,,,,,,,,,,,,,,2026-04-16 17:17:24+02:00,2026-04-16 17:14:51+02:00,2026-04-16 17:13:03+02:00,2026-04-16 17:10:55+02:00,2026-04-16 17:08:59+02:00,2026-04-16 17:07:02+02:00,2026-04-16 17:04:14+02:00,2026-04-16 17:02:26+02:00,2026-04-16 17:00:51+02:00,2026-04-16 16:58:29+02:00,2026-04-16 16:56:07+02:00,2026-04-16 16:53:00+02:00,2026-04-16 16:47:20+02:00,2026-04-16 16:44:30+02:00,2026-04-16 16:41:00+02:00,2026-04-16 16:38:10+02:00,2026-04-16 16:36:00+02:00,2026-04-16 16:33:50+02:00,2026-04-16 16:30:10+02:00,2026-04-16 16:27:20+02:00,2026-04-16 16:25:20+02:00,2026-04-16 16:20:10+02:00,2026-04-16 16:17:20+02:00,,,,,Aéroport Charles de Gaulle 2 (Terminal 2),25,2026-04-16 16:00:03.234827+02:00
KALI90,KALI,Massy-Palaiseau,,,,,,,,,,,,,,,2026-04-16 16:16:36+02:00,2026-04-16 16:14:52+02:00,2026-04-16 16:13:28+02:00,2026-04-16 16:11:23+02:00,2026-04-16 16:09:43+02:00,2026-04-16 16:08:04+02:00,2026-04-16 16:06:07+02:00,2026-04-16 16:03:44+02:00,2026-04-16 16:02:06+02:00,2026-04-16 16:00:08+02:00,,,,,,,,,,,,,,,,,,,,,,,,Laplace,10,2026-04-16 16:00:03.234827+02:00
ECCI39,ECCI,Aéroport Charles de Gaulle 2 (Terminal 2),,,,,,,,,,,,,,2026-04-16 16:45:35+02:00,2026-04-16 16:47:40+02:00,2026-04-16 16:49:38+02:00,2026-04-16 16:51:13+02:00,2026-04-16 16:53:14+02:00,2026-04-16 16:55:10+02:00,2026-04-16 16:57:03+02:00,2026-04-16 16:58:57+02:00,2026-04-16 17:01:36+02:00,2026-04-16 17:03:16+02:00,2026-04-16 17:05:24+02:00,2026-04-16 17:07:11+02:00,2026-04-16 17:08:47+02:00,2026-04-16 17:11:22+02:00,2026-04-16 17:13:39+02:00,2026-04-16 17:15:13+02:00,2026-04-16 17:17:19+02:00,2026-04-16 17:19:39+02:00,2026-04-16 17:24:00+02:00,2026-04-16 17:29:10+02:00,2026-04-16 17:31:40+02:00,2026-04-16 17:34:50+02:00,2026-04-16 17:37:30+02:00,2026-04-16 17:39:40+02:00,2026-04-16 17:42:10+02:00,2026-04-16 17:45:30+02:00,2026-04-16 17:48:00+02:00,2026-04-16 17:50:20+02:00,2026-04-16 17:56:00+02:00,,,,,,Massy - Palaiseau,29,2026-04-16 16:00:03.234827+02:00
ELOI27,ELOI,Aéroport Charles de Gaulle 2 (Terminal 2),2026-04-16 16:34:33+02:00,2026-04-16 16:36:54+02:00,2026-04-16 16:38:38+02:00,,,,,,,,,,,,,,,,,,2026-04-16 16:40:36+02:00,2026-04-16 16:43:31+02:00,2026-04-16 16:45:11+02:00,2026-04-16 16:47:19+02:00,2026-04-16 16:49:06+02:00,2026-04-16 16:50:42+02:00,2026-04-16 16:53:22+02:00,2026-04-16 16:55:39+02:00,2026-04-16 16:57:13+02:00,2026-04-16 16:59:19+02:00,2026-04-16 17:01:39+02:00,2026-04-16 17:06:00+02:00,2026-04-16 17:11:10+02:00,2026-04-16 17:13:40+02:00,2026-04-16 17:16:50+02:00,2026-04-16 17:19:30+02:00,2026-04-16 17:21:40+02:00,2026-04-16 17:24:10+02:00,2026-04-16 17:27:30+02:00,2026-04-16 17:30:00+02:00,2026-04-16 17:32:20+02:00,2026-04-16 17:38:00+02:00,,,,,,Robinson,25,2026-04-16 16:00:03.234827+02:00
