mission,type_mission,destination,Robinson,Fontenay-aux-Roses,Sceaux,Saint-Rémy-lès-Chevreuse,Courcelle sur Yvette,Gif-sur-Yvette,La Hacquinière,Bures-sur-Yvette,Orsay Ville,Le Guichet,Lozère,Palaiseau - Villebon,Palaiseau,Massy - Palaiseau,Massy - Verrières,Les Baconnets,Fontaine Michalon,Antony,La Croix de Berny,Parc de Sceaux,Bourg-la-Reine,Bagneux,Arcueil - Cachan,Laplace,Gentilly,Cité Universitaire,Denfert-Rochereau,Port Royal,Luxembourg,Saint-Michel Notre-Dame,Châtelet les Halles,Gare du Nord,La Plaine Stade de France,La Courneuve - Aubervilliers,Le Bourget,Drancy,Le Blanc-Mesnil,Aulnay-sous-Bois,Sevran Beaudottes,Villepinte,Parc des Expositions,Aéroport CDG 1 (Terminal 3) - RER,Aéroport Charles de Gaulle 2 (Terminal 2),Sevran - Livry,Vert Galant,Villeparisis - Mitry-le-Neuf,Mitry - Claye,gare_depart,nb_arrets_desservis,date_observation
PIST10,PIST,Saint-Rémy-lès-Chevreuse,,,,,2026-04-15 13:12:35+02:00,2026-04-15 13:09:22+02:00,2026-04-15 13:07:29+02:00,2026-04-15 13:05:37+02:00,2026-04-15 13:03:20+02:00,2026-04-15 13:01:02+02:00,2026-04-15 12:58:41+02:00,2026-04-15 12:55:48+02:00,2026-04-15 12:53:43+02:00,2026-04-15 12:50:51+02:00,,,,2026-04-15 12:45:51+02:00,2026-04-15 12:44:11+02:00,,2026-04-15 12:41:11+02:00,,,,,2026-04-15 12:35:41+02:00,2026-04-15 12:32:53+02:00,2026-04-15 12:31:05+02:00,2026-04-15 12:29:30+02:00,2026-04-15 12:27:08+02:00,2026-04-15 12:24:32+02:00,2026-04-15 12:21:25+02:00,2026-04-15 12:15:45+02:00,2026-04-15 12:12:55+02:00,2026-04-15 12:09:25+02:00,2026-04-15 12:06:35+02:00,2026-04-15 12:04:25+02:00,2026-04-15 12:02:15+02:00,,,,,,,,,,Aulnay-sous-Bois,26,2026-04-15 12:00:02.196211+02:00
ILOT99,ILOT,Mitry - Claye,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-15 12:00:06+02:00,2026-04-15 12:02:16+02:00,2026-04-15 12:06:27+02:00,2026-04-15 12:11:37+02:00,2026-04-15 12:14:07+02:00,2026-04-15 12:17:17+02:00,2026-04-15 12:19:57+02:00,2026-04-15 12:22:07+02:00,2026-04-15 12:24:47+02:00,,,,,,2026-04-15 12:28:07+02:00,2026-04-15 12:30:57+02:00,2026-04-15 12:34:07+02:00,,Saint-Michel Notre-Dame,12,2026-04-15 12:00:02.196211+02:00
PIER84,PIER,Saint-Rémy-lès-Chevreuse,,,,,2026-04-15 12:10:56+02:00,2026-04-15 12:07:43+02:00,2026-04-15 12:05:50+02:00,2026-04-15 12:03:58+02:00,2026-04-15 12:01:41+02:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Orsay Ville,5,2026-04-15 12:00:02.196211+02:00
SOSO20,SOSO,Robinson,,2026-04-15 13:11:26+02:00,2026-04-15 13:09:46+02:00,,,,,,,,,,,,,,,,,,2026-04-15 13:07:44+02:00,2026-04-15 13:05:11+02:00,2026-04-15 13:03:33+02:00,2026-04-15 13:01:35+02:00,2026-04-15 12:59:49+02:00,2026-04-15 12:58:02+02:00,2026-04-15 12:55:14+02:00,2026-04-15 12:53:26+02:00,2026-04-15 12:51:51+02:00,2026-04-15 12:49:29+02:00,2026-04-15 12:47:07+02:00,2026-04-15 12:44:00+02:00,2026-04-15 12:38:20+02:00,2026-04-15 12:35:30+02:00,2026-04-15 12:32:00+02:00,2026-04-15 12:29:10+02:00,2026-04-15 12:27:00+02:00,2026-04-15 12:24:50+02:00,,,,,,2026-04-15 12:21:10+02:00,2026-04-15 12:18:00+02:00,2026-04-15 12:14:50+02:00,2026-04-15 12:11:00+02:00,Mitry - Claye,24,2026-04-15 12:00:02.196211+02:00
SORI94,SORI,Robinson,,2026-04-15 12:11:02+02:00,2026-04-15 12:09:22+02:00,,,,,,,,,,,,,,,,,,2026-04-15 12:07:20+02:00,2026-04-15 12:04:47+02:00,2026-04-15 12:03:09+02:00,2026-04-15 12:01:11+02:00,2026-04-15 11:59:25+02:00,,,,,,,,,,,,,,,,,,,,,,,Gentilly,7,2026-04-15 12:00:02.196211+02:00
EPAU39,EPAU,Aéroport Charles de Gaulle 2 (Terminal 2),,,,2026-04-15 12:51:55+02:00,2026-04-15 12:54:56+02:00,2026-04-15 12:58:03+02:00,2026-04-15 12:59:59+02:00,2026-04-15 13:01:41+02:00,2026-04-15 13:04:01+02:00,2026-04-15 13:06:25+02:00,2026-04-15 13:08:22+02:00,2026-04-15 13:10:46+02:00,2026-04-15 13:12:32+02:00,2026-04-15 13:14:44+02:00,,,,2026-04-15 13:19:59+02:00,2026-04-15 13:21:50+02:00,,2026-04-15 13:24:26+02:00,,,,,2026-04-15 13:30:12+02:00,2026-04-15 13:32:42+02:00,2026-04-15 13:34:59+02:00,2026-04-15 13:36:33+02:00,2026-04-15 13:38:39+02:00,2026-04-15 13:40:49+02:00,2026-04-15 13:45:00+02:00,2026-04-15 13:50:10+02:00,2026-04-15 13:52:40+02:00,2026-04-15 13:55:50+02:00,2026-04-15 13:58:30+02:00,2026-04-15 14:00:40+02:00,2026-04-15 14:03:10+02:00,2026-04-15 14:06:20+02:00,2026-04-15 14:08:50+02:00,2026-04-15 14:11:10+02:00,2026-04-15 14:16:50+02:00,,,,,,Saint-Rémy-lès-Chevreuse,31,2026-04-15 12:00:02.196211+02:00
KARI86,KARI,Massy-Palaiseau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2026-04-15 12:00:02.196211+02:00
ERIO13,ERIO,Aéroport Charles de Gaulle 2 (Terminal 2),,,,,,,,,,,,,,2026-04-15 12:04:35+02:00,2026-04-15 12:06:40+02:00,2026-04-15 12:08:28+02:00,2026-04-15 12:09:53+02:00,2026-04-15 12:11:49+02:00,2026-04-15 12:13:40+02:00,2026-04-15 12:15:28+02:00,2026-04-15 12:17:17+02:00,2026-04-15 12:20:06+02:00,2026-04-15 12:21:46+02:00,2026-04-15 12:23:49+02:00,2026-04-15 12:25:36+02:00,2026-04-15 12:27:12+02:00,2026-04-15 12:29:42+02:00,2026-04-15 12:31:59+02:00,2026-04-15 12:33:33+02:00,2026-04-15 12:35:39+02:00,2026-04-15 12:37:49+02:00,2026-04-15 12:42:00+02:00,,,,,,2026-04-15 12:57:10+02:00,,,,2026-04-15 13:09:30+02:00,,,,,,Massy - Palaiseau,21,2026-04-15 12:00:02.196211+02:00
EPAU33,EPAU,Aéroport Charles de Gaulle 2 (Terminal 2),,,,2026-04-15 12:36:55+02:00,2026-04-15 12:39:56+02:00,2026-04-15 12:43:03+02:00,2026-04-15 12:44:59+02:00,2026-04-15 12:46:41+02:00,2026-04-15 12:49:01+02:00,2026-04-15 12:51:25+02:00,2026-04-15 12:53:22+02:00,2026-04-15 12:55:46+02:00,2026-04-15 12:57:32+02:00,2026-04-15 12:59:44+02:00,,,,2026-04-15 13:04:59+02:00,2026-04-15 13:06:50+02:00,,2026-04-15 13:09:26+02:00,,,,,2026-04-15 13:15:12+02:00,2026-04-15 13:17:42+02:00,2026-04-15 13:19:59+02:00,2026-04-15 13:21:33+02:00,2026-04-15 13:23:39+02:00,2026-04-15 13:25:49+02:00,2026-04-15 13:30:00+02:00,2026-04-15 13:35:10+02:00,2026-04-15 13:37:40+02:00,2026-04-15 13:40:50+02:00,2026-04-15 13:43:30+02:00,2026-04-15 13:45:40+02:00,2026-04-15 13:48:10+02:00,2026-04-15 13:51:20+02:00,2026-04-15 13:53:50+02:00,2026-04-15 13:56:10+02:00,2026-04-15 14:01:50+02:00,,,,,,Saint-Rémy-lès-Chevreuse,31,2026-04-15 12:00:02.196211+02:00
EPAU27,EPAU,Aéroport Charles de Gaulle 2 (Terminal 2),,,,2026-04-15 12:21:55+02:00,2026-04-15 12:24:56+02:00,2026-04-15 12:28:03+02:00,2026-04-15 12:29:59+02:00,2026-04-15 12:31:41+02:00,2026-04-15 12:34:01+02:00,2026-04-15 12:36:25+02:00,2026-04-15 12:38:22+02:00,2026-04-15 12:40:46+02:00,2026-04-15 12:42:32+02:00,2026-04-15 12:44:44+02:00,,,,2026-04-15 12:49:59+02:00,2026-04-15 12:51:50+02:00,,2026-04-15 12:54:26+02:00,,,,,2026-04-15 13:00:12+02:00,2026-04-15 13:02:42+02:00,2026-04-15 13:04:59+02:00,2026-04-15 13:06:33+02:00,2026-04-15 13:08:39+02:00,2026-04-15 13:10:49+02:00,2026-04-15 13:15:00+02:00,2026-04-15 13:20:10+02:00,2026-04-15 13:22:40+02:00,2026-04-15 13:25:50+02:00,2026-04-15 13:28:30+02:00,2026-04-15 13:30:40+02:00,2026-04-15 13:33:10+02:00,2026-04-15 13:36:20+02:00,2026-04-15 13:38:50+02:00,2026-04-15 13:41:10+02:00,2026-04-15 13:46:50+02:00,,,,,,Saint-Rémy-lès-Chevreuse,31,2026-04-15 12:00:02.196211+02:00
