mission,type_mission,destination,Robinson,Fontenay-aux-Roses,Sceaux,Saint-Rémy-lès-Chevreuse,Courcelle sur Yvette,Gif-sur-Yvette,La Hacquinière,Bures-sur-Yvette,Orsay Ville,Le Guichet,Lozère,Palaiseau - Villebon,Palaiseau,Massy - Palaiseau,Massy - Verrières,Les Baconnets,Fontaine Michalon,Antony,La Croix de Berny,Parc de Sceaux,Bourg-la-Reine,Bagneux,Arcueil - Cachan,Laplace,Gentilly,Cité Universitaire,Denfert-Rochereau,Port Royal,Luxembourg,Saint-Michel Notre-Dame,Châtelet les Halles,Gare du Nord,La Plaine Stade de France,La Courneuve - Aubervilliers,Le Bourget,Drancy,Le Blanc-Mesnil,Aulnay-sous-Bois,Sevran Beaudottes,Villepinte,Parc des Expositions,Aéroport CDG 1 (Terminal 3) - RER,Aéroport Charles de Gaulle 2 (Terminal 2),Sevran - Livry,Vert Galant,Villeparisis - Mitry-le-Neuf,Mitry - Claye,gare_depart,nb_arrets_desservis,date_observation
IJUR81,IJUR,Mitry - Claye,,,,2026-03-30 17:31:51+02:00,2026-03-30 17:34:52+02:00,2026-03-30 17:37:59+02:00,2026-03-30 17:39:55+02:00,2026-03-30 17:41:47+02:00,2026-03-30 17:44:17+02:00,2026-03-30 17:46:46+02:00,,,,2026-03-30 17:52:15+02:00,,,,2026-03-30 17:57:20+02:00,2026-03-30 17:59:11+02:00,,2026-03-30 18:01:57+02:00,2026-03-30 18:04:36+02:00,2026-03-30 18:06:16+02:00,2026-03-30 18:08:24+02:00,2026-03-30 18:10:11+02:00,2026-03-30 18:11:47+02:00,2026-03-30 18:14:22+02:00,2026-03-30 18:16:39+02:00,2026-03-30 18:18:13+02:00,2026-03-30 18:20:19+02:00,2026-03-30 18:22:39+02:00,2026-03-30 18:27:00+02:00,2026-03-30 18:32:10+02:00,2026-03-30 18:34:40+02:00,2026-03-30 18:37:50+02:00,2026-03-30 18:40:30+02:00,2026-03-30 18:42:40+02:00,2026-03-30 18:45:20+02:00,,,,,,2026-03-30 18:48:40+02:00,2026-03-30 18:51:30+02:00,2026-03-30 18:54:40+02:00,,Saint-Rémy-lès-Chevreuse,31,2026-03-30 16:35:01.501126+02:00
PGAZ28,PGAZ,Saint-Rémy-lès-Chevreuse,,,,,2026-03-30 17:50:07+02:00,2026-03-30 17:46:54+02:00,2026-03-30 17:45:01+02:00,2026-03-30 17:43:09+02:00,2026-03-30 17:40:52+02:00,2026-03-30 17:38:44+02:00,,,2026-03-30 17:34:11+02:00,2026-03-30 17:31:19+02:00,,,,2026-03-30 17:26:19+02:00,2026-03-30 17:24:24+02:00,,2026-03-30 17:21:29+02:00,2026-03-30 17:18:51+02:00,2026-03-30 17:17:03+02:00,2026-03-30 17:14:55+02:00,2026-03-30 17:13:04+02:00,2026-03-30 17:11:12+02:00,2026-03-30 17:08:24+02:00,2026-03-30 17:06:36+02:00,2026-03-30 17:05:01+02:00,2026-03-30 17:02:39+02:00,2026-03-30 17:00:47+02:00,2026-03-30 16:57:10+02:00,2026-03-30 16:51:30+02:00,2026-03-30 16:48:40+02:00,2026-03-30 16:45:10+02:00,2026-03-30 16:42:20+02:00,2026-03-30 16:40:10+02:00,2026-03-30 16:38:00+02:00,,,,,,,,,,Aulnay-sous-Bois,28,2026-03-30 16:35:01.501126+02:00
LOUP78,LOUP,Orsay-Ville,,,,,,,,,,2026-03-30 18:58:13+02:00,2026-03-30 18:55:52+02:00,2026-03-30 18:52:59+02:00,2026-03-30 18:50:54+02:00,2026-03-30 18:47:42+02:00,,2026-03-30 18:44:23+02:00,2026-03-30 18:42:39+02:00,2026-03-30 18:40:19+02:00,2026-03-30 18:38:24+02:00,,2026-03-30 18:35:29+02:00,2026-03-30 18:32:51+02:00,2026-03-30 18:31:03+02:00,2026-03-30 18:28:55+02:00,2026-03-30 18:26:59+02:00,2026-03-30 18:25:02+02:00,2026-03-30 18:22:14+02:00,2026-03-30 18:20:26+02:00,2026-03-30 18:18:51+02:00,2026-03-30 18:16:29+02:00,2026-03-30 18:14:07+02:00,2026-03-30 18:11:00+02:00,2026-03-30 18:05:20+02:00,2026-03-30 18:02:30+02:00,2026-03-30 17:59:00+02:00,2026-03-30 17:56:10+02:00,2026-03-30 17:54:00+02:00,2026-03-30 17:51:50+02:00,2026-03-30 17:48:10+02:00,2026-03-30 17:45:20+02:00,2026-03-30 17:43:20+02:00,2026-03-30 17:38:00+02:00,2026-03-30 17:30:50+02:00,,,,,Aéroport Charles de Gaulle 2 (Terminal 2),32,2026-03-30 16:35:01.501126+02:00
EGRE35,EGRE,Aéroport Charles de Gaulle 2 (Terminal 2),,,,,,,,,,,,,,,,,,,,,,,,2026-03-30 16:59:54+02:00,2026-03-30 17:01:11+02:00,2026-03-30 17:02:47+02:00,2026-03-30 17:05:22+02:00,2026-03-30 17:07:39+02:00,2026-03-30 17:09:13+02:00,2026-03-30 17:11:19+02:00,2026-03-30 17:13:39+02:00,2026-03-30 17:18:00+02:00,2026-03-30 17:23:10+02:00,2026-03-30 17:25:40+02:00,2026-03-30 17:28:50+02:00,2026-03-30 17:31:30+02:00,2026-03-30 17:33:40+02:00,2026-03-30 17:36:10+02:00,2026-03-30 17:39:30+02:00,2026-03-30 17:42:00+02:00,2026-03-30 17:44:20+02:00,2026-03-30 17:50:00+02:00,,,,,,Laplace,19,2026-03-30 16:35:01.501126+02:00
KALI96,KALI,Massy-Palaiseau,,,,,,,,,,,,,,,2026-03-30 16:29:17+02:00,2026-03-30 16:27:33+02:00,2026-03-30 16:26:09+02:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fontaine Michalon,3,2026-03-30 16:35:01.501126+02:00
ECCI31,ECCI,Aéroport Charles de Gaulle 2 (Terminal 2),,,,,,,,,,,,,,2026-03-30 16:33:35+02:00,2026-03-30 16:35:40+02:00,2026-03-30 16:37:38+02:00,2026-03-30 16:39:13+02:00,2026-03-30 16:41:14+02:00,2026-03-30 16:43:10+02:00,2026-03-30 16:45:03+02:00,2026-03-30 16:46:57+02:00,2026-03-30 16:49:36+02:00,2026-03-30 16:51:16+02:00,2026-03-30 16:53:24+02:00,2026-03-30 16:55:11+02:00,2026-03-30 16:56:47+02:00,2026-03-30 16:59:22+02:00,2026-03-30 17:01:39+02:00,2026-03-30 17:03:13+02:00,2026-03-30 17:05:19+02:00,2026-03-30 17:07:39+02:00,2026-03-30 17:12:00+02:00,2026-03-30 17:17:10+02:00,2026-03-30 17:19:40+02:00,2026-03-30 17:22:50+02:00,2026-03-30 17:25:30+02:00,2026-03-30 17:27:40+02:00,2026-03-30 17:30:10+02:00,2026-03-30 17:33:30+02:00,2026-03-30 17:36:00+02:00,2026-03-30 17:38:20+02:00,2026-03-30 17:44:00+02:00,,,,,,Massy - Palaiseau,29,2026-03-30 16:35:01.501126+02:00
LOUP22,LOUP,Orsay-Ville,,,,,,,,,,2026-03-30 17:34:13+02:00,2026-03-30 17:31:52+02:00,2026-03-30 17:28:59+02:00,2026-03-30 17:26:54+02:00,2026-03-30 17:23:42+02:00,,2026-03-30 17:20:23+02:00,2026-03-30 17:18:39+02:00,2026-03-30 17:16:19+02:00,2026-03-30 17:14:24+02:00,,2026-03-30 17:11:29+02:00,2026-03-30 17:08:51+02:00,2026-03-30 17:07:03+02:00,2026-03-30 17:04:55+02:00,2026-03-30 17:02:59+02:00,2026-03-30 17:01:02+02:00,2026-03-30 16:58:14+02:00,2026-03-30 16:56:26+02:00,2026-03-30 16:54:51+02:00,2026-03-30 16:52:29+02:00,2026-03-30 16:50:07+02:00,2026-03-30 16:50:11+02:00,2026-03-30 16:44:31+02:00,2026-03-30 16:41:41+02:00,2026-03-30 16:38:11+02:00,,,,,,,,,,,,,Le Bourget,24,2026-03-30 16:35:01.501126+02:00
IJUR73,IJUR,Mitry - Claye,,,,2026-03-30 17:19:51+02:00,2026-03-30 17:22:52+02:00,2026-03-30 17:25:59+02:00,2026-03-30 17:27:55+02:00,2026-03-30 17:29:47+02:00,2026-03-30 17:32:17+02:00,2026-03-30 17:34:46+02:00,,,,2026-03-30 17:40:15+02:00,,,,2026-03-30 17:45:20+02:00,2026-03-30 17:47:11+02:00,,2026-03-30 17:49:57+02:00,2026-03-30 17:52:36+02:00,2026-03-30 17:54:16+02:00,2026-03-30 17:56:24+02:00,2026-03-30 17:58:11+02:00,2026-03-30 17:59:47+02:00,2026-03-30 18:02:22+02:00,2026-03-30 18:04:39+02:00,2026-03-30 18:06:13+02:00,2026-03-30 18:08:19+02:00,2026-03-30 18:10:39+02:00,2026-03-30 18:15:00+02:00,2026-03-30 18:20:10+02:00,2026-03-30 18:22:40+02:00,2026-03-30 18:25:50+02:00,2026-03-30 18:28:30+02:00,2026-03-30 18:30:40+02:00,2026-03-30 18:33:20+02:00,,,,,,2026-03-30 18:36:40+02:00,2026-03-30 18:39:30+02:00,2026-03-30 18:42:40+02:00,,Saint-Rémy-lès-Chevreuse,31,2026-03-30 16:35:01.501126+02:00
LOUP30,LOUP,Orsay-Ville,,,,,,,,,,2026-03-30 17:48:33+02:00,2026-03-30 17:46:12+02:00,2026-03-30 17:43:19+02:00,2026-03-30 17:41:14+02:00,2026-03-30 17:38:02+02:00,2026-03-30 17:36:32+02:00,2026-03-30 17:34:43+02:00,2026-03-30 17:32:59+02:00,2026-03-30 17:30:39+02:00,2026-03-30 17:28:44+02:00,2026-03-30 17:27:43+02:00,2026-03-30 17:25:49+02:00,2026-03-30 17:23:11+02:00,2026-03-30 17:21:23+02:00,2026-03-30 17:19:15+02:00,2026-03-30 17:17:19+02:00,2026-03-30 17:15:22+02:00,2026-03-30 17:12:34+02:00,2026-03-30 17:10:46+02:00,2026-03-30 17:09:11+02:00,2026-03-30 17:06:49+02:00,2026-03-30 17:04:42+02:00,2026-03-30 17:01:35+02:00,2026-03-30 16:55:55+02:00,2026-03-30 16:53:05+02:00,2026-03-30 16:49:35+02:00,2026-03-30 16:46:45+02:00,2026-03-30 16:44:35+02:00,2026-03-30 16:42:25+02:00,2026-03-30 16:38:45+02:00,2026-03-30 16:35:55+02:00,,,,,,,,Villepinte,31,2026-03-30 16:35:01.501126+02:00
ECCI11,ECCI,Aéroport Charles de Gaulle 2 (Terminal 2),,,,,,,,,,,,,,,,,,,,,,,,,,2026-03-30 16:33:53+02:00,2026-03-30 16:36:28+02:00,2026-03-30 16:38:45+02:00,2026-03-30 16:40:19+02:00,2026-03-30 16:42:25+02:00,2026-03-30 16:44:45+02:00,2026-03-30 16:49:06+02:00,2026-03-30 16:54:16+02:00,2026-03-30 16:56:46+02:00,2026-03-30 16:59:56+02:00,2026-03-30 17:02:36+02:00,2026-03-30 17:04:46+02:00,2026-03-30 17:07:16+02:00,2026-03-30 17:10:36+02:00,2026-03-30 17:13:06+02:00,2026-03-30 17:15:26+02:00,2026-03-30 17:21:06+02:00,,,,,,Cité Universitaire,17,2026-03-30 16:35:01.501126+02:00
