mission,type_mission,destination,Robinson,Fontenay-aux-Roses,Sceaux,Saint-Rémy-lès-Chevreuse,Courcelle sur Yvette,Gif-sur-Yvette,La Hacquinière,Bures-sur-Yvette,Orsay Ville,Le Guichet,Lozère,Palaiseau - Villebon,Palaiseau,Massy - Palaiseau,Massy - Verrières,Les Baconnets,Fontaine Michalon,Antony,La Croix de Berny,Parc de Sceaux,Bourg-la-Reine,Bagneux,Arcueil - Cachan,Laplace,Gentilly,Cité Universitaire,Denfert-Rochereau,Port Royal,Luxembourg,Saint-Michel Notre-Dame,Châtelet les Halles,Gare du Nord,La Plaine Stade de France,La Courneuve - Aubervilliers,Le Bourget,Drancy,Le Blanc-Mesnil,Aulnay-sous-Bois,Sevran Beaudottes,Villepinte,Parc des Expositions,Aéroport CDG 1 (Terminal 3) - RER,Aéroport Charles de Gaulle 2 (Terminal 2),Sevran - Livry,Vert Galant,Villeparisis - Mitry-le-Neuf,Mitry - Claye,gare_depart,nb_arrets_desservis,date_observation
LOUP62,LOUP,Orsay-Ville,,,,,,,,,,2026-04-14 18:34:38+02:00,2026-04-14 18:32:17+02:00,2026-04-14 18:29:24+02:00,2026-04-14 18:27:19+02:00,2026-04-14 18:24:52+02:00,,2026-04-14 18:20:43+02:00,2026-04-14 18:18:59+02:00,2026-04-14 18:16:44+02:00,2026-04-14 18:14:49+02:00,,2026-04-14 18:11:54+02:00,2026-04-14 18:09:11+02:00,2026-04-14 18:07:23+02:00,2026-04-14 18:05:15+02:00,2026-04-14 18:03:19+02:00,2026-04-14 18:01:32+02:00,2026-04-14 17:58:54+02:00,2026-04-14 17:56:36+02:00,2026-04-14 17:55:01+02:00,2026-04-14 17:53:09+02:00,2026-04-14 17:50:47+02:00,2026-04-14 17:47:00+02:00,2026-04-14 17:41:20+02:00,2026-04-14 17:38:30+02:00,,,,,,,,,,,,,,La Courneuve - Aubervilliers,23,2026-04-14 17:40:02.101326+02:00
PGUY10,PGUY,Saint-Rémy-lès-Chevreuse,,,,,2026-04-14 19:49:07+02:00,2026-04-14 19:45:59+02:00,2026-04-14 19:44:01+02:00,2026-04-14 19:42:09+02:00,2026-04-14 19:40:12+02:00,2026-04-14 19:37:49+02:00,,,2026-04-14 19:33:16+02:00,2026-04-14 19:30:59+02:00,,,,2026-04-14 19:25:34+02:00,2026-04-14 19:23:39+02:00,,2026-04-14 19:20:44+02:00,2026-04-14 19:18:01+02:00,2026-04-14 19:16:13+02:00,2026-04-14 19:14:05+02:00,2026-04-14 19:12:09+02:00,2026-04-14 19:10:27+02:00,2026-04-14 19:07:54+02:00,2026-04-14 19:05:36+02:00,2026-04-14 19:04:01+02:00,2026-04-14 19:02:09+02:00,2026-04-14 18:59:47+02:00,2026-04-14 18:56:00+02:00,2026-04-14 18:50:20+02:00,2026-04-14 18:47:30+02:00,2026-04-14 18:44:00+02:00,2026-04-14 18:41:10+02:00,2026-04-14 18:39:00+02:00,2026-04-14 18:36:50+02:00,,,,,,2026-04-14 18:33:10+02:00,2026-04-14 18:30:00+02:00,2026-04-14 18:26:50+02:00,2026-04-14 18:23:00+02:00,Mitry - Claye,32,2026-04-14 17:40:02.101326+02:00
PGUY18,PGUY,Saint-Rémy-lès-Chevreuse,,,,,2026-04-14 20:01:07+02:00,2026-04-14 19:57:59+02:00,2026-04-14 19:56:01+02:00,2026-04-14 19:54:09+02:00,2026-04-14 19:52:12+02:00,2026-04-14 19:49:49+02:00,,,2026-04-14 19:45:16+02:00,2026-04-14 19:42:59+02:00,,,,2026-04-14 19:37:34+02:00,2026-04-14 19:35:39+02:00,,2026-04-14 19:32:44+02:00,2026-04-14 19:30:01+02:00,2026-04-14 19:28:13+02:00,2026-04-14 19:26:05+02:00,2026-04-14 19:24:09+02:00,2026-04-14 19:22:27+02:00,2026-04-14 19:19:54+02:00,2026-04-14 19:17:36+02:00,2026-04-14 19:16:01+02:00,2026-04-14 19:14:09+02:00,2026-04-14 19:11:47+02:00,2026-04-14 19:08:00+02:00,2026-04-14 19:02:20+02:00,2026-04-14 18:59:30+02:00,2026-04-14 18:56:00+02:00,2026-04-14 18:53:10+02:00,2026-04-14 18:51:00+02:00,2026-04-14 18:48:50+02:00,,,,,,2026-04-14 18:45:10+02:00,2026-04-14 18:42:00+02:00,2026-04-14 18:38:50+02:00,2026-04-14 18:35:00+02:00,Mitry - Claye,32,2026-04-14 17:40:02.101326+02:00
LOUP70,LOUP,Orsay-Ville,,,,,,,,,,2026-04-14 18:46:38+02:00,2026-04-14 18:44:17+02:00,2026-04-14 18:41:24+02:00,2026-04-14 18:39:19+02:00,2026-04-14 18:36:52+02:00,,2026-04-14 18:32:43+02:00,2026-04-14 18:30:59+02:00,2026-04-14 18:28:44+02:00,2026-04-14 18:26:49+02:00,,2026-04-14 18:23:54+02:00,2026-04-14 18:21:11+02:00,2026-04-14 18:19:23+02:00,2026-04-14 18:17:15+02:00,2026-04-14 18:15:19+02:00,2026-04-14 18:13:32+02:00,2026-04-14 18:10:54+02:00,2026-04-14 18:08:36+02:00,2026-04-14 18:07:01+02:00,2026-04-14 18:05:09+02:00,2026-04-14 18:02:47+02:00,2026-04-14 17:59:00+02:00,2026-04-14 17:53:20+02:00,2026-04-14 17:50:30+02:00,2026-04-14 17:47:00+02:00,2026-04-14 17:44:10+02:00,2026-04-14 17:42:00+02:00,2026-04-14 17:39:50+02:00,,,,,,,,,,Aulnay-sous-Bois,27,2026-04-14 17:40:02.101326+02:00
IJUR89,IJUR,Mitry - Claye,,,,2026-04-14 17:43:51+02:00,2026-04-14 17:47:02+02:00,2026-04-14 17:50:09+02:00,2026-04-14 17:52:05+02:00,2026-04-14 17:53:57+02:00,2026-04-14 17:56:42+02:00,2026-04-14 17:58:56+02:00,,,,2026-04-14 18:04:45+02:00,,,,2026-04-14 18:09:40+02:00,2026-04-14 18:11:26+02:00,,2026-04-14 18:14:17+02:00,2026-04-14 18:16:46+02:00,2026-04-14 18:18:31+02:00,2026-04-14 18:20:34+02:00,2026-04-14 18:22:21+02:00,2026-04-14 18:24:12+02:00,2026-04-14 18:27:02+02:00,2026-04-14 18:28:49+02:00,2026-04-14 18:30:23+02:00,2026-04-14 18:32:59+02:00,2026-04-14 18:35:00+02:00,2026-04-14 18:39:00+02:00,2026-04-14 18:44:10+02:00,2026-04-14 18:46:40+02:00,2026-04-14 18:49:50+02:00,2026-04-14 18:52:30+02:00,2026-04-14 18:54:40+02:00,2026-04-14 18:57:20+02:00,,,,,,2026-04-14 19:00:40+02:00,2026-04-14 19:03:30+02:00,2026-04-14 19:06:40+02:00,,Saint-Rémy-lès-Chevreuse,31,2026-04-14 17:40:02.101326+02:00
PGUY02,PGUY,Saint-Rémy-lès-Chevreuse,,,,,2026-04-14 19:37:07+02:00,2026-04-14 19:33:59+02:00,2026-04-14 19:32:01+02:00,2026-04-14 19:30:09+02:00,2026-04-14 19:28:12+02:00,2026-04-14 19:25:49+02:00,,,2026-04-14 19:21:16+02:00,2026-04-14 19:18:59+02:00,,,,2026-04-14 19:13:34+02:00,2026-04-14 19:11:39+02:00,,2026-04-14 19:08:44+02:00,2026-04-14 19:06:01+02:00,2026-04-14 19:04:13+02:00,2026-04-14 19:02:05+02:00,2026-04-14 19:00:09+02:00,2026-04-14 18:58:27+02:00,2026-04-14 18:55:54+02:00,2026-04-14 18:53:36+02:00,2026-04-14 18:52:01+02:00,2026-04-14 18:50:09+02:00,2026-04-14 18:47:47+02:00,2026-04-14 18:44:00+02:00,2026-04-14 18:38:20+02:00,2026-04-14 18:35:30+02:00,2026-04-14 18:32:00+02:00,2026-04-14 18:29:10+02:00,2026-04-14 18:27:00+02:00,2026-04-14 18:24:50+02:00,,,,,,2026-04-14 18:21:10+02:00,2026-04-14 18:18:00+02:00,2026-04-14 18:14:50+02:00,2026-04-14 18:11:00+02:00,Mitry - Claye,32,2026-04-14 17:40:02.101326+02:00
PGAZ28,PGAZ,Saint-Rémy-lès-Chevreuse,,,,,2026-04-14 17:49:07+02:00,2026-04-14 17:45:59+02:00,2026-04-14 17:44:01+02:00,2026-04-14 17:42:09+02:00,2026-04-14 17:40:12+02:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Orsay Ville,5,2026-04-14 17:40:02.101326+02:00
EMMA63,EMMA,Aéroport Charles de Gaulle 2 (Terminal 2),,,,,,,,,,,,,,,,,,,,,,2026-04-14 17:37:46+02:00,2026-04-14 17:39:31+02:00,2026-04-14 17:41:34+02:00,2026-04-14 17:43:21+02:00,2026-04-14 17:45:12+02:00,2026-04-14 17:48:02+02:00,2026-04-14 17:49:49+02:00,2026-04-14 17:51:23+02:00,2026-04-14 17:53:59+02:00,2026-04-14 17:56:00+02:00,2026-04-14 18:00:00+02:00,2026-04-14 18:05:10+02:00,2026-04-14 18:07:40+02:00,2026-04-14 18:10:50+02:00,2026-04-14 18:13:30+02:00,2026-04-14 18:15:40+02:00,2026-04-14 18:18:10+02:00,2026-04-14 18:21:30+02:00,2026-04-14 18:24:00+02:00,2026-04-14 18:26:20+02:00,2026-04-14 18:32:00+02:00,,,,,,Bagneux,21,2026-04-14 17:40:02.101326+02:00
IALE25,IALE,Mitry - Claye,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-14 17:27:30+02:00,2026-04-14 17:30:40+02:00,,Vert Galant,2,2026-04-14 17:40:02.101326+02:00
IRON93,IRON,Mitry - Claye,,,,,,,,,,,,,,2026-04-14 18:07:30+02:00,2026-04-14 18:09:45+02:00,2026-04-14 18:11:43+02:00,,2026-04-14 18:14:36+02:00,2026-04-14 18:16:22+02:00,2026-04-14 18:18:05+02:00,2026-04-14 18:20:17+02:00,2026-04-14 18:22:46+02:00,2026-04-14 18:24:31+02:00,2026-04-14 18:26:34+02:00,2026-04-14 18:28:21+02:00,2026-04-14 18:30:12+02:00,2026-04-14 18:33:02+02:00,2026-04-14 18:34:49+02:00,2026-04-14 18:36:23+02:00,2026-04-14 18:38:59+02:00,2026-04-14 18:41:00+02:00,2026-04-14 18:45:00+02:00,2026-04-14 18:50:10+02:00,2026-04-14 18:52:40+02:00,2026-04-14 18:55:50+02:00,2026-04-14 18:58:30+02:00,2026-04-14 19:00:40+02:00,2026-04-14 19:03:20+02:00,,,,,,2026-04-14 19:06:40+02:00,2026-04-14 19:09:30+02:00,2026-04-14 19:12:40+02:00,,Massy - Palaiseau,27,2026-04-14 17:40:02.101326+02:00
