mission,type_mission,destination,Robinson,Fontenay-aux-Roses,Sceaux,Saint-Rémy-lès-Chevreuse,Courcelle sur Yvette,Gif-sur-Yvette,La Hacquinière,Bures-sur-Yvette,Orsay Ville,Le Guichet,Lozère,Palaiseau - Villebon,Palaiseau,Massy - Palaiseau,Massy - Verrières,Les Baconnets,Fontaine Michalon,Antony,La Croix de Berny,Parc de Sceaux,Bourg-la-Reine,Bagneux,Arcueil - Cachan,Laplace,Gentilly,Cité Universitaire,Denfert-Rochereau,Port Royal,Luxembourg,Saint-Michel Notre-Dame,Châtelet les Halles,Gare du Nord,La Plaine Stade de France,La Courneuve - Aubervilliers,Le Bourget,Drancy,Le Blanc-Mesnil,Aulnay-sous-Bois,Sevran Beaudottes,Villepinte,Parc des Expositions,Aéroport CDG 1 (Terminal 3) - RER,Aéroport Charles de Gaulle 2 (Terminal 2),Sevran - Livry,Vert Galant,Villeparisis - Mitry-le-Neuf,Mitry - Claye,gare_depart,nb_arrets_desservis,date_observation
IDOR53,IDOR,Mitry - Claye,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-03-26 17:53:43+01:00,2026-03-26 17:56:13+01:00,2026-03-26 17:59:23+01:00,2026-03-26 18:02:03+01:00,2026-03-26 18:04:13+01:00,2026-03-26 18:06:53+01:00,,,,,,2026-03-26 18:10:13+01:00,2026-03-26 18:13:03+01:00,2026-03-26 18:16:13+01:00,,La Plaine Stade de France,9,2026-03-26 17:50:49.795853+01:00
ILAN37,ILAN,Mitry - Claye,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-03-26 17:50:30+01:00,2026-03-26 17:53:40+01:00,,Vert Galant,2,2026-03-26 17:50:49.795853+01:00
IJUR73,IJUR,Mitry - Claye,,,,,,,,,,,,,,,,,,,,,2026-03-26 17:50:50+01:00,2026-03-26 17:53:29+01:00,2026-03-26 17:55:09+01:00,2026-03-26 17:57:17+01:00,2026-03-26 17:59:04+01:00,2026-03-26 18:00:40+01:00,2026-03-26 18:03:15+01:00,2026-03-26 18:05:32+01:00,2026-03-26 18:07:06+01:00,2026-03-26 18:09:12+01:00,2026-03-26 18:11:32+01:00,2026-03-26 18:15:53+01:00,2026-03-26 18:21:03+01:00,2026-03-26 18:23:33+01:00,2026-03-26 18:26:43+01:00,2026-03-26 18:29:23+01:00,2026-03-26 18:31:33+01:00,2026-03-26 18:34:13+01:00,,,,,,2026-03-26 18:37:33+01:00,2026-03-26 18:40:23+01:00,2026-03-26 18:43:33+01:00,,Bourg-la-Reine,21,2026-03-26 17:50:49.795853+01:00
ELOI67,ELOI,Aéroport Charles de Gaulle 2 (Terminal 2),,,,,,,,,,,,,,,,,,,,,,,,,,,2026-03-26 17:51:30+01:00,2026-03-26 17:53:38+01:00,2026-03-26 17:55:13+01:00,2026-03-26 17:57:30+01:00,2026-03-26 17:59:25+01:00,2026-03-26 18:06:00+01:00,2026-03-26 18:11:10+01:00,2026-03-26 18:13:40+01:00,2026-03-26 18:16:50+01:00,2026-03-26 18:19:30+01:00,2026-03-26 18:21:40+01:00,2026-03-26 18:24:10+01:00,2026-03-26 18:27:30+01:00,2026-03-26 18:30:00+01:00,2026-03-26 18:32:20+01:00,2026-03-26 18:38:00+01:00,,,,,,Denfert-Rochereau,16,2026-03-26 17:50:49.795853+01:00
STAR58,STAR,Robinson,,2026-03-26 18:13:43+01:00,2026-03-26 18:11:58+01:00,,,,,,,,,,,,,,,,,,2026-03-26 18:09:46+01:00,2026-03-26 18:07:13+01:00,2026-03-26 18:05:25+01:00,2026-03-26 18:03:17+01:00,2026-03-26 18:01:21+01:00,2026-03-26 17:59:24+01:00,2026-03-26 17:56:36+01:00,2026-03-26 17:54:48+01:00,2026-03-26 17:53:13+01:00,2026-03-26 17:50:51+01:00,,,,,,,,,,,,,,,,,,Saint-Michel Notre-Dame,12,2026-03-26 17:50:49.795853+01:00
LOUP38,LOUP,Aulnay-sous-Bois,,,,,,,,,,2026-03-26 17:58:13+01:00,2026-03-26 17:55:52+01:00,2026-03-26 17:52:59+01:00,2026-03-26 17:50:54+01:00,2026-03-26 17:47:42+01:00,,2026-03-26 17:44:23+01:00,2026-03-26 17:42:39+01:00,2026-03-26 17:40:19+01:00,2026-03-26 17:38:24+01:00,,2026-03-26 17:35:29+01:00,2026-03-26 17:32:51+01:00,2026-03-26 17:31:03+01:00,2026-03-26 17:28:55+01:00,2026-03-26 17:26:59+01:00,2026-03-26 17:25:02+01:00,2026-03-26 17:22:14+01:00,2026-03-26 17:20:26+01:00,2026-03-26 17:18:51+01:00,2026-03-26 17:16:29+01:00,2026-03-26 17:14:07+01:00,2026-03-26 17:11:00+01:00,2026-03-26 17:05:20+01:00,2026-03-26 17:02:30+01:00,2026-03-26 16:59:00+01:00,2026-03-26 16:56:10+01:00,2026-03-26 16:54:00+01:00,2026-03-26 16:51:50+01:00,2026-03-26 16:48:10+01:00,2026-03-26 16:45:20+01:00,2026-03-26 16:43:20+01:00,,,,,,,Parc des Expositions,30,2026-03-26 17:50:49.795853+01:00
EMUE19,EMUE,Aéroport Charles de Gaulle 2 (Terminal 2),,,,,,,,,2026-03-26 18:36:31+01:00,2026-03-26 18:38:35+01:00,2026-03-26 18:40:42+01:00,2026-03-26 18:43:11+01:00,2026-03-26 18:45:02+01:00,2026-03-26 18:47:14+01:00,,2026-03-26 18:50:44+01:00,2026-03-26 18:52:19+01:00,2026-03-26 18:54:20+01:00,2026-03-26 18:56:11+01:00,,2026-03-26 18:58:57+01:00,2026-03-26 19:01:36+01:00,2026-03-26 19:03:16+01:00,2026-03-26 19:05:24+01:00,2026-03-26 19:07:11+01:00,2026-03-26 19:08:47+01:00,2026-03-26 19:11:22+01:00,2026-03-26 19:13:39+01:00,2026-03-26 19:15:13+01:00,2026-03-26 19:17:19+01:00,2026-03-26 19:19:39+01:00,2026-03-26 19:24:00+01:00,2026-03-26 19:29:10+01:00,2026-03-26 19:31:40+01:00,2026-03-26 19:34:50+01:00,2026-03-26 19:37:30+01:00,2026-03-26 19:39:40+01:00,2026-03-26 19:42:10+01:00,2026-03-26 19:45:30+01:00,2026-03-26 19:48:00+01:00,2026-03-26 19:50:20+01:00,2026-03-26 19:56:00+01:00,,,,,,Orsay Ville,32,2026-03-26 17:50:49.795853+01:00
EMUE27,EMUE,Aéroport Charles de Gaulle 2 (Terminal 2),,,,,,,,,2026-03-26 18:48:31+01:00,2026-03-26 18:50:35+01:00,2026-03-26 18:52:42+01:00,2026-03-26 18:55:11+01:00,2026-03-26 18:57:02+01:00,2026-03-26 18:59:14+01:00,,2026-03-26 19:02:44+01:00,2026-03-26 19:04:19+01:00,2026-03-26 19:06:20+01:00,2026-03-26 19:08:11+01:00,,2026-03-26 19:10:57+01:00,2026-03-26 19:13:36+01:00,2026-03-26 19:15:16+01:00,2026-03-26 19:17:24+01:00,2026-03-26 19:19:11+01:00,2026-03-26 19:20:47+01:00,2026-03-26 19:23:22+01:00,2026-03-26 19:25:39+01:00,2026-03-26 19:27:13+01:00,2026-03-26 19:29:19+01:00,2026-03-26 19:31:39+01:00,2026-03-26 19:36:00+01:00,2026-03-26 19:41:10+01:00,2026-03-26 19:43:40+01:00,2026-03-26 19:46:50+01:00,2026-03-26 19:49:30+01:00,2026-03-26 19:51:40+01:00,2026-03-26 19:54:10+01:00,2026-03-26 19:57:30+01:00,2026-03-26 20:00:00+01:00,2026-03-26 20:02:20+01:00,2026-03-26 20:08:00+01:00,,,,,,Orsay Ville,32,2026-03-26 17:50:49.795853+01:00
KENT06,KENT,Massy-Palaiseau,,,,,,,,,,,,,,,2026-03-26 19:25:07+01:00,2026-03-26 19:23:03+01:00,,2026-03-26 19:20:10+01:00,2026-03-26 19:18:25+01:00,2026-03-26 19:16:41+01:00,2026-03-26 19:14:29+01:00,2026-03-26 19:11:51+01:00,2026-03-26 19:10:03+01:00,2026-03-26 19:07:55+01:00,2026-03-26 19:05:59+01:00,2026-03-26 19:04:02+01:00,2026-03-26 19:01:14+01:00,2026-03-26 18:59:26+01:00,2026-03-26 18:57:51+01:00,2026-03-26 18:55:29+01:00,2026-03-26 18:53:07+01:00,2026-03-26 18:50:00+01:00,2026-03-26 18:44:20+01:00,,,,,,,,,,,,,,,La Plaine Stade de France,18,2026-03-26 17:50:49.795853+01:00
IJUR57,IJUR,Mitry - Claye,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-03-26 17:48:46+01:00,2026-03-26 17:53:07+01:00,2026-03-26 17:58:17+01:00,2026-03-26 18:00:47+01:00,2026-03-26 18:03:57+01:00,2026-03-26 18:06:37+01:00,2026-03-26 18:08:47+01:00,2026-03-26 18:11:27+01:00,,,,,,2026-03-26 18:14:47+01:00,2026-03-26 18:17:37+01:00,2026-03-26 18:20:47+01:00,,Châtelet les Halles,11,2026-03-26 17:50:49.795853+01:00
