mission,type_mission,destination,Robinson,Fontenay-aux-Roses,Sceaux,Saint-Rémy-lès-Chevreuse,Courcelle sur Yvette,Gif-sur-Yvette,La Hacquinière,Bures-sur-Yvette,Orsay Ville,Le Guichet,Lozère,Palaiseau - Villebon,Palaiseau,Massy - Palaiseau,Massy - Verrières,Les Baconnets,Fontaine Michalon,Antony,La Croix de Berny,Parc de Sceaux,Bourg-la-Reine,Bagneux,Arcueil - Cachan,Laplace,Gentilly,Cité Universitaire,Denfert-Rochereau,Port Royal,Luxembourg,Saint-Michel Notre-Dame,Châtelet les Halles,Gare du Nord,La Plaine Stade de France,La Courneuve - Aubervilliers,Le Bourget,Drancy,Le Blanc-Mesnil,Aulnay-sous-Bois,Sevran Beaudottes,Villepinte,Parc des Expositions,Aéroport CDG 1 (Terminal 3) - RER,Aéroport Charles de Gaulle 2 (Terminal 2),Sevran - Livry,Vert Galant,Villeparisis - Mitry-le-Neuf,Mitry - Claye,gare_depart,nb_arrets_desservis,date_observation
EPAU87,EPAU,Aéroport Charles de Gaulle 2 (Terminal 2),,,,,,,,,,,,2026-04-16 15:10:04+02:00,2026-04-16 15:11:50+02:00,2026-04-16 15:14:02+02:00,,,,2026-04-16 15:19:17+02:00,2026-04-16 15:21:08+02:00,,2026-04-16 15:23:44+02:00,,,,,2026-04-16 15:29:30+02:00,2026-04-16 15:32:00+02:00,2026-04-16 15:34:17+02:00,2026-04-16 15:35:51+02:00,2026-04-16 15:37:57+02:00,2026-04-16 15:40:07+02:00,2026-04-16 15:45:00+02:00,2026-04-16 15:50:10+02:00,2026-04-16 15:52:40+02:00,2026-04-16 15:55:50+02:00,2026-04-16 15:58:30+02:00,2026-04-16 16:00:40+02:00,2026-04-16 16:03:10+02:00,2026-04-16 16:06:20+02:00,2026-04-16 16:09:30+02:00,2026-04-16 16:12:20+02:00,2026-04-16 16:19:10+02:00,,,,,,Palaiseau - Villebon,23,2026-04-16 15:10:01.984500+02:00
ILUS89,ILUS,Mitry - Claye,2026-04-16 15:20:33+02:00,2026-04-16 15:22:54+02:00,2026-04-16 15:24:33+02:00,,,,,,,,,,,,,,,,,,2026-04-16 15:26:26+02:00,2026-04-16 15:29:06+02:00,2026-04-16 15:30:46+02:00,2026-04-16 15:32:49+02:00,2026-04-16 15:34:36+02:00,2026-04-16 15:36:12+02:00,2026-04-16 15:38:42+02:00,2026-04-16 15:40:59+02:00,2026-04-16 15:42:33+02:00,2026-04-16 15:44:39+02:00,2026-04-16 15:46:49+02:00,2026-04-16 15:51:00+02:00,2026-04-16 15:56:10+02:00,2026-04-16 15:58:40+02:00,2026-04-16 16:01:50+02:00,2026-04-16 16:04:30+02:00,2026-04-16 16:06:40+02:00,2026-04-16 16:09:20+02:00,,,,,,2026-04-16 16:12:40+02:00,2026-04-16 16:15:30+02:00,2026-04-16 16:18:40+02:00,,Robinson,24,2026-04-16 15:10:01.984500+02:00
SOME12,SOME,Robinson,,2026-04-16 16:56:26+02:00,2026-04-16 16:54:46+02:00,,,,,,,,,,,,,,,,,,2026-04-16 16:52:44+02:00,2026-04-16 16:50:11+02:00,2026-04-16 16:48:33+02:00,2026-04-16 16:46:35+02:00,2026-04-16 16:44:49+02:00,2026-04-16 16:43:02+02:00,2026-04-16 16:40:14+02:00,2026-04-16 16:38:26+02:00,2026-04-16 16:36:51+02:00,2026-04-16 16:34:29+02:00,2026-04-16 16:32:07+02:00,2026-04-16 16:29:00+02:00,2026-04-16 16:23:20+02:00,2026-04-16 16:20:30+02:00,2026-04-16 16:17:00+02:00,2026-04-16 16:14:10+02:00,2026-04-16 16:12:00+02:00,2026-04-16 16:09:50+02:00,,,,,,2026-04-16 16:06:10+02:00,2026-04-16 16:03:00+02:00,2026-04-16 15:59:50+02:00,2026-04-16 15:56:00+02:00,Mitry - Claye,24,2026-04-16 15:10:01.984500+02:00
EPAU99,EPAU,Aéroport Charles de Gaulle 2 (Terminal 2),,,,2026-04-16 15:21:55+02:00,2026-04-16 15:24:56+02:00,2026-04-16 15:28:03+02:00,2026-04-16 15:29:59+02:00,2026-04-16 15:31:41+02:00,2026-04-16 15:34:01+02:00,2026-04-16 15:36:25+02:00,2026-04-16 15:38:22+02:00,2026-04-16 15:40:46+02:00,2026-04-16 15:42:32+02:00,2026-04-16 15:44:44+02:00,,,,2026-04-16 15:49:59+02:00,2026-04-16 15:51:50+02:00,,2026-04-16 15:54:26+02:00,,,,,2026-04-16 16:00:12+02:00,2026-04-16 16:02:42+02:00,2026-04-16 16:04:59+02:00,2026-04-16 16:06:33+02:00,2026-04-16 16:08:39+02:00,2026-04-16 16:10:49+02:00,2026-04-16 16:15:00+02:00,2026-04-16 16:20:10+02:00,2026-04-16 16:22:40+02:00,2026-04-16 16:25:50+02:00,2026-04-16 16:28:30+02:00,2026-04-16 16:30:40+02:00,2026-04-16 16:33:10+02:00,2026-04-16 16:36:20+02:00,2026-04-16 16:39:30+02:00,2026-04-16 16:42:20+02:00,2026-04-16 16:50:00+02:00,,,,,,Saint-Rémy-lès-Chevreuse,31,2026-04-16 15:10:01.984500+02:00
EPAU93,EPAU,Aéroport Charles de Gaulle 2 (Terminal 2),,,,,2026-04-16 15:10:53+02:00,2026-04-16 15:14:00+02:00,2026-04-16 15:15:56+02:00,2026-04-16 15:17:38+02:00,2026-04-16 15:19:58+02:00,2026-04-16 15:22:22+02:00,2026-04-16 15:24:19+02:00,2026-04-16 15:26:43+02:00,2026-04-16 15:28:29+02:00,2026-04-16 15:30:41+02:00,,,,2026-04-16 15:35:56+02:00,2026-04-16 15:37:47+02:00,,2026-04-16 15:40:23+02:00,,,,,2026-04-16 15:46:09+02:00,2026-04-16 15:48:39+02:00,2026-04-16 15:50:56+02:00,2026-04-16 15:52:30+02:00,2026-04-16 15:54:36+02:00,2026-04-16 15:56:46+02:00,2026-04-16 16:00:57+02:00,2026-04-16 16:06:07+02:00,2026-04-16 16:08:37+02:00,2026-04-16 16:11:47+02:00,2026-04-16 16:14:27+02:00,2026-04-16 16:16:37+02:00,2026-04-16 16:19:07+02:00,2026-04-16 16:22:27+02:00,2026-04-16 16:24:57+02:00,2026-04-16 16:27:17+02:00,2026-04-16 16:32:57+02:00,,,,,,Courcelle sur Yvette,30,2026-04-16 15:10:01.984500+02:00
EPAU75,EPAU,Aéroport Charles de Gaulle 2 (Terminal 2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-16 15:09:46+02:00,2026-04-16 15:11:56+02:00,2026-04-16 15:16:07+02:00,2026-04-16 15:21:17+02:00,2026-04-16 15:23:47+02:00,2026-04-16 15:26:57+02:00,2026-04-16 15:29:37+02:00,2026-04-16 15:31:47+02:00,2026-04-16 15:34:17+02:00,2026-04-16 15:37:27+02:00,2026-04-16 15:39:57+02:00,2026-04-16 15:42:17+02:00,2026-04-16 15:47:57+02:00,,,,,,Saint-Michel Notre-Dame,13,2026-04-16 15:10:01.984500+02:00
KALI72,KALI,Massy-Palaiseau,,,,,,,,,,,,,,,2026-04-16 15:27:21+02:00,2026-04-16 15:25:37+02:00,2026-04-16 15:24:13+02:00,2026-04-16 15:22:08+02:00,2026-04-16 15:20:28+02:00,2026-04-16 15:18:49+02:00,2026-04-16 15:16:52+02:00,2026-04-16 15:14:29+02:00,2026-04-16 15:12:51+02:00,2026-04-16 15:10:53+02:00,,,,,,,,,,,,,,,,,,,,,,,,Laplace,10,2026-04-16 15:10:01.984500+02:00
KALI84,KALI,Massy-Palaiseau,,,,,,,,,,,,,,,2026-04-16 15:57:19+02:00,2026-04-16 15:55:35+02:00,2026-04-16 15:54:11+02:00,2026-04-16 15:52:00+02:00,2026-04-16 15:50:20+02:00,2026-04-16 15:48:47+02:00,2026-04-16 15:46:44+02:00,2026-04-16 15:44:21+02:00,2026-04-16 15:42:43+02:00,2026-04-16 15:40:45+02:00,2026-04-16 15:38:59+02:00,2026-04-16 15:37:02+02:00,2026-04-16 15:34:14+02:00,2026-04-16 15:32:26+02:00,2026-04-16 15:30:51+02:00,2026-04-16 15:28:29+02:00,2026-04-16 15:26:07+02:00,2026-04-16 15:23:06+02:00,,,,,,,,,,,,,,,,Gare du Nord,18,2026-04-16 15:10:01.984500+02:00
KALI66,KALI,Massy-Palaiseau,,,,,,,,,,,,,,,2026-04-16 15:15:40+02:00,2026-04-16 15:13:56+02:00,2026-04-16 15:12:32+02:00,2026-04-16 15:10:27+02:00,2026-04-16 15:08:47+02:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,La Croix de Berny,5,2026-04-16 15:10:01.984500+02:00
ERSE03,ERSE,Aéroport Charles de Gaulle 2 (Terminal 2),,,,,,,,,,,,,,2026-04-16 15:49:35+02:00,2026-04-16 15:51:40+02:00,2026-04-16 15:53:28+02:00,2026-04-16 15:54:53+02:00,2026-04-16 15:56:49+02:00,2026-04-16 15:58:40+02:00,2026-04-16 16:00:28+02:00,2026-04-16 16:02:17+02:00,2026-04-16 16:05:06+02:00,2026-04-16 16:06:46+02:00,2026-04-16 16:08:49+02:00,2026-04-16 16:10:36+02:00,2026-04-16 16:12:12+02:00,2026-04-16 16:14:42+02:00,2026-04-16 16:16:59+02:00,2026-04-16 16:18:33+02:00,2026-04-16 16:20:39+02:00,2026-04-16 16:22:49+02:00,2026-04-16 16:27:00+02:00,,,,,,2026-04-16 16:42:10+02:00,,,,2026-04-16 16:56:00+02:00,,,,,,Massy - Palaiseau,21,2026-04-16 15:10:01.984500+02:00
