mission,type_mission,destination,Robinson,Fontenay-aux-Roses,Sceaux,Saint-Rémy-lès-Chevreuse,Courcelle sur Yvette,Gif-sur-Yvette,La Hacquinière,Bures-sur-Yvette,Orsay Ville,Le Guichet,Lozère,Palaiseau - Villebon,Palaiseau,Massy - Palaiseau,Massy - Verrières,Les Baconnets,Fontaine Michalon,Antony,La Croix de Berny,Parc de Sceaux,Bourg-la-Reine,Bagneux,Arcueil - Cachan,Laplace,Gentilly,Cité Universitaire,Denfert-Rochereau,Port Royal,Luxembourg,Saint-Michel Notre-Dame,Châtelet les Halles,Gare du Nord,La Plaine Stade de France,La Courneuve - Aubervilliers,Le Bourget,Drancy,Le Blanc-Mesnil,Aulnay-sous-Bois,Sevran Beaudottes,Villepinte,Parc des Expositions,Aéroport CDG 1 (Terminal 3) - RER,Aéroport Charles de Gaulle 2 (Terminal 2),Sevran - Livry,Vert Galant,Villeparisis - Mitry-le-Neuf,Mitry - Claye,gare_depart,nb_arrets_desservis,date_observation
ILUS29,ILUS,Mitry - Claye,2026-04-15 12:50:33+02:00,2026-04-15 12:52:59+02:00,2026-04-15 12:54:38+02:00,,,,,,,,,,,,,,,,,,2026-04-15 12:56:41+02:00,2026-04-15 12:59:16+02:00,2026-04-15 13:00:56+02:00,2026-04-15 13:02:59+02:00,2026-04-15 13:04:46+02:00,2026-04-15 13:06:32+02:00,2026-04-15 13:09:22+02:00,2026-04-15 13:11:09+02:00,2026-04-15 13:12:43+02:00,2026-04-15 13:15:09+02:00,2026-04-15 13:17:00+02:00,2026-04-15 13:21:00+02:00,2026-04-15 13:26:10+02:00,2026-04-15 13:28:40+02:00,2026-04-15 13:31:50+02:00,2026-04-15 13:34:30+02:00,2026-04-15 13:36:40+02:00,2026-04-15 13:39:20+02:00,,,,,,2026-04-15 13:42:40+02:00,2026-04-15 13:45:30+02:00,2026-04-15 13:48:40+02:00,,Robinson,24,2026-04-15 12:00:02.148507+02:00
ERIC89,ERIC,Aéroport Charles de Gaulle 2 (Terminal 2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-15 12:09:30+02:00,,,,,,Aéroport CDG 1 (Terminal 3) - RER,1,2026-04-15 12:00:02.148507+02:00
ERIO07,ERIO,Aéroport Charles de Gaulle 2 (Terminal 2),,,,,,,,,,,,,,,,,,,,2026-04-15 12:00:28+02:00,2026-04-15 12:02:47+02:00,2026-04-15 12:05:16+02:00,2026-04-15 12:06:56+02:00,2026-04-15 12:08:59+02:00,2026-04-15 12:10:46+02:00,2026-04-15 12:12:32+02:00,2026-04-15 12:15:22+02:00,2026-04-15 12:17:09+02:00,2026-04-15 12:18:43+02:00,2026-04-15 12:21:09+02:00,2026-04-15 12:23:00+02:00,2026-04-15 12:27:00+02:00,,,,,,2026-04-15 12:42:10+02:00,,,,2026-04-15 12:54:30+02:00,,,,,,Parc de Sceaux,15,2026-04-15 12:00:02.148507+02:00
ILOT87,ILOT,Mitry - Claye,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-15 12:03:40+02:00,,Villeparisis - Mitry-le-Neuf,1,2026-04-15 12:00:02.148507+02:00
KALI30,KALI,Massy-Palaiseau,,,,,,,,,,,,,,,2026-04-15 13:42:13+02:00,2026-04-15 13:40:29+02:00,2026-04-15 13:39:05+02:00,2026-04-15 13:37:10+02:00,2026-04-15 13:35:30+02:00,2026-04-15 13:33:41+02:00,2026-04-15 13:31:54+02:00,2026-04-15 13:29:26+02:00,2026-04-15 13:27:53+02:00,2026-04-15 13:25:55+02:00,2026-04-15 13:24:09+02:00,2026-04-15 13:22:32+02:00,2026-04-15 13:19:54+02:00,2026-04-15 13:17:36+02:00,2026-04-15 13:16:01+02:00,2026-04-15 13:14:09+02:00,2026-04-15 13:11:47+02:00,2026-04-15 13:08:00+02:00,,,,,,2026-04-15 12:51:20+02:00,,,,2026-04-15 12:39:20+02:00,2026-04-15 12:36:30+02:00,,,,,Aéroport Charles de Gaulle 2 (Terminal 2),21,2026-04-15 12:00:02.148507+02:00
KALI24,KALI,Massy-Palaiseau,,,,,,,,,,,,,,,2026-04-15 13:27:13+02:00,2026-04-15 13:25:29+02:00,2026-04-15 13:24:05+02:00,2026-04-15 13:22:10+02:00,2026-04-15 13:20:30+02:00,2026-04-15 13:18:41+02:00,2026-04-15 13:16:54+02:00,2026-04-15 13:14:26+02:00,2026-04-15 13:12:53+02:00,2026-04-15 13:10:55+02:00,2026-04-15 13:09:09+02:00,2026-04-15 13:07:32+02:00,2026-04-15 13:04:54+02:00,2026-04-15 13:02:36+02:00,2026-04-15 13:01:01+02:00,2026-04-15 12:59:09+02:00,2026-04-15 12:56:47+02:00,2026-04-15 12:53:00+02:00,,,,,,2026-04-15 12:36:50+02:00,,,,2026-04-15 12:24:20+02:00,2026-04-15 12:21:30+02:00,,,,,Aéroport Charles de Gaulle 2 (Terminal 2),21,2026-04-15 12:00:02.148507+02:00
ERIO19,ERIO,Aéroport Charles de Gaulle 2 (Terminal 2),,,,,,,,,,,,,,2026-04-15 12:19:35+02:00,2026-04-15 12:21:40+02:00,2026-04-15 12:23:28+02:00,2026-04-15 12:24:53+02:00,2026-04-15 12:27:09+02:00,2026-04-15 12:28:50+02:00,2026-04-15 12:30:28+02:00,2026-04-15 12:32:47+02:00,2026-04-15 12:35:16+02:00,2026-04-15 12:36:56+02:00,2026-04-15 12:38:59+02:00,2026-04-15 12:40:46+02:00,2026-04-15 12:42:32+02:00,2026-04-15 12:45:22+02:00,2026-04-15 12:47:09+02:00,2026-04-15 12:48:43+02:00,2026-04-15 12:51:09+02:00,2026-04-15 12:53:00+02:00,2026-04-15 12:57:00+02:00,,,,,,2026-04-15 13:12:10+02:00,,,,2026-04-15 13:24:30+02:00,,,,,,Massy - Palaiseau,21,2026-04-15 12:00:02.148507+02:00
EPAF85,EPAF,Aéroport Charles de Gaulle 2 (Terminal 2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-15 12:01:50+02:00,,,,,,Aéroport CDG 1 (Terminal 3) - RER,1,2026-04-15 12:00:02.148507+02:00
EPAF97,EPAF,Aéroport Charles de Gaulle 2 (Terminal 2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-15 12:00:00+02:00,2026-04-15 12:05:10+02:00,2026-04-15 12:07:40+02:00,2026-04-15 12:10:50+02:00,2026-04-15 12:13:30+02:00,2026-04-15 12:15:40+02:00,2026-04-15 12:18:10+02:00,2026-04-15 12:21:20+02:00,2026-04-15 12:23:50+02:00,2026-04-15 12:26:10+02:00,2026-04-15 12:31:50+02:00,,,,,,Gare du Nord,11,2026-04-15 12:00:02.148507+02:00
ILUS05,ILUS,Mitry - Claye,,,,,,,,,,,,,,,,,,,,,,2026-04-15 11:59:16+02:00,2026-04-15 12:00:56+02:00,2026-04-15 12:02:59+02:00,2026-04-15 12:04:46+02:00,2026-04-15 12:06:32+02:00,2026-04-15 12:09:22+02:00,2026-04-15 12:11:09+02:00,2026-04-15 12:12:43+02:00,2026-04-15 12:15:09+02:00,2026-04-15 12:17:00+02:00,2026-04-15 12:21:00+02:00,2026-04-15 12:26:10+02:00,2026-04-15 12:28:40+02:00,2026-04-15 12:31:50+02:00,2026-04-15 12:34:30+02:00,2026-04-15 12:36:40+02:00,2026-04-15 12:39:20+02:00,,,,,,2026-04-15 12:42:40+02:00,2026-04-15 12:45:30+02:00,2026-04-15 12:48:40+02:00,,Bagneux,20,2026-04-15 12:00:02.148507+02:00
