mission,type_mission,destination,Robinson,Fontenay-aux-Roses,Sceaux,Saint-Rémy-lès-Chevreuse,Courcelle sur Yvette,Gif-sur-Yvette,La Hacquinière,Bures-sur-Yvette,Orsay Ville,Le Guichet,Lozère,Palaiseau - Villebon,Palaiseau,Massy - Palaiseau,Massy - Verrières,Les Baconnets,Fontaine Michalon,Antony,La Croix de Berny,Parc de Sceaux,Bourg-la-Reine,Bagneux,Arcueil - Cachan,Laplace,Gentilly,Cité Universitaire,Denfert-Rochereau,Port Royal,Luxembourg,Saint-Michel Notre-Dame,Châtelet les Halles,Gare du Nord,La Plaine Stade de France,La Courneuve - Aubervilliers,Le Bourget,Drancy,Le Blanc-Mesnil,Aulnay-sous-Bois,Sevran Beaudottes,Villepinte,Parc des Expositions,Aéroport CDG 1 (Terminal 3) - RER,Aéroport Charles de Gaulle 2 (Terminal 2),Sevran - Livry,Vert Galant,Villeparisis - Mitry-le-Neuf,Mitry - Claye,gare_depart,nb_arrets_desservis,date_observation
ERIO97,ERIO,Aéroport Charles de Gaulle 2 (Terminal 2),,,,,,,,,,,,,,,,,,,,,,,,2026-04-16 15:55:25+02:00,2026-04-16 15:57:12+02:00,2026-04-16 15:58:48+02:00,2026-04-16 16:01:18+02:00,2026-04-16 16:03:35+02:00,2026-04-16 16:05:09+02:00,2026-04-16 16:07:15+02:00,2026-04-16 16:09:25+02:00,2026-04-16 16:13:36+02:00,,,,,,2026-04-16 16:28:46+02:00,,,,2026-04-16 16:39:36+02:00,,,,,,Laplace,11,2026-04-16 15:55:01.652010+02:00
EGRE19,EGRE,Aéroport Charles de Gaulle 2 (Terminal 2),,,,,,,,,,,,,,,,,,,,,,,,2026-04-16 16:35:54+02:00,2026-04-16 16:37:11+02:00,2026-04-16 16:38:47+02:00,2026-04-16 16:41:22+02:00,2026-04-16 16:43:39+02:00,2026-04-16 16:45:13+02:00,2026-04-16 16:47:19+02:00,2026-04-16 16:49:39+02:00,2026-04-16 16:54:00+02:00,2026-04-16 16:59:10+02:00,2026-04-16 17:01:40+02:00,2026-04-16 17:04:50+02:00,2026-04-16 17:07:30+02:00,2026-04-16 17:09:40+02:00,2026-04-16 17:12:10+02:00,2026-04-16 17:15:30+02:00,2026-04-16 17:18:00+02:00,2026-04-16 17:20:20+02:00,2026-04-16 17:26:00+02:00,,,,,,Laplace,19,2026-04-16 15:55:01.652010+02:00
SOSO98,SOSO,Robinson,,2026-04-16 16:26:26+02:00,2026-04-16 16:24:46+02:00,,,,,,,,,,,,,,,,,,2026-04-16 16:22:44+02:00,2026-04-16 16:20:11+02:00,2026-04-16 16:18:33+02:00,2026-04-16 16:16:35+02:00,2026-04-16 16:14:49+02:00,2026-04-16 16:13:02+02:00,2026-04-16 16:10:14+02:00,2026-04-16 16:08:26+02:00,2026-04-16 16:06:51+02:00,2026-04-16 16:04:29+02:00,2026-04-16 16:02:07+02:00,2026-04-16 15:59:21+02:00,,,,,,,,,,,,,,,,Gare du Nord,14,2026-04-16 15:55:01.652010+02:00
STAR50,STAR,Robinson,,2026-04-16 17:57:21+02:00,2026-04-16 17:55:36+02:00,,,,,,,,,,,,,,,,,,2026-04-16 17:53:24+02:00,2026-04-16 17:50:51+02:00,2026-04-16 17:49:03+02:00,2026-04-16 17:46:55+02:00,2026-04-16 17:44:59+02:00,2026-04-16 17:43:02+02:00,2026-04-16 17:40:14+02:00,2026-04-16 17:38:26+02:00,2026-04-16 17:36:51+02:00,2026-04-16 17:34:29+02:00,2026-04-16 17:32:07+02:00,2026-04-16 17:29:00+02:00,2026-04-16 17:23:20+02:00,2026-04-16 17:20:30+02:00,2026-04-16 17:17:00+02:00,2026-04-16 17:14:10+02:00,2026-04-16 17:12:00+02:00,2026-04-16 17:09:50+02:00,2026-04-16 17:06:10+02:00,2026-04-16 17:03:20+02:00,2026-04-16 17:01:20+02:00,2026-04-16 16:56:00+02:00,2026-04-16 16:48:50+02:00,,,,,Aéroport Charles de Gaulle 2 (Terminal 2),25,2026-04-16 15:55:01.652010+02:00
KALI96,KALI,Massy-Palaiseau,,,,,,,,,,,,,,,2026-04-16 16:27:13+02:00,2026-04-16 16:25:29+02:00,2026-04-16 16:24:05+02:00,2026-04-16 16:22:00+02:00,2026-04-16 16:20:20+02:00,2026-04-16 16:18:41+02:00,2026-04-16 16:16:44+02:00,2026-04-16 16:14:21+02:00,2026-04-16 16:12:43+02:00,2026-04-16 16:10:45+02:00,2026-04-16 16:08:59+02:00,2026-04-16 16:07:02+02:00,2026-04-16 16:04:14+02:00,2026-04-16 16:02:26+02:00,2026-04-16 16:00:51+02:00,2026-04-16 15:58:29+02:00,2026-04-16 15:56:37+02:00,,,,,,,,,,,,,,,,,Châtelet les Halles,17,2026-04-16 15:55:01.652010+02:00
PGAZ20,PGAZ,Saint-Rémy-lès-Chevreuse,,,,,2026-04-16 17:36:57+02:00,2026-04-16 17:33:44+02:00,2026-04-16 17:31:51+02:00,2026-04-16 17:29:59+02:00,2026-04-16 17:27:42+02:00,2026-04-16 17:25:34+02:00,,,2026-04-16 17:21:01+02:00,2026-04-16 17:18:09+02:00,,,,2026-04-16 17:13:09+02:00,2026-04-16 17:11:14+02:00,,2026-04-16 17:08:19+02:00,2026-04-16 17:05:41+02:00,2026-04-16 17:03:53+02:00,2026-04-16 17:01:45+02:00,2026-04-16 16:59:54+02:00,2026-04-16 16:58:02+02:00,2026-04-16 16:55:14+02:00,2026-04-16 16:53:26+02:00,2026-04-16 16:51:51+02:00,2026-04-16 16:49:29+02:00,2026-04-16 16:47:07+02:00,2026-04-16 16:44:00+02:00,2026-04-16 16:38:20+02:00,2026-04-16 16:35:30+02:00,2026-04-16 16:32:00+02:00,2026-04-16 16:29:10+02:00,2026-04-16 16:27:00+02:00,2026-04-16 16:24:50+02:00,,,,,,2026-04-16 16:21:10+02:00,2026-04-16 16:18:00+02:00,2026-04-16 16:14:50+02:00,2026-04-16 16:11:00+02:00,Mitry - Claye,32,2026-04-16 15:55:01.652010+02:00
PGAZ44,PGAZ,Saint-Rémy-lès-Chevreuse,,,,,2026-04-16 18:12:57+02:00,2026-04-16 18:09:44+02:00,2026-04-16 18:07:51+02:00,2026-04-16 18:05:59+02:00,2026-04-16 18:03:42+02:00,2026-04-16 18:01:34+02:00,,,2026-04-16 17:57:01+02:00,2026-04-16 17:54:09+02:00,,,,2026-04-16 17:49:09+02:00,2026-04-16 17:47:14+02:00,,2026-04-16 17:44:19+02:00,2026-04-16 17:41:41+02:00,2026-04-16 17:39:53+02:00,2026-04-16 17:37:45+02:00,2026-04-16 17:35:54+02:00,2026-04-16 17:34:02+02:00,2026-04-16 17:31:14+02:00,2026-04-16 17:29:26+02:00,2026-04-16 17:27:51+02:00,2026-04-16 17:25:29+02:00,2026-04-16 17:23:07+02:00,2026-04-16 17:20:00+02:00,2026-04-16 17:14:20+02:00,2026-04-16 17:11:30+02:00,2026-04-16 17:08:00+02:00,2026-04-16 17:05:10+02:00,2026-04-16 17:03:00+02:00,2026-04-16 17:00:50+02:00,,,,,,2026-04-16 16:57:10+02:00,2026-04-16 16:54:00+02:00,2026-04-16 16:50:50+02:00,2026-04-16 16:47:00+02:00,Mitry - Claye,32,2026-04-16 15:55:01.652010+02:00
ERIO79,ERIO,Aéroport Charles de Gaulle 2 (Terminal 2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2026-04-16 15:55:01.652010+02:00
KERN16,KERN,Massy-Palaiseau,,,,,,,,,,,,,,,2026-04-16 17:13:07+02:00,2026-04-16 17:11:03+02:00,,2026-04-16 17:08:10+02:00,2026-04-16 17:06:25+02:00,2026-04-16 17:04:41+02:00,2026-04-16 17:02:29+02:00,2026-04-16 16:59:51+02:00,2026-04-16 16:58:03+02:00,2026-04-16 16:55:55+02:00,2026-04-16 16:53:59+02:00,2026-04-16 16:52:02+02:00,2026-04-16 16:49:14+02:00,2026-04-16 16:47:26+02:00,2026-04-16 16:45:51+02:00,2026-04-16 16:43:29+02:00,2026-04-16 16:41:07+02:00,2026-04-16 16:38:00+02:00,2026-04-16 16:32:20+02:00,,,,,,,,,,,,,,,La Plaine Stade de France,18,2026-04-16 15:55:01.652010+02:00
PIST88,PIST,Saint-Rémy-lès-Chevreuse,,,,,2026-04-16 16:27:22+02:00,2026-04-16 16:24:09+02:00,2026-04-16 16:22:16+02:00,2026-04-16 16:20:24+02:00,2026-04-16 16:18:07+02:00,2026-04-16 16:15:49+02:00,2026-04-16 16:13:28+02:00,2026-04-16 16:10:35+02:00,2026-04-16 16:08:30+02:00,2026-04-16 16:05:38+02:00,,,,2026-04-16 16:00:38+02:00,2026-04-16 15:58:58+02:00,,2026-04-16 15:55:58+02:00,,,,,,,,,,,,,,,,,,,,,,,,,,,Bourg-la-Reine,13,2026-04-16 15:55:01.652010+02:00
