mission,type_mission,destination,Robinson,Fontenay-aux-Roses,Sceaux,Saint-Rémy-lès-Chevreuse,Courcelle sur Yvette,Gif-sur-Yvette,La Hacquinière,Bures-sur-Yvette,Orsay Ville,Le Guichet,Lozère,Palaiseau - Villebon,Palaiseau,Massy - Palaiseau,Massy - Verrières,Les Baconnets,Fontaine Michalon,Antony,La Croix de Berny,Parc de Sceaux,Bourg-la-Reine,Bagneux,Arcueil - Cachan,Laplace,Gentilly,Cité Universitaire,Denfert-Rochereau,Port Royal,Luxembourg,Saint-Michel Notre-Dame,Châtelet les Halles,Gare du Nord,La Plaine Stade de France,La Courneuve - Aubervilliers,Le Bourget,Drancy,Le Blanc-Mesnil,Aulnay-sous-Bois,Sevran Beaudottes,Villepinte,Parc des Expositions,Aéroport CDG 1 (Terminal 3) - RER,Aéroport Charles de Gaulle 2 (Terminal 2),Sevran - Livry,Vert Galant,Villeparisis - Mitry-le-Neuf,Mitry - Claye,gare_depart,nb_arrets_desservis,date_observation
EAST49,EAST,Aéroport Charles de Gaulle 2 (Terminal 2),,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-16 07:06:02+02:00,2026-04-16 07:07:49+02:00,2026-04-16 07:09:33+02:00,2026-04-16 07:11:59+02:00,2026-04-16 07:14:00+02:00,2026-04-16 07:18:00+02:00,2026-04-16 07:23:10+02:00,2026-04-16 07:25:40+02:00,2026-04-16 07:28:50+02:00,2026-04-16 07:31:30+02:00,2026-04-16 07:33:40+02:00,2026-04-16 07:36:10+02:00,2026-04-16 07:39:30+02:00,2026-04-16 07:42:00+02:00,2026-04-16 07:44:20+02:00,2026-04-16 07:50:00+02:00,,,,,,Denfert-Rochereau,16,2026-04-16 06:25:01.919441+02:00
LORE74,LORE,Orsay-Ville,,,,,,,,,,2026-04-16 08:40:38+02:00,2026-04-16 08:38:17+02:00,2026-04-16 08:35:24+02:00,2026-04-16 08:33:19+02:00,2026-04-16 08:30:52+02:00,,2026-04-16 08:26:43+02:00,2026-04-16 08:24:59+02:00,2026-04-16 08:22:44+02:00,2026-04-16 08:20:49+02:00,,2026-04-16 08:17:54+02:00,2026-04-16 08:15:11+02:00,2026-04-16 08:13:23+02:00,2026-04-16 08:11:15+02:00,2026-04-16 08:09:19+02:00,2026-04-16 08:07:32+02:00,2026-04-16 08:04:54+02:00,2026-04-16 08:02:36+02:00,2026-04-16 08:01:01+02:00,2026-04-16 07:59:09+02:00,2026-04-16 07:56:47+02:00,2026-04-16 07:53:00+02:00,2026-04-16 07:47:20+02:00,2026-04-16 07:44:30+02:00,2026-04-16 07:41:00+02:00,2026-04-16 07:38:10+02:00,2026-04-16 07:36:00+02:00,2026-04-16 07:33:50+02:00,2026-04-16 07:30:10+02:00,2026-04-16 07:27:20+02:00,2026-04-16 07:25:20+02:00,2026-04-16 07:20:00+02:00,2026-04-16 07:12:50+02:00,,,,,Aéroport Charles de Gaulle 2 (Terminal 2),32,2026-04-16 06:25:01.919441+02:00
SOSI16,SOSI,Robinson,,2026-04-16 06:29:31+02:00,2026-04-16 06:27:51+02:00,,,,,,,,,,,,,,,,,,2026-04-16 06:25:59+02:00,,,,,,,,,,,,,,,,,,,,,,,,,,,Bourg-la-Reine,3,2026-04-16 06:25:01.919441+02:00
EMIR57,EMIR,Aéroport Charles de Gaulle 2 (Terminal 2),,,,,,,,,2026-04-16 06:42:32+02:00,2026-04-16 06:44:45+02:00,2026-04-16 06:46:47+02:00,2026-04-16 06:49:21+02:00,2026-04-16 06:51:12+02:00,2026-04-16 06:53:44+02:00,,2026-04-16 06:56:54+02:00,2026-04-16 06:58:24+02:00,2026-04-16 07:00:40+02:00,2026-04-16 07:02:26+02:00,,2026-04-16 07:05:17+02:00,2026-04-16 07:07:46+02:00,2026-04-16 07:09:31+02:00,2026-04-16 07:11:34+02:00,2026-04-16 07:13:21+02:00,2026-04-16 07:15:12+02:00,2026-04-16 07:18:02+02:00,2026-04-16 07:19:49+02:00,2026-04-16 07:21:23+02:00,2026-04-16 07:23:59+02:00,2026-04-16 07:26:00+02:00,2026-04-16 07:30:00+02:00,2026-04-16 07:35:10+02:00,2026-04-16 07:37:40+02:00,2026-04-16 07:40:50+02:00,2026-04-16 07:43:30+02:00,2026-04-16 07:45:40+02:00,2026-04-16 07:48:10+02:00,2026-04-16 07:51:30+02:00,2026-04-16 07:54:00+02:00,2026-04-16 07:56:20+02:00,2026-04-16 08:02:00+02:00,,,,,,Orsay Ville,32,2026-04-16 06:25:01.919441+02:00
PAUL48,PAUL,Saint-Rémy-lès-Chevreuse,,,,,2026-04-16 08:07:18+02:00,2026-04-16 08:04:10+02:00,2026-04-16 08:02:12+02:00,2026-04-16 08:00:20+02:00,2026-04-16 07:58:23+02:00,2026-04-16 07:56:00+02:00,,,,2026-04-16 07:50:09+02:00,,,,2026-04-16 07:43:34+02:00,2026-04-16 07:41:39+02:00,,2026-04-16 07:38:44+02:00,2026-04-16 07:36:01+02:00,2026-04-16 07:34:13+02:00,2026-04-16 07:32:05+02:00,2026-04-16 07:30:09+02:00,2026-04-16 07:28:27+02:00,2026-04-16 07:25:54+02:00,2026-04-16 07:23:36+02:00,2026-04-16 07:22:01+02:00,2026-04-16 07:20:09+02:00,2026-04-16 07:17:47+02:00,2026-04-16 07:14:00+02:00,2026-04-16 07:08:20+02:00,2026-04-16 07:05:30+02:00,2026-04-16 07:02:00+02:00,2026-04-16 06:59:10+02:00,2026-04-16 06:57:00+02:00,2026-04-16 06:54:50+02:00,,,,,,2026-04-16 06:51:10+02:00,2026-04-16 06:48:00+02:00,2026-04-16 06:44:50+02:00,2026-04-16 06:41:00+02:00,Mitry - Claye,31,2026-04-16 06:25:01.919441+02:00
ICAR35,ICAR,Mitry - Claye,,,,,,,,,,,,,,,,,,,2026-04-16 06:25:05+02:00,,2026-04-16 06:27:46+02:00,,,,,2026-04-16 06:33:32+02:00,2026-04-16 06:36:22+02:00,2026-04-16 06:38:09+02:00,2026-04-16 06:39:43+02:00,2026-04-16 06:42:09+02:00,2026-04-16 06:44:00+02:00,2026-04-16 06:48:00+02:00,2026-04-16 06:53:10+02:00,2026-04-16 06:55:40+02:00,2026-04-16 06:58:50+02:00,2026-04-16 07:01:30+02:00,2026-04-16 07:03:40+02:00,2026-04-16 07:06:20+02:00,,,,,,2026-04-16 07:09:40+02:00,2026-04-16 07:12:30+02:00,2026-04-16 07:15:40+02:00,,La Croix de Berny,18,2026-04-16 06:25:01.919441+02:00
STIN54,STIN,Robinson,,2026-04-16 07:51:31+02:00,2026-04-16 07:49:46+02:00,,,,,,,,,,,,,,,,,,2026-04-16 07:47:49+02:00,2026-04-16 07:45:01+02:00,2026-04-16 07:43:23+02:00,2026-04-16 07:41:15+02:00,2026-04-16 07:39:19+02:00,2026-04-16 07:37:32+02:00,2026-04-16 07:34:54+02:00,2026-04-16 07:32:36+02:00,2026-04-16 07:31:01+02:00,2026-04-16 07:29:09+02:00,2026-04-16 07:26:47+02:00,2026-04-16 07:23:00+02:00,2026-04-16 07:17:20+02:00,2026-04-16 07:14:30+02:00,2026-04-16 07:11:00+02:00,2026-04-16 07:08:10+02:00,2026-04-16 07:06:00+02:00,2026-04-16 07:03:50+02:00,2026-04-16 07:00:10+02:00,2026-04-16 06:57:20+02:00,2026-04-16 06:55:20+02:00,2026-04-16 06:50:00+02:00,2026-04-16 06:42:50+02:00,,,,,Aéroport Charles de Gaulle 2 (Terminal 2),25,2026-04-16 06:25:01.919441+02:00
PROC12,PROC,Saint-Rémy-lès-Chevreuse,,,,,2026-04-16 06:41:06+02:00,2026-04-16 06:37:58+02:00,2026-04-16 06:36:05+02:00,2026-04-16 06:34:13+02:00,2026-04-16 06:32:16+02:00,2026-04-16 06:30:03+02:00,2026-04-16 06:27:57+02:00,2026-04-16 06:25:19+02:00,2026-04-16 06:23:29+02:00,2026-04-16 06:21:17+02:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Massy - Palaiseau,10,2026-04-16 06:25:01.919441+02:00
LORE66,LORE,Orsay-Ville,,,,,,,,,,2026-04-16 08:28:38+02:00,2026-04-16 08:26:17+02:00,2026-04-16 08:23:24+02:00,2026-04-16 08:21:19+02:00,2026-04-16 08:18:52+02:00,,2026-04-16 08:14:43+02:00,2026-04-16 08:12:59+02:00,2026-04-16 08:10:44+02:00,2026-04-16 08:08:49+02:00,,2026-04-16 08:05:54+02:00,2026-04-16 08:03:11+02:00,2026-04-16 08:01:23+02:00,2026-04-16 07:59:15+02:00,2026-04-16 07:57:19+02:00,2026-04-16 07:55:32+02:00,2026-04-16 07:52:54+02:00,2026-04-16 07:50:36+02:00,2026-04-16 07:49:01+02:00,2026-04-16 07:47:09+02:00,2026-04-16 07:44:47+02:00,2026-04-16 07:41:00+02:00,2026-04-16 07:35:20+02:00,2026-04-16 07:32:30+02:00,2026-04-16 07:29:00+02:00,2026-04-16 07:26:10+02:00,2026-04-16 07:24:00+02:00,2026-04-16 07:21:50+02:00,2026-04-16 07:18:10+02:00,2026-04-16 07:15:20+02:00,2026-04-16 07:13:20+02:00,2026-04-16 07:08:00+02:00,2026-04-16 07:00:50+02:00,,,,,Aéroport Charles de Gaulle 2 (Terminal 2),32,2026-04-16 06:25:01.919441+02:00
ICAR29,ICAR,Mitry - Claye,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-16 06:24:43+02:00,2026-04-16 06:27:09+02:00,2026-04-16 06:29:00+02:00,2026-04-16 06:33:00+02:00,2026-04-16 06:38:10+02:00,2026-04-16 06:40:40+02:00,2026-04-16 06:43:50+02:00,2026-04-16 06:46:30+02:00,2026-04-16 06:48:40+02:00,2026-04-16 06:51:20+02:00,,,,,,2026-04-16 06:54:40+02:00,2026-04-16 06:57:30+02:00,2026-04-16 07:00:40+02:00,,Luxembourg,13,2026-04-16 06:25:01.919441+02:00
