mission,type_mission,destination,Robinson,Fontenay-aux-Roses,Sceaux,Saint-Rémy-lès-Chevreuse,Courcelle sur Yvette,Gif-sur-Yvette,La Hacquinière,Bures-sur-Yvette,Orsay Ville,Le Guichet,Lozère,Palaiseau - Villebon,Palaiseau,Massy - Palaiseau,Massy - Verrières,Les Baconnets,Fontaine Michalon,Antony,La Croix de Berny,Parc de Sceaux,Bourg-la-Reine,Bagneux,Arcueil - Cachan,Laplace,Gentilly,Cité Universitaire,Denfert-Rochereau,Port Royal,Luxembourg,Saint-Michel Notre-Dame,Châtelet les Halles,Gare du Nord,La Plaine Stade de France,La Courneuve - Aubervilliers,Le Bourget,Drancy,Le Blanc-Mesnil,Aulnay-sous-Bois,Sevran Beaudottes,Villepinte,Parc des Expositions,Aéroport CDG 1 (Terminal 3) - RER,Aéroport Charles de Gaulle 2 (Terminal 2),Sevran - Livry,Vert Galant,Villeparisis - Mitry-le-Neuf,Mitry - Claye,gare_depart,nb_arrets_desservis,date_observation
EPAU57,EPAU,Aéroport Charles de Gaulle 2 (Terminal 2),,,,2026-04-15 13:36:55+02:00,2026-04-15 13:40:06+02:00,2026-04-15 13:43:13+02:00,2026-04-15 13:44:59+02:00,2026-04-15 13:46:41+02:00,2026-04-15 13:49:21+02:00,2026-04-15 13:51:25+02:00,2026-04-15 13:53:22+02:00,2026-04-15 13:55:51+02:00,2026-04-15 13:57:42+02:00,2026-04-15 14:00:24+02:00,,,,2026-04-15 14:05:19+02:00,2026-04-15 14:06:55+02:00,,2026-04-15 14:09:46+02:00,,,,,2026-04-15 14:15:32+02:00,2026-04-15 14:18:22+02:00,2026-04-15 14:20:09+02:00,2026-04-15 14:21:43+02:00,2026-04-15 14:24:09+02:00,2026-04-15 14:26:00+02:00,2026-04-15 14:30:00+02:00,2026-04-15 14:35:10+02:00,2026-04-15 14:37:40+02:00,2026-04-15 14:40:50+02:00,2026-04-15 14:43:30+02:00,2026-04-15 14:45:40+02:00,2026-04-15 14:48:10+02:00,2026-04-15 14:51:20+02:00,2026-04-15 14:53:50+02:00,2026-04-15 14:56:10+02:00,2026-04-15 15:01:50+02:00,,,,,,Saint-Rémy-lès-Chevreuse,31,2026-04-15 12:50:01.278680+02:00
PIST16,PIST,Saint-Rémy-lès-Chevreuse,,,,,2026-04-15 13:26:06+02:00,2026-04-15 13:22:58+02:00,2026-04-15 13:21:00+02:00,2026-04-15 13:19:08+02:00,2026-04-15 13:17:11+02:00,2026-04-15 13:14:48+02:00,2026-04-15 13:12:27+02:00,2026-04-15 13:09:34+02:00,2026-04-15 13:07:29+02:00,2026-04-15 13:05:02+02:00,,,,2026-04-15 12:59:37+02:00,2026-04-15 12:57:42+02:00,,2026-04-15 12:55:02+02:00,,,,,2026-04-15 12:49:32+02:00,,,,,,,,,,,,,,,,,,,,,,Cité Universitaire,14,2026-04-15 12:50:01.278680+02:00
PIST04,PIST,Saint-Rémy-lès-Chevreuse,,,,,2026-04-15 12:56:06+02:00,2026-04-15 12:52:58+02:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gif-sur-Yvette,2,2026-04-15 12:50:01.278680+02:00
KALI12,KALI,Massy-Palaiseau,,,,,,,,,,,,,,,2026-04-15 12:57:13+02:00,2026-04-15 12:55:29+02:00,2026-04-15 12:54:05+02:00,2026-04-15 12:52:10+02:00,2026-04-15 12:50:30+02:00,2026-04-15 12:48:41+02:00,2026-04-15 12:46:54+02:00,,,,,,,,,,,,,,,,,,,,,,,,,,,Bourg-la-Reine,7,2026-04-15 12:50:01.278680+02:00
EPAU09,EPAU,Aéroport Charles de Gaulle 2 (Terminal 2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-15 12:51:20+02:00,2026-04-15 12:53:50+02:00,2026-04-15 12:56:10+02:00,2026-04-15 13:01:50+02:00,,,,,,Sevran Beaudottes,4,2026-04-15 12:50:01.278680+02:00
SOSO56,SOSO,Robinson,,2026-04-15 14:41:31+02:00,2026-04-15 14:39:51+02:00,,,,,,,,,,,,,,,,,,2026-04-15 14:37:59+02:00,2026-04-15 14:35:21+02:00,2026-04-15 14:33:43+02:00,2026-04-15 14:31:45+02:00,2026-04-15 14:29:59+02:00,2026-04-15 14:28:22+02:00,2026-04-15 14:25:54+02:00,2026-04-15 14:23:36+02:00,2026-04-15 14:22:01+02:00,2026-04-15 14:20:09+02:00,2026-04-15 14:17:47+02:00,2026-04-15 14:14:00+02:00,2026-04-15 14:08:20+02:00,2026-04-15 14:05:30+02:00,2026-04-15 14:02:00+02:00,2026-04-15 13:59:10+02:00,2026-04-15 13:57:00+02:00,2026-04-15 13:54:50+02:00,,,,,,2026-04-15 13:51:10+02:00,2026-04-15 13:48:00+02:00,2026-04-15 13:44:50+02:00,2026-04-15 13:41:00+02:00,Mitry - Claye,24,2026-04-15 12:50:01.278680+02:00
ILUS17,ILUS,Mitry - Claye,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-15 12:51:00+02:00,2026-04-15 12:56:10+02:00,2026-04-15 12:58:40+02:00,2026-04-15 13:01:50+02:00,2026-04-15 13:04:30+02:00,2026-04-15 13:06:40+02:00,2026-04-15 13:09:20+02:00,,,,,,2026-04-15 13:12:40+02:00,2026-04-15 13:15:30+02:00,2026-04-15 13:18:40+02:00,,Gare du Nord,10,2026-04-15 12:50:01.278680+02:00
ERIO07,ERIO,Aéroport Charles de Gaulle 2 (Terminal 2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-15 12:54:30+02:00,,,,,,Aéroport CDG 1 (Terminal 3) - RER,1,2026-04-15 12:50:01.278680+02:00
EPAU15,EPAU,Aéroport Charles de Gaulle 2 (Terminal 2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-15 12:50:10+02:00,2026-04-15 12:52:40+02:00,2026-04-15 12:55:50+02:00,2026-04-15 12:58:30+02:00,2026-04-15 13:00:40+02:00,2026-04-15 13:03:10+02:00,2026-04-15 13:06:20+02:00,2026-04-15 13:08:50+02:00,2026-04-15 13:11:10+02:00,2026-04-15 13:16:50+02:00,,,,,,La Plaine Stade de France,10,2026-04-15 12:50:01.278680+02:00
ERIO31,ERIO,Aéroport Charles de Gaulle 2 (Terminal 2),,,,,,,,,,,,,,,2026-04-15 12:51:40+02:00,2026-04-15 12:53:28+02:00,2026-04-15 12:54:53+02:00,2026-04-15 12:57:09+02:00,2026-04-15 12:58:50+02:00,2026-04-15 13:00:28+02:00,2026-04-15 13:02:47+02:00,2026-04-15 13:05:16+02:00,2026-04-15 13:06:56+02:00,2026-04-15 13:08:59+02:00,2026-04-15 13:10:46+02:00,2026-04-15 13:12:32+02:00,2026-04-15 13:15:22+02:00,2026-04-15 13:17:09+02:00,2026-04-15 13:18:43+02:00,2026-04-15 13:21:09+02:00,2026-04-15 13:23:00+02:00,2026-04-15 13:27:00+02:00,,,,,,2026-04-15 13:42:10+02:00,,,,2026-04-15 13:54:30+02:00,,,,,,Massy - Verrières,20,2026-04-15 12:50:01.278680+02:00
SOSO14,SOSO,Robinson,,2026-04-15 12:56:31+02:00,2026-04-15 12:54:51+02:00,,,,,,,,,,,,,,,,,,2026-04-15 12:52:59+02:00,2026-04-15 12:50:21+02:00,2026-04-15 12:48:43+02:00,,,,,,,,,,,,,,,,,,,,,,,,,Arcueil - Cachan,5,2026-04-15 12:50:01.278680+02:00
