mission,type_mission,destination,Robinson,Fontenay-aux-Roses,Sceaux,Saint-Rémy-lès-Chevreuse,Courcelle sur Yvette,Gif-sur-Yvette,La Hacquinière,Bures-sur-Yvette,Orsay Ville,Le Guichet,Lozère,Palaiseau - Villebon,Palaiseau,Massy - Palaiseau,Massy - Verrières,Les Baconnets,Fontaine Michalon,Antony,La Croix de Berny,Parc de Sceaux,Bourg-la-Reine,Bagneux,Arcueil - Cachan,Laplace,Gentilly,Cité Universitaire,Denfert-Rochereau,Port Royal,Luxembourg,Saint-Michel Notre-Dame,Châtelet les Halles,Gare du Nord,La Plaine Stade de France,La Courneuve - Aubervilliers,Le Bourget,Drancy,Le Blanc-Mesnil,Aulnay-sous-Bois,Sevran Beaudottes,Villepinte,Parc des Expositions,Aéroport CDG 1 (Terminal 3) - RER,Aéroport Charles de Gaulle 2 (Terminal 2),Sevran - Livry,Vert Galant,Villeparisis - Mitry-le-Neuf,Mitry - Claye,gare_depart,nb_arrets_desservis,date_observation
KALI96,KALI,Massy-Palaiseau,,,,,,,,,,,,,,,2026-03-27 16:27:13+01:00,2026-03-27 16:25:29+01:00,2026-03-27 16:24:05+01:00,2026-03-27 16:22:00+01:00,2026-03-27 16:20:20+01:00,2026-03-27 16:18:41+01:00,2026-03-27 16:16:44+01:00,2026-03-27 16:14:21+01:00,2026-03-27 16:12:43+01:00,2026-03-27 16:10:45+01:00,2026-03-27 16:08:59+01:00,2026-03-27 16:07:02+01:00,2026-03-27 16:04:14+01:00,2026-03-27 16:02:26+01:00,2026-03-27 16:00:51+01:00,2026-03-27 15:58:29+01:00,2026-03-27 15:56:07+01:00,2026-03-27 15:53:00+01:00,,,,,,2026-03-27 15:36:50+01:00,,,,2026-03-27 15:24:20+01:00,2026-03-27 15:21:30+01:00,,,,,Aéroport Charles de Gaulle 2 (Terminal 2),21,2026-03-27 15:18:29.111267+01:00
EPAU93,EPAU,Aéroport Charles de Gaulle 2 (Terminal 2),,,,,,,,2026-03-27 15:16:59+01:00,2026-03-27 15:19:19+01:00,2026-03-27 15:21:43+01:00,2026-03-27 15:23:40+01:00,2026-03-27 15:26:04+01:00,2026-03-27 15:27:50+01:00,2026-03-27 15:30:02+01:00,,,,2026-03-27 15:35:17+01:00,2026-03-27 15:37:08+01:00,,2026-03-27 15:39:44+01:00,,,,,2026-03-27 15:45:30+01:00,2026-03-27 15:48:00+01:00,2026-03-27 15:50:17+01:00,2026-03-27 15:51:51+01:00,2026-03-27 15:53:57+01:00,2026-03-27 15:56:07+01:00,2026-03-27 16:00:18+01:00,2026-03-27 16:05:28+01:00,2026-03-27 16:07:58+01:00,2026-03-27 16:11:08+01:00,2026-03-27 16:13:48+01:00,2026-03-27 16:15:58+01:00,2026-03-27 16:18:28+01:00,2026-03-27 16:21:48+01:00,2026-03-27 16:24:18+01:00,2026-03-27 16:26:38+01:00,2026-03-27 16:32:18+01:00,,,,,,Bures-sur-Yvette,27,2026-03-27 15:18:29.111267+01:00
ERIO79,ERIO,Aéroport Charles de Gaulle 2 (Terminal 2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-03-27 15:17:59+01:00,2026-03-27 15:20:05+01:00,2026-03-27 15:22:15+01:00,2026-03-27 15:27:00+01:00,,,,,,2026-03-27 15:42:10+01:00,,,,2026-03-27 15:54:30+01:00,,,,,,Luxembourg,6,2026-03-27 15:18:29.111267+01:00
SOME12,SOME,Robinson,,2026-03-27 16:56:26+01:00,2026-03-27 16:54:46+01:00,,,,,,,,,,,,,,,,,,2026-03-27 16:52:44+01:00,2026-03-27 16:50:11+01:00,2026-03-27 16:48:33+01:00,2026-03-27 16:46:35+01:00,2026-03-27 16:44:49+01:00,2026-03-27 16:43:02+01:00,2026-03-27 16:40:14+01:00,2026-03-27 16:38:26+01:00,2026-03-27 16:36:51+01:00,2026-03-27 16:34:29+01:00,2026-03-27 16:32:07+01:00,2026-03-27 16:29:00+01:00,2026-03-27 16:23:20+01:00,2026-03-27 16:20:30+01:00,2026-03-27 16:17:00+01:00,2026-03-27 16:14:10+01:00,2026-03-27 16:12:00+01:00,2026-03-27 16:09:50+01:00,,,,,,2026-03-27 16:06:10+01:00,2026-03-27 16:03:00+01:00,2026-03-27 15:59:50+01:00,2026-03-27 15:56:00+01:00,Mitry - Claye,24,2026-03-27 15:18:29.111267+01:00
ILAN07,ILAN,Mitry - Claye,2026-03-27 16:05:33+01:00,2026-03-27 16:07:54+01:00,2026-03-27 16:09:33+01:00,,,,,,,,,,,,,,,,,,2026-03-27 16:11:26+01:00,2026-03-27 16:14:06+01:00,2026-03-27 16:15:46+01:00,2026-03-27 16:17:49+01:00,2026-03-27 16:19:36+01:00,2026-03-27 16:21:12+01:00,2026-03-27 16:23:42+01:00,2026-03-27 16:25:59+01:00,2026-03-27 16:27:33+01:00,2026-03-27 16:29:39+01:00,2026-03-27 16:31:49+01:00,2026-03-27 16:36:00+01:00,2026-03-27 16:41:10+01:00,2026-03-27 16:43:40+01:00,2026-03-27 16:46:50+01:00,2026-03-27 16:49:30+01:00,2026-03-27 16:51:40+01:00,2026-03-27 16:54:20+01:00,,,,,,2026-03-27 16:57:40+01:00,2026-03-27 17:00:30+01:00,2026-03-27 17:03:40+01:00,,Robinson,24,2026-03-27 15:18:29.111267+01:00
PINA08,PINA,Saint-Rémy-lès-Chevreuse,,,,,2026-03-27 17:10:56+01:00,2026-03-27 17:07:43+01:00,2026-03-27 17:05:50+01:00,2026-03-27 17:03:58+01:00,2026-03-27 17:01:41+01:00,2026-03-27 16:59:23+01:00,2026-03-27 16:57:02+01:00,2026-03-27 16:54:09+01:00,2026-03-27 16:52:04+01:00,2026-03-27 16:49:12+01:00,,,,2026-03-27 16:44:12+01:00,2026-03-27 16:42:32+01:00,,2026-03-27 16:39:32+01:00,,,,,2026-03-27 16:34:02+01:00,2026-03-27 16:31:14+01:00,2026-03-27 16:29:26+01:00,2026-03-27 16:27:51+01:00,2026-03-27 16:25:29+01:00,2026-03-27 16:23:07+01:00,2026-03-27 16:20:00+01:00,2026-03-27 16:14:20+01:00,2026-03-27 16:11:30+01:00,2026-03-27 16:08:00+01:00,2026-03-27 16:05:10+01:00,2026-03-27 16:03:00+01:00,2026-03-27 16:00:50+01:00,2026-03-27 15:57:10+01:00,2026-03-27 15:54:20+01:00,2026-03-27 15:52:20+01:00,2026-03-27 15:47:10+01:00,2026-03-27 15:44:20+01:00,,,,,Aéroport Charles de Gaulle 2 (Terminal 2),31,2026-03-27 15:18:29.111267+01:00
EPAU81,EPAU,Aéroport Charles de Gaulle 2 (Terminal 2),,,,,,,,,,,,,,,,,,,,,,,,,,,2026-03-27 15:17:45+01:00,2026-03-27 15:20:02+01:00,2026-03-27 15:21:36+01:00,2026-03-27 15:23:42+01:00,2026-03-27 15:25:52+01:00,2026-03-27 15:30:03+01:00,2026-03-27 15:35:13+01:00,2026-03-27 15:37:43+01:00,2026-03-27 15:40:53+01:00,2026-03-27 15:43:33+01:00,2026-03-27 15:45:43+01:00,2026-03-27 15:48:13+01:00,2026-03-27 15:51:23+01:00,2026-03-27 15:53:53+01:00,2026-03-27 15:56:13+01:00,2026-03-27 16:01:53+01:00,,,,,,Denfert-Rochereau,16,2026-03-27 15:18:29.111267+01:00
PIST94,PIST,Saint-Rémy-lès-Chevreuse,,,,,2026-03-27 16:44:06+01:00,2026-03-27 16:40:53+01:00,2026-03-27 16:39:00+01:00,2026-03-27 16:37:08+01:00,2026-03-27 16:34:51+01:00,2026-03-27 16:32:33+01:00,2026-03-27 16:30:12+01:00,2026-03-27 16:27:19+01:00,2026-03-27 16:25:14+01:00,2026-03-27 16:22:22+01:00,,,,2026-03-27 16:17:22+01:00,2026-03-27 16:15:42+01:00,,2026-03-27 16:12:42+01:00,,,,,2026-03-27 16:07:12+01:00,2026-03-27 16:04:24+01:00,2026-03-27 16:02:36+01:00,2026-03-27 16:01:01+01:00,2026-03-27 15:58:39+01:00,2026-03-27 15:56:17+01:00,2026-03-27 15:53:10+01:00,2026-03-27 15:47:30+01:00,2026-03-27 15:44:40+01:00,2026-03-27 15:41:10+01:00,2026-03-27 15:38:20+01:00,2026-03-27 15:36:10+01:00,2026-03-27 15:34:00+01:00,2026-03-27 15:30:20+01:00,2026-03-27 15:27:30+01:00,2026-03-27 15:25:30+01:00,2026-03-27 15:20:20+01:00,2026-03-27 15:17:30+01:00,,,,,Aéroport Charles de Gaulle 2 (Terminal 2),31,2026-03-27 15:18:29.111267+01:00
SOSO74,SOSO,Robinson,,2026-03-27 15:26:26+01:00,2026-03-27 15:24:46+01:00,,,,,,,,,,,,,,,,,,2026-03-27 15:22:44+01:00,2026-03-27 15:20:11+01:00,2026-03-27 15:18:33+01:00,,,,,,,,,,,,,,,,,,,,,,,,,Arcueil - Cachan,5,2026-03-27 15:18:29.111267+01:00
PINA02,PINA,Saint-Rémy-lès-Chevreuse,,,,,2026-03-27 16:55:56+01:00,2026-03-27 16:52:43+01:00,2026-03-27 16:50:50+01:00,2026-03-27 16:48:58+01:00,2026-03-27 16:46:41+01:00,2026-03-27 16:44:23+01:00,2026-03-27 16:42:02+01:00,2026-03-27 16:39:09+01:00,2026-03-27 16:37:04+01:00,2026-03-27 16:34:12+01:00,,,,2026-03-27 16:29:12+01:00,2026-03-27 16:27:32+01:00,,2026-03-27 16:24:32+01:00,,,,,2026-03-27 16:19:02+01:00,2026-03-27 16:16:14+01:00,2026-03-27 16:14:26+01:00,2026-03-27 16:12:51+01:00,2026-03-27 16:10:29+01:00,2026-03-27 16:08:07+01:00,2026-03-27 16:05:00+01:00,2026-03-27 15:59:20+01:00,2026-03-27 15:56:30+01:00,2026-03-27 15:53:00+01:00,2026-03-27 15:50:10+01:00,2026-03-27 15:48:00+01:00,2026-03-27 15:45:50+01:00,2026-03-27 15:42:10+01:00,2026-03-27 15:39:20+01:00,2026-03-27 15:37:20+01:00,2026-03-27 15:32:10+01:00,2026-03-27 15:29:20+01:00,,,,,Aéroport Charles de Gaulle 2 (Terminal 2),31,2026-03-27 15:18:29.111267+01:00
