mission,type_mission,destination,Robinson,Fontenay-aux-Roses,Sceaux,Saint-Rémy-lès-Chevreuse,Courcelle sur Yvette,Gif-sur-Yvette,La Hacquinière,Bures-sur-Yvette,Orsay Ville,Le Guichet,Lozère,Palaiseau - Villebon,Palaiseau,Massy - Palaiseau,Massy - Verrières,Les Baconnets,Fontaine Michalon,Antony,La Croix de Berny,Parc de Sceaux,Bourg-la-Reine,Bagneux,Arcueil - Cachan,Laplace,Gentilly,Cité Universitaire,Denfert-Rochereau,Port Royal,Luxembourg,Saint-Michel Notre-Dame,Châtelet les Halles,Gare du Nord,La Plaine Stade de France,La Courneuve - Aubervilliers,Le Bourget,Drancy,Le Blanc-Mesnil,Aulnay-sous-Bois,Sevran Beaudottes,Villepinte,Parc des Expositions,Aéroport CDG 1 (Terminal 3) - RER,Aéroport Charles de Gaulle 2 (Terminal 2),Sevran - Livry,Vert Galant,Villeparisis - Mitry-le-Neuf,Mitry - Claye,gare_depart,nb_arrets_desservis,date_observation
STOL64,STOL,Robinson,,2026-04-20 17:50:36+02:00,2026-04-20 17:48:51+02:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sceaux,2,2026-04-20 17:50:03.063434+02:00
EMME21,EMME,Aéroport Charles de Gaulle 2 (Terminal 2),,,,,,,,,2026-04-20 18:31:02+02:00,2026-04-20 18:33:15+02:00,2026-04-20 18:35:17+02:00,2026-04-20 18:37:51+02:00,2026-04-20 18:39:42+02:00,2026-04-20 18:42:14+02:00,,2026-04-20 18:45:24+02:00,2026-04-20 18:46:54+02:00,2026-04-20 18:49:10+02:00,2026-04-20 18:50:56+02:00,,2026-04-20 18:53:47+02:00,2026-04-20 18:56:16+02:00,2026-04-20 18:58:01+02:00,2026-04-20 19:00:04+02:00,2026-04-20 19:01:51+02:00,2026-04-20 19:03:32+02:00,2026-04-20 19:06:12+02:00,2026-04-20 19:07:59+02:00,2026-04-20 19:09:33+02:00,2026-04-20 19:11:59+02:00,2026-04-20 19:14:00+02:00,2026-04-20 19:18:00+02:00,2026-04-20 19:23:10+02:00,2026-04-20 19:25:40+02:00,2026-04-20 19:28:50+02:00,2026-04-20 19:31:30+02:00,2026-04-20 19:33:40+02:00,2026-04-20 19:36:10+02:00,2026-04-20 19:39:20+02:00,2026-04-20 19:41:50+02:00,2026-04-20 19:44:10+02:00,2026-04-20 19:49:50+02:00,,,,,,Orsay Ville,32,2026-04-20 17:50:03.063434+02:00
KEPI62,KEPI,Massy-Palaiseau,,,,,,,,,,,,,,,2026-04-20 17:54:42+02:00,2026-04-20 17:52:53+02:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Les Baconnets,2,2026-04-20 17:50:03.063434+02:00
ELSO85,ELSO,Aéroport Charles de Gaulle 2 (Terminal 2),,,,,,,,,,,,,,,,,,,,,,,,2026-04-20 17:51:04+02:00,2026-04-20 17:52:51+02:00,2026-04-20 17:54:32+02:00,2026-04-20 17:57:12+02:00,2026-04-20 17:58:59+02:00,2026-04-20 18:00:33+02:00,2026-04-20 18:02:59+02:00,2026-04-20 18:05:00+02:00,2026-04-20 18:09:00+02:00,2026-04-20 18:14:10+02:00,2026-04-20 18:16:40+02:00,2026-04-20 18:19:50+02:00,2026-04-20 18:22:30+02:00,2026-04-20 18:24:40+02:00,2026-04-20 18:27:10+02:00,2026-04-20 18:30:20+02:00,2026-04-20 18:32:50+02:00,2026-04-20 18:35:10+02:00,2026-04-20 18:40:50+02:00,,,,,,Laplace,19,2026-04-20 17:50:03.063434+02:00
IJAP99,IJAP,Mitry - Claye,,,,,,,2026-04-20 17:49:37+02:00,2026-04-20 17:51:29+02:00,2026-04-20 17:54:13+02:00,2026-04-20 17:56:26+02:00,,,,2026-04-20 18:02:15+02:00,,,,2026-04-20 18:07:10+02:00,2026-04-20 18:08:56+02:00,,2026-04-20 18:11:47+02:00,2026-04-20 18:14:16+02:00,2026-04-20 18:16:01+02:00,2026-04-20 18:18:04+02:00,2026-04-20 18:19:51+02:00,2026-04-20 18:21:32+02:00,2026-04-20 18:24:12+02:00,2026-04-20 18:25:59+02:00,2026-04-20 18:27:33+02:00,2026-04-20 18:29:59+02:00,2026-04-20 18:32:00+02:00,2026-04-20 18:36:00+02:00,2026-04-20 18:41:10+02:00,2026-04-20 18:43:40+02:00,2026-04-20 18:46:50+02:00,2026-04-20 18:49:30+02:00,2026-04-20 18:51:40+02:00,2026-04-20 18:54:20+02:00,,,,,,2026-04-20 18:57:40+02:00,2026-04-20 19:00:30+02:00,2026-04-20 19:03:40+02:00,,La Hacquinière,28,2026-04-20 17:50:03.063434+02:00
PGNE82,PGNE,Saint-Rémy-lès-Chevreuse,,,,,2026-04-20 18:48:27+02:00,2026-04-20 18:45:19+02:00,2026-04-20 18:43:21+02:00,2026-04-20 18:41:29+02:00,2026-04-20 18:39:32+02:00,2026-04-20 18:37:09+02:00,,,2026-04-20 18:32:36+02:00,2026-04-20 18:30:09+02:00,,,,2026-04-20 18:24:54+02:00,2026-04-20 18:22:59+02:00,,2026-04-20 18:20:14+02:00,2026-04-20 18:17:31+02:00,2026-04-20 18:15:53+02:00,2026-04-20 18:13:45+02:00,2026-04-20 18:11:49+02:00,2026-04-20 18:10:07+02:00,2026-04-20 18:07:44+02:00,2026-04-20 18:05:36+02:00,2026-04-20 18:04:01+02:00,2026-04-20 18:01:59+02:00,2026-04-20 17:59:47+02:00,2026-04-20 17:56:00+02:00,2026-04-20 17:50:20+02:00,,,,,,,,,,,,,,,La Plaine Stade de France,23,2026-04-20 17:50:03.063434+02:00
IRES71,IRES,Denfert Rochereau,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-20 17:33:12+02:00,2026-04-20 17:34:59+02:00,2026-04-20 17:36:33+02:00,2026-04-20 17:38:59+02:00,2026-04-20 17:41:00+02:00,2026-04-20 17:45:00+02:00,2026-04-20 17:50:10+02:00,2026-04-20 17:52:40+02:00,2026-04-20 17:55:50+02:00,2026-04-20 17:58:30+02:00,2026-04-20 18:00:40+02:00,2026-04-20 18:03:20+02:00,,,,,,2026-04-20 18:06:40+02:00,2026-04-20 18:09:30+02:00,2026-04-20 18:12:40+02:00,,Denfert-Rochereau,15,2026-04-20 17:50:03.063434+02:00
EMME13,EMME,Aéroport Charles de Gaulle 2 (Terminal 2),,,,,,,,,2026-04-20 18:16:02+02:00,2026-04-20 18:18:15+02:00,2026-04-20 18:20:17+02:00,2026-04-20 18:22:51+02:00,2026-04-20 18:24:42+02:00,2026-04-20 18:27:14+02:00,,2026-04-20 18:30:24+02:00,2026-04-20 18:31:54+02:00,2026-04-20 18:34:10+02:00,2026-04-20 18:35:56+02:00,,2026-04-20 18:38:47+02:00,2026-04-20 18:41:16+02:00,2026-04-20 18:43:01+02:00,2026-04-20 18:45:04+02:00,2026-04-20 18:46:51+02:00,2026-04-20 18:48:32+02:00,2026-04-20 18:51:12+02:00,2026-04-20 18:52:59+02:00,2026-04-20 18:54:33+02:00,2026-04-20 18:56:59+02:00,2026-04-20 18:59:00+02:00,2026-04-20 19:03:00+02:00,2026-04-20 19:08:10+02:00,2026-04-20 19:10:40+02:00,2026-04-20 19:13:50+02:00,2026-04-20 19:16:30+02:00,2026-04-20 19:18:40+02:00,2026-04-20 19:21:10+02:00,2026-04-20 19:24:20+02:00,2026-04-20 19:26:50+02:00,2026-04-20 19:29:10+02:00,2026-04-20 19:34:50+02:00,,,,,,Orsay Ville,32,2026-04-20 17:50:03.063434+02:00
EMAL89,EMAL,Aéroport Charles de Gaulle 2 (Terminal 2),,,,,,,,,,,,,,,,,,,2026-04-20 17:50:56+02:00,,2026-04-20 17:53:47+02:00,2026-04-20 17:56:16+02:00,2026-04-20 17:58:01+02:00,2026-04-20 18:00:04+02:00,2026-04-20 18:01:51+02:00,2026-04-20 18:03:32+02:00,2026-04-20 18:06:12+02:00,2026-04-20 18:07:59+02:00,2026-04-20 18:09:33+02:00,2026-04-20 18:11:59+02:00,2026-04-20 18:14:00+02:00,2026-04-20 18:18:00+02:00,2026-04-20 18:23:10+02:00,2026-04-20 18:25:40+02:00,2026-04-20 18:28:50+02:00,2026-04-20 18:31:30+02:00,2026-04-20 18:33:40+02:00,2026-04-20 18:36:10+02:00,2026-04-20 18:39:20+02:00,2026-04-20 18:41:50+02:00,2026-04-20 18:44:10+02:00,2026-04-20 18:49:50+02:00,,,,,,La Croix de Berny,23,2026-04-20 17:50:03.063434+02:00
IRAS11,IRAS,Mitry - Claye,,,,,,,,,,,,,,2026-04-20 18:23:03+02:00,2026-04-20 18:25:18+02:00,2026-04-20 18:27:16+02:00,,2026-04-20 18:30:09+02:00,2026-04-20 18:31:55+02:00,2026-04-20 18:33:38+02:00,2026-04-20 18:35:47+02:00,2026-04-20 18:38:16+02:00,2026-04-20 18:40:01+02:00,2026-04-20 18:42:04+02:00,2026-04-20 18:43:51+02:00,2026-04-20 18:45:32+02:00,2026-04-20 18:48:12+02:00,2026-04-20 18:49:59+02:00,2026-04-20 18:51:33+02:00,2026-04-20 18:53:59+02:00,2026-04-20 18:56:00+02:00,2026-04-20 19:00:00+02:00,2026-04-20 19:05:10+02:00,2026-04-20 19:07:40+02:00,2026-04-20 19:10:50+02:00,2026-04-20 19:13:30+02:00,2026-04-20 19:15:40+02:00,2026-04-20 19:18:20+02:00,,,,,,2026-04-20 19:21:40+02:00,2026-04-20 19:24:30+02:00,2026-04-20 19:27:40+02:00,,Massy - Palaiseau,27,2026-04-20 17:50:03.063434+02:00
