mission,type_mission,destination,Robinson,Fontenay-aux-Roses,Sceaux,Saint-Rémy-lès-Chevreuse,Courcelle sur Yvette,Gif-sur-Yvette,La Hacquinière,Bures-sur-Yvette,Orsay Ville,Le Guichet,Lozère,Palaiseau - Villebon,Palaiseau,Massy - Palaiseau,Massy - Verrières,Les Baconnets,Fontaine Michalon,Antony,La Croix de Berny,Parc de Sceaux,Bourg-la-Reine,Bagneux,Arcueil - Cachan,Laplace,Gentilly,Cité Universitaire,Denfert-Rochereau,Port Royal,Luxembourg,Saint-Michel Notre-Dame,Châtelet les Halles,Gare du Nord,La Plaine Stade de France,La Courneuve - Aubervilliers,Le Bourget,Drancy,Le Blanc-Mesnil,Aulnay-sous-Bois,Sevran Beaudottes,Villepinte,Parc des Expositions,Aéroport CDG 1 (Terminal 3) - RER,Aéroport Charles de Gaulle 2 (Terminal 2),Sevran - Livry,Vert Galant,Villeparisis - Mitry-le-Neuf,Mitry - Claye,gare_depart,nb_arrets_desservis,date_observation
STIN54,STIN,Robinson,,2026-04-16 07:51:21+02:00,2026-04-16 07:49:36+02:00,,,,,,,,,,,,,,,,,,2026-04-16 07:47:24+02:00,2026-04-16 07:44:51+02:00,2026-04-16 07:43:03+02:00,2026-04-16 07:40:55+02:00,2026-04-16 07:38:59+02:00,2026-04-16 07:37:02+02:00,2026-04-16 07:34:14+02:00,2026-04-16 07:32:26+02:00,2026-04-16 07:30:51+02:00,2026-04-16 07:28:29+02:00,2026-04-16 07:26:07+02:00,2026-04-16 07:23:00+02:00,2026-04-16 07:17:20+02:00,2026-04-16 07:14:30+02:00,2026-04-16 07:11:00+02:00,2026-04-16 07:08:10+02:00,2026-04-16 07:06:00+02:00,2026-04-16 07:03:50+02:00,2026-04-16 07:00:10+02:00,2026-04-16 06:57:20+02:00,2026-04-16 06:55:20+02:00,2026-04-16 06:50:00+02:00,2026-04-16 06:42:50+02:00,,,,,Aéroport Charles de Gaulle 2 (Terminal 2),25,2026-04-16 06:30:02.632023+02:00
ICAR29,ICAR,Mitry - Claye,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-16 06:30:00+02:00,2026-04-16 06:34:11+02:00,2026-04-16 06:39:21+02:00,2026-04-16 06:41:51+02:00,2026-04-16 06:45:01+02:00,2026-04-16 06:47:41+02:00,2026-04-16 06:49:51+02:00,2026-04-16 06:52:31+02:00,,,,,,2026-04-16 06:55:51+02:00,2026-04-16 06:58:41+02:00,2026-04-16 07:01:51+02:00,,Châtelet les Halles,11,2026-04-16 06:30:02.632023+02:00
LORE42,LORE,Orsay-Ville,,,,,,,,,,2026-04-16 07:52:13+02:00,2026-04-16 07:49:52+02:00,2026-04-16 07:46:59+02:00,2026-04-16 07:44:54+02:00,2026-04-16 07:41:42+02:00,,2026-04-16 07:38:23+02:00,2026-04-16 07:36:39+02:00,2026-04-16 07:34:19+02:00,2026-04-16 07:32:24+02:00,,2026-04-16 07:29:29+02:00,2026-04-16 07:26:51+02:00,2026-04-16 07:25:03+02:00,2026-04-16 07:22:55+02:00,2026-04-16 07:20:59+02:00,2026-04-16 07:19:02+02:00,2026-04-16 07:16:14+02:00,2026-04-16 07:14:26+02:00,2026-04-16 07:12:51+02:00,2026-04-16 07:10:29+02:00,2026-04-16 07:08:07+02:00,2026-04-16 07:05:00+02:00,2026-04-16 06:59:20+02:00,2026-04-16 06:56:30+02:00,2026-04-16 06:53:00+02:00,2026-04-16 06:50:10+02:00,2026-04-16 06:48:00+02:00,2026-04-16 06:45:50+02:00,2026-04-16 06:42:10+02:00,2026-04-16 06:39:20+02:00,2026-04-16 06:37:20+02:00,2026-04-16 06:32:10+02:00,,,,,,Aéroport CDG 1 (Terminal 3) - RER,31,2026-04-16 06:30:02.632023+02:00
KLEE76,KLEE,Massy-Palaiseau,,,,,,,,,,,,,,,2026-04-16 08:31:07+02:00,2026-04-16 08:29:03+02:00,,2026-04-16 08:26:10+02:00,2026-04-16 08:24:25+02:00,2026-04-16 08:22:41+02:00,2026-04-16 08:20:29+02:00,2026-04-16 08:17:51+02:00,2026-04-16 08:16:03+02:00,2026-04-16 08:13:55+02:00,2026-04-16 08:11:59+02:00,2026-04-16 08:10:02+02:00,2026-04-16 08:07:14+02:00,2026-04-16 08:05:26+02:00,2026-04-16 08:03:51+02:00,2026-04-16 08:01:29+02:00,2026-04-16 07:59:07+02:00,2026-04-16 07:56:00+02:00,2026-04-16 07:50:20+02:00,2026-04-16 07:47:30+02:00,2026-04-16 07:44:00+02:00,2026-04-16 07:41:10+02:00,2026-04-16 07:39:00+02:00,2026-04-16 07:36:50+02:00,,,,,,2026-04-16 07:33:10+02:00,2026-04-16 07:30:00+02:00,2026-04-16 07:26:50+02:00,2026-04-16 07:23:00+02:00,Mitry - Claye,27,2026-04-16 06:30:02.632023+02:00
LORE74,LORE,Orsay-Ville,,,,,,,,,,2026-04-16 08:40:13+02:00,2026-04-16 08:37:52+02:00,2026-04-16 08:34:59+02:00,2026-04-16 08:32:54+02:00,2026-04-16 08:29:42+02:00,,2026-04-16 08:26:23+02:00,2026-04-16 08:24:39+02:00,2026-04-16 08:22:19+02:00,2026-04-16 08:20:24+02:00,,2026-04-16 08:17:29+02:00,2026-04-16 08:14:51+02:00,2026-04-16 08:13:03+02:00,2026-04-16 08:10:55+02:00,2026-04-16 08:08:59+02:00,2026-04-16 08:07:02+02:00,2026-04-16 08:04:14+02:00,2026-04-16 08:02:26+02:00,2026-04-16 08:00:51+02:00,2026-04-16 07:58:29+02:00,2026-04-16 07:56:07+02:00,2026-04-16 07:53:00+02:00,2026-04-16 07:47:20+02:00,2026-04-16 07:44:30+02:00,2026-04-16 07:41:00+02:00,2026-04-16 07:38:10+02:00,2026-04-16 07:36:00+02:00,2026-04-16 07:33:50+02:00,2026-04-16 07:30:10+02:00,2026-04-16 07:27:20+02:00,2026-04-16 07:25:20+02:00,2026-04-16 07:20:00+02:00,2026-04-16 07:12:50+02:00,,,,,Aéroport Charles de Gaulle 2 (Terminal 2),32,2026-04-16 06:30:02.632023+02:00
GEDO43,GEDO,Aulnay-sous-Bois,2026-04-16 06:34:33+02:00,2026-04-16 06:36:54+02:00,2026-04-16 06:38:38+02:00,,,,,,,,,,,,,,,,,,2026-04-16 06:40:36+02:00,2026-04-16 06:43:31+02:00,2026-04-16 06:45:11+02:00,2026-04-16 06:47:19+02:00,2026-04-16 06:49:06+02:00,2026-04-16 06:50:42+02:00,2026-04-16 06:53:22+02:00,2026-04-16 06:55:39+02:00,2026-04-16 06:57:13+02:00,2026-04-16 06:59:19+02:00,2026-04-16 07:01:39+02:00,2026-04-16 07:06:00+02:00,2026-04-16 07:11:10+02:00,2026-04-16 07:13:40+02:00,2026-04-16 07:16:50+02:00,2026-04-16 07:19:30+02:00,2026-04-16 07:21:40+02:00,,,,,,,,,,,Robinson,20,2026-04-16 06:30:02.632023+02:00
ICAR17,ICAR,Mitry - Claye,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-16 06:32:05+02:00,,Villeparisis - Mitry-le-Neuf,1,2026-04-16 06:30:02.632023+02:00
PAUL64,PAUL,Saint-Rémy-lès-Chevreuse,,,,,2026-04-16 08:31:08+02:00,2026-04-16 08:27:55+02:00,2026-04-16 08:26:02+02:00,2026-04-16 08:24:10+02:00,2026-04-16 08:21:53+02:00,2026-04-16 08:19:35+02:00,,,,2026-04-16 08:12:09+02:00,,,,2026-04-16 08:07:09+02:00,2026-04-16 08:05:14+02:00,,2026-04-16 08:02:19+02:00,2026-04-16 07:59:41+02:00,2026-04-16 07:57:53+02:00,2026-04-16 07:55:45+02:00,2026-04-16 07:53:54+02:00,2026-04-16 07:52:02+02:00,2026-04-16 07:49:14+02:00,2026-04-16 07:47:26+02:00,2026-04-16 07:45:51+02:00,2026-04-16 07:43:29+02:00,2026-04-16 07:41:07+02:00,2026-04-16 07:38:00+02:00,2026-04-16 07:32:20+02:00,2026-04-16 07:29:30+02:00,2026-04-16 07:26:00+02:00,2026-04-16 07:23:10+02:00,2026-04-16 07:21:00+02:00,2026-04-16 07:18:50+02:00,,,,,,2026-04-16 07:15:10+02:00,2026-04-16 07:12:00+02:00,2026-04-16 07:08:50+02:00,2026-04-16 07:05:00+02:00,Mitry - Claye,31,2026-04-16 06:30:02.632023+02:00
ELFE53,ELFE,Aéroport Charles de Gaulle 2 (Terminal 2),2026-04-16 06:52:33+02:00,2026-04-16 06:54:54+02:00,2026-04-16 06:56:38+02:00,,,,,,,,,,,,,,,,,,2026-04-16 06:58:36+02:00,2026-04-16 07:01:31+02:00,2026-04-16 07:03:11+02:00,2026-04-16 07:05:19+02:00,2026-04-16 07:07:06+02:00,2026-04-16 07:08:42+02:00,2026-04-16 07:11:22+02:00,2026-04-16 07:13:39+02:00,2026-04-16 07:15:13+02:00,2026-04-16 07:17:19+02:00,2026-04-16 07:19:39+02:00,2026-04-16 07:24:00+02:00,2026-04-16 07:29:10+02:00,2026-04-16 07:31:40+02:00,2026-04-16 07:34:50+02:00,2026-04-16 07:37:30+02:00,2026-04-16 07:39:40+02:00,2026-04-16 07:42:10+02:00,2026-04-16 07:45:30+02:00,2026-04-16 07:48:00+02:00,2026-04-16 07:50:20+02:00,2026-04-16 07:56:00+02:00,,,,,,Robinson,25,2026-04-16 06:30:02.632023+02:00
ECCO45,ECCO,Aéroport Charles de Gaulle 2 (Terminal 2),,,,,,,,,,,,,,2026-04-16 06:33:35+02:00,2026-04-16 06:35:40+02:00,2026-04-16 06:37:38+02:00,2026-04-16 06:39:13+02:00,2026-04-16 06:41:19+02:00,2026-04-16 06:43:20+02:00,2026-04-16 06:45:18+02:00,2026-04-16 06:47:07+02:00,2026-04-16 06:49:56+02:00,2026-04-16 06:51:36+02:00,2026-04-16 06:53:39+02:00,2026-04-16 06:55:26+02:00,2026-04-16 06:57:02+02:00,2026-04-16 06:59:42+02:00,2026-04-16 07:01:59+02:00,2026-04-16 07:03:33+02:00,2026-04-16 07:05:39+02:00,2026-04-16 07:07:49+02:00,2026-04-16 07:12:00+02:00,2026-04-16 07:17:10+02:00,2026-04-16 07:19:40+02:00,2026-04-16 07:22:50+02:00,2026-04-16 07:25:30+02:00,2026-04-16 07:27:40+02:00,2026-04-16 07:30:10+02:00,2026-04-16 07:33:30+02:00,2026-04-16 07:36:00+02:00,2026-04-16 07:38:20+02:00,2026-04-16 07:44:00+02:00,,,,,,Massy - Palaiseau,29,2026-04-16 06:30:02.632023+02:00
