mission,type_mission,destination,Robinson,Fontenay-aux-Roses,Sceaux,Saint-Rémy-lès-Chevreuse,Courcelle sur Yvette,Gif-sur-Yvette,La Hacquinière,Bures-sur-Yvette,Orsay Ville,Le Guichet,Lozère,Palaiseau - Villebon,Palaiseau,Massy - Palaiseau,Massy - Verrières,Les Baconnets,Fontaine Michalon,Antony,La Croix de Berny,Parc de Sceaux,Bourg-la-Reine,Bagneux,Arcueil - Cachan,Laplace,Gentilly,Cité Universitaire,Denfert-Rochereau,Port Royal,Luxembourg,Saint-Michel Notre-Dame,Châtelet les Halles,Gare du Nord,La Plaine Stade de France,La Courneuve - Aubervilliers,Le Bourget,Drancy,Le Blanc-Mesnil,Aulnay-sous-Bois,Sevran Beaudottes,Villepinte,Parc des Expositions,Aéroport CDG 1 (Terminal 3) - RER,Aéroport Charles de Gaulle 2 (Terminal 2),Sevran - Livry,Vert Galant,Villeparisis - Mitry-le-Neuf,Mitry - Claye,gare_depart,nb_arrets_desservis,date_observation
ILUS95,ILUS,Mitry - Claye,2026-04-16 15:35:33+02:00,2026-04-16 15:37:59+02:00,2026-04-16 15:39:38+02:00,,,,,,,,,,,,,,,,,,2026-04-16 15:41:41+02:00,2026-04-16 15:44:16+02:00,2026-04-16 15:45:56+02:00,2026-04-16 15:47:59+02:00,2026-04-16 15:49:46+02:00,2026-04-16 15:51:32+02:00,2026-04-16 15:54:22+02:00,2026-04-16 15:56:09+02:00,2026-04-16 15:57:43+02:00,2026-04-16 16:00:09+02:00,2026-04-16 16:02:00+02:00,2026-04-16 16:06:00+02:00,2026-04-16 16:11:10+02:00,2026-04-16 16:13:40+02:00,2026-04-16 16:16:50+02:00,2026-04-16 16:19:30+02:00,2026-04-16 16:21:40+02:00,2026-04-16 16:24:20+02:00,,,,,,2026-04-16 16:27:40+02:00,2026-04-16 16:30:30+02:00,2026-04-16 16:33:40+02:00,,Robinson,24,2026-04-16 15:00:02.746836+02:00
ILUS59,ILUS,Mitry - Claye,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-16 15:00:30+02:00,2026-04-16 15:03:40+02:00,,Vert Galant,2,2026-04-16 15:00:02.746836+02:00
KALI84,KALI,Massy-Palaiseau,,,,,,,,,,,,,,,2026-04-16 15:57:13+02:00,2026-04-16 15:55:29+02:00,2026-04-16 15:54:05+02:00,2026-04-16 15:52:10+02:00,2026-04-16 15:50:30+02:00,2026-04-16 15:48:41+02:00,2026-04-16 15:46:54+02:00,2026-04-16 15:44:26+02:00,2026-04-16 15:42:53+02:00,2026-04-16 15:40:55+02:00,2026-04-16 15:39:09+02:00,2026-04-16 15:37:32+02:00,2026-04-16 15:34:54+02:00,2026-04-16 15:32:36+02:00,2026-04-16 15:31:01+02:00,2026-04-16 15:29:09+02:00,2026-04-16 15:26:47+02:00,2026-04-16 15:23:00+02:00,,,,,,2026-04-16 15:06:50+02:00,,,,,,,,,,Aulnay-sous-Bois,19,2026-04-16 15:00:02.746836+02:00
PIST64,PIST,Saint-Rémy-lès-Chevreuse,,,,,2026-04-16 15:26:06+02:00,2026-04-16 15:22:58+02:00,2026-04-16 15:21:00+02:00,2026-04-16 15:19:08+02:00,2026-04-16 15:17:11+02:00,2026-04-16 15:14:48+02:00,2026-04-16 15:12:27+02:00,2026-04-16 15:09:34+02:00,2026-04-16 15:07:29+02:00,2026-04-16 15:05:02+02:00,,,,2026-04-16 14:59:37+02:00,2026-04-16 14:57:42+02:00,,2026-04-16 14:55:02+02:00,,,,,,,,,,,,,,,,,,,,,,,,,,,Bourg-la-Reine,13,2026-04-16 15:00:02.746836+02:00
KALI78,KALI,Massy-Palaiseau,,,,,,,,,,,,,,,2026-04-16 15:42:13+02:00,2026-04-16 15:40:29+02:00,2026-04-16 15:39:05+02:00,2026-04-16 15:37:10+02:00,2026-04-16 15:35:30+02:00,2026-04-16 15:33:41+02:00,2026-04-16 15:31:54+02:00,2026-04-16 15:29:26+02:00,2026-04-16 15:27:53+02:00,2026-04-16 15:25:55+02:00,2026-04-16 15:24:09+02:00,2026-04-16 15:22:32+02:00,2026-04-16 15:19:54+02:00,2026-04-16 15:17:36+02:00,2026-04-16 15:16:01+02:00,2026-04-16 15:14:09+02:00,2026-04-16 15:11:47+02:00,2026-04-16 15:08:00+02:00,,,,,,,,,,,,,,,,Gare du Nord,18,2026-04-16 15:00:02.746836+02:00
SOSO80,SOSO,Robinson,,2026-04-16 15:41:31+02:00,2026-04-16 15:39:51+02:00,,,,,,,,,,,,,,,,,,2026-04-16 15:37:59+02:00,2026-04-16 15:35:21+02:00,2026-04-16 15:33:43+02:00,2026-04-16 15:31:45+02:00,2026-04-16 15:29:59+02:00,2026-04-16 15:28:22+02:00,2026-04-16 15:25:54+02:00,2026-04-16 15:23:36+02:00,2026-04-16 15:22:01+02:00,2026-04-16 15:20:09+02:00,2026-04-16 15:17:47+02:00,2026-04-16 15:14:00+02:00,2026-04-16 15:08:20+02:00,2026-04-16 15:05:30+02:00,2026-04-16 15:02:00+02:00,,,,,,,,,,,,,Le Bourget,17,2026-04-16 15:00:02.746836+02:00
EPAU99,EPAU,Aéroport Charles de Gaulle 2 (Terminal 2),,,,2026-04-16 15:21:55+02:00,2026-04-16 15:25:06+02:00,2026-04-16 15:28:13+02:00,2026-04-16 15:29:59+02:00,2026-04-16 15:31:41+02:00,2026-04-16 15:34:21+02:00,2026-04-16 15:36:25+02:00,2026-04-16 15:38:22+02:00,2026-04-16 15:40:51+02:00,2026-04-16 15:42:42+02:00,2026-04-16 15:45:24+02:00,,,,2026-04-16 15:50:19+02:00,2026-04-16 15:51:55+02:00,,2026-04-16 15:54:46+02:00,,,,,2026-04-16 16:00:32+02:00,2026-04-16 16:03:22+02:00,2026-04-16 16:05:09+02:00,2026-04-16 16:06:43+02:00,2026-04-16 16:09:09+02:00,2026-04-16 16:11:00+02:00,2026-04-16 16:15:00+02:00,2026-04-16 16:20:10+02:00,2026-04-16 16:22:40+02:00,2026-04-16 16:25:50+02:00,2026-04-16 16:28:30+02:00,2026-04-16 16:30:40+02:00,2026-04-16 16:33:10+02:00,2026-04-16 16:36:20+02:00,2026-04-16 16:39:30+02:00,2026-04-16 16:42:20+02:00,2026-04-16 16:50:00+02:00,,,,,,Saint-Rémy-lès-Chevreuse,31,2026-04-16 15:00:02.746836+02:00
PIST94,PIST,Saint-Rémy-lès-Chevreuse,,,,,2026-04-16 16:41:06+02:00,2026-04-16 16:37:58+02:00,2026-04-16 16:36:00+02:00,2026-04-16 16:34:08+02:00,2026-04-16 16:32:11+02:00,2026-04-16 16:29:48+02:00,2026-04-16 16:27:27+02:00,2026-04-16 16:24:34+02:00,2026-04-16 16:22:29+02:00,2026-04-16 16:20:02+02:00,,,,2026-04-16 16:14:37+02:00,2026-04-16 16:12:42+02:00,,2026-04-16 16:10:02+02:00,,,,,2026-04-16 16:04:32+02:00,2026-04-16 16:01:54+02:00,2026-04-16 15:59:36+02:00,2026-04-16 15:58:01+02:00,2026-04-16 15:56:09+02:00,2026-04-16 15:53:47+02:00,2026-04-16 15:50:00+02:00,2026-04-16 15:44:20+02:00,2026-04-16 15:41:30+02:00,2026-04-16 15:38:00+02:00,2026-04-16 15:35:10+02:00,2026-04-16 15:33:00+02:00,2026-04-16 15:30:50+02:00,2026-04-16 15:27:10+02:00,2026-04-16 15:24:20+02:00,2026-04-16 15:22:20+02:00,2026-04-16 15:17:10+02:00,2026-04-16 15:14:20+02:00,,,,,Aéroport Charles de Gaulle 2 (Terminal 2),31,2026-04-16 15:00:02.746836+02:00
PIST70,PIST,Saint-Rémy-lès-Chevreuse,,,,,2026-04-16 15:41:06+02:00,2026-04-16 15:37:58+02:00,2026-04-16 15:36:00+02:00,2026-04-16 15:34:08+02:00,2026-04-16 15:32:11+02:00,2026-04-16 15:29:48+02:00,2026-04-16 15:27:27+02:00,2026-04-16 15:24:34+02:00,2026-04-16 15:22:29+02:00,2026-04-16 15:20:02+02:00,,,,2026-04-16 15:14:37+02:00,2026-04-16 15:12:42+02:00,,2026-04-16 15:10:02+02:00,,,,,2026-04-16 15:04:32+02:00,2026-04-16 15:01:54+02:00,2026-04-16 14:59:36+02:00,,,,,,,,,,,,,,,,,,,,Port Royal,16,2026-04-16 15:00:02.746836+02:00
ERIO67,ERIO,Aéroport Charles de Gaulle 2 (Terminal 2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-16 15:12:10+02:00,,,,2026-04-16 15:24:30+02:00,,,,,,Aulnay-sous-Bois,2,2026-04-16 15:00:02.746836+02:00
