mission,type_mission,destination,Robinson,Fontenay-aux-Roses,Sceaux,Saint-Rémy-lès-Chevreuse,Courcelle sur Yvette,Gif-sur-Yvette,La Hacquinière,Bures-sur-Yvette,Orsay Ville,Le Guichet,Lozère,Palaiseau - Villebon,Palaiseau,Massy - Palaiseau,Massy - Verrières,Les Baconnets,Fontaine Michalon,Antony,La Croix de Berny,Parc de Sceaux,Bourg-la-Reine,Bagneux,Arcueil - Cachan,Laplace,Gentilly,Cité Universitaire,Denfert-Rochereau,Port Royal,Luxembourg,Saint-Michel Notre-Dame,Châtelet les Halles,Gare du Nord,La Plaine Stade de France,La Courneuve - Aubervilliers,Le Bourget,Drancy,Le Blanc-Mesnil,Aulnay-sous-Bois,Sevran Beaudottes,Villepinte,Parc des Expositions,Aéroport CDG 1 (Terminal 3) - RER,Aéroport Charles de Gaulle 2 (Terminal 2),Sevran - Livry,Vert Galant,Villeparisis - Mitry-le-Neuf,Mitry - Claye,gare_depart,nb_arrets_desservis,date_observation
SORI54,SORI,Robinson,,2026-04-28 11:38:01+02:00,2026-04-28 11:36:21+02:00,,,,,,,,,,,,,,,,,,2026-04-28 11:34:29+02:00,2026-04-28 11:31:51+02:00,2026-04-28 11:30:13+02:00,2026-04-28 11:28:15+02:00,2026-04-28 11:26:29+02:00,2026-04-28 11:24:52+02:00,2026-04-28 11:22:34+02:00,2026-04-28 11:20:26+02:00,2026-04-28 11:18:51+02:00,2026-04-28 11:16:59+02:00,2026-04-28 11:14:47+02:00,2026-04-28 11:11:00+02:00,2026-04-28 11:05:20+02:00,2026-04-28 11:02:30+02:00,2026-04-28 10:59:00+02:00,2026-04-28 10:56:10+02:00,,,,,,,,,,,,Drancy,18,2026-04-28 10:55:03.988755+02:00
PIER44,PIER,Saint-Rémy-lès-Chevreuse,,,,,2026-04-28 11:37:36+02:00,2026-04-28 11:34:28+02:00,2026-04-28 11:32:30+02:00,2026-04-28 11:30:38+02:00,2026-04-28 11:28:41+02:00,2026-04-28 11:26:18+02:00,2026-04-28 11:23:57+02:00,2026-04-28 11:21:04+02:00,2026-04-28 11:18:59+02:00,2026-04-28 11:16:32+02:00,,,,2026-04-28 11:11:07+02:00,2026-04-28 11:09:12+02:00,,2026-04-28 11:06:32+02:00,,,,,2026-04-28 11:01:02+02:00,2026-04-28 10:58:34+02:00,2026-04-28 10:56:26+02:00,2026-04-28 10:54:51+02:00,,,,,,,,,,,,,,,,,,,Luxembourg,17,2026-04-28 10:55:03.988755+02:00
ILUS65,ILUS,Mitry - Claye,2026-04-28 11:15:03+02:00,2026-04-28 11:17:29+02:00,2026-04-28 11:19:08+02:00,,,,,,,,,,,,,,,,,,2026-04-28 11:21:11+02:00,2026-04-28 11:23:46+02:00,2026-04-28 11:25:26+02:00,2026-04-28 11:27:29+02:00,2026-04-28 11:29:16+02:00,2026-04-28 11:30:52+02:00,2026-04-28 11:33:32+02:00,2026-04-28 11:35:19+02:00,2026-04-28 11:36:53+02:00,2026-04-28 11:39:09+02:00,2026-04-28 11:41:00+02:00,2026-04-28 11:45:00+02:00,2026-04-28 11:50:10+02:00,2026-04-28 11:52:40+02:00,2026-04-28 11:55:50+02:00,2026-04-28 11:58:30+02:00,2026-04-28 12:00:40+02:00,2026-04-28 12:03:20+02:00,,,,,,2026-04-28 12:06:40+02:00,2026-04-28 12:09:30+02:00,2026-04-28 12:12:40+02:00,,Robinson,24,2026-04-28 10:55:03.988755+02:00
ILUS71,ILUS,Mitry - Claye,2026-04-28 11:30:03+02:00,2026-04-28 11:32:29+02:00,2026-04-28 11:34:08+02:00,,,,,,,,,,,,,,,,,,2026-04-28 11:36:11+02:00,2026-04-28 11:38:46+02:00,2026-04-28 11:40:26+02:00,2026-04-28 11:42:29+02:00,2026-04-28 11:44:16+02:00,2026-04-28 11:45:52+02:00,2026-04-28 11:48:32+02:00,2026-04-28 11:50:19+02:00,2026-04-28 11:51:53+02:00,2026-04-28 11:54:09+02:00,2026-04-28 11:56:00+02:00,2026-04-28 12:00:00+02:00,2026-04-28 12:05:10+02:00,2026-04-28 12:07:40+02:00,2026-04-28 12:10:50+02:00,2026-04-28 12:13:30+02:00,2026-04-28 12:15:40+02:00,2026-04-28 12:18:20+02:00,,,,,,2026-04-28 12:21:40+02:00,2026-04-28 12:24:30+02:00,2026-04-28 12:27:40+02:00,,Robinson,24,2026-04-28 10:55:03.988755+02:00
PIER56,PIER,Saint-Rémy-lès-Chevreuse,,,,,2026-04-28 12:07:36+02:00,2026-04-28 12:04:28+02:00,2026-04-28 12:02:30+02:00,2026-04-28 12:00:38+02:00,2026-04-28 11:58:41+02:00,2026-04-28 11:56:18+02:00,2026-04-28 11:53:57+02:00,2026-04-28 11:51:04+02:00,2026-04-28 11:48:59+02:00,2026-04-28 11:46:32+02:00,,,,2026-04-28 11:41:07+02:00,2026-04-28 11:39:12+02:00,,2026-04-28 11:36:32+02:00,,,,,2026-04-28 11:31:02+02:00,2026-04-28 11:28:34+02:00,2026-04-28 11:26:26+02:00,2026-04-28 11:24:51+02:00,2026-04-28 11:22:59+02:00,2026-04-28 11:20:47+02:00,2026-04-28 11:17:00+02:00,2026-04-28 11:11:20+02:00,2026-04-28 11:08:30+02:00,2026-04-28 11:05:00+02:00,2026-04-28 11:02:10+02:00,2026-04-28 11:00:00+02:00,2026-04-28 10:57:50+02:00,,,,,,,,,,Aulnay-sous-Bois,26,2026-04-28 10:55:03.988755+02:00
ERIC49,ERIC,Aéroport Charles de Gaulle 2 (Terminal 2),,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-28 10:54:32+02:00,2026-04-28 10:56:19+02:00,2026-04-28 10:57:53+02:00,2026-04-28 11:00:09+02:00,2026-04-28 11:02:00+02:00,2026-04-28 11:06:00+02:00,,,,,,2026-04-28 11:21:10+02:00,,,,2026-04-28 11:33:30+02:00,,,,,,Denfert-Rochereau,8,2026-04-28 10:55:03.988755+02:00
EPAU33,EPAU,Aéroport Charles de Gaulle 2 (Terminal 2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-28 10:55:50+02:00,,,,,,Aéroport CDG 1 (Terminal 3) - RER,1,2026-04-28 10:55:03.988755+02:00
KALI64,KALI,Massy-Palaiseau,,,,,,,,,,,,,,,2026-04-28 12:08:43+02:00,2026-04-28 12:06:59+02:00,2026-04-28 12:05:35+02:00,2026-04-28 12:03:40+02:00,2026-04-28 12:02:00+02:00,2026-04-28 12:00:11+02:00,2026-04-28 11:58:24+02:00,2026-04-28 11:55:56+02:00,2026-04-28 11:54:23+02:00,2026-04-28 11:52:25+02:00,2026-04-28 11:50:39+02:00,2026-04-28 11:49:02+02:00,2026-04-28 11:46:34+02:00,2026-04-28 11:44:26+02:00,2026-04-28 11:42:51+02:00,2026-04-28 11:40:59+02:00,2026-04-28 11:38:47+02:00,2026-04-28 11:35:00+02:00,,,,,,2026-04-28 11:18:50+02:00,,,,2026-04-28 11:05:20+02:00,2026-04-28 11:02:30+02:00,,,,,Aéroport Charles de Gaulle 2 (Terminal 2),21,2026-04-28 10:55:03.988755+02:00
KALI70,KALI,Massy-Palaiseau,,,,,,,,,,,,,,,2026-04-28 12:23:43+02:00,2026-04-28 12:21:59+02:00,2026-04-28 12:20:35+02:00,2026-04-28 12:18:40+02:00,2026-04-28 12:17:00+02:00,2026-04-28 12:15:11+02:00,2026-04-28 12:13:24+02:00,2026-04-28 12:10:56+02:00,2026-04-28 12:09:23+02:00,2026-04-28 12:07:25+02:00,2026-04-28 12:05:39+02:00,2026-04-28 12:04:02+02:00,2026-04-28 12:01:34+02:00,2026-04-28 11:59:26+02:00,2026-04-28 11:57:51+02:00,2026-04-28 11:55:59+02:00,2026-04-28 11:53:47+02:00,2026-04-28 11:50:00+02:00,,,,,,2026-04-28 11:33:50+02:00,,,,2026-04-28 11:20:20+02:00,2026-04-28 11:17:30+02:00,,,,,Aéroport Charles de Gaulle 2 (Terminal 2),21,2026-04-28 10:55:03.988755+02:00
PIER32,PIER,Saint-Rémy-lès-Chevreuse,,,,,2026-04-28 11:07:36+02:00,2026-04-28 11:04:28+02:00,2026-04-28 11:02:30+02:00,2026-04-28 11:00:38+02:00,2026-04-28 10:58:41+02:00,2026-04-28 10:56:18+02:00,2026-04-28 10:53:57+02:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lozère,7,2026-04-28 10:55:03.988755+02:00
