mission,type_mission,destination,Robinson,Fontenay-aux-Roses,Sceaux,Saint-Rémy-lès-Chevreuse,Courcelle sur Yvette,Gif-sur-Yvette,La Hacquinière,Bures-sur-Yvette,Orsay Ville,Le Guichet,Lozère,Palaiseau - Villebon,Palaiseau,Massy - Palaiseau,Massy - Verrières,Les Baconnets,Fontaine Michalon,Antony,La Croix de Berny,Parc de Sceaux,Bourg-la-Reine,Bagneux,Arcueil - Cachan,Laplace,Gentilly,Cité Universitaire,Denfert-Rochereau,Port Royal,Luxembourg,Saint-Michel Notre-Dame,Châtelet les Halles,Gare du Nord,La Plaine Stade de France,La Courneuve - Aubervilliers,Le Bourget,Drancy,Le Blanc-Mesnil,Aulnay-sous-Bois,Sevran Beaudottes,Villepinte,Parc des Expositions,Aéroport CDG 1 (Terminal 3) - RER,Aéroport Charles de Gaulle 2 (Terminal 2),Sevran - Livry,Vert Galant,Villeparisis - Mitry-le-Neuf,Mitry - Claye,gare_depart,nb_arrets_desservis,date_observation
SORI54,SORI,Robinson,,2026-04-28 11:37:56+02:00,2026-04-28 11:36:16+02:00,,,,,,,,,,,,,,,,,,2026-04-28 11:34:14+02:00,2026-04-28 11:31:41+02:00,2026-04-28 11:30:03+02:00,2026-04-28 11:28:05+02:00,2026-04-28 11:26:19+02:00,2026-04-28 11:24:42+02:00,2026-04-28 11:22:04+02:00,2026-04-28 11:20:16+02:00,2026-04-28 11:18:41+02:00,2026-04-28 11:16:29+02:00,2026-04-28 11:14:19+02:00,2026-04-28 11:11:12+02:00,2026-04-28 11:05:32+02:00,2026-04-28 11:02:42+02:00,2026-04-28 10:59:12+02:00,2026-04-28 10:56:22+02:00,,,,,,,,,,,,Drancy,18,2026-04-28 10:55:04.020442+02:00
PIER44,PIER,Saint-Rémy-lès-Chevreuse,,,,,2026-04-28 11:37:26+02:00,2026-04-28 11:34:13+02:00,2026-04-28 11:32:20+02:00,2026-04-28 11:30:28+02:00,2026-04-28 11:28:11+02:00,2026-04-28 11:25:53+02:00,2026-04-28 11:23:32+02:00,2026-04-28 11:20:39+02:00,2026-04-28 11:18:34+02:00,2026-04-28 11:15:42+02:00,,,,2026-04-28 11:10:42+02:00,2026-04-28 11:09:02+02:00,,2026-04-28 11:06:02+02:00,,,,,2026-04-28 11:00:42+02:00,2026-04-28 10:58:04+02:00,2026-04-28 10:56:16+02:00,2026-04-28 10:54:41+02:00,,,,,,,,,,,,,,,,,,,Luxembourg,17,2026-04-28 10:55:04.020442+02:00
ILUS65,ILUS,Mitry - Claye,2026-04-28 11:15:03+02:00,2026-04-28 11:17:24+02:00,2026-04-28 11:19:03+02:00,,,,,,,,,,,,,,,,,,2026-04-28 11:20:56+02:00,2026-04-28 11:23:36+02:00,2026-04-28 11:25:16+02:00,2026-04-28 11:27:19+02:00,2026-04-28 11:29:06+02:00,2026-04-28 11:30:42+02:00,2026-04-28 11:33:02+02:00,2026-04-28 11:35:09+02:00,2026-04-28 11:36:43+02:00,2026-04-28 11:38:49+02:00,2026-04-28 11:40:49+02:00,2026-04-28 11:45:00+02:00,2026-04-28 11:50:10+02:00,2026-04-28 11:52:40+02:00,2026-04-28 11:55:50+02:00,2026-04-28 11:58:30+02:00,2026-04-28 12:00:40+02:00,2026-04-28 12:03:20+02:00,,,,,,2026-04-28 12:06:40+02:00,2026-04-28 12:09:30+02:00,2026-04-28 12:12:40+02:00,,Robinson,24,2026-04-28 10:55:04.020442+02:00
ILUS71,ILUS,Mitry - Claye,2026-04-28 11:30:03+02:00,2026-04-28 11:32:24+02:00,2026-04-28 11:34:03+02:00,,,,,,,,,,,,,,,,,,2026-04-28 11:35:56+02:00,2026-04-28 11:38:36+02:00,2026-04-28 11:40:16+02:00,2026-04-28 11:42:19+02:00,2026-04-28 11:44:06+02:00,2026-04-28 11:45:42+02:00,2026-04-28 11:48:02+02:00,2026-04-28 11:50:09+02:00,2026-04-28 11:51:43+02:00,2026-04-28 11:53:49+02:00,2026-04-28 11:55:49+02:00,2026-04-28 12:00:00+02:00,2026-04-28 12:05:10+02:00,2026-04-28 12:07:40+02:00,2026-04-28 12:10:50+02:00,2026-04-28 12:13:30+02:00,2026-04-28 12:15:40+02:00,2026-04-28 12:18:20+02:00,,,,,,2026-04-28 12:21:40+02:00,2026-04-28 12:24:30+02:00,2026-04-28 12:27:40+02:00,,Robinson,24,2026-04-28 10:55:04.020442+02:00
PIER56,PIER,Saint-Rémy-lès-Chevreuse,,,,,2026-04-28 12:07:26+02:00,2026-04-28 12:04:13+02:00,2026-04-28 12:02:20+02:00,2026-04-28 12:00:28+02:00,2026-04-28 11:58:11+02:00,2026-04-28 11:55:53+02:00,2026-04-28 11:53:32+02:00,2026-04-28 11:50:39+02:00,2026-04-28 11:48:34+02:00,2026-04-28 11:45:42+02:00,,,,2026-04-28 11:40:42+02:00,2026-04-28 11:39:02+02:00,,2026-04-28 11:36:02+02:00,,,,,2026-04-28 11:30:42+02:00,2026-04-28 11:28:04+02:00,2026-04-28 11:26:16+02:00,2026-04-28 11:24:41+02:00,2026-04-28 11:22:29+02:00,2026-04-28 11:20:17+02:00,2026-04-28 11:17:10+02:00,2026-04-28 11:11:30+02:00,2026-04-28 11:08:40+02:00,2026-04-28 11:05:10+02:00,2026-04-28 11:02:20+02:00,2026-04-28 11:00:10+02:00,2026-04-28 10:58:00+02:00,,,,,,,,,,Aulnay-sous-Bois,26,2026-04-28 10:55:04.020442+02:00
ERIC49,ERIC,Aéroport Charles de Gaulle 2 (Terminal 2),,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-28 10:54:02+02:00,2026-04-28 10:56:09+02:00,2026-04-28 10:57:43+02:00,2026-04-28 10:59:49+02:00,2026-04-28 11:01:49+02:00,2026-04-28 11:06:00+02:00,,,,,,2026-04-28 11:21:10+02:00,,,,2026-04-28 11:33:30+02:00,,,,,,Denfert-Rochereau,8,2026-04-28 10:55:04.020442+02:00
EPAU33,EPAU,Aéroport Charles de Gaulle 2 (Terminal 2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-28 10:55:50+02:00,,,,,,Aéroport CDG 1 (Terminal 3) - RER,1,2026-04-28 10:55:04.020442+02:00
KALI64,KALI,Massy-Palaiseau,,,,,,,,,,,,,,,2026-04-28 12:08:43+02:00,2026-04-28 12:06:59+02:00,2026-04-28 12:05:35+02:00,2026-04-28 12:03:30+02:00,2026-04-28 12:01:50+02:00,2026-04-28 12:00:11+02:00,2026-04-28 11:58:14+02:00,2026-04-28 11:55:51+02:00,2026-04-28 11:54:13+02:00,2026-04-28 11:52:15+02:00,2026-04-28 11:50:29+02:00,2026-04-28 11:48:42+02:00,2026-04-28 11:46:04+02:00,2026-04-28 11:44:16+02:00,2026-04-28 11:42:41+02:00,2026-04-28 11:40:29+02:00,2026-04-28 11:38:07+02:00,2026-04-28 11:35:00+02:00,,,,,,2026-04-28 11:18:50+02:00,,,,2026-04-28 11:05:20+02:00,2026-04-28 11:02:30+02:00,,,,,Aéroport Charles de Gaulle 2 (Terminal 2),21,2026-04-28 10:55:04.020442+02:00
KALI70,KALI,Massy-Palaiseau,,,,,,,,,,,,,,,2026-04-28 12:23:43+02:00,2026-04-28 12:21:59+02:00,2026-04-28 12:20:35+02:00,2026-04-28 12:18:30+02:00,2026-04-28 12:16:50+02:00,2026-04-28 12:15:11+02:00,2026-04-28 12:13:14+02:00,2026-04-28 12:10:51+02:00,2026-04-28 12:09:13+02:00,2026-04-28 12:07:15+02:00,2026-04-28 12:05:29+02:00,2026-04-28 12:03:42+02:00,2026-04-28 12:01:04+02:00,2026-04-28 11:59:16+02:00,2026-04-28 11:57:41+02:00,2026-04-28 11:55:29+02:00,2026-04-28 11:53:07+02:00,2026-04-28 11:50:00+02:00,,,,,,2026-04-28 11:33:50+02:00,,,,2026-04-28 11:20:20+02:00,2026-04-28 11:17:30+02:00,,,,,Aéroport Charles de Gaulle 2 (Terminal 2),21,2026-04-28 10:55:04.020442+02:00
PIER32,PIER,Saint-Rémy-lès-Chevreuse,,,,,2026-04-28 11:07:45+02:00,2026-04-28 11:04:32+02:00,2026-04-28 11:02:39+02:00,2026-04-28 11:00:47+02:00,2026-04-28 10:58:30+02:00,2026-04-28 10:56:12+02:00,2026-04-28 10:53:51+02:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lozère,7,2026-04-28 10:55:04.020442+02:00
