mission,type_mission,destination,Robinson,Fontenay-aux-Roses,Sceaux,Saint-Rémy-lès-Chevreuse,Courcelle sur Yvette,Gif-sur-Yvette,La Hacquinière,Bures-sur-Yvette,Orsay Ville,Le Guichet,Lozère,Palaiseau - Villebon,Palaiseau,Massy - Palaiseau,Massy - Verrières,Les Baconnets,Fontaine Michalon,Antony,La Croix de Berny,Parc de Sceaux,Bourg-la-Reine,Bagneux,Arcueil - Cachan,Laplace,Gentilly,Cité Universitaire,Denfert-Rochereau,Port Royal,Luxembourg,Saint-Michel Notre-Dame,Châtelet les Halles,Gare du Nord,La Plaine Stade de France,La Courneuve - Aubervilliers,Le Bourget,Drancy,Le Blanc-Mesnil,Aulnay-sous-Bois,Sevran Beaudottes,Villepinte,Parc des Expositions,Aéroport CDG 1 (Terminal 3) - RER,Aéroport Charles de Gaulle 2 (Terminal 2),Sevran - Livry,Vert Galant,Villeparisis - Mitry-le-Neuf,Mitry - Claye,gare_depart,nb_arrets_desservis,date_observation
IVIS23,IVIS,Mitry - Claye,,,,2026-03-27 08:11:52+01:00,2026-03-27 08:14:53+01:00,2026-03-27 08:18:00+01:00,2026-03-27 08:19:56+01:00,2026-03-27 08:21:48+01:00,2026-03-27 08:24:18+01:00,2026-03-27 08:26:52+01:00,,,2026-03-27 08:31:18+01:00,2026-03-27 08:33:40+01:00,,,,2026-03-27 08:38:55+01:00,2026-03-27 08:40:46+01:00,,2026-03-27 08:43:37+01:00,2026-03-27 08:46:26+01:00,2026-03-27 08:48:06+01:00,2026-03-27 08:50:19+01:00,2026-03-27 08:52:06+01:00,2026-03-27 08:53:42+01:00,2026-03-27 08:56:22+01:00,2026-03-27 08:58:39+01:00,2026-03-27 09:00:13+01:00,2026-03-27 09:02:19+01:00,2026-03-27 09:04:39+01:00,2026-03-27 09:09:00+01:00,2026-03-27 09:14:10+01:00,2026-03-27 09:16:40+01:00,2026-03-27 09:19:50+01:00,2026-03-27 09:22:30+01:00,2026-03-27 09:24:40+01:00,2026-03-27 09:27:20+01:00,,,,,,2026-03-27 09:30:40+01:00,2026-03-27 09:33:30+01:00,2026-03-27 09:36:40+01:00,,Saint-Rémy-lès-Chevreuse,32,2026-03-27 07:52:45.495867+01:00
STRI12,STRI,Robinson,,2026-03-27 09:15:21+01:00,2026-03-27 09:13:36+01:00,,,,,,,,,,,,,,,,,,2026-03-27 09:11:24+01:00,2026-03-27 09:08:51+01:00,2026-03-27 09:07:03+01:00,2026-03-27 09:04:55+01:00,2026-03-27 09:02:59+01:00,2026-03-27 09:01:02+01:00,2026-03-27 08:58:14+01:00,2026-03-27 08:56:26+01:00,2026-03-27 08:54:51+01:00,2026-03-27 08:52:29+01:00,2026-03-27 08:50:07+01:00,2026-03-27 08:47:00+01:00,2026-03-27 08:41:20+01:00,2026-03-27 08:38:30+01:00,2026-03-27 08:35:00+01:00,2026-03-27 08:32:10+01:00,2026-03-27 08:30:00+01:00,2026-03-27 08:27:50+01:00,2026-03-27 08:24:10+01:00,2026-03-27 08:21:20+01:00,2026-03-27 08:19:20+01:00,2026-03-27 08:14:00+01:00,2026-03-27 08:06:50+01:00,,,,,Aéroport Charles de Gaulle 2 (Terminal 2),25,2026-03-27 07:52:45.495867+01:00
IVIS07,IVIS,Mitry - Claye,,,,,,2026-03-27 07:55:11+01:00,2026-03-27 07:57:07+01:00,2026-03-27 07:58:59+01:00,2026-03-27 08:01:29+01:00,2026-03-27 08:04:03+01:00,,,2026-03-27 08:08:29+01:00,2026-03-27 08:10:51+01:00,,,,2026-03-27 08:16:06+01:00,2026-03-27 08:17:57+01:00,,2026-03-27 08:20:48+01:00,2026-03-27 08:23:37+01:00,2026-03-27 08:25:17+01:00,2026-03-27 08:27:30+01:00,2026-03-27 08:29:17+01:00,2026-03-27 08:30:53+01:00,2026-03-27 08:33:33+01:00,2026-03-27 08:35:50+01:00,2026-03-27 08:37:24+01:00,2026-03-27 08:39:30+01:00,2026-03-27 08:41:50+01:00,2026-03-27 08:46:11+01:00,2026-03-27 08:51:21+01:00,2026-03-27 08:53:51+01:00,2026-03-27 08:57:01+01:00,2026-03-27 08:59:41+01:00,2026-03-27 09:01:51+01:00,2026-03-27 09:04:31+01:00,,,,,,2026-03-27 09:07:51+01:00,2026-03-27 09:10:41+01:00,2026-03-27 09:13:51+01:00,,Gif-sur-Yvette,30,2026-03-27 07:52:45.495867+01:00
LORD08,LORD,Orsay-Ville,,,,,,,,,,2026-03-27 09:28:13+01:00,2026-03-27 09:25:52+01:00,2026-03-27 09:22:59+01:00,2026-03-27 09:20:54+01:00,2026-03-27 09:17:42+01:00,,2026-03-27 09:14:23+01:00,2026-03-27 09:12:39+01:00,2026-03-27 09:10:19+01:00,2026-03-27 09:08:24+01:00,,2026-03-27 09:05:29+01:00,2026-03-27 09:02:51+01:00,2026-03-27 09:01:03+01:00,2026-03-27 08:58:55+01:00,2026-03-27 08:56:59+01:00,2026-03-27 08:55:02+01:00,2026-03-27 08:52:14+01:00,2026-03-27 08:50:26+01:00,2026-03-27 08:48:51+01:00,2026-03-27 08:46:29+01:00,2026-03-27 08:44:07+01:00,2026-03-27 08:41:00+01:00,2026-03-27 08:35:20+01:00,2026-03-27 08:32:30+01:00,2026-03-27 08:29:00+01:00,2026-03-27 08:26:10+01:00,2026-03-27 08:24:00+01:00,2026-03-27 08:21:50+01:00,2026-03-27 08:18:10+01:00,2026-03-27 08:15:20+01:00,2026-03-27 08:13:20+01:00,2026-03-27 08:08:00+01:00,2026-03-27 08:00:50+01:00,,,,,Aéroport Charles de Gaulle 2 (Terminal 2),32,2026-03-27 07:52:45.495867+01:00
PUMA38,PUMA,Saint-Rémy-lès-Chevreuse,,,,,2026-03-27 07:55:30+01:00,2026-03-27 07:52:17+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gif-sur-Yvette,2,2026-03-27 07:52:45.495867+01:00
EMMY37,EMMY,Aéroport Charles de Gaulle 2 (Terminal 2),,,,,,,,,2026-03-27 08:42:31+01:00,2026-03-27 08:44:35+01:00,2026-03-27 08:46:42+01:00,2026-03-27 08:49:11+01:00,2026-03-27 08:51:02+01:00,2026-03-27 08:53:14+01:00,,2026-03-27 08:56:44+01:00,2026-03-27 08:58:19+01:00,2026-03-27 09:00:20+01:00,2026-03-27 09:02:11+01:00,,2026-03-27 09:04:57+01:00,2026-03-27 09:07:36+01:00,2026-03-27 09:09:16+01:00,2026-03-27 09:11:24+01:00,2026-03-27 09:13:11+01:00,2026-03-27 09:14:47+01:00,2026-03-27 09:17:22+01:00,2026-03-27 09:19:39+01:00,2026-03-27 09:21:13+01:00,2026-03-27 09:23:19+01:00,2026-03-27 09:25:39+01:00,2026-03-27 09:30:00+01:00,2026-03-27 09:35:10+01:00,2026-03-27 09:37:40+01:00,2026-03-27 09:40:50+01:00,2026-03-27 09:43:30+01:00,2026-03-27 09:45:40+01:00,2026-03-27 09:48:10+01:00,2026-03-27 09:51:30+01:00,2026-03-27 09:54:00+01:00,2026-03-27 09:56:20+01:00,2026-03-27 10:02:00+01:00,,,,,,Orsay Ville,32,2026-03-27 07:52:45.495867+01:00
PLAC34,PLAC,Saint-Rémy-lès-Chevreuse,,,,,2026-03-27 10:10:56+01:00,2026-03-27 10:07:43+01:00,2026-03-27 10:05:50+01:00,2026-03-27 10:03:58+01:00,2026-03-27 10:01:41+01:00,2026-03-27 09:59:23+01:00,2026-03-27 09:57:02+01:00,2026-03-27 09:54:09+01:00,2026-03-27 09:52:04+01:00,2026-03-27 09:49:12+01:00,,,,2026-03-27 09:44:12+01:00,2026-03-27 09:42:32+01:00,,2026-03-27 09:39:32+01:00,,,,,2026-03-27 09:34:02+01:00,2026-03-27 09:31:14+01:00,2026-03-27 09:29:26+01:00,2026-03-27 09:27:51+01:00,2026-03-27 09:25:29+01:00,2026-03-27 09:23:07+01:00,2026-03-27 09:20:00+01:00,2026-03-27 09:14:20+01:00,2026-03-27 09:11:30+01:00,2026-03-27 09:08:00+01:00,2026-03-27 09:05:10+01:00,2026-03-27 09:03:00+01:00,2026-03-27 09:00:50+01:00,,,,,,2026-03-27 08:57:10+01:00,2026-03-27 08:54:00+01:00,2026-03-27 08:50:50+01:00,2026-03-27 08:47:00+01:00,Mitry - Claye,30,2026-03-27 07:52:45.495867+01:00
STRI20,STRI,Robinson,,2026-03-27 09:27:21+01:00,2026-03-27 09:25:36+01:00,,,,,,,,,,,,,,,,,,2026-03-27 09:23:24+01:00,2026-03-27 09:20:51+01:00,2026-03-27 09:19:03+01:00,2026-03-27 09:16:55+01:00,2026-03-27 09:14:59+01:00,2026-03-27 09:13:02+01:00,2026-03-27 09:10:14+01:00,2026-03-27 09:08:26+01:00,2026-03-27 09:06:51+01:00,2026-03-27 09:04:29+01:00,2026-03-27 09:02:07+01:00,2026-03-27 08:59:00+01:00,2026-03-27 08:53:20+01:00,2026-03-27 08:50:30+01:00,2026-03-27 08:47:00+01:00,2026-03-27 08:44:10+01:00,2026-03-27 08:42:00+01:00,2026-03-27 08:39:50+01:00,2026-03-27 08:36:10+01:00,2026-03-27 08:33:20+01:00,2026-03-27 08:31:20+01:00,2026-03-27 08:26:00+01:00,2026-03-27 08:18:50+01:00,,,,,Aéroport Charles de Gaulle 2 (Terminal 2),25,2026-03-27 07:52:45.495867+01:00
LORE74,LORE,Orsay-Ville,,,,,,,,,,2026-03-27 08:40:13+01:00,2026-03-27 08:37:52+01:00,2026-03-27 08:34:59+01:00,2026-03-27 08:32:54+01:00,2026-03-27 08:29:42+01:00,,2026-03-27 08:26:23+01:00,2026-03-27 08:24:39+01:00,2026-03-27 08:22:19+01:00,2026-03-27 08:20:24+01:00,,2026-03-27 08:17:29+01:00,2026-03-27 08:14:51+01:00,2026-03-27 08:13:03+01:00,2026-03-27 08:10:55+01:00,2026-03-27 08:08:59+01:00,2026-03-27 08:07:02+01:00,2026-03-27 08:04:14+01:00,2026-03-27 08:02:26+01:00,2026-03-27 08:00:51+01:00,2026-03-27 07:58:29+01:00,2026-03-27 07:56:07+01:00,2026-03-27 07:56:49+01:00,,,,,,,,,,,,,,,,Châtelet les Halles,21,2026-03-27 07:52:45.495867+01:00
USER28,USER,Laplace,,,,,,,,,,,,,,,,,,,,,,,,,2026-03-27 09:26:54+01:00,2026-03-27 09:25:02+01:00,2026-03-27 09:22:14+01:00,2026-03-27 09:20:26+01:00,2026-03-27 09:18:51+01:00,2026-03-27 09:16:29+01:00,2026-03-27 09:14:07+01:00,2026-03-27 09:11:00+01:00,2026-03-27 09:05:20+01:00,2026-03-27 09:02:30+01:00,2026-03-27 08:59:00+01:00,2026-03-27 08:56:10+01:00,2026-03-27 08:54:00+01:00,2026-03-27 08:51:50+01:00,2026-03-27 08:48:10+01:00,2026-03-27 08:45:20+01:00,2026-03-27 08:43:20+01:00,2026-03-27 08:38:00+01:00,2026-03-27 08:30:50+01:00,,,,,Aéroport Charles de Gaulle 2 (Terminal 2),19,2026-03-27 07:52:45.495867+01:00
